alt,dst,lat,lon,mdata
112.800000,0.000000,37.091810,-122.096070,E:\Dropbox\website\dev2\climbing\climbs\Alba-Rd-Ben-Lomond.tcx
112.800000,0.888000,37.091810,-122.096080,
113.200000,7.203000,37.091820,-122.096150,
113.500000,12.530000,37.091820,-122.096210,
113.900000,17.108000,37.091830,-122.096260,
114.200000,21.299000,37.091850,-122.096300,
114.600000,25.491000,37.091870,-122.096340,
115.200000,32.435000,37.091910,-122.096400,
116.700000,50.406000,37.092040,-122.096520,
119.000000,85.317000,37.092310,-122.096720,
121.000000,115.979000,37.092540,-122.096910,
121.600000,131.545000,37.092660,-122.097000,
123.000000,150.457000,37.092810,-122.097100,
124.100000,156.627000,37.092860,-122.097130,
125.500000,163.818000,37.092920,-122.097160,
127.000000,175.165000,37.093010,-122.097220,
127.800000,186.956000,37.093100,-122.097290,
128.300000,192.651000,37.093140,-122.097330,
128.700000,199.771000,37.093190,-122.097380,
129.100000,206.059000,37.093230,-122.097430,
129.500000,213.764000,37.093280,-122.097490,
130.500000,222.912000,37.093320,-122.097580,
131.200000,233.327000,37.093380,-122.097670,
133.200000,249.349000,37.093460,-122.097820,
135.700000,261.371000,37.093510,-122.097940,
137.900000,272.919000,37.093550,-122.098060,
139.100000,281.943000,37.093600,-122.098140,
139.700000,286.135000,37.093620,-122.098180,
140.100000,291.010000,37.093650,-122.098220,
140.300000,295.282000,37.093680,-122.098250,
140.600000,299.554000,37.093710,-122.098280,
140.700000,300.978000,37.093720,-122.098290,
140.800000,313.319000,37.093820,-122.098350,
141.000000,326.344000,37.093930,-122.098400,
141.700000,341.077000,37.094050,-122.098470,
142.800000,357.609000,37.094180,-122.098560,
144.900000,374.587000,37.094310,-122.098660,
151.600000,411.952000,37.094580,-122.098910,
155.500000,444.702000,37.094810,-122.099140,
176.900000,573.134000,37.095680,-122.100090,
177.000000,579.737000,37.095730,-122.100130,
179.800000,598.492000,37.095840,-122.100290,
183.400000,615.179000,37.095940,-122.100430,
185.400000,622.743000,37.096000,-122.100470,
186.500000,627.015000,37.096030,-122.100500,
187.300000,631.287000,37.096060,-122.100530,
188.200000,635.559000,37.096090,-122.100560,
188.800000,639.341000,37.096120,-122.100580,
189.300000,645.184000,37.096170,-122.100600,
189.500000,648.639000,37.096200,-122.100610,
189.800000,651.036000,37.096220,-122.100620,
190.300000,660.117000,37.096300,-122.100640,
191.100000,669.067000,37.096380,-122.100650,
192.700000,677.059000,37.096450,-122.100670,
194.900000,685.622000,37.096520,-122.100710,
196.800000,695.210000,37.096600,-122.100750,
197.000000,698.992000,37.096630,-122.100770,
197.700000,704.547000,37.096660,-122.100820,
198.200000,708.739000,37.096680,-122.100860,
198.500000,712.211000,37.096700,-122.100890,
199.000000,716.788000,37.096710,-122.100940,
199.200000,718.884000,37.096720,-122.100960,
200.900000,731.314000,37.096720,-122.101100,
202.400000,741.332000,37.096700,-122.101210,
203.700000,751.162000,37.096690,-122.101320,
204.400000,757.476000,37.096700,-122.101390,
204.700000,761.668000,37.096720,-122.101430,
205.300000,770.051000,37.096760,-122.101510,
205.600000,776.222000,37.096810,-122.101540,
206.200000,782.824000,37.096860,-122.101580,
206.600000,785.672000,37.096880,-122.101600,
207.000000,788.520000,37.096900,-122.101620,
207.400000,791.368000,37.096920,-122.101640,
207.600000,792.792000,37.096930,-122.101650,
207.800000,794.216000,37.096940,-122.101660,
208.100000,796.311000,37.096950,-122.101680,
208.300000,799.783000,37.096970,-122.101710,
208.300000,801.207000,37.096980,-122.101720,
208.700000,806.173000,37.097000,-122.101770,
209.400000,811.616000,37.097010,-122.101830,
210.100000,815.338000,37.097000,-122.101870,
210.900000,820.665000,37.097000,-122.101930,
212.100000,828.109000,37.096980,-122.102010,
213.000000,833.076000,37.096960,-122.102060,
213.800000,837.652000,37.096950,-122.102110,
214.200000,840.316000,37.096950,-122.102140,
214.900000,844.038000,37.096940,-122.102180,
215.100000,846.925000,37.096950,-122.102210,
215.200000,849.812000,37.096960,-122.102240,
215.400000,855.586000,37.096980,-122.102300,
215.400000,861.141000,37.097010,-122.102350,
215.400000,863.237000,37.097020,-122.102370,
215.500000,867.429000,37.097040,-122.102410,
215.700000,870.316000,37.097050,-122.102440,
215.900000,873.203000,37.097060,-122.102470,
215.800000,876.050000,37.097080,-122.102490,
217.100000,881.378000,37.097080,-122.102550,
218.800000,887.593000,37.097080,-122.102620,
222.000000,899.141000,37.097040,-122.102740,
225.000000,914.839000,37.096980,-122.102900,
227.200000,926.671000,37.096920,-122.103010,
227.900000,933.273000,37.096900,-122.103080,
228.400000,938.716000,37.096890,-122.103140,
228.800000,945.030000,37.096880,-122.103210,
228.700000,953.098000,37.096890,-122.103300,
228.200000,960.947000,37.096920,-122.103380,
226.600000,969.491000,37.096980,-122.103440,
225.300000,978.614000,37.097040,-122.103510,
224.400000,987.738000,37.097100,-122.103580,
223.700000,993.908000,37.097150,-122.103610,
223.700000,999.097000,37.097190,-122.103640,
224.000000,1001.193000,37.097200,-122.103660,
226.000000,1019.440000,37.097320,-122.103800,
228.500000,1039.574000,37.097430,-122.103980,
230.400000,1047.957000,37.097470,-122.104060,
232.800000,1057.444000,37.097500,-122.104160,
233.800000,1065.512000,37.097510,-122.104250,
234.600000,1076.224000,37.097500,-122.104370,
236.300000,1093.211000,37.097430,-122.104540,
238.600000,1118.043000,37.097330,-122.104790,
238.700000,1127.530000,37.097300,-122.104890,
238.700000,1147.336000,37.097240,-122.105100,
238.400000,1159.352000,37.097210,-122.105230,
238.300000,1174.609000,37.097160,-122.105390,
238.200000,1185.775000,37.097130,-122.105510,
240.800000,1215.574000,37.097010,-122.105810,
244.800000,1230.245000,37.096940,-122.105950,
248.600000,1251.091000,37.096830,-122.106140,
251.200000,1275.401000,37.096700,-122.106360,
251.900000,1283.744000,37.096650,-122.106430,
252.200000,1290.032000,37.096620,-122.106490,
252.400000,1295.806000,37.096600,-122.106550,
252.500000,1302.408000,37.096580,-122.106620,
252.600000,1307.374000,37.096560,-122.106670,
252.600000,1310.926000,37.096560,-122.106710,
252.700000,1313.813000,37.096550,-122.106740,
252.600000,1318.252000,37.096550,-122.106790,
252.400000,1323.695000,37.096560,-122.106850,
252.400000,1327.246000,37.096560,-122.106890,
252.400000,1333.848000,37.096580,-122.106960,
252.700000,1338.040000,37.096600,-122.107000,
253.400000,1344.983000,37.096640,-122.107060,
254.100000,1349.175000,37.096660,-122.107100,
255.900000,1356.295000,37.096710,-122.107150,
258.900000,1369.500000,37.096810,-122.107230,
261.100000,1381.290000,37.096900,-122.107300,
261.800000,1391.241000,37.096980,-122.107350,
261.600000,1398.152000,37.097040,-122.107370,
261.600000,1406.387000,37.097110,-122.107400,
261.300000,1412.023000,37.097160,-122.107410,
261.100000,1417.865000,37.097210,-122.107430,
260.500000,1430.890000,37.097320,-122.107480,
260.200000,1443.231000,37.097420,-122.107540,
260.300000,1447.503000,37.097450,-122.107570,
