alt,dst,lat,lon,mdata
113.400000,0.000000,37.091910,-122.096120,E:\Dropbox\website\dev2\climbing\climbs\Alba-Road.tcx
114.400000,14.380680,37.091930,-122.096280,
115.400000,26.194516,37.092000,-122.096380,
127.100000,199.754424,37.093330,-122.097400,
138.900000,293.597533,37.093820,-122.098260,
146.100000,367.197103,37.094390,-122.098680,
177.000000,564.242749,37.095730,-122.100130,
183.400000,599.683233,37.095940,-122.100430,
188.800000,623.743213,37.096120,-122.100580,
196.800000,679.267354,37.096600,-122.100750,
198.500000,695.953841,37.096700,-122.100890,
204.400000,740.348835,37.096700,-122.101390,
208.700000,787.821627,37.097000,-122.101770,
214.900000,824.833044,37.096940,-122.102180,
215.800000,856.463641,37.097080,-122.102490,
218.800000,868.006282,37.097080,-122.102620,
227.900000,913.499877,37.096900,-122.103080,
228.700000,933.065318,37.096890,-122.103300,
226.000000,998.350493,37.097320,-122.103800,
230.400000,1026.841600,37.097470,-122.104060,
233.800000,1044.289273,37.097510,-122.104250,
238.200000,1163.893978,37.097130,-122.105510,
244.800000,1208.319315,37.096940,-122.105950,
252.200000,1268.050379,37.096620,-122.106490,
252.700000,1291.575911,37.096550,-122.106740,
252.400000,1311.393158,37.096580,-122.106960,
254.100000,1326.684599,37.096660,-122.107100,
261.800000,1368.656690,37.096980,-122.107350,
260.200000,1420.460796,37.097420,-122.107540,
260.900000,1443.243460,37.097580,-122.107700,
262.900000,1455.615110,37.097620,-122.107830,
266.700000,1502.438317,37.097550,-122.108350,
277.100000,1564.380417,37.097280,-122.108960,
276.800000,1599.293352,37.097320,-122.109350,
277.300000,1634.878776,37.097300,-122.109750,
285.800000,1693.180247,37.097040,-122.110320,
287.200000,1724.751104,37.097090,-122.110670,
283.600000,1765.732907,37.097330,-122.111020,
285.000000,1785.191664,37.097380,-122.111230,
295.500000,1853.001167,37.097440,-122.111990,
295.900000,1885.328196,37.097520,-122.112340,
295.400000,1899.953394,37.097610,-122.112460,
297.700000,1953.867349,37.098070,-122.112650,
299.800000,1980.277372,37.098270,-122.112810,
304.900000,2020.589694,37.098510,-122.113150,
310.800000,2041.490724,37.098470,-122.113380,
323.900000,2088.963050,37.098170,-122.113760,
335.100000,2133.870902,37.098070,-122.114250,
341.300000,2160.600296,37.098090,-122.114550,
343.700000,2175.857882,37.098140,-122.114710,
345.700000,2203.474558,37.098330,-122.114910,
351.800000,2279.425065,37.098980,-122.115170,
356.600000,2301.651299,37.099110,-122.115360,
371.200000,2376.088419,37.099310,-122.116160,
384.500000,2535.891639,37.099460,-122.117950,
387.800000,2623.922160,37.099340,-122.118930,
395.800000,2703.526403,37.099090,-122.119770,
407.300000,2815.060244,37.098540,-122.120820,
412.800000,2873.075036,37.098300,-122.121400,
418.900000,2931.455433,37.097890,-122.121810,
424.500000,2985.393571,37.097460,-122.122090,
428.000000,3020.815743,37.097200,-122.122320,
432.900000,3081.451111,37.096900,-122.122890,
439.500000,3124.572013,37.096640,-122.123250,
442.900000,3144.378100,37.096580,-122.123460,
445.600000,3171.038388,37.096590,-122.123760,
447.500000,3193.785272,37.096680,-122.123990,
448.100000,3227.440903,37.096900,-122.124250,
451.600000,3268.063382,37.097000,-122.124690,
459.900000,3323.046043,37.097150,-122.125280,
465.900000,3359.602590,37.097120,-122.125690,
479.200000,3488.754671,37.096420,-122.126850,
482.300000,3533.974379,37.096040,-122.127030,
483.800000,3559.917806,37.095840,-122.127180,
484.300000,3568.301339,37.095800,-122.127260,
485.800000,3584.438049,37.095820,-122.127440,
486.800000,3599.563529,37.095930,-122.127540,
488.100000,3612.378217,37.095980,-122.127670,
489.900000,3630.142943,37.095930,-122.127860,
501.000000,3731.893729,37.095100,-122.128340,
508.900000,3775.516181,37.094720,-122.128460,
513.900000,3801.709937,37.094540,-122.128650,
526.000000,3888.480807,37.094050,-122.129410,
531.700000,3949.578839,37.093560,-122.129720,
537.600000,4009.798935,37.093170,-122.130190,
542.400000,4043.812823,37.092980,-122.130490,
546.900000,4086.434110,37.092980,-122.130970,
551.600000,4118.478299,37.093140,-122.131270,
560.700000,4169.191444,37.093500,-122.131620,
567.300000,4220.597680,37.093950,-122.131750,
568.900000,4246.216407,37.094180,-122.131760,
571.100000,4266.135190,37.094350,-122.131830,
575.500000,4282.171425,37.094450,-122.131960,
588.800000,4396.884831,37.095480,-122.131920,
592.700000,4436.062636,37.095770,-122.132170,
593.700000,4475.778108,37.096100,-122.132340,
593.800000,4492.499525,37.096250,-122.132350,
590.900000,4529.522523,37.096550,-122.132170,
595.500000,4571.318509,37.096920,-122.132250,
597.500000,4587.358434,37.097040,-122.132150,
602.000000,4656.170510,37.097450,-122.131570,
601.600000,4668.511475,37.097550,-122.131510,
602.200000,4699.882439,37.097830,-122.131470,
606.600000,4722.163905,37.098030,-122.131480,
613.700000,4782.457802,37.098550,-122.131670,
624.400000,4946.337197,37.100020,-122.131770,
628.400000,4998.155746,37.100380,-122.132140,
628.700000,5009.840414,37.100480,-122.132180,
636.600000,5090.112827,37.101200,-122.132130,
637.700000,5106.096984,37.101340,-122.132170,
639.000000,5132.080757,37.101530,-122.132340,
639.700000,5159.832490,37.101600,-122.132640,
653.600000,5235.802385,37.101470,-122.133480,
654.200000,5262.460955,37.101480,-122.133780,
652.800000,5294.030019,37.101530,-122.134130,
665.000000,5355.784831,37.101460,-122.134820,
666.700000,5398.633326,37.101500,-122.135300,
667.300000,5421.321676,37.101570,-122.135540,
668.600000,5455.788052,37.101840,-122.135730,
673.900000,5482.908931,37.101980,-122.135980,
675.900000,5500.976999,37.102010,-122.136180,
679.100000,5533.985080,37.101910,-122.136530,
681.700000,5561.597988,37.101890,-122.136840,
687.400000,5596.384378,37.101920,-122.137230,
690.300000,5633.284038,37.102010,-122.137630,
703.200000,5721.138344,37.102320,-122.138540,
718.400000,5856.518910,37.102870,-122.139900,
721.500000,5872.749988,37.102980,-122.140020,
725.600000,5903.023982,37.103240,-122.140120,
730.500000,5973.675933,37.103810,-122.140470,
734.300000,6006.254695,37.104050,-122.140680,
