alt,dst,lat,lon,mdata
142.300000,0.000000,37.299930,-122.265050,E:\Dropbox\website\dev2\climbing\climbs\Alpine-Road.tcx
140.200000,18.378280,37.299790,-122.264940,
139.500000,52.455344,37.299580,-122.264660,
143.100000,107.895295,37.299270,-122.264170,
147.300000,148.220449,37.299130,-122.263750,
157.900000,252.885018,37.298530,-122.262840,
158.600000,281.893496,37.298330,-122.262630,
155.900000,313.533938,37.298080,-122.262460,
151.600000,409.141966,37.297440,-122.261740,
149.100000,424.542030,37.297370,-122.261590,
150.600000,438.884570,37.297350,-122.261430,
154.200000,471.817018,37.297450,-122.261080,
154.400000,500.241688,37.297430,-122.260760,
153.100000,521.725038,37.297310,-122.260570,
149.400000,547.403929,37.297100,-122.260450,
146.600000,581.890617,37.296850,-122.260220,
146.200000,607.747281,37.296730,-122.259970,
149.100000,636.189067,37.296880,-122.259710,
150.500000,685.513670,37.296810,-122.259160,
154.900000,712.708149,37.296940,-122.258900,
155.300000,735.973333,37.296910,-122.258640,
152.700000,754.811791,37.296790,-122.258490,
152.300000,780.708966,37.296760,-122.258200,
154.800000,806.458980,37.296920,-122.257990,
156.300000,826.992980,37.297090,-122.257900,
156.400000,843.728004,37.297170,-122.257740,
156.300000,864.367518,37.297140,-122.257510,
156.800000,893.695992,37.296930,-122.257310,
156.600000,904.915056,37.296880,-122.257200,
156.500000,930.771682,37.297000,-122.256950,
157.200000,972.350460,37.296850,-122.256520,
160.000000,1002.541331,37.296830,-122.256180,
159.900000,1016.009855,37.296850,-122.256030,
163.200000,1070.330205,37.297190,-122.255590,
164.900000,1094.370575,37.297370,-122.255440,
164.600000,1191.960955,37.297660,-122.254400,
164.500000,1230.828266,37.297730,-122.253970,
165.100000,1360.236700,37.297680,-122.252510,
168.600000,1438.449828,37.297740,-122.251630,
169.500000,1465.109114,37.297720,-122.251330,
164.800000,1590.173892,37.297390,-122.249980,
164.900000,1612.340428,37.297380,-122.249730,
165.400000,1639.733448,37.297440,-122.249430,
166.800000,1699.325286,37.297390,-122.248760,
179.900000,1797.695567,37.297040,-122.247740,
174.400000,1846.683864,37.296600,-122.247730,
173.300000,1857.048809,37.296510,-122.247700,
171.800000,1875.273721,37.296390,-122.247560,
170.700000,1922.698901,37.296260,-122.247050,
171.100000,1963.495274,37.296240,-122.246590,
174.000000,1991.181161,37.296310,-122.246290,
175.500000,2019.191950,37.296260,-122.245980,
176.500000,2048.669807,37.296130,-122.245690,
185.100000,2137.378030,37.295630,-122.244910,
175.900000,2190.300259,37.295210,-122.244630,
175.600000,2227.089057,37.294990,-122.244320,
176.000000,2274.056382,37.294780,-122.243860,
180.700000,2314.463045,37.294720,-122.243410,
188.000000,2491.386629,37.294120,-122.241560,
187.300000,2504.855628,37.294100,-122.241410,
188.800000,2524.267883,37.294150,-122.241200,
187.200000,2543.680138,37.294100,-122.240990,
187.700000,2607.480861,37.294080,-122.240270,
188.300000,2616.040552,37.294150,-122.240230,
188.400000,2626.751369,37.294190,-122.240120,
188.300000,2677.256845,37.294310,-122.239570,
188.500000,2688.403348,37.294240,-122.239480,
189.800000,2716.058702,37.294210,-122.239170,
196.800000,2771.611763,37.293970,-122.238620,
196.900000,2795.754594,37.293940,-122.238350,
200.300000,2818.863834,37.293760,-122.238220,
199.300000,2849.301191,37.293800,-122.237880,
201.700000,2883.052693,37.293680,-122.237530,
211.800000,2947.650184,37.293350,-122.236930,
209.800000,2973.988314,37.293200,-122.236700,
219.100000,3021.058673,37.292790,-122.236570,
224.200000,3046.541904,37.292590,-122.236430,
226.900000,3117.668944,37.292250,-122.235750,
235.100000,3201.633800,37.291990,-122.234860,
247.000000,3273.103904,37.291700,-122.234140,
251.200000,3318.064809,37.291630,-122.233640,
257.900000,3339.733794,37.291770,-122.233470,
