alt,dst,lat,lon,mdata
45.700000,0.000000,38.362950,-122.266960,E:\Dropbox\website\dev2\climbing\climbs\Atlas-Peak-Napa.tcx
45.800000,5.495000,38.362980,-122.266910,
45.100000,72.180000,38.363220,-122.266210,
45.000000,89.673000,38.363270,-122.266020,
45.300000,94.177000,38.363280,-122.265970,
46.400000,105.741000,38.363300,-122.265840,
47.700000,123.233000,38.363310,-122.265640,
50.000000,152.230000,38.363340,-122.265310,
51.000000,163.793000,38.363360,-122.265180,
51.600000,174.786000,38.363390,-122.265060,
52.700000,188.712000,38.363450,-122.264920,
53.400000,197.742000,38.363490,-122.264830,
54.000000,206.794000,38.363550,-122.264760,
54.500000,219.006000,38.363640,-122.264680,
55.100000,229.338000,38.363720,-122.264620,
56.800000,244.027000,38.363840,-122.264550,
57.800000,251.563000,38.363900,-122.264510,
59.900000,273.837000,38.364090,-122.264430,
60.900000,288.723000,38.364220,-122.264390,
61.700000,296.516000,38.364290,-122.264390,
65.000000,312.487000,38.364430,-122.264430,
69.700000,387.171000,38.364780,-122.265160,
71.200000,396.970000,38.364820,-122.265260,
72.000000,417.673000,38.364920,-122.265460,
72.400000,426.725000,38.364980,-122.265530,
73.300000,436.627000,38.365050,-122.265600,
76.200000,459.237000,38.365230,-122.265720,
77.800000,479.072000,38.365390,-122.265820,
81.900000,527.494000,38.365770,-122.266090,
83.500000,546.755000,38.365920,-122.266200,
84.500000,563.730000,38.366040,-122.266320,
85.000000,577.606000,38.366130,-122.266430,
85.200000,585.249000,38.366180,-122.266490,
85.300000,599.013000,38.366250,-122.266620,
85.800000,624.598000,38.366370,-122.266870,
87.200000,637.652000,38.366440,-122.266990,
87.500000,640.481000,38.366460,-122.267010,
87.700000,643.310000,38.366480,-122.267030,
87.800000,647.763000,38.366520,-122.267030,
87.800000,651.103000,38.366550,-122.267030,
88.000000,656.936000,38.366600,-122.267010,
88.300000,660.373000,38.366620,-122.266980,
88.600000,663.810000,38.366640,-122.266950,
89.200000,667.951000,38.366660,-122.266910,
89.600000,670.569000,38.366660,-122.266880,
91.700000,681.102000,38.366650,-122.266760,
94.900000,707.112000,38.366570,-122.266480,
96.000000,731.326000,38.366520,-122.266210,
99.200000,784.614000,38.366500,-122.265600,
104.100000,836.121000,38.366490,-122.265010,
105.300000,846.829000,38.366470,-122.264890,
106.600000,856.684000,38.366450,-122.264780,
107.500000,867.782000,38.366400,-122.264670,
108.200000,881.530000,38.366320,-122.264550,
108.800000,900.307000,38.366180,-122.264430,
111.600000,925.652000,38.365990,-122.264270,
113.900000,944.356000,38.365870,-122.264120,
114.800000,968.400000,38.365740,-122.263900,
115.000000,973.299000,38.365720,-122.263850,
115.300000,980.628000,38.365700,-122.263770,
115.500000,987.699000,38.365690,-122.263690,
115.900000,994.202000,38.365710,-122.263620,
116.100000,997.047000,38.365720,-122.263590,
116.800000,1004.120000,38.365770,-122.263540,
117.300000,1008.902000,38.365810,-122.263520,
118.100000,1015.582000,38.365870,-122.263520,
119.400000,1027.884000,38.365970,-122.263580,
122.100000,1054.760000,38.366160,-122.263770,
124.800000,1081.041000,38.366360,-122.263930,
125.500000,1096.431000,38.366490,-122.263990,
126.800000,1140.010000,38.366870,-122.264110,
127.200000,1188.334000,38.367290,-122.264250,
130.900000,1212.115000,38.367500,-122.264300,
132.800000,1242.184000,38.367770,-122.264310,
134.800000,1256.655000,38.367900,-122.264310,
136.400000,1269.177000,38.368010,-122.264280,
137.000000,1282.495000,38.368120,-122.264220,
136.900000,1294.370000,38.368200,-122.264130,
137.200000,1312.428000,38.368280,-122.263950,
137.700000,1327.548000,38.368360,-122.263810,
140.700000,1343.382000,38.368440,-122.263660,
141.300000,1365.510000,38.368580,-122.263480,
141.100000,1379.339000,38.368620,-122.263330,
141.200000,1387.272000,38.368630,-122.263240,
143.600000,1407.346000,38.368630,-122.263010,
146.700000,1420.857000,38.368600,-122.262860,
148.800000,1445.603000,38.368470,-122.262630,
150.000000,1468.831000,38.368280,-122.262520,
150.200000,1478.396000,38.368200,-122.262480,
150.700000,1488.313000,38.368120,-122.262430,
151.300000,1496.578000,38.368070,-122.262360,
152.100000,1509.583000,38.368030,-122.262220,
153.500000,1529.933000,38.368000,-122.261990,
