alt,dst,lat,lon,mdata
550.200000,0.000000,36.220230,-118.817250,E:\Dropbox\website\dev2\climbing\climbs\Balch-Park-Rd-Springville.tcx
549.900000,13.750000,36.220180,-118.817110,
549.400000,25.893000,36.220150,-118.816980,
548.300000,41.796000,36.220110,-118.816810,
547.000000,62.049000,36.220070,-118.816590,
546.400000,71.991000,36.220060,-118.816480,
545.800000,81.040000,36.220070,-118.816380,
545.100000,102.866000,36.220260,-118.816440,
544.500000,114.034000,36.220360,-118.816430,
543.000000,144.304000,36.220630,-118.816390,
544.800000,197.738000,36.221090,-118.816220,
547.200000,256.767000,36.221600,-118.816040,
548.800000,306.258000,36.222030,-118.815900,
549.000000,331.542000,36.222250,-118.815830,
549.700000,350.430000,36.222410,-118.815760,
552.500000,369.318000,36.222570,-118.815690,
555.000000,391.658000,36.222750,-118.815580,
556.200000,405.415000,36.222850,-118.815490,
557.900000,437.452000,36.223070,-118.815260,
557.900000,458.649000,36.223210,-118.815100,
557.300000,474.780000,36.223310,-118.814970,
556.600000,486.670000,36.223380,-118.814870,
555.500000,499.969000,36.223450,-118.814750,
554.500000,513.267000,36.223520,-118.814630,
553.500000,526.200000,36.223570,-118.814500,
551.500000,546.726000,36.223620,-118.814280,
551.800000,567.855000,36.223660,-118.814050,
553.000000,586.360000,36.223700,-118.813850,
554.300000,606.765000,36.223770,-118.813640,
555.400000,625.522000,36.223840,-118.813450,
556.500000,641.772000,36.223890,-118.813280,
558.000000,659.719000,36.223940,-118.813090,
559.600000,680.848000,36.223980,-118.812860,
560.600000,695.891000,36.224020,-118.812700,
562.100000,717.128000,36.224090,-118.812480,
562.700000,725.580000,36.224130,-118.812400,
563.200000,731.920000,36.224160,-118.812340,
563.900000,742.485000,36.224210,-118.812240,
564.900000,758.616000,36.224310,-118.812110,
566.000000,777.494000,36.224420,-118.811950,
568.200000,814.015000,36.224650,-118.811660,
570.300000,857.234000,36.224940,-118.811340,
571.500000,896.169000,36.225200,-118.811050,
572.300000,920.221000,36.225360,-118.810870,
572.700000,932.111000,36.225430,-118.810770,
573.300000,948.422000,36.225540,-118.810650,
574.800000,962.178000,36.225640,-118.810560,
581.800000,997.192000,36.225910,-118.810360,
583.300000,1021.198000,36.226110,-118.810260,
583.600000,1043.840000,36.226300,-118.810170,
584.100000,1073.650000,36.226530,-118.810000,
584.900000,1117.665000,36.226860,-118.809730,
585.000000,1136.116000,36.227000,-118.809620,
585.100000,1176.356000,36.227300,-118.809370,
589.000000,1248.291000,36.227840,-118.808930,
592.000000,1292.306000,36.228170,-118.808660,
594.300000,1341.521000,36.228540,-118.808360,
595.800000,1389.866000,36.228870,-118.808010,
596.700000,1426.909000,36.229080,-118.807690,
601.200000,1507.290000,36.229540,-118.807000,
605.900000,1541.059000,36.229780,-118.806770,
608.300000,1607.302000,36.230280,-118.806370,
608.800000,1647.047000,36.230580,-118.806130,
609.600000,1721.872000,36.231190,-118.805780,
612.600000,1753.146000,36.231420,-118.805580,
615.600000,1773.168000,36.231560,-118.805440,
618.000000,1796.410000,36.231670,-118.805220,
619.800000,1830.217000,36.231830,-118.804900,
620.400000,1900.806000,36.232230,-118.804290,
621.200000,1933.066000,36.232430,-118.804030,
627.000000,2010.007000,36.232960,-118.803480,
628.300000,2044.467000,36.233180,-118.803210,
629.300000,2064.252000,36.233270,-118.803020,
632.100000,2100.949000,36.233410,-118.802650,
633.800000,2159.073000,36.233530,-118.802020,
636.900000,2227.819000,36.233740,-118.801300,
638.400000,2258.249000,36.233830,-118.800980,
645.000000,2356.431000,36.233900,-118.799890,
645.600000,2376.465000,36.233930,-118.799670,
645.500000,2410.194000,36.234040,-118.799320,
652.500000,2557.821000,36.234680,-118.797880,
653.100000,2588.634000,36.234780,-118.797560,
658.400000,2709.656000,36.235360,-118.796420,
658.400000,2767.060000,36.235660,-118.795900,
663.500000,2849.901000,36.236180,-118.795240,
665.400000,2895.001000,36.236360,-118.794790,
675.000000,2967.285000,36.236720,-118.794120,
676.900000,3005.175000,36.236850,-118.793730,
682.800000,3044.194000,36.236940,-118.793310,
686.500000,3081.889000,36.237100,-118.792940,
686.900000,3104.446000,36.237120,-118.792690,
690.100000,3138.840000,36.237040,-118.792320,
688.900000,3168.988000,36.236990,-118.791990,
689.300000,3193.459000,36.236960,-118.791720,
690.400000,3217.228000,36.236830,-118.791510,
691.100000,3247.833000,36.236620,-118.791290,
691.400000,3290.465000,36.236380,-118.790920,
691.800000,3344.965000,36.235980,-118.790570,
692.800000,3413.053000,36.235500,-118.790100,
695.300000,3480.217000,36.235100,-118.789540,
697.000000,3536.848000,36.234770,-118.789060,
698.200000,3551.881000,36.234710,-118.788910,
699.300000,3564.022000,36.234680,-118.788780,
699.100000,3581.227000,36.234700,-118.788590,
699.900000,3603.717000,36.234780,-118.788360,
701.800000,3627.564000,36.234900,-118.788140,
704.000000,3681.630000,36.235240,-118.787710,
704.700000,3727.778000,36.235510,-118.787320,
705.300000,3762.673000,36.235750,-118.787070,
706.200000,3829.866000,36.236270,-118.786690,
707.200000,3885.791000,36.236740,-118.786470,
707.400000,3921.474000,36.237040,-118.786330,
719.400000,4099.472000,36.238630,-118.786120,
723.800000,4304.099000,36.240450,-118.785800,
726.300000,4359.532000,36.240940,-118.785690,
727.500000,4399.312000,36.241270,-118.785520,
728.600000,4427.732000,36.241480,-118.785340,
729.600000,4471.215000,36.241750,-118.784990,
730.000000,4502.715000,36.241940,-118.784730,
730.300000,4532.275000,36.242130,-118.784500,
730.100000,4556.432000,36.242320,-118.784370,
730.300000,4582.561000,36.242530,-118.784240,
731.400000,4721.564000,36.243750,-118.783910,
732.400000,4779.178000,36.244230,-118.783670,
739.700000,4827.932000,36.244610,-118.783400,
741.600000,4878.015000,36.245030,-118.783200,
742.000000,4927.784000,36.245450,-118.783010,
741.700000,4970.355000,36.245810,-118.782850,
743.500000,5038.642000,36.246250,-118.782320,
753.400000,5149.952000,36.247000,-118.781500,
756.400000,5264.894000,36.247750,-118.780620,
773.000000,5494.575000,36.249320,-118.778960,
777.500000,5545.946000,36.249650,-118.778560,
778.600000,5580.238000,36.249830,-118.778250,
781.500000,5638.585000,36.250230,-118.777830,
790.300000,5764.932000,36.251210,-118.777120,
807.800000,5976.350000,36.252910,-118.776070,
808.700000,6046.834000,36.253450,-118.775660,
807.500000,6059.595000,36.253560,-118.775620,
807.300000,6069.614000,36.253650,-118.775620,
814.600000,6191.537000,36.254720,-118.775910,
815.400000,6204.074000,36.254830,-118.775880,
816.200000,6216.857000,36.254930,-118.775810,
817.300000,6233.013000,36.255060,-118.775730,
818.500000,6247.683000,36.255170,-118.775640,
822.200000,6274.853000,36.255360,-118.775450,
829.100000,6321.687000,36.255720,-118.775180,
831.700000,6360.096000,36.256040,-118.775020,
833.300000,6392.673000,36.256310,-118.774880,
837.600000,6466.943000,36.256880,-118.774450,
841.300000,6534.592000,36.257400,-118.774060,
844.900000,6580.008000,36.257750,-118.773800,
848.400000,6609.926000,36.257990,-118.773650,
850.100000,6622.968000,36.258100,-118.773600,
854.000000,6656.727000,36.258390,-118.773490,
858.100000,6694.808000,36.258710,-118.773340,
860.700000,6720.893000,36.258880,-118.773140,
869.100000,6821.704000,36.259350,-118.772180,
874.300000,6926.613000,36.259780,-118.771140,
877.000000,6977.309000,36.260020,-118.770660,
879.300000,7010.885000,36.260220,-118.770380,
884.100000,7046.140000,36.260450,-118.770110,
888.500000,7072.680000,36.260660,-118.769970,
891.200000,7091.230000,36.260810,-118.769880,
895.200000,7149.187000,36.261310,-118.769700,
896.300000,7163.856000,36.261420,-118.769610,
898.300000,7188.166000,36.261590,-118.769440,
899.500000,7206.420000,36.261680,-118.769270,
900.600000,7224.674000,36.261770,-118.769100,
901.100000,7232.594000,36.261800,-118.769020,
902.200000,7248.933000,36.261870,-118.768860,
904.000000,7271.373000,36.261870,-118.768610,
905.800000,7296.013000,36.261830,-118.768340,
908.900000,7329.392000,36.261860,-118.767970,
911.200000,7362.621000,36.261870,-118.767600,
912.100000,7397.873000,36.261950,-118.767220,
915.000000,7430.721000,36.262140,-118.766940,
917.300000,7464.260000,36.262330,-118.766650,
917.900000,7487.495000,36.262480,-118.766470,
919.300000,7508.840000,36.262650,-118.766360,
935.200000,7643.111000,36.263810,-118.765950,
936.100000,7656.621000,36.263800,-118.765800,
936.800000,7674.791000,36.263700,-118.765640,
936.100000,7701.285000,36.263500,-118.765480,
936.200000,7708.868000,36.263440,-118.765440,
938.500000,7718.678000,36.263390,-118.765350,
941.700000,7730.012000,36.263340,-118.765240,
943.700000,7740.783000,36.263340,-118.765120,
946.900000,7766.013000,36.263360,-118.764840,
951.500000,7792.066000,36.263370,-118.764550,
955.100000,7813.723000,36.263350,-118.764310,
954.700000,7832.218000,36.263310,-118.764110,
954.800000,7848.361000,36.263230,-118.763960,
955.100000,7866.097000,36.263110,-118.763830,
955.700000,7875.570000,36.263040,-118.763770,
956.200000,7886.845000,36.262940,-118.763750,
956.700000,7897.024000,36.262850,-118.763770,
957.300000,7911.116000,36.262730,-118.763820,
956.200000,7935.998000,36.262560,-118.764000,
955.600000,7949.974000,36.262480,-118.764120,
954.500000,7974.753000,36.262370,-118.764360,
954.100000,7985.235000,36.262310,-118.764450,
954.000000,7993.815000,36.262240,-118.764490,
954.000000,8002.720000,36.262160,-118.764490,
954.300000,8012.193000,36.262090,-118.764430,
954.500000,8018.529000,36.262060,-118.764370,
955.300000,8030.251000,36.262070,-118.764240,
956.600000,8042.740000,36.262110,-118.764110,
959.100000,8058.636000,36.262150,-118.763940,
960.600000,8067.612000,36.262150,-118.763840,
963.000000,8084.700000,36.262100,-118.763660,
966.100000,8111.870000,36.261910,-118.763470,
968.100000,8132.865000,36.261800,-118.763280,
969.400000,8148.244000,36.261710,-118.763150,
970.200000,8162.544000,36.261610,-118.763050,
969.600000,8181.659000,36.261440,-118.763020,
970.400000,8209.489000,36.261190,-118.763020,
971.400000,8220.657000,36.261090,-118.763010,
972.100000,8224.947000,36.261060,-118.762980,
973.200000,8232.866000,36.261030,-118.762900,
973.600000,8239.203000,36.261060,-118.762840,
973.400000,8245.051000,36.261110,-118.762820,
973.100000,8254.136000,36.261190,-118.762800,
972.300000,8267.177000,36.261300,-118.762850,
972.200000,8280.804000,36.261420,-118.762880,
972.800000,8298.706000,36.261580,-118.762900,
973.400000,8316.719000,36.261740,-118.762930,
972.300000,8338.169000,36.261890,-118.763080,
972.700000,8352.001000,36.262010,-118.763120,
973.100000,8366.500000,36.262140,-118.763110,
973.200000,8376.875000,36.262230,-118.763080,
973.200000,8387.282000,36.262310,-118.763020,
973.400000,8399.168000,36.262380,-118.762920,
973.600000,8411.089000,36.262440,-118.762810,
973.600000,8428.756000,36.262520,-118.762640,
976.400000,8448.534000,36.262530,-118.762420,
981.900000,8476.559000,36.262560,-118.762110,
984.900000,8500.896000,36.262580,-118.761840,
987.500000,8523.145000,36.262630,-118.761600,
990.100000,8535.148000,36.262730,-118.761550,
991.600000,8548.775000,36.262850,-118.761580,
993.000000,8591.161000,36.263230,-118.761610,
993.600000,8622.284000,36.263500,-118.761520,
997.100000,8642.564000,36.263620,-118.761350,
998.700000,8654.017000,36.263720,-118.761320,
1001.300000,8668.109000,36.263840,-118.761370,
1003.300000,8681.403000,36.263910,-118.761490,
1004.200000,8714.520000,36.264160,-118.761690,
1004.100000,8737.231000,36.264360,-118.761740,
1003.800000,8751.703000,36.264490,-118.761740,
1006.900000,8772.074000,36.264640,-118.761610,
1008.200000,8786.545000,36.264770,-118.761610,
1008.800000,8805.094000,36.264920,-118.761700,
1008.700000,8824.060000,36.265040,-118.761850,
1008.400000,8845.252000,36.265180,-118.762010,
1012.200000,8871.658000,36.265400,-118.762120,
1016.700000,8900.399000,36.265650,-118.762200,
1018.300000,8926.711000,36.265830,-118.762390,
1019.700000,8954.843000,36.266010,-118.762610,
1017.400000,8984.887000,36.266180,-118.762870,
1016.000000,9002.406000,36.266310,-118.762980,
1015.800000,9017.126000,36.266440,-118.762950,
1017.000000,9035.465000,36.266560,-118.762810,
1017.800000,9056.428000,36.266680,-118.762630,
1018.900000,9080.191000,36.266810,-118.762420,
1019.100000,9106.275000,36.266980,-118.762220,
1018.600000,9125.162000,36.267080,-118.762050,
1020.200000,9137.923000,36.267100,-118.761910,
1026.800000,9164.941000,36.267080,-118.761610,
1028.800000,9183.789000,36.267080,-118.761400,
1028.600000,9200.097000,36.267100,-118.761220,
1029.100000,9214.665000,36.267050,-118.761070,
1034.000000,9248.423000,36.266760,-118.760960,
1033.700000,9283.865000,36.266450,-118.760870,
1033.900000,9326.746000,36.266090,-118.760700,
1035.300000,9373.816000,36.265690,-118.760530,
1036.100000,9458.298000,36.265080,-118.759970,
1043.500000,9530.085000,36.264460,-118.759750,
1046.900000,9595.364000,36.263960,-118.759370,
1053.100000,9655.423000,36.263540,-118.758950,
1055.900000,9687.604000,36.263370,-118.758660,
1057.000000,9718.972000,36.263100,-118.758560,
1057.300000,9751.267000,36.262810,-118.758550,
1059.400000,9844.471000,36.262090,-118.758020,
1060.300000,9868.460000,36.261880,-118.757960,
1066.400000,9898.519000,36.261760,-118.757660,
1072.000000,9927.657000,36.261660,-118.757360,
1076.000000,9975.600000,36.261230,-118.757330,
1076.000000,9990.183000,36.261100,-118.757310,
1076.500000,9995.192000,36.261080,-118.757260,
1077.900000,10005.129000,36.261090,-118.757150,
1078.400000,10015.503000,36.261180,-118.757120,
1087.000000,10173.578000,36.262600,-118.757130,
1087.900000,10201.767000,36.262850,-118.757080,
1087.800000,10221.236000,36.262990,-118.756950,
1087.900000,10236.792000,36.263060,-118.756800,
1088.600000,10265.536000,36.263050,-118.756480,
1088.400000,10306.378000,36.262930,-118.756050,
1090.800000,10337.303000,36.262780,-118.755760,
1092.700000,10351.335000,36.262710,-118.755630,
1094.700000,10375.326000,36.262660,-118.755370,
1100.000000,10412.144000,36.262670,-118.754960,
1100.000000,10439.631000,36.262570,-118.754680,
1102.900000,10488.250000,36.262230,-118.754340,
1102.700000,10519.614000,36.262100,-118.754030,
1103.200000,10539.894000,36.261980,-118.753860,
1106.200000,10562.870000,36.261790,-118.753760,
1109.700000,10585.582000,36.261590,-118.753710,
1112.300000,10598.623000,36.261480,-118.753660,
1112.900000,10609.900000,36.261450,-118.753540,
1113.400000,10633.659000,36.261490,-118.753280,
1114.000000,10649.854000,36.261480,-118.753100,
1116.200000,10679.636000,36.261350,-118.752810,
1116.600000,10706.044000,36.261310,-118.752520,
1116.300000,10740.226000,36.261330,-118.752140,
1117.900000,10751.881000,36.261290,-118.752020,
1119.800000,10788.214000,36.261240,-118.751620,
1120.000000,10803.250000,36.261200,-118.751460,
1120.200000,10822.870000,36.261100,-118.751280,
1123.500000,10853.674000,36.260940,-118.751000,
1123.100000,10872.914000,36.260860,-118.750810,
1126.700000,10897.503000,36.260740,-118.750580,
1129.800000,10912.906000,36.260690,-118.750420,
1132.400000,10934.563000,36.260670,-118.750180,
1133.000000,10957.471000,36.260740,-118.749940,
1133.000000,10973.543000,36.260830,-118.749800,
1133.800000,10983.950000,36.260910,-118.749740,
1136.800000,10993.969000,36.261000,-118.749740,
1141.000000,11036.477000,36.261160,-118.750170,
1141.300000,11066.816000,36.261300,-118.750460,
1154.500000,11136.359000,36.261740,-118.751010,
1154.600000,11202.423000,36.262160,-118.751530,
1151.700000,11230.428000,36.262330,-118.751760,
1150.100000,11243.298000,36.262420,-118.751850,
1150.000000,11251.543000,36.262490,-118.751820,
1150.000000,11261.562000,36.262530,-118.751720,
1151.100000,11269.481000,36.262500,-118.751640,
1155.000000,11290.058000,36.262330,-118.751550,
1158.100000,11309.024000,36.262210,-118.751400,
1160.000000,11330.370000,36.262120,-118.751190,
1160.700000,11403.540000,36.261770,-118.750500,
1162.500000,11435.037000,36.261700,-118.750160,
1168.500000,11504.723000,36.261620,-118.749390,
1180.300000,11605.579000,36.261400,-118.748300,
1180.600000,11641.806000,36.261270,-118.747930,
1182.400000,11713.438000,36.261010,-118.747200,
1181.500000,11779.868000,36.260740,-118.746540,
1183.500000,11835.635000,36.260610,-118.745940,
1191.800000,11871.081000,36.260560,-118.745550,
1188.800000,11883.618000,36.260450,-118.745520,
1186.500000,11902.068000,36.260310,-118.745630,
1185.600000,11920.956000,36.260210,-118.745800,
1188.000000,11929.948000,36.260140,-118.745850,
1192.600000,11939.921000,36.260060,-118.745800,
1193.800000,11954.326000,36.260070,-118.745640,
1193.400000,11966.450000,36.260120,-118.745520,
1193.400000,11996.023000,36.260260,-118.745240,
1193.800000,12033.835000,36.260490,-118.744930,
1195.600000,12051.875000,36.260620,-118.744810,
1197.800000,12065.234000,36.260740,-118.744810,
1210.500000,12121.427000,36.260930,-118.745390,
1213.200000,12159.568000,36.261020,-118.745800,
1210.700000,12200.601000,36.261120,-118.746240,
1213.900000,12235.164000,36.261280,-118.746570,
1218.200000,12272.295000,36.261470,-118.746910,
1215.600000,12310.045000,36.261730,-118.747180,
1218.300000,12321.871000,36.261820,-118.747110,
1220.500000,12329.572000,36.261860,-118.747040,
1222.600000,12339.508000,36.261870,-118.746930,
1222.700000,12362.148000,36.261680,-118.746840,
1224.000000,12390.748000,36.261480,-118.746640,
1225.900000,12415.323000,36.261390,-118.746390,
1224.800000,12441.636000,36.261320,-118.746110,
1228.300000,12485.632000,36.261330,-118.745620,
1231.800000,12526.475000,36.261450,-118.745190,
1233.500000,12564.971000,36.261520,-118.744770,
1243.800000,12695.240000,36.261570,-118.743320,
1242.700000,12703.820000,36.261510,-118.743260,
1239.600000,12739.992000,36.261190,-118.743330,
1239.300000,12756.210000,36.261050,-118.743380,
1240.600000,12768.488000,36.260940,-118.743370,
1243.800000,12794.276000,36.260720,-118.743280,
1249.300000,12845.135000,36.260310,-118.743030,
1251.200000,12856.804000,36.260310,-118.742900,
1253.200000,12873.608000,36.260450,-118.742830,
1252.400000,12948.191000,36.261120,-118.742830,
1254.400000,12960.974000,36.261220,-118.742760,
1258.300000,12973.618000,36.261300,-118.742660,
1261.500000,12993.188000,36.261370,-118.742460,
1267.500000,13023.260000,36.261450,-118.742140,
1270.100000,13052.005000,36.261460,-118.741820,
1272.400000,13068.503000,36.261430,-118.741640,
1276.000000,13087.385000,36.261420,-118.741430,
1277.300000,13100.388000,36.261450,-118.741290,
1276.600000,13110.360000,36.261530,-118.741240,
1273.900000,13146.871000,36.261820,-118.741430,
