alt,dst,lat,lon,mdata
200.700000,0.000000,38.442680,-122.530710,E:\Dropbox\website\dev2\climbing\climbs\Bald-Mountain-Glen-Ellen.tcx
202.300000,9.337000,38.442710,-122.530610,
203.700000,21.153000,38.442740,-122.530480,
204.600000,36.016000,38.442750,-122.530310,
204.600000,56.558000,38.442710,-122.530080,
205.300000,80.104000,38.442630,-122.529830,
206.500000,104.889000,38.442540,-122.529570,
206.400000,119.028000,38.442440,-122.529470,
206.900000,133.443000,38.442360,-122.529340,
210.000000,155.083000,38.442270,-122.529120,
213.600000,170.916000,38.442220,-122.528950,
219.200000,217.601000,38.442120,-122.528430,
233.100000,244.894000,38.442050,-122.528130,
234.800000,278.667000,38.441920,-122.527780,
234.400000,294.500000,38.441870,-122.527610,
236.900000,311.974000,38.441860,-122.527410,
240.600000,365.819000,38.441640,-122.526860,
242.100000,392.627000,38.441560,-122.526570,
243.700000,410.489000,38.441500,-122.526380,
249.300000,429.959000,38.441470,-122.526160,
253.900000,465.707000,38.441470,-122.525750,
259.300000,521.452000,38.441320,-122.525140,
259.300000,530.474000,38.441280,-122.525050,
258.900000,538.208000,38.441250,-122.524970,
258.100000,545.165000,38.441220,-122.524900,
257.300000,550.514000,38.441210,-122.524840,
256.400000,555.745000,38.441210,-122.524780,
255.100000,563.902000,38.441230,-122.524690,
254.300000,570.859000,38.441260,-122.524620,
254.300000,577.091000,38.441300,-122.524570,
254.700000,582.747000,38.441340,-122.524530,
258.100000,593.075000,38.441420,-122.524470,
265.600000,607.561000,38.441510,-122.524350,
266.800000,620.189000,38.441560,-122.524220,
266.300000,640.549000,38.441640,-122.524010,
265.200000,653.204000,38.441670,-122.523870,
269.900000,711.025000,38.442020,-122.523380,
274.800000,748.045000,38.442270,-122.523100,
279.900000,787.309000,38.442510,-122.522770,
280.500000,799.666000,38.442580,-122.522660,
280.900000,809.323000,38.442640,-122.522580,
279.500000,821.580000,38.442630,-122.522440,
279.600000,828.450000,38.442590,-122.522380,
279.900000,836.934000,38.442530,-122.522320,
282.100000,848.599000,38.442430,-122.522280,
283.100000,858.954000,38.442340,-122.522250,
283.200000,872.425000,38.442220,-122.522230,
287.200000,888.010000,38.442080,-122.522230,
291.300000,900.286000,38.441970,-122.522240,
292.300000,910.455000,38.441880,-122.522260,
291.600000,917.628000,38.441820,-122.522290,
287.400000,979.944000,38.441420,-122.522790,
288.200000,987.117000,38.441360,-122.522820,
288.600000,990.884000,38.441330,-122.522840,
290.300000,996.450000,38.441280,-122.522840,
293.500000,1004.243000,38.441210,-122.522840,
296.700000,1009.876000,38.441160,-122.522830,
301.300000,1016.026000,38.441110,-122.522800,
304.400000,1025.074000,38.441050,-122.522730,
307.000000,1034.073000,38.441030,-122.522630,
309.100000,1048.287000,38.440980,-122.522480,
311.700000,1060.465000,38.440940,-122.522350,
312.600000,1069.487000,38.440900,-122.522260,
312.200000,1079.792000,38.440840,-122.522170,
312.000000,1091.104000,38.440760,-122.522090,
313.300000,1110.360000,38.440610,-122.521980,
316.300000,1124.230000,38.440520,-122.521870,
318.400000,1137.386000,38.440460,-122.521740,
321.200000,1150.884000,38.440430,-122.521590,
320.800000,1167.599000,38.440410,-122.521400,
319.500000,1186.044000,38.440430,-122.521190,
319.300000,1201.064000,38.440480,-122.521030,
320.400000,1218.121000,38.440540,-122.520850,
326.200000,1236.794000,38.440600,-122.520650,
329.200000,1248.129000,38.440600,-122.520520,
329.000000,1255.086000,38.440570,-122.520450,
328.300000,1265.391000,38.440510,-122.520360,
328.600000,1279.877000,38.440420,-122.520240,
330.200000,1290.936000,38.440350,-122.520150,
332.700000,1300.726000,38.440310,-122.520050,
339.900000,1319.171000,38.440290,-122.519840,
341.500000,1329.869000,38.440270,-122.519720,
342.400000,1343.783000,38.440210,-122.519580,
341.100000,1356.083000,38.440110,-122.519520,
342.100000,1367.386000,38.440020,-122.519460,
343.800000,1379.341000,38.439920,-122.519410,
344.600000,1395.047000,38.439790,-122.519340,
343.700000,1408.362000,38.439680,-122.519280,
345.000000,1418.020000,38.439620,-122.519200,
348.000000,1436.319000,38.439480,-122.519090,
350.500000,1454.769000,38.439330,-122.519000,
352.500000,1472.027000,38.439180,-122.518950,
351.400000,1489.859000,38.439020,-122.518960,
349.800000,1503.665000,38.438900,-122.519000,
347.900000,1517.285000,38.438800,-122.519090,
347.300000,1523.853000,38.438750,-122.519130,
347.100000,1530.003000,38.438700,-122.519160,
347.200000,1534.541000,38.438660,-122.519170,
347.500000,1538.993000,38.438620,-122.519170,
348.600000,1547.213000,38.438550,-122.519140,
351.000000,1558.525000,38.438470,-122.519060,
352.900000,1570.219000,38.438400,-122.518960,
352.100000,1591.567000,38.438270,-122.518780,
353.400000,1606.054000,38.438180,-122.518660,
355.800000,1623.346000,38.438100,-122.518490,
357.200000,1636.392000,38.438030,-122.518370,
357.800000,1646.915000,38.438020,-122.518250,
358.600000,1655.705000,38.438010,-122.518150,
362.800000,1673.144000,38.438010,-122.517950,
364.300000,1683.666000,38.438000,-122.517830,
365.400000,1695.873000,38.438000,-122.517690,
365.000000,1704.663000,38.437990,-122.517590,
364.100000,1716.515000,38.437940,-122.517470,
364.600000,1724.790000,38.437900,-122.517390,
365.800000,1745.939000,38.437820,-122.517170,
365.600000,1761.986000,38.437790,-122.516990,
364.700000,1782.317000,38.437760,-122.516760,
363.600000,1811.284000,38.437730,-122.516430,
362.400000,1872.330000,38.437720,-122.515730,
362.300000,1875.991000,38.437710,-122.515690,
363.100000,1894.762000,38.437850,-122.515570,
363.900000,1915.447000,38.438000,-122.515430,
368.600000,1979.078000,38.438450,-122.514980,
371.400000,2000.190000,38.438610,-122.514850,
373.300000,2014.282000,38.438720,-122.514770,
374.600000,2024.180000,38.438790,-122.514700,
375.400000,2032.441000,38.438840,-122.514630,
376.400000,2040.701000,38.438890,-122.514560,
377.400000,2049.723000,38.438930,-122.514470,
379.000000,2062.880000,38.438990,-122.514340,
380.300000,2071.903000,38.439030,-122.514250,
381.600000,2080.178000,38.439070,-122.514170,
382.300000,2085.007000,38.439100,-122.514130,
383.000000,2089.789000,38.439140,-122.514110,
384.000000,2096.357000,38.439190,-122.514070,
384.800000,2102.190000,38.439240,-122.514050,
385.800000,2110.175000,38.439310,-122.514030,
387.300000,2125.978000,38.439450,-122.514000,
388.500000,2145.082000,38.439620,-122.513970,
388.600000,2156.517000,38.439720,-122.513940,
388.700000,2165.592000,38.439800,-122.513920,
389.200000,2174.129000,38.439870,-122.513880,
389.800000,2181.664000,38.439930,-122.513840,
389.900000,2185.115000,38.439960,-122.513830,
390.000000,2189.568000,38.440000,-122.513830,
390.400000,2192.908000,38.440030,-122.513830,
390.800000,2197.690000,38.440070,-122.513850,
391.700000,2203.921000,38.440110,-122.513900,
392.300000,2209.607000,38.440130,-122.513960,
393.200000,2218.135000,38.440160,-122.514050,
393.300000,2225.199000,38.440170,-122.514130,
393.500000,2233.988000,38.440180,-122.514230,
394.100000,2242.778000,38.440190,-122.514330,
395.500000,2250.935000,38.440210,-122.514420,
396.800000,2260.272000,38.440240,-122.514520,
397.300000,2267.229000,38.440270,-122.514590,
397.600000,2276.252000,38.440310,-122.514680,
398.000000,2285.873000,38.440360,-122.514770,
398.300000,2296.217000,38.440410,-122.514870,
398.900000,2309.373000,38.440470,-122.515000,
399.600000,2321.224000,38.440520,-122.515120,
400.000000,2332.595000,38.440560,-122.515240,
400.100000,2338.802000,38.440590,-122.515300,
400.300000,2341.630000,38.440610,-122.515320,
400.700000,2347.780000,38.440660,-122.515350,
401.100000,2353.930000,38.440710,-122.515380,
401.500000,2364.856000,38.440800,-122.515430,
401.800000,2381.593000,38.440940,-122.515500,
401.700000,2389.569000,38.441000,-122.515550,
401.600000,2400.365000,38.441080,-122.515620,
401.400000,2410.823000,38.441150,-122.515700,
401.300000,2418.462000,38.441200,-122.515760,
401.100000,2426.722000,38.441250,-122.515830,
400.900000,2435.646000,38.441300,-122.515910,
401.000000,2447.333000,38.441360,-122.516020,
401.500000,2463.312000,38.441430,-122.516180,
401.900000,2473.887000,38.441470,-122.516290,
402.300000,2485.257000,38.441510,-122.516410,
402.300000,2502.412000,38.441550,-122.516600,
402.100000,2515.910000,38.441580,-122.516750,
402.500000,2532.625000,38.441600,-122.516940,
402.900000,2544.176000,38.441620,-122.517070,
403.100000,2551.498000,38.441640,-122.517150,
403.400000,2558.820000,38.441660,-122.517230,
404.900000,2567.095000,38.441700,-122.517310,
406.200000,2575.370000,38.441740,-122.517390,
407.000000,2582.240000,38.441780,-122.517450,
407.500000,2588.471000,38.441820,-122.517500,
408.100000,2598.369000,38.441890,-122.517570,
408.600000,2605.904000,38.441950,-122.517610,
408.700000,2613.880000,38.442010,-122.517660,
