alt,dst,lat,lon,mdata
1899.200000,0.000000,39.113470,-120.158260,E:\Dropbox\website\dev2\climbing\climbs\Barker-Pass-Road.tcx
1899.200000,1.727000,39.113470,-120.158280,
1899.300000,44.574000,39.113410,-120.158770,
1899.300000,76.840000,39.113370,-120.159140,
1899.300000,153.365000,39.113240,-120.160010,
1899.300000,162.625000,39.113210,-120.160110,
1899.400000,169.532000,39.113180,-120.160180,
1900.000000,179.142000,39.113120,-120.160260,
1901.200000,188.703000,39.113070,-120.160350,
1902.000000,194.343000,39.113050,-120.160410,
1905.000000,222.545000,39.112950,-120.160710,
1906.200000,235.431000,39.112910,-120.160850,
1910.500000,275.291000,39.112780,-120.161280,
1910.500000,278.708000,39.112760,-120.161310,
1911.500000,323.195000,39.112540,-120.161740,
1911.600000,375.062000,39.112250,-120.162210,
1911.600000,382.571000,39.112210,-120.162280,
1911.600000,390.791000,39.112170,-120.162360,
1911.700000,403.324000,39.112120,-120.162490,
1911.700000,479.022000,39.111880,-120.163310,
1911.400000,505.999000,39.111790,-120.163600,
1911.000000,579.692000,39.111540,-120.164390,
1910.900000,590.973000,39.111500,-120.164510,
1910.800000,602.688000,39.111470,-120.164640,
1910.800000,609.687000,39.111460,-120.164720,
1913.000000,719.473000,39.111420,-120.165990,
1915.900000,790.300000,39.111420,-120.166810,
1916.800000,798.074000,39.111420,-120.166900,
1922.500000,862.339000,39.111360,-120.167640,
1923.800000,875.295000,39.111360,-120.167790,
1925.900000,913.705000,39.111410,-120.168230,
1926.800000,960.401000,39.111430,-120.168770,
1930.600000,1094.577000,39.111350,-120.170320,
1933.600000,1207.063000,39.111290,-120.171620,
1934.100000,1227.793000,39.111290,-120.171860,
1934.600000,1245.104000,39.111300,-120.172060,
1935.800000,1317.667000,39.111310,-120.172900,
1933.700000,1554.399000,39.111360,-120.175640,
1933.000000,1601.161000,39.111390,-120.176180,
1932.500000,1668.982000,39.111460,-120.176960,
1933.200000,1708.858000,39.111540,-120.177410,
1933.800000,1740.077000,39.111610,-120.177760,
1934.800000,1775.920000,39.111720,-120.178150,
1936.000000,1835.915000,39.111910,-120.178800,
1936.900000,1894.181000,39.112050,-120.179450,
1937.300000,1966.778000,39.112250,-120.180250,
1937.100000,1985.910000,39.112270,-120.180470,
1937.200000,2012.709000,39.112260,-120.180780,
1937.100000,2060.422000,39.112220,-120.181330,
1937.100000,2081.271000,39.112200,-120.181570,
1936.900000,2110.313000,39.112150,-120.181900,
1936.700000,2132.612000,39.112100,-120.182150,
1936.300000,2200.421000,39.111920,-120.182900,
1936.300000,2212.716000,39.111900,-120.183040,
1936.700000,2235.284000,39.111880,-120.183300,
1937.000000,2270.697000,39.111880,-120.183710,
1937.700000,2324.295000,39.111900,-120.184330,
1937.900000,2349.368000,39.111890,-120.184620,
1937.700000,2398.197000,39.111830,-120.185180,
1937.500000,2446.989000,39.111730,-120.185730,
1937.700000,2466.506000,39.111690,-120.185950,
1937.800000,2486.307000,39.111640,-120.186170,
1938.000000,2499.453000,39.111620,-120.186320,
1938.300000,2529.010000,39.111590,-120.186660,
1938.700000,2551.467000,39.111590,-120.186920,
1939.200000,2592.443000,39.111640,-120.187390,
1941.100000,2642.651000,39.111670,-120.187970,
1942.700000,2658.199000,39.111670,-120.188150,
1944.300000,2677.233000,39.111660,-120.188370,
1944.800000,2686.992000,39.111640,-120.188480,
1945.200000,2697.063000,39.111610,-120.188590,
1946.100000,2741.759000,39.111460,-120.189070,
1946.800000,2764.783000,39.111370,-120.189310,
1947.000000,2775.058000,39.111320,-120.189410,
1947.200000,2783.279000,39.111280,-120.189490,
1947.400000,2792.152000,39.111230,-120.189570,
1947.600000,2809.361000,39.111120,-120.189710,
1948.000000,2853.233000,39.110850,-120.190080,
1947.700000,2898.864000,39.110550,-120.190440,
1947.300000,2918.874000,39.110420,-120.190600,
1946.700000,2988.164000,39.109990,-120.191180,
1946.500000,3013.461000,39.109840,-120.191400,
1946.500000,3064.707000,39.109540,-120.191850,
1947.200000,3178.049000,39.108890,-120.192860,
1948.800000,3302.502000,39.108150,-120.193940,
1949.800000,3381.667000,39.107710,-120.194660,
1949.800000,3393.955000,39.107640,-120.194770,
1949.900000,3456.924000,39.107260,-120.195310,
1950.100000,3524.061000,39.106850,-120.195880,
1950.200000,3537.084000,39.106770,-120.195990,
1950.200000,3552.203000,39.106700,-120.196140,
1950.500000,3594.407000,39.106520,-120.196570,
1950.600000,3606.172000,39.106470,-120.196690,
1950.500000,3615.891000,39.106430,-120.196790,
1950.100000,3627.156000,39.106330,-120.196810,
1949.600000,3639.401000,39.106220,-120.196810,
1949.200000,3649.420000,39.106130,-120.196810,
1948.900000,3657.260000,39.106060,-120.196800,
1948.500000,3667.608000,39.105970,-120.196770,
1947.700000,3682.271000,39.105850,-120.196700,
1946.700000,3704.447000,39.105670,-120.196590,
1946.000000,3720.484000,39.105540,-120.196510,
1945.300000,3770.813000,39.105110,-120.196330,
1946.400000,3789.918000,39.104950,-120.196250,
1947.100000,3795.550000,39.104900,-120.196240,
1947.900000,3801.183000,39.104850,-120.196230,
1949.300000,3813.459000,39.104740,-120.196240,
1950.000000,3820.358000,39.104680,-120.196260,
1950.700000,3828.882000,39.104610,-120.196300,
1952.700000,3872.038000,39.104300,-120.196600,
1952.700000,3884.326000,39.104230,-120.196710,
1952.700000,3889.132000,39.104200,-120.196750,
1952.200000,3901.463000,39.104140,-120.196870,
1952.100000,3911.713000,39.104080,-120.196960,
1955.600000,4013.250000,39.103450,-120.197810,
1961.900000,4128.315000,39.102710,-120.198740,
1963.200000,4150.197000,39.102580,-120.198930,
1963.100000,4215.033000,39.102220,-120.199520,
1967.400000,4305.245000,39.101690,-120.200310,
1968.400000,4316.879000,39.101620,-120.200410,
1974.400000,4391.532000,39.101130,-120.201000,
1976.000000,4481.946000,39.100470,-120.201610,
1980.000000,4518.460000,39.100200,-120.201850,
1981.100000,4530.631000,39.100110,-120.201930,
1984.700000,4583.991000,39.099700,-120.202250,
1987.200000,4619.629000,39.099420,-120.202450,
1988.000000,4631.331000,39.099330,-120.202520,
1989.900000,4646.433000,39.099200,-120.202570,
1991.600000,4676.896000,39.098940,-120.202680,
1991.600000,4703.204000,39.098710,-120.202750,
1991.600000,4712.276000,39.098630,-120.202770,
1990.900000,4730.347000,39.098480,-120.202850,
1990.000000,4744.438000,39.098380,-120.202950,
1993.900000,4774.029000,39.098170,-120.203160,
1999.900000,4842.925000,39.097670,-120.203630,
1999.900000,4885.569000,39.097360,-120.203920,
1999.600000,4894.579000,39.097300,-120.203990,
1999.500000,4904.191000,39.097240,-120.204070,
2001.500000,4926.720000,39.097120,-120.204280,
2005.700000,4975.883000,39.096860,-120.204740,
2013.600000,5105.874000,39.096210,-120.205990,
2013.200000,5119.541000,39.096130,-120.206110,
2016.900000,5152.994000,39.095940,-120.206410,
2026.500000,5289.665000,39.095140,-120.207610,
2026.400000,5301.299000,39.095070,-120.207710,
2026.700000,5312.572000,39.094990,-120.207790,
2026.600000,5328.072000,39.094880,-120.207900,
2026.700000,5342.133000,39.094770,-120.207980,
2027.100000,5351.686000,39.094690,-120.208020,
2031.200000,5392.284000,39.094350,-120.208190,
2035.200000,5450.337000,39.093860,-120.208420,
2035.400000,5461.247000,39.093770,-120.208470,
2036.700000,5480.348000,39.093600,-120.208500,
2038.300000,5510.516000,39.093330,-120.208530,
2038.700000,5521.648000,39.093230,-120.208530,
2039.800000,5531.814000,39.093140,-120.208510,
2041.200000,5557.549000,39.092910,-120.208480,
2042.000000,5570.065000,39.092800,-120.208450,
2042.900000,5592.479000,39.092600,-120.208420,
2044.200000,5621.538000,39.092340,-120.208390,
2044.800000,5637.146000,39.092200,-120.208400,
2045.300000,5650.533000,39.092080,-120.208410,
2045.700000,5676.194000,39.091850,-120.208430,
2046.100000,5695.431000,39.091680,-120.208470,
2047.000000,5706.563000,39.091580,-120.208470,
2049.000000,5723.350000,39.091430,-120.208450,
2051.600000,5741.678000,39.091270,-120.208400,
2053.200000,5757.850000,39.091130,-120.208350,
2055.500000,5790.981000,39.090850,-120.208220,
2055.900000,5796.809000,39.090800,-120.208200,
2056.400000,5813.596000,39.090650,-120.208180,
2058.700000,5837.037000,39.090440,-120.208160,
2059.600000,5854.932000,39.090280,-120.208180,
2059.800000,5868.539000,39.090160,-120.208210,
2059.200000,5882.146000,39.090040,-120.208240,
2057.300000,5901.557000,39.089870,-120.208290,
2054.800000,5916.221000,39.089750,-120.208360,
2054.400000,5947.295000,39.089500,-120.208520,
2054.400000,5962.282000,39.089390,-120.208620,
2051.000000,5995.579000,39.089150,-120.208850,
2051.000000,6024.016000,39.088960,-120.209070,
2057.700000,6054.698000,39.088750,-120.209300,
2063.300000,6075.317000,39.088600,-120.209440,
2066.900000,6092.734000,39.088460,-120.209530,
2072.900000,6126.831000,39.088180,-120.209690,
2074.500000,6142.516000,39.088050,-120.209760,
2076.300000,6191.019000,39.087640,-120.209950,
2076.600000,6200.091000,39.087560,-120.209970,
2076.700000,6204.627000,39.087520,-120.209980,
2077.600000,6221.324000,39.087370,-120.209980,
2078.300000,6232.590000,39.087270,-120.209960,
2080.300000,6266.264000,39.086970,-120.209910,
2081.500000,6277.693000,39.086870,-120.209880,
2082.900000,6289.349000,39.086770,-120.209840,
2090.200000,6350.093000,39.086260,-120.209590,
2091.300000,6406.806000,39.085780,-120.209370,
2090.300000,6429.654000,39.085590,-120.209270,
2089.800000,6464.888000,39.085290,-120.209140,
2088.800000,6478.358000,39.085170,-120.209120,
2087.800000,6487.263000,39.085090,-120.209120,
2086.800000,6495.103000,39.085020,-120.209130,
2085.700000,6504.378000,39.084940,-120.209160,
2091.700000,6590.669000,39.084220,-120.209530,
2090.100000,6615.904000,39.084010,-120.209640,
2090.100000,6624.116000,39.083940,-120.209670,
2091.600000,6636.483000,39.083830,-120.209690,
2094.100000,6654.378000,39.083670,-120.209710,
2095.500000,6671.098000,39.083520,-120.209720,
2096.300000,6691.135000,39.083340,-120.209720,
2094.800000,6730.183000,39.082990,-120.209750,
2094.700000,6733.522000,39.082960,-120.209750,
2096.100000,6745.798000,39.082850,-120.209740,
2096.800000,6752.477000,39.082790,-120.209740,
2098.000000,6758.110000,39.082740,-120.209730,
2099.100000,6762.646000,39.082700,-120.209720,
2100.600000,6770.486000,39.082630,-120.209710,
2103.800000,6849.541000,39.081920,-120.209690,
2103.300000,6857.381000,39.081850,-120.209700,
2102.800000,6864.116000,39.081790,-120.209710,
2102.300000,6872.097000,39.081720,-120.209730,
2101.900000,6881.373000,39.081640,-120.209760,
2101.700000,6887.513000,39.081590,-120.209790,
2100.500000,6905.832000,39.081460,-120.209920,
2101.600000,6924.694000,39.081330,-120.210060,
2107.900000,6959.921000,39.081100,-120.210340,
2109.000000,7009.193000,39.080770,-120.210720,
2114.300000,7050.034000,39.080500,-120.211040,
2118.100000,7088.619000,39.080230,-120.211320,
2118.300000,7095.171000,39.080180,-120.211360,
2118.800000,7103.696000,39.080110,-120.211400,
2119.400000,7121.180000,39.079960,-120.211460,
2119.600000,7130.252000,39.079880,-120.211480,
2120.000000,7138.092000,39.079810,-120.211490,
2120.700000,7153.772000,39.079670,-120.211510,
2121.700000,7162.719000,39.079590,-120.211520,
2123.200000,7174.964000,39.079480,-120.211520,
2130.300000,7258.525000,39.078730,-120.211480,
2135.600000,7329.790000,39.078090,-120.211460,
2135.900000,7341.220000,39.077990,-120.211490,
2136.100000,7347.048000,39.077940,-120.211510,
2136.200000,7351.584000,39.077900,-120.211520,
2135.900000,7356.390000,39.077870,-120.211560,
2134.800000,7366.669000,39.077820,-120.211660,
2134.000000,7375.593000,39.077800,-120.211760,
2133.800000,7381.642000,39.077800,-120.211830,
2134.000000,7390.906000,39.077830,-120.211930,
2134.500000,7401.828000,39.077890,-120.212030,
2134.700000,7409.435000,39.077940,-120.212090,
2134.600000,7421.607000,39.078030,-120.212170,
2132.800000,7462.580000,39.078360,-120.212380,
2132.400000,7538.776000,39.078970,-120.212780,
2131.700000,7586.554000,39.079320,-120.213100,
2129.800000,7693.655000,39.080080,-120.213860,
2129.900000,7703.906000,39.080140,-120.213950,
2130.200000,7718.296000,39.080210,-120.214090,
2130.700000,7731.188000,39.080250,-120.214230,
2131.400000,7742.640000,39.080270,-120.214360,
2132.300000,7752.145000,39.080270,-120.214470,
2133.200000,7765.971000,39.080270,-120.214630,
2133.600000,7773.828000,39.080260,-120.214720,
2134.200000,7783.092000,39.080230,-120.214820,
2134.900000,7821.363000,39.080100,-120.215230,
2136.400000,7873.323000,39.079930,-120.215790,
2137.300000,7888.678000,39.079870,-120.215950,
2138.900000,7958.711000,39.079540,-120.216640,
2140.000000,7964.353000,39.079520,-120.216700,
2141.100000,7971.356000,39.079510,-120.216780,
2141.800000,7977.405000,39.079510,-120.216850,
2142.100000,7993.584000,39.079550,-120.217030,
2146.700000,8035.163000,39.079630,-120.217500,
2150.500000,8087.348000,39.079730,-120.218090,
2149.400000,8116.210000,39.079770,-120.218420,
2149.000000,8126.639000,39.079760,-120.218540,
2149.200000,8136.360000,39.079720,-120.218640,
2149.400000,8147.376000,39.079670,-120.218750,
2149.800000,8160.401000,39.079590,-120.218860,
2150.300000,8174.493000,39.079490,-120.218960,
2150.300000,8204.982000,39.079250,-120.219130,
2152.500000,8257.472000,39.078840,-120.219430,
2156.000000,8276.697000,39.078720,-120.219590,
2157.200000,8289.234000,39.078670,-120.219720,
2157.700000,8295.402000,39.078640,-120.219780,
2157.700000,8301.552000,39.078630,-120.219850,
2158.200000,8307.703000,39.078620,-120.219920,
2159.000000,8312.888000,39.078620,-120.219980,
2166.600000,8335.383000,39.078630,-120.220240,
2171.700000,8358.953000,39.078660,-120.220510,
2172.400000,8362.409000,39.078660,-120.220550,
2172.600000,8389.565000,39.078700,-120.220860,
2172.100000,8405.984000,39.078700,-120.221050,
2172.600000,8423.587000,39.078670,-120.221250,
2175.800000,8449.258000,39.078620,-120.221540,
2177.900000,8463.948000,39.078620,-120.221710,
2178.600000,8474.554000,39.078640,-120.221830,
2176.000000,8512.521000,39.078710,-120.222260,
2174.600000,8520.378000,39.078720,-120.222350,
2173.500000,8530.747000,39.078720,-120.222470,
2173.500000,8539.460000,39.078710,-120.222570,
2175.100000,8550.354000,39.078680,-120.222690,
2179.400000,8572.967000,39.078620,-120.222940,
2184.800000,8604.009000,39.078530,-120.223280,
2183.900000,8622.461000,39.078500,-120.223490,
2179.500000,8638.918000,39.078490,-120.223680,
2177.500000,8645.920000,39.078480,-120.223760,
2176.200000,8657.689000,39.078430,-120.223880,
2181.100000,8754.818000,39.077940,-120.224810,
2181.100000,8764.539000,39.077900,-120.224910,
2181.300000,8771.802000,39.077880,-120.224990,
2182.100000,8778.805000,39.077870,-120.225070,
2183.300000,8787.446000,39.077870,-120.225170,
2184.800000,8796.370000,39.077890,-120.225270,
2193.300000,8853.245000,39.078100,-120.225870,
2195.400000,8866.137000,39.078140,-120.226010,
2197.200000,8875.643000,39.078140,-120.226120,
2199.500000,8884.356000,39.078150,-120.226220,
2202.300000,8895.808000,39.078130,-120.226350,
2204.900000,8909.915000,39.078080,-120.226500,
2206.600000,8920.930000,39.078030,-120.226610,
2207.600000,8929.806000,39.077980,-120.226690,
2208.300000,8938.817000,39.077920,-120.226760,
2208.900000,8961.379000,39.077740,-120.226880,
2209.300000,8972.289000,39.077650,-120.226930,
2209.800000,8983.719000,39.077550,-120.226960,
2209.800000,8994.884000,39.077450,-120.226950,
2210.300000,9023.048000,39.077200,-120.226900,
