alt,dst,lat,lon,mdata
424.900000,0.000000,36.185600,-118.798810,E:\Dropbox\website\dev2\climbing\climbs\Bear-Creek-Road-Springville.tcx
422.800000,45.486000,36.185870,-118.798430,
421.900000,77.048000,36.186030,-118.798140,
421.200000,101.654000,36.186150,-118.797910,
421.600000,142.801000,36.186330,-118.797510,
422.500000,173.624000,36.186490,-118.797230,
422.900000,197.403000,36.186620,-118.797020,
422.900000,212.090000,36.186700,-118.796890,
422.900000,221.902000,36.186760,-118.796810,
423.100000,235.205000,36.186840,-118.796700,
424.300000,263.989000,36.187020,-118.796470,
427.000000,299.668000,36.187230,-118.796170,
431.900000,357.787000,36.187580,-118.795690,
432.900000,371.860000,36.187670,-118.795580,
434.300000,390.456000,36.187800,-118.795450,
435.700000,415.117000,36.187980,-118.795290,
437.000000,441.249000,36.188190,-118.795160,
438.600000,462.069000,36.188350,-118.795040,
438.900000,481.019000,36.188490,-118.794920,
439.200000,513.216000,36.188730,-118.794720,
442.000000,547.766000,36.188990,-118.794510,
446.500000,578.538000,36.189220,-118.794320,
448.700000,612.668000,36.189490,-118.794140,
448.000000,633.956000,36.189670,-118.794060,
447.200000,668.755000,36.189980,-118.794010,
449.000000,706.615000,36.190320,-118.794020,
450.700000,725.730000,36.190490,-118.793990,
452.800000,746.087000,36.190670,-118.793950,
455.900000,767.694000,36.190850,-118.793860,
457.200000,777.297000,36.190930,-118.793820,
458.500000,786.292000,36.191000,-118.793770,
459.600000,794.875000,36.191060,-118.793710,
462.700000,818.120000,36.191210,-118.793530,
466.400000,843.314000,36.191390,-118.793360,
467.700000,863.711000,36.191520,-118.793200,
468.500000,889.011000,36.191680,-118.793000,
469.400000,912.125000,36.191820,-118.792810,
470.700000,941.499000,36.191980,-118.792550,
471.900000,969.476000,36.192090,-118.792270,
474.000000,993.741000,36.192190,-118.792030,
475.600000,1005.083000,36.192240,-118.791920,
477.200000,1016.425000,36.192290,-118.791810,
478.400000,1026.912000,36.192350,-118.791720,
479.200000,1038.142000,36.192420,-118.791630,
479.500000,1046.540000,36.192470,-118.791560,
479.600000,1056.351000,36.192530,-118.791480,
479.700000,1076.227000,36.192680,-118.791360,
479.900000,1091.841000,36.192800,-118.791270,
480.000000,1104.627000,36.192900,-118.791200,
480.600000,1120.069000,36.193030,-118.791140,
480.600000,1126.254000,36.193080,-118.791110,
481.200000,1139.297000,36.193190,-118.791060,
481.600000,1148.291000,36.193260,-118.791010,
481.700000,1150.692000,36.193280,-118.791000,
482.300000,1161.594000,36.193360,-118.790930,
483.100000,1169.342000,36.193410,-118.790870,
483.800000,1178.432000,36.193460,-118.790790,
484.600000,1186.138000,36.193500,-118.790720,
487.300000,1210.933000,36.193610,-118.790480,
488.400000,1220.960000,36.193650,-118.790380,
489.500000,1228.885000,36.193680,-118.790300,
491.500000,1245.554000,36.193740,-118.790130,
492.500000,1258.896000,36.193780,-118.789990,
493.600000,1269.327000,36.193810,-118.789880,
495.200000,1282.669000,36.193850,-118.789740,
501.200000,1327.425000,36.194110,-118.789360,
504.900000,1363.783000,36.194410,-118.789200,
509.300000,1404.208000,36.194760,-118.789080,
521.300000,1505.421000,36.195660,-118.788920,
525.400000,1544.692000,36.195960,-118.788690,
533.000000,1607.336000,36.196460,-118.788370,
534.400000,1654.511000,36.196880,-118.788300,
544.700000,1788.459000,36.198080,-118.788410,
544.700000,1838.740000,36.198480,-118.788670,
546.600000,1877.869000,36.198810,-118.788820,
547.800000,1914.779000,36.199140,-118.788860,
548.200000,1964.945000,36.199590,-118.788830,
559.700000,2177.837000,36.201490,-118.788560,
562.700000,2236.718000,36.202010,-118.788440,
566.900000,2275.846000,36.202340,-118.788290,
569.900000,2308.042000,36.202580,-118.788090,
569.000000,2360.229000,36.202920,-118.787690,
567.400000,2402.183000,36.203150,-118.787320,
567.100000,2442.286000,36.203310,-118.786920,
569.200000,2491.119000,36.203500,-118.786430,
571.700000,2535.501000,36.203710,-118.786010,
576.600000,2587.866000,36.204080,-118.785650,
580.400000,2650.380000,36.204570,-118.785310,
584.100000,2743.666000,36.205300,-118.784800,
585.200000,2790.127000,36.205640,-118.784500,
588.200000,2814.729000,36.205760,-118.784270,
589.300000,2864.856000,36.205960,-118.783770,
589.900000,2904.436000,36.206140,-118.783390,
591.100000,2921.988000,36.206250,-118.783250,
593.100000,2946.305000,36.206420,-118.783080,
601.600000,3019.018000,36.207020,-118.782760,
603.400000,3072.539000,36.207440,-118.782470,
604.500000,3119.220000,36.207750,-118.782120,
605.300000,3209.488000,36.208230,-118.781310,
610.700000,3245.266000,36.208410,-118.780980,
611.700000,3253.190000,36.208440,-118.780900,
612.400000,3259.575000,36.208450,-118.780830,
612.400000,3264.202000,36.208460,-118.780780,
612.600000,3268.829000,36.208450,-118.780730,
612.400000,3272.590000,36.208440,-118.780690,
612.200000,3278.093000,36.208430,-118.780630,
612.900000,3320.038000,36.208190,-118.780270,
613.000000,3331.700000,36.208150,-118.780150,
