alt,dst,lat,lon,mdata
130.900000,0.000000,37.899180,-122.209920,E:\Dropbox\website\dev2\climbing\climbs\Bear-Creek-Road.tcx
130.900000,7.592000,37.899220,-122.209990,
130.700000,46.898000,37.899440,-122.210340,
130.700000,52.415000,37.899470,-122.210390,
130.800000,58.655000,37.899500,-122.210450,
130.800000,63.502000,37.899530,-122.210490,
129.500000,118.879000,37.899990,-122.210250,
128.500000,134.602000,37.900120,-122.210180,
127.100000,144.176000,37.900200,-122.210140,
126.500000,147.950000,37.900230,-122.210120,
126.100000,150.786000,37.900250,-122.210100,
125.800000,153.179000,37.900270,-122.210090,
124.800000,159.761000,37.900320,-122.210050,
124.700000,161.841000,37.900330,-122.210030,
124.300000,166.095000,37.900360,-122.210000,
123.700000,170.942000,37.900390,-122.209960,
123.200000,177.940000,37.900420,-122.209890,
122.200000,187.013000,37.900460,-122.209800,
120.000000,202.595000,37.900500,-122.209630,
119.300000,211.177000,37.900530,-122.209540,
118.900000,220.575000,37.900560,-122.209440,
118.300000,232.495000,37.900610,-122.209320,
117.300000,248.565000,37.900680,-122.209160,
114.600000,265.951000,37.900760,-122.208990,
113.200000,275.024000,37.900800,-122.208900,
112.200000,284.872000,37.900840,-122.208800,
111.900000,293.946000,37.900880,-122.208710,
111.600000,303.343000,37.900910,-122.208610,
110.600000,309.064000,37.900930,-122.208550,
108.900000,314.785000,37.900950,-122.208490,
108.300000,319.177000,37.900950,-122.208440,
107.600000,323.708000,37.900960,-122.208390,
107.500000,328.239000,37.900950,-122.208340,
107.400000,339.712000,37.900940,-122.208210,
107.400000,353.942000,37.900920,-122.208050,
107.400000,362.796000,37.900910,-122.207950,
107.300000,370.701000,37.900910,-122.207860,
107.300000,375.093000,37.900910,-122.207810,
107.300000,382.999000,37.900910,-122.207720,
107.200000,386.684000,37.900920,-122.207680,
107.200000,390.198000,37.900920,-122.207640,
106.800000,395.715000,37.900950,-122.207590,
106.200000,406.065000,37.901010,-122.207500,
106.000000,416.464000,37.901060,-122.207400,
105.700000,424.972000,37.901120,-122.207340,
105.500000,430.489000,37.901150,-122.207290,
105.100000,436.647000,37.901200,-122.207260,
104.700000,444.641000,37.901260,-122.207210,
104.400000,449.815000,37.901300,-122.207180,
104.000000,455.973000,37.901350,-122.207150,
103.800000,461.608000,37.901400,-122.207140,
103.700000,464.001000,37.901420,-122.207130,
