alt,dst,lat,lon,mdata
1083.900000,0.000000,37.324260,-119.554210,E:\Dropbox\website\dev2\climbing\climbs\Beasore-Rd-Oakhurst.tcx
1084.600000,9.080000,37.324340,-119.554190,
1086.300000,21.610000,37.324450,-119.554160,
1087.200000,35.985000,37.324570,-119.554100,
1087.700000,59.631000,37.324770,-119.554010,
1087.900000,64.171000,37.324810,-119.554000,
1088.000000,67.626000,37.324840,-119.553990,
1088.100000,69.852000,37.324860,-119.553990,
1088.200000,73.307000,37.324890,-119.553980,
1088.600000,75.703000,37.324910,-119.553990,
1088.600000,76.816000,37.324920,-119.553990,
1089.300000,80.596000,37.324950,-119.554010,
1089.900000,84.376000,37.324980,-119.554030,
1090.400000,87.221000,37.325000,-119.554050,
1090.900000,90.065000,37.325020,-119.554070,
1091.500000,92.156000,37.325030,-119.554090,
1096.800000,115.161000,37.325140,-119.554310,
1097.900000,132.107000,37.325210,-119.554480,
1100.400000,152.450000,37.325300,-119.554680,
1102.800000,162.184000,37.325360,-119.554760,
1103.500000,165.029000,37.325380,-119.554780,
1104.500000,168.809000,37.325410,-119.554800,
1104.800000,171.035000,37.325430,-119.554800,
1105.200000,174.375000,37.325460,-119.554800,
1105.600000,176.601000,37.325480,-119.554800,
1105.900000,178.997000,37.325500,-119.554790,
1106.300000,181.393000,37.325520,-119.554780,
1106.600000,184.237000,37.325540,-119.554760,
1106.700000,186.329000,37.325550,-119.554740,
1106.800000,188.420000,37.325560,-119.554720,
1106.800000,191.300000,37.325570,-119.554690,
1106.700000,195.011000,37.325580,-119.554650,
1105.700000,201.307000,37.325570,-119.554580,
1104.800000,209.274000,37.325570,-119.554490,
1102.300000,222.599000,37.325560,-119.554340,
1151.400000,727.797000,37.328460,-119.558730,
1154.500000,750.553000,37.328620,-119.558890,
1155.300000,768.476000,37.328760,-119.558990,
1156.700000,784.285000,37.328900,-119.559020,
1158.300000,798.757000,37.329030,-119.559020,
1160.500000,815.826000,37.329180,-119.558980,
1164.000000,852.531000,37.329500,-119.558880,
1166.000000,882.797000,37.329760,-119.558780,
1166.900000,900.608000,37.329910,-119.558710,
1169.500000,929.449000,37.330140,-119.558560,
1173.500000,954.187000,37.330310,-119.558380,
1179.500000,1009.851000,37.330720,-119.558020,
1180.900000,1028.227000,37.330860,-119.557910,
1181.400000,1043.642000,37.330990,-119.557850,
1181.500000,1056.015000,37.331100,-119.557870,
1182.200000,1071.568000,37.331220,-119.557960,
1184.300000,1091.208000,37.331350,-119.558110,
1186.300000,1109.018000,37.331500,-119.558180,
1187.500000,1125.739000,37.331650,-119.558170,
1188.400000,1148.439000,37.331850,-119.558120,
1189.100000,1164.550000,37.331980,-119.558040,
1190.300000,1185.754000,37.332140,-119.557910,
1193.600000,1215.332000,37.332340,-119.557690,
1196.100000,1236.665000,37.332490,-119.557540,
1197.200000,1256.964000,37.332650,-119.557430,
1198.200000,1286.760000,37.332910,-119.557350,
1199.600000,1318.242000,37.333190,-119.557300,
1200.900000,1344.089000,37.333420,-119.557260,
1201.900000,1358.588000,37.333550,-119.557270,
1203.200000,1368.171000,37.333630,-119.557310,
1205.200000,1380.911000,37.333730,-119.557380,
1208.300000,1397.977000,37.333850,-119.557500,
1209.700000,1418.869000,37.334020,-119.557600,
1210.300000,1443.295000,37.334230,-119.557680,
1211.700000,1467.595000,37.334430,-119.557790,
1212.800000,1479.543000,37.334510,-119.557880,
1214.500000,1494.800000,37.334600,-119.558010,
1216.700000,1511.529000,37.334680,-119.558170,
1218.000000,1524.724000,37.334760,-119.558280,
1219.700000,1537.918000,37.334840,-119.558390,
1220.500000,1549.698000,37.334930,-119.558460,
1221.300000,1564.831000,37.335060,-119.558510,
1221.900000,1579.410000,37.335190,-119.558530,
1221.700000,1589.468000,37.335280,-119.558520,
1223.400000,1604.181000,37.335410,-119.558490,
1226.400000,1629.153000,37.335600,-119.558340,
1229.800000,1663.843000,37.335840,-119.558090,
1233.300000,1696.903000,37.336080,-119.557870,
1234.400000,1713.013000,37.336210,-119.557790,
1235.300000,1732.123000,37.336380,-119.557760,
1237.600000,1758.465000,37.336610,-119.557830,
1240.600000,1782.111000,37.336810,-119.557920,
1242.400000,1801.364000,37.336980,-119.557960,
1245.400000,1829.320000,37.337230,-119.557930,
1249.600000,1878.167000,37.337660,-119.557820,
1254.500000,1933.427000,37.338150,-119.557720,
1256.700000,1959.167000,37.338380,-119.557690,
1258.200000,1979.896000,37.338560,-119.557750,
1259.900000,1996.415000,37.338690,-119.557840,
1262.200000,2023.229000,37.338920,-119.557930,
1262.800000,2041.040000,37.339080,-119.557930,
1264.900000,2062.357000,37.339270,-119.557900,
1267.300000,2092.893000,37.339530,-119.557790,
1270.600000,2157.027000,37.340030,-119.557430,
