alt,dst,lat,lon,mdata
208.500000,0.000000,37.194580,-121.994140,E:\Dropbox\website\dev2\climbing\climbs\Black-Road-Los-Gatos.tcx
208.700000,2.660000,37.194580,-121.994170,
209.200000,8.428000,37.194560,-121.994230,
209.600000,15.476000,37.194530,-121.994300,
209.800000,20.438000,37.194510,-121.994350,
209.600000,27.376000,37.194470,-121.994410,
208.700000,48.921000,37.194340,-121.994590,
208.600000,59.459000,37.194270,-121.994670,
208.800000,68.476000,37.194220,-121.994750,
209.600000,78.883000,37.194160,-121.994840,
210.300000,86.522000,37.194120,-121.994910,
211.000000,95.661000,37.194080,-121.995000,
211.900000,105.583000,37.194040,-121.995100,
212.900000,116.306000,37.194000,-121.995210,
217.400000,173.990000,37.193820,-121.995820,
219.200000,190.060000,37.193770,-121.995990,
223.100000,217.274000,37.193690,-121.996280,
234.600000,295.575000,37.193450,-121.997110,
237.900000,325.858000,37.193380,-121.997440,
240.900000,348.715000,37.193330,-121.997690,
244.500000,373.068000,37.193290,-121.997960,
247.100000,388.307000,37.193270,-121.998130,
249.300000,405.192000,37.193260,-121.998320,
250.700000,420.267000,37.193260,-121.998490,
251.400000,432.682000,37.193260,-121.998630,
251.600000,439.863000,37.193270,-121.998710,
251.800000,446.169000,37.193280,-121.998780,
251.900000,452.475000,37.193290,-121.998850,
252.000000,459.070000,37.193310,-121.998920,
252.900000,471.683000,37.193330,-121.999060,
253.200000,477.450000,37.193350,-121.999120,
254.200000,483.658000,37.193350,-121.999190,
255.500000,490.752000,37.193350,-121.999270,
256.500000,495.323000,37.193340,-121.999320,
257.800000,501.918000,37.193320,-121.999390,
258.900000,508.512000,37.193300,-121.999460,
260.100000,520.521000,37.193250,-121.999580,
261.400000,533.844000,37.193190,-121.999710,
263.500000,552.408000,37.193120,-121.999900,
266.100000,569.312000,37.193070,-122.000080,
270.700000,587.436000,37.193010,-122.000270,
272.900000,600.293000,37.192980,-122.000410,
273.700000,611.164000,37.192960,-122.000530,
274.500000,623.166000,37.192930,-122.000660,
275.300000,635.168000,37.192900,-122.000790,
276.400000,648.357000,37.192860,-122.000930,
279.800000,679.667000,37.192760,-122.001260,
281.600000,691.202000,37.192720,-122.001380,
282.400000,695.773000,37.192710,-122.001430,
283.100000,700.345000,37.192700,-122.001480,
284.000000,707.526000,37.192690,-122.001560,
284.600000,714.620000,37.192690,-122.001640,
285.100000,721.714000,37.192690,-122.001720,
285.400000,728.021000,37.192700,-122.001790,
285.700000,735.115000,37.192700,-122.001870,
286.000000,743.173000,37.192710,-122.001960,
286.900000,782.444000,37.192750,-122.002400,
286.900000,788.751000,37.192760,-122.002470,
287.300000,793.322000,37.192750,-122.002520,
287.800000,797.894000,37.192740,-122.002570,
288.600000,802.855000,37.192720,-122.002620,
289.400000,807.043000,37.192700,-122.002660,
291.000000,814.159000,37.192650,-122.002710,
292.300000,819.346000,37.192610,-122.002740,
296.900000,851.429000,37.192360,-122.002920,
299.100000,875.000000,37.192180,-122.003060,
299.900000,882.563000,37.192120,-122.003100,
300.500000,891.102000,37.192060,-122.003160,
301.100000,899.440000,37.192010,-122.003230,
301.600000,907.079000,37.191970,-122.003300,
302.200000,916.218000,37.191930,-122.003390,
303.000000,926.941000,37.191890,-122.003500,
304.000000,936.946000,37.191870,-122.003610,
305.900000,947.818000,37.191850,-122.003730,
308.400000,959.559000,37.191830,-122.003860,
309.900000,968.427000,37.191830,-122.003960,
311.100000,979.127000,37.191840,-122.004080,
312.000000,988.945000,37.191850,-122.004190,
312.800000,1001.558000,37.191870,-122.004330,
313.300000,1013.560000,37.191900,-122.004460,
313.800000,1021.846000,37.191920,-122.004550,
314.300000,1030.985000,37.191960,-122.004640,
316.800000,1044.308000,37.192020,-122.004770,
318.300000,1052.684000,37.192060,-122.004850,
319.300000,1058.120000,37.192070,-122.004910,
319.800000,1063.556000,37.192080,-122.004970,
320.300000,1070.737000,37.192090,-122.005050,
320.700000,1076.057000,37.192090,-122.005110,
321.600000,1090.246000,37.192090,-122.005270,
322.400000,1108.902000,37.192100,-122.005480,
323.400000,1132.871000,37.192110,-122.005750,
323.200000,1145.483000,37.192130,-122.005890,
323.400000,1152.665000,37.192120,-122.005970,
323.700000,1157.236000,37.192110,-122.006020,
323.800000,1162.672000,37.192100,-122.006080,
324.200000,1168.440000,37.192080,-122.006140,
327.300000,1198.098000,37.191980,-122.006450,
328.400000,1206.384000,37.191960,-122.006540,
329.400000,1211.820000,37.191950,-122.006600,
330.800000,1218.027000,37.191950,-122.006670,
332.800000,1226.008000,37.191950,-122.006760,
334.400000,1233.103000,37.191950,-122.006840,
335.200000,1240.284000,37.191960,-122.006920,
335.600000,1249.427000,37.191980,-122.007020,
336.100000,1266.603000,37.192010,-122.007210,
336.700000,1282.911000,37.192040,-122.007390,
336.800000,1293.221000,37.192070,-122.007500,
337.400000,1306.078000,37.192100,-122.007640,
339.100000,1321.797000,37.192140,-122.007810,
343.700000,1340.748000,37.192200,-122.008010,
345.800000,1359.312000,37.192270,-122.008200,
346.400000,1367.963000,37.192300,-122.008290,
346.800000,1378.433000,37.192350,-122.008390,
347.200000,1388.903000,37.192400,-122.008490,
