alt,dst,lat,lon,mdata
207.800000,0.000000,37.194550,-121.994000,E:\Dropbox\website\dev2\climbing\climbs\Black-Road.tcx
208.000000,7.049000,37.194580,-121.994070,
208.300000,11.482000,37.194580,-121.994120,
208.700000,15.916000,37.194580,-121.994170,
209.200000,21.684000,37.194560,-121.994230,
209.600000,28.732000,37.194530,-121.994300,
209.800000,33.694000,37.194510,-121.994350,
209.600000,40.632000,37.194470,-121.994410,
208.700000,62.177000,37.194340,-121.994590,
208.600000,72.715000,37.194270,-121.994670,
208.800000,81.731000,37.194220,-121.994750,
209.600000,92.138000,37.194160,-121.994840,
210.300000,99.778000,37.194120,-121.994910,
211.000000,108.917000,37.194080,-121.995000,
211.900000,118.839000,37.194040,-121.995100,
212.900000,129.562000,37.194000,-121.995210,
217.400000,187.246000,37.193820,-121.995820,
219.200000,203.316000,37.193770,-121.995990,
223.100000,230.530000,37.193690,-121.996280,
234.600000,308.831000,37.193450,-121.997110,
237.900000,339.114000,37.193380,-121.997440,
240.900000,361.971000,37.193330,-121.997690,
244.500000,386.324000,37.193290,-121.997960,
247.100000,401.562000,37.193270,-121.998130,
249.300000,418.448000,37.193260,-121.998320,
250.700000,433.523000,37.193260,-121.998490,
251.400000,445.938000,37.193260,-121.998630,
251.600000,453.119000,37.193270,-121.998710,
251.800000,459.425000,37.193280,-121.998780,
251.900000,465.731000,37.193290,-121.998850,
252.000000,472.326000,37.193310,-121.998920,
252.900000,484.939000,37.193330,-121.999060,
253.200000,490.706000,37.193350,-121.999120,
254.200000,496.914000,37.193350,-121.999190,
255.500000,504.008000,37.193350,-121.999270,
256.500000,508.579000,37.193340,-121.999320,
257.800000,515.174000,37.193320,-121.999390,
258.900000,521.768000,37.193300,-121.999460,
260.100000,533.777000,37.193250,-121.999580,
261.400000,547.100000,37.193190,-121.999710,
263.500000,565.664000,37.193120,-121.999900,
266.100000,582.568000,37.193070,-122.000080,
270.700000,600.692000,37.193010,-122.000270,
272.900000,613.548000,37.192980,-122.000410,
273.700000,624.420000,37.192960,-122.000530,
274.500000,636.422000,37.192930,-122.000660,
275.300000,648.424000,37.192900,-122.000790,
276.400000,661.613000,37.192860,-122.000930,
279.800000,692.922000,37.192760,-122.001260,
281.600000,704.458000,37.192720,-122.001380,
282.400000,709.029000,37.192710,-122.001430,
283.100000,713.601000,37.192700,-122.001480,
284.000000,720.782000,37.192690,-122.001560,
284.600000,727.876000,37.192690,-122.001640,
285.100000,734.970000,37.192690,-122.001720,
285.400000,741.277000,37.192700,-122.001790,
285.700000,748.371000,37.192700,-122.001870,
286.000000,756.429000,37.192710,-122.001960,
286.900000,795.700000,37.192750,-122.002400,
286.900000,802.007000,37.192760,-122.002470,
287.300000,806.578000,37.192750,-122.002520,
287.800000,811.150000,37.192740,-122.002570,
288.600000,816.111000,37.192720,-122.002620,
289.400000,820.299000,37.192700,-122.002660,
291.000000,827.415000,37.192650,-122.002710,
292.300000,832.602000,37.192610,-122.002740,
296.900000,864.684000,37.192360,-122.002920,
299.100000,888.256000,37.192180,-122.003060,
299.900000,895.819000,37.192120,-122.003100,
300.500000,904.358000,37.192060,-122.003160,
301.100000,912.695000,37.192010,-122.003230,
301.600000,920.335000,37.191970,-122.003300,
302.200000,929.474000,37.191930,-122.003390,
303.000000,940.197000,37.191890,-122.003500,
304.000000,950.202000,37.191870,-122.003610,
305.900000,961.074000,37.191850,-122.003730,
308.400000,972.815000,37.191830,-122.003860,
309.900000,981.683000,37.191830,-122.003960,
311.100000,992.383000,37.191840,-122.004080,
312.000000,1002.201000,37.191850,-122.004190,
312.800000,1014.814000,37.191870,-122.004330,
313.300000,1026.816000,37.191900,-122.004460,
313.800000,1035.101000,37.191920,-122.004550,
314.300000,1044.241000,37.191960,-122.004640,
316.800000,1057.564000,37.192020,-122.004770,
318.300000,1065.940000,37.192060,-122.004850,
319.300000,1071.376000,37.192070,-122.004910,
