alt,dst,lat,lon,mdata
175.300000,0.000000,37.253740,-122.036450,E:\Dropbox\website\dev2\climbing\climbs\Bohlman---On-Orbit-Saratoga.tcx
175.300000,1.772000,37.253740,-122.036470,
175.200000,3.544000,37.253740,-122.036490,
175.200000,4.430000,37.253740,-122.036500,
175.200000,6.202000,37.253740,-122.036520,
175.300000,9.084000,37.253730,-122.036550,
175.400000,14.042000,37.253710,-122.036600,
175.500000,18.228000,37.253690,-122.036640,
175.700000,23.776000,37.253660,-122.036690,
176.100000,31.473000,37.253610,-122.036750,
176.300000,49.545000,37.253500,-122.036900,
177.000000,65.195000,37.253390,-122.037010,
177.800000,91.366000,37.253210,-122.037200,
178.100000,100.799000,37.253140,-122.037260,
178.700000,107.398000,37.253090,-122.037300,
179.400000,114.587000,37.253030,-122.037330,
180.400000,124.533000,37.252950,-122.037380,
181.200000,129.326000,37.252910,-122.037400,
182.200000,133.866000,37.252870,-122.037410,
183.100000,139.432000,37.252820,-122.037410,
184.200000,146.169000,37.252760,-122.037400,
184.500000,150.709000,37.252720,-122.037390,
185.300000,166.912000,37.252580,-122.037340,
185.600000,181.640000,37.252460,-122.037270,
186.100000,214.155000,37.252190,-122.037130,
186.000000,239.482000,37.251980,-122.037020,
186.100000,262.087000,37.251790,-122.036930,
186.000000,277.504000,37.251660,-122.036870,
186.000000,285.737000,37.251590,-122.036840,
186.000000,293.728000,37.251520,-122.036820,
186.000000,300.466000,37.251460,-122.036810,
186.000000,308.308000,37.251390,-122.036800,
186.000000,316.101000,37.251320,-122.036800,
186.000000,322.780000,37.251260,-122.036800,
186.000000,332.954000,37.251170,-122.036820,
186.500000,343.012000,37.251080,-122.036830,
187.000000,351.003000,37.251010,-122.036850,
187.300000,358.994000,37.250940,-122.036870,
188.500000,365.905000,37.250880,-122.036890,
189.800000,371.746000,37.250830,-122.036910,
192.500000,378.656000,37.250770,-122.036930,
195.000000,386.889000,37.250700,-122.036960,
196.600000,393.058000,37.250650,-122.036990,
197.300000,399.226000,37.250600,-122.037020,
198.100000,405.394000,37.250550,-122.037050,
198.300000,411.085000,37.250510,-122.037090,
198.700000,420.049000,37.250440,-122.037140,
198.700000,423.516000,37.250420,-122.037170,
198.800000,427.297000,37.250390,-122.037190,
198.900000,434.232000,37.250350,-122.037250,
205.300000,491.338000,37.250070,-122.037790,
206.300000,502.054000,37.250030,-122.037900,
210.000000,571.305000,37.249770,-122.038610,
217.100000,628.945000,37.249570,-122.039210,
218.300000,641.295000,37.249530,-122.039340,
218.500000,644.177000,37.249520,-122.039370,
218.800000,649.135000,37.249500,-122.039420,
219.200000,653.321000,37.249480,-122.039460,
219.700000,656.167000,37.249460,-122.039480,
220.000000,659.634000,37.249440,-122.039510,
220.400000,665.915000,37.249400,-122.039560,
220.900000,677.298000,37.249320,-122.039640,
221.300000,684.859000,37.249260,-122.039680,
221.400000,688.640000,37.249230,-122.039700,
221.700000,690.866000,37.249210,-122.039700,
222.000000,694.321000,37.249180,-122.039710,
222.300000,696.548000,37.249160,-122.039710,
223.200000,701.088000,37.249120,-122.039700,
224.300000,707.826000,37.249060,-122.039690,
238.800000,773.411000,37.248500,-122.039460,
241.800000,793.068000,37.248330,-122.039400,
248.700000,822.018000,37.248080,-122.039310,
250.600000,840.963000,37.247910,-122.039300,
251.000000,851.021000,37.247820,-122.039290,
252.300000,862.703000,37.247720,-122.039250,
253.800000,875.725000,37.247610,-122.039200,
257.100000,890.840000,37.247500,-122.039100,
260.300000,905.637000,37.247400,-122.038990,
261.400000,911.185000,37.247370,-122.038940,
262.700000,919.556000,37.247330,-122.038860,
264.700000,929.367000,37.247320,-122.038750,
265.600000,938.501000,37.247280,-122.038660,
266.200000,947.635000,37.247240,-122.038570,
265.400000,957.582000,37.247160,-122.038520,
265.000000,966.531000,37.247080,-122.038530,
265.500000,973.269000,37.247020,-122.038540,
266.600000,979.868000,37.246970,-122.038580,
268.600000,994.478000,37.246880,-122.038700,
269.700000,1007.955000,37.246860,-122.038850,
269.100000,1032.866000,37.246880,-122.039130,
269.700000,1042.614000,37.246880,-122.039240,
270.600000,1048.046000,37.246870,-122.039300,
271.800000,1054.636000,37.246850,-122.039370,
273.700000,1066.437000,37.246780,-122.039470,
280.700000,1087.181000,37.246620,-122.039590,
284.600000,1108.077000,37.246450,-122.039690,
285.600000,1134.643000,37.246220,-122.039770,
286.400000,1151.110000,37.246080,-122.039830,
286.500000,1154.578000,37.246060,-122.039860,
287.300000,1160.126000,37.246030,-122.039910,
288.200000,1163.670000,37.246030,-122.039950,
288.200000,1166.553000,37.246040,-122.039980,
288.400000,1169.435000,37.246050,-122.040010,
289.500000,1172.317000,37.246060,-122.040040,
292.000000,1218.715000,37.246370,-122.040390,
293.700000,1224.479000,37.246390,-122.040450,
295.000000,1229.796000,37.246390,-122.040510,
295.700000,1235.113000,37.246390,-122.040570,
296.200000,1240.877000,37.246370,-122.040630,
296.800000,1249.890000,37.246320,-122.040710,
297.600000,1257.004000,37.246270,-122.040760,
302.100000,1279.287000,37.246090,-122.040870,
306.800000,1296.794000,37.245950,-122.040960,
307.900000,1302.485000,37.245910,-122.041000,
308.500000,1310.121000,37.245870,-122.041070,
308.600000,1313.836000,37.245860,-122.041110,
308.200000,1318.267000,37.245860,-122.041160,
306.800000,1330.000000,37.245880,-122.041290,
306.300000,1335.432000,37.245890,-122.041350,
305.800000,1340.000000,37.245900,-122.041400,
306.000000,1343.716000,37.245890,-122.041440,
306.200000,1347.431000,37.245880,-122.041480,
329.400000,1463.884000,37.245320,-122.042590,
331.700000,1477.223000,37.245310,-122.042740,
332.700000,1481.654000,37.245310,-122.042790,
335.000000,1488.589000,37.245350,-122.042850,
337.100000,1494.757000,37.245400,-122.042880,
339.100000,1501.495000,37.245460,-122.042890,
343.600000,1517.180000,37.245600,-122.042870,
344.900000,1522.816000,37.245650,-122.042860,
346.600000,1531.377000,37.245720,-122.042820,
346.800000,1545.103000,37.245830,-122.042750,
346.100000,1550.945000,37.245880,-122.042730,
345.600000,1555.397000,37.245920,-122.042730,
345.600000,1556.283000,37.245920,-122.042720,
344.300000,1561.920000,37.245970,-122.042730,
343.700000,1564.316000,37.245990,-122.042740,
