alt,dst,lat,lon,mdata
175.300000,0.000000,37.253740,-122.036450,E:\Dropbox\website\dev2\climbing\climbs\Bohlman-Norton-Kittridge-Bohlman.tcx
175.300000,1.772000,37.253740,-122.036470,
175.200000,3.544000,37.253740,-122.036490,
175.200000,4.430000,37.253740,-122.036500,
175.200000,6.202000,37.253740,-122.036520,
175.300000,9.084000,37.253730,-122.036550,
175.400000,14.042000,37.253710,-122.036600,
175.500000,18.228000,37.253690,-122.036640,
175.700000,23.776000,37.253660,-122.036690,
176.100000,31.473000,37.253610,-122.036750,
176.300000,49.545000,37.253500,-122.036900,
177.000000,65.195000,37.253390,-122.037010,
177.800000,91.366000,37.253210,-122.037200,
178.100000,100.799000,37.253140,-122.037260,
178.700000,107.398000,37.253090,-122.037300,
179.400000,114.587000,37.253030,-122.037330,
180.400000,124.533000,37.252950,-122.037380,
181.200000,129.326000,37.252910,-122.037400,
182.200000,133.866000,37.252870,-122.037410,
183.100000,139.432000,37.252820,-122.037410,
184.200000,146.169000,37.252760,-122.037400,
184.500000,150.709000,37.252720,-122.037390,
185.300000,166.912000,37.252580,-122.037340,
185.600000,181.640000,37.252460,-122.037270,
186.100000,214.155000,37.252190,-122.037130,
186.000000,239.482000,37.251980,-122.037020,
186.100000,262.087000,37.251790,-122.036930,
186.000000,277.504000,37.251660,-122.036870,
186.000000,285.737000,37.251590,-122.036840,
186.000000,293.728000,37.251520,-122.036820,
186.000000,300.466000,37.251460,-122.036810,
186.000000,308.308000,37.251390,-122.036800,
186.000000,316.101000,37.251320,-122.036800,
186.000000,322.780000,37.251260,-122.036800,
186.000000,332.954000,37.251170,-122.036820,
186.500000,343.012000,37.251080,-122.036830,
187.000000,351.003000,37.251010,-122.036850,
187.300000,358.994000,37.250940,-122.036870,
188.500000,365.905000,37.250880,-122.036890,
189.800000,371.746000,37.250830,-122.036910,
192.500000,378.656000,37.250770,-122.036930,
195.000000,386.889000,37.250700,-122.036960,
196.600000,393.058000,37.250650,-122.036990,
197.300000,399.226000,37.250600,-122.037020,
198.100000,405.394000,37.250550,-122.037050,
198.300000,411.085000,37.250510,-122.037090,
198.700000,420.049000,37.250440,-122.037140,
198.700000,423.516000,37.250420,-122.037170,
198.800000,427.297000,37.250390,-122.037190,
198.900000,434.232000,37.250350,-122.037250,
205.300000,491.338000,37.250070,-122.037790,
214.000000,549.033000,37.249610,-122.037490,
215.200000,569.337000,37.249450,-122.037380,
215.300000,575.505000,37.249400,-122.037350,
215.400000,580.298000,37.249360,-122.037330,
215.400000,586.139000,37.249310,-122.037310,
215.200000,590.931000,37.249270,-122.037290,
216.500000,611.907000,37.249090,-122.037220,
222.300000,637.170000,37.248870,-122.037150,
224.300000,658.780000,37.248680,-122.037100,
223.200000,673.915000,37.248550,-122.037050,
223.200000,679.756000,37.248500,-122.037030,
223.800000,684.548000,37.248460,-122.037010,
224.700000,692.110000,37.248400,-122.036970,
225.100000,694.955000,37.248380,-122.036950,
225.800000,697.351000,37.248360,-122.036940,
227.100000,705.685000,37.248310,-122.036870,
228.900000,718.248000,37.248230,-122.036770,
231.700000,731.451000,37.248150,-122.036660,
233.700000,741.177000,37.248100,-122.036570,
234.100000,743.270000,37.248090,-122.036550,
234.400000,744.692000,37.248080,-122.036540,
234.600000,746.115000,37.248070,-122.036530,
235.100000,748.208000,37.248060,-122.036510,
235.300000,749.631000,37.248050,-122.036500,
235.800000,752.477000,37.248030,-122.036480,
235.900000,754.569000,37.248020,-122.036460,
236.100000,756.966000,37.248000,-122.036450,
236.100000,757.852000,37.248000,-122.036440,
236.200000,760.078000,37.247980,-122.036440,
236.300000,761.501000,37.247970,-122.036430,
236.500000,766.041000,37.247930,-122.036420,
237.000000,781.851000,37.247790,-122.036390,
237.300000,791.909000,37.247700,-122.036380,
237.200000,793.331000,37.247690,-122.036370,
237.300000,794.445000,37.247680,-122.036370,
237.700000,796.841000,37.247660,-122.036380,
237.800000,797.954000,37.247650,-122.036380,
240.100000,811.342000,37.247530,-122.036390,
243.500000,824.729000,37.247410,-122.036400,
245.200000,831.467000,37.247350,-122.036410,
245.400000,832.580000,37.247340,-122.036410,
