alt,dst,lat,lon,mdata
174.700000,0.000000,37.253780,-122.036647,E:\Dropbox\website\dev2\climbing\climbs\Bohlman-Orbit.tcx
175.400000,11.601288,37.253710,-122.036550,
176.400000,51.816397,37.253490,-122.036910,
178.500000,113.551506,37.253060,-122.037350,
180.400000,129.296133,37.252930,-122.037420,
184.800000,154.960724,37.252700,-122.037400,
186.200000,264.827245,37.251790,-122.036920,
186.000000,307.365572,37.251420,-122.036800,
186.600000,346.417745,37.251070,-122.036830,
195.300000,390.259272,37.250690,-122.036960,
199.500000,438.009825,37.250310,-122.037210,
210.000000,576.658640,37.249770,-122.038620,
216.900000,646.272799,37.249560,-122.039360,
219.700000,666.406387,37.249440,-122.039530,
221.300000,694.706261,37.249230,-122.039710,
224.300000,713.713266,37.249060,-122.039690,
249.500000,829.752974,37.248070,-122.039280,
253.800000,881.448012,37.247610,-122.039200,
261.000000,913.051368,37.247400,-122.038960,
267.900000,954.640147,37.247270,-122.038520,
265.500000,977.529965,37.247070,-122.038460,
266.600000,992.326329,37.246970,-122.038570,
268.600000,1007.593268,37.246880,-122.038700,
271.800000,1067.058303,37.246850,-122.039370,
273.700000,1078.858483,37.246780,-122.039470,
284.600000,1120.446155,37.246450,-122.039690,
286.400000,1163.461947,37.246080,-122.039830,
287.300000,1172.475054,37.246030,-122.039910,
289.500000,1184.469260,37.246060,-122.040040,
292.000000,1230.867476,37.246370,-122.040390,
296.200000,1252.134906,37.246370,-122.040630,
297.600000,1268.154462,37.246270,-122.040760,
306.800000,1307.555045,37.245950,-122.040950,
308.500000,1321.425350,37.245870,-122.041070,
306.200000,1357.774498,37.245880,-122.041480,
329.400000,1474.227704,37.245320,-122.042590,
332.700000,1491.985736,37.245310,-122.042790,
337.100000,1504.791250,37.245400,-122.042880,
343.600000,1527.072647,37.245600,-122.042870,
344.500000,1568.770340,37.245960,-122.042740,
340.600000,1583.420617,37.246030,-122.042880,
339.300000,1597.986962,37.246000,-122.043040,
356.700000,1721.318009,37.245400,-122.044210,
367.700000,1840.362831,37.244970,-122.045440,
366.100000,1857.527863,37.244940,-122.045630,
366.600000,1870.711206,37.244870,-122.045750,
392.200000,1988.682696,37.243920,-122.046340,
395.100000,2010.358332,37.243780,-122.046510,
398.000000,2017.534583,37.243790,-122.046590,
403.800000,2117.112551,37.244410,-122.047400,
404.600000,2150.574053,37.244470,-122.047770,
405.800000,2173.171239,37.244430,-122.048020,
409.500000,2192.116180,37.244260,-122.048030,
414.900000,2222.663048,37.244140,-122.047720,
422.800000,2259.572384,37.243910,-122.047420,
429.400000,2280.826947,37.243730,-122.047340,
432.000000,2297.735086,37.243580,-122.047370,
437.500000,2324.933474,37.243500,-122.047660,
445.600000,2398.030668,37.243660,-122.048460,
448.500000,2418.443063,37.243670,-122.048690,
451.700000,2427.577438,37.243630,-122.048780,
456.100000,2445.717921,37.243480,-122.048700,
460.400000,2540.439939,37.243090,-122.047750,
466.000000,2584.166850,37.242860,-122.047350,
472.900000,2652.052397,37.242350,-122.046930,
479.600000,2687.706762,37.242120,-122.046650,
481.000000,2713.318227,37.241940,-122.046470,
488.300000,2750.632664,37.241780,-122.046100,
486.300000,2759.926542,37.241860,-122.046070,
486.300000,2782.128598,37.241990,-122.045880,
501.900000,2879.307427,37.242330,-122.044870,
511.400000,2915.172208,37.242090,-122.044600,
516.100000,2949.198948,37.241820,-122.044420,
519.100000,2974.694622,37.241600,-122.044340,
528.200000,3022.635500,37.241170,-122.044310,
538.400000,3073.291633,37.240750,-122.044090,
544.800000,3142.777103,37.240290,-122.043560,
545.000000,3161.509237,37.240190,-122.043390,
547.400000,3184.567540,37.240270,-122.043150,
535.200000,3245.684974,37.240800,-122.042970,
542.900000,3277.578893,37.240980,-122.042690,
549.600000,3303.275854,37.241040,-122.042410,
551.600000,3311.922640,37.241010,-122.042320,
