alt,dst,lat,lon,mdata
210.800000,0.000000,39.079780,-123.215930,E:\Dropbox\website\dev2\climbing\climbs\Booneville-Grade-North-Ukiah.tcx
211.300000,21.679000,39.079630,-123.215770,
216.200000,41.408000,39.079490,-123.215630,
217.800000,50.768000,39.079420,-123.215570,
219.200000,59.678000,39.079350,-123.215520,
220.000000,67.198000,39.079290,-123.215480,
220.200000,75.411000,39.079220,-123.215450,
220.100000,88.134000,39.079110,-123.215410,
222.900000,107.545000,39.078940,-123.215360,
227.600000,126.957000,39.078770,-123.215310,
229.300000,140.564000,39.078650,-123.215280,
230.300000,157.462000,39.078500,-123.215250,
230.200000,175.461000,39.078340,-123.215220,
230.000000,189.259000,39.078220,-123.215180,
230.000000,203.299000,39.078100,-123.215130,
231.300000,216.878000,39.078000,-123.215040,
232.000000,226.491000,39.077940,-123.214960,
231.700000,238.109000,39.077880,-123.214850,
230.100000,246.332000,39.077840,-123.214770,
226.900000,258.666000,39.077780,-123.214650,
224.800000,266.273000,39.077730,-123.214590,
223.700000,270.501000,39.077700,-123.214560,
223.200000,276.705000,39.077660,-123.214510,
223.700000,284.226000,39.077600,-123.214470,
225.000000,291.391000,39.077540,-123.214440,
226.000000,297.219000,39.077490,-123.214420,
227.400000,305.059000,39.077420,-123.214410,
228.200000,309.512000,39.077380,-123.214410,
229.000000,315.144000,39.077330,-123.214420,
229.400000,321.284000,39.077280,-123.214450,
229.400000,332.050000,39.077200,-123.214520,
228.900000,346.142000,39.077100,-123.214620,
228.400000,357.423000,39.077010,-123.214680,
228.600000,369.940000,39.076900,-123.214710,
229.100000,382.185000,39.076790,-123.214710,
229.900000,391.257000,39.076710,-123.214690,
232.500000,405.921000,39.076590,-123.214620,
236.400000,417.624000,39.076500,-123.214550,
240.200000,431.717000,39.076400,-123.214450,
241.100000,443.540000,39.076320,-123.214360,
241.700000,455.949000,39.076240,-123.214260,
242.500000,475.175000,39.076120,-123.214100,
242.800000,503.398000,39.075940,-123.213870,
242.900000,510.233000,39.075900,-123.213810,
243.600000,515.694000,39.075870,-123.213760,
244.400000,526.616000,39.075810,-123.213660,
246.200000,533.526000,39.075780,-123.213590,
248.800000,539.972000,39.075760,-123.213520,
251.100000,544.833000,39.075740,-123.213470,
255.700000,554.908000,39.075710,-123.213360,
