alt,dst,lat,lon,mdata
137.800000,0.000000,38.999600,-123.357450,E:\Dropbox\website\dev2\climbing\climbs\Booneville-Grade-South-Booneville.tcx
138.900000,58.336000,38.999880,-123.356880,
140.600000,139.906000,39.000280,-123.356090,
141.000000,157.844000,39.000360,-123.355910,
141.200000,171.526000,39.000430,-123.355780,
141.300000,181.256000,39.000470,-123.355680,
141.400000,191.543000,39.000520,-123.355580,
141.500000,203.887000,39.000580,-123.355460,
141.600000,216.436000,39.000630,-123.355330,
141.600000,224.908000,39.000660,-123.355240,
141.700000,236.203000,39.000700,-123.355120,
141.700000,245.136000,39.000720,-123.355020,
141.700000,255.221000,39.000750,-123.354910,
141.800000,266.686000,39.000770,-123.354780,
141.700000,279.000000,39.000790,-123.354640,
141.700000,296.338000,39.000800,-123.354440,
141.600000,307.639000,39.000810,-123.354310,
141.500000,316.362000,39.000800,-123.354210,
141.400000,325.013000,39.000800,-123.354110,
141.300000,335.630000,39.000780,-123.353990,
141.100000,344.352000,39.000770,-123.353890,
140.900000,353.285000,39.000750,-123.353790,
140.600000,362.218000,39.000730,-123.353690,
140.200000,378.755000,39.000680,-123.353510,
139.600000,392.875000,39.000630,-123.353360,
138.900000,412.334000,39.000550,-123.353160,
137.500000,442.049000,39.000420,-123.352860,
136.300000,466.373000,39.000320,-123.352610,
136.500000,488.422000,39.000220,-123.352390,
137.300000,509.435000,39.000140,-123.352170,
138.000000,525.588000,39.000080,-123.352000,
138.600000,536.493000,39.000050,-123.351880,
139.100000,545.426000,39.000030,-123.351780,
139.700000,553.524000,39.000010,-123.351690,
140.200000,564.141000,38.999990,-123.351570,
140.800000,573.722000,38.999980,-123.351460,
141.400000,584.163000,38.999970,-123.351340,
142.500000,607.548000,38.999960,-123.351070,
141.800000,649.088000,38.999950,-123.350590,
142.200000,677.658000,38.999940,-123.350260,
142.400000,685.523000,38.999950,-123.350170,
142.900000,694.246000,38.999960,-123.350070,
143.600000,702.968000,38.999970,-123.349970,
144.300000,711.691000,38.999980,-123.349870,
144.300000,718.143000,39.000000,-123.349800,
144.700000,731.542000,39.000030,-123.349650,
145.500000,760.301000,39.000100,-123.349330,
148.200000,817.528000,39.000230,-123.348690,
147.700000,829.843000,39.000250,-123.348550,
147.400000,840.284000,39.000260,-123.348430,
147.900000,852.446000,39.000270,-123.348290,
148.900000,861.962000,39.000270,-123.348180,
149.900000,870.613000,39.000270,-123.348080,
150.300000,878.478000,39.000260,-123.347990,
150.600000,887.201000,39.000250,-123.347890,
151.400000,894.122000,39.000250,-123.347810,
152.500000,904.739000,39.000230,-123.347690,
153.700000,921.769000,39.000190,-123.347500,
154.900000,940.474000,39.000150,-123.347290,
157.400000,967.272000,39.000090,-123.346990,
158.800000,991.567000,39.000030,-123.346720,
158.500000,1024.791000,38.999950,-123.346350,
162.800000,1066.114000,38.999850,-123.345890,
166.900000,1118.038000,38.999730,-123.345310,
168.400000,1151.263000,38.999650,-123.344940,
170.000000,1173.596000,38.999600,-123.344690,
170.000000,1183.369000,38.999580,-123.344580,
169.800000,1192.950000,38.999570,-123.344470,
169.100000,1203.391000,38.999560,-123.344350,
168.300000,1214.693000,38.999550,-123.344220,
167.800000,1229.400000,38.999550,-123.344050,
168.000000,1243.241000,38.999550,-123.343890,
170.800000,1256.218000,38.999550,-123.343740,
176.200000,1270.060000,38.999550,-123.343580,
175.700000,1289.222000,38.999570,-123.343360,
175.500000,1304.834000,38.999580,-123.343180,
175.400000,1325.864000,38.999610,-123.342940,
175.300000,1335.445000,38.999620,-123.342830,
175.200000,1344.167000,38.999630,-123.342730,
175.300000,1355.899000,38.999660,-123.342600,
175.700000,1369.619000,38.999700,-123.342450,
176.200000,1378.588000,38.999740,-123.342360,
177.200000,1390.367000,38.999790,-123.342240,
178.600000,1402.712000,38.999850,-123.342120,
180.100000,1413.641000,38.999910,-123.342020,
181.300000,1424.148000,38.999950,-123.341910,
188.000000,1462.299000,39.000110,-123.341520,
190.000000,1475.629000,39.000160,-123.341380,
190.700000,1484.598000,39.000200,-123.341290,
191.000000,1493.070000,39.000230,-123.341200,
190.800000,1502.843000,39.000250,-123.341090,
191.700000,1516.562000,39.000290,-123.340940,
193.200000,1530.582000,39.000310,-123.340780,
194.400000,1541.023000,39.000320,-123.340660,
195.200000,1553.134000,39.000320,-123.340520,
