alt,dst,lat,lon,mdata
1070.900000,0.000000,35.485300,-118.526650,E:\Dropbox\website\dev2\climbing\climbs\Breckenridge-Rd-East-Havilah.tcx
1070.700000,4.532000,35.485300,-118.526700,
1070.500000,13.665000,35.485290,-118.526800,
1074.700000,54.469000,35.485300,-118.527250,
1075.900000,89.075000,35.485330,-118.527630,
1077.400000,111.084000,35.485300,-118.527870,
1079.700000,130.633000,35.485260,-118.528080,
1081.100000,141.553000,35.485220,-118.528190,
1083.200000,152.972000,35.485170,-118.528300,
1085.100000,162.831000,35.485110,-118.528380,
1086.300000,170.008000,35.485060,-118.528430,
1087.700000,184.115000,35.484940,-118.528480,
1088.300000,191.959000,35.484870,-118.528490,
1088.600000,196.503000,35.484830,-118.528480,
1089.000000,204.103000,35.484770,-118.528440,
1089.100000,217.614000,35.484680,-118.528340,
1089.300000,229.098000,35.484600,-118.528260,
1089.300000,235.741000,35.484550,-118.528220,
1089.700000,245.922000,35.484460,-118.528200,
1090.400000,256.304000,35.484370,-118.528230,
1092.300000,271.503000,35.484250,-118.528310,
1098.400000,303.956000,35.484020,-118.528530,
1100.700000,337.170000,35.483770,-118.528730,
1102.100000,360.954000,35.483580,-118.528850,
1102.800000,373.321000,35.483490,-118.528930,
1103.800000,383.865000,35.483430,-118.529020,
1106.300000,397.722000,35.483380,-118.529160,
1111.000000,429.932000,35.483330,-118.529510,
1112.400000,450.811000,35.483320,-118.529740,
1112.900000,458.396000,35.483340,-118.529820,
1113.800000,480.273000,35.483450,-118.530020,
1116.100000,498.571000,35.483560,-118.530170,
1123.500000,520.448000,35.483670,-118.530370,
1124.700000,527.626000,35.483720,-118.530420,
1125.100000,535.226000,35.483780,-118.530460,
1125.000000,543.071000,35.483850,-118.530470,
1125.000000,576.479000,35.484150,-118.530480,
1125.000000,578.882000,35.484170,-118.530490,
1125.100000,586.060000,35.484220,-118.530540,
1125.200000,588.999000,35.484230,-118.530570,
1125.500000,598.131000,35.484220,-118.530670,
1126.000000,607.791000,35.484190,-118.530770,
1128.500000,624.255000,35.484120,-118.530930,
1129.300000,638.562000,35.484080,-118.531080,
1126.800000,664.943000,35.484060,-118.531370,
1126.700000,669.198000,35.484040,-118.531410,
1127.500000,675.841000,35.483990,-118.531450,
1132.400000,708.060000,35.483710,-118.531540,
1134.200000,720.449000,35.483610,-118.531600,
1141.200000,741.806000,35.483450,-118.531730,
1141.900000,751.855000,35.483380,-118.531800,
1141.400000,760.996000,35.483330,-118.531880,
1141.400000,777.164000,35.483240,-118.532020,
1141.300000,784.335000,35.483210,-118.532090,
1140.900000,808.683000,35.483130,-118.532340,
1140.100000,817.816000,35.483120,-118.532440,
1138.200000,844.127000,35.483130,-118.532730,
1138.400000,850.569000,35.483120,-118.532800,
1140.900000,866.036000,35.483030,-118.532930,
1142.200000,875.539000,35.482960,-118.532990,
1146.600000,896.929000,35.482790,-118.533100,
1151.200000,911.643000,35.482680,-118.533190,
1152.100000,925.778000,35.482590,-118.533300,
1152.200000,939.905000,35.482520,-118.533430,
1153.100000,963.036000,35.482430,-118.533660,
1152.900000,969.478000,35.482420,-118.533730,
1152.300000,1013.950000,35.482440,-118.534220,
1153.300000,1020.675000,35.482420,-118.534290,
1160.400000,1060.084000,35.482210,-118.534640,
1161.500000,1065.713000,35.482180,-118.534690,
1162.300000,1070.521000,35.482140,-118.534710,
1163.300000,1076.375000,35.482090,-118.534730,
1164.400000,1081.941000,35.482040,-118.534730,
1167.100000,1094.219000,35.481930,-118.534720,
1169.000000,1105.927000,35.481830,-118.534680,
1173.700000,1141.049000,35.481530,-118.534560,
1176.600000,1153.593000,35.481420,-118.534530,
1179.300000,1168.093000,35.481290,-118.534540,
1181.100000,1186.269000,35.481130,-118.534580,
1180.700000,1195.283000,35.481060,-118.534630,
1180.300000,1201.026000,35.481020,-118.534670,
1179.600000,1210.902000,35.480970,-118.534760,
1179.100000,1215.569000,35.480960,-118.534810,
1178.800000,1221.121000,35.480950,-118.534870,
1177.800000,1228.707000,35.480970,-118.534950,
1176.800000,1236.489000,35.481020,-118.535010,
1176.000000,1245.991000,35.481090,-118.535070,
1175.900000,1255.080000,35.481170,-118.535090,
1174.200000,1280.683000,35.481400,-118.535090,
1173.800000,1294.315000,35.481520,-118.535120,
1174.200000,1302.387000,35.481580,-118.535170,
1175.200000,1310.139000,35.481620,-118.535240,
1177.100000,1317.475000,35.481630,-118.535320,
1178.900000,1322.914000,35.481630,-118.535380,
1183.100000,1335.133000,35.481580,-118.535500,
1184.500000,1342.885000,35.481540,-118.535570,
1189.700000,1378.056000,35.481350,-118.535880,
1199.700000,1442.194000,35.481020,-118.536460,
1201.700000,1456.252000,35.480940,-118.536580,
1203.100000,1472.631000,35.480830,-118.536700,
1203.100000,1486.012000,35.480760,-118.536820,
1203.200000,1502.807000,35.480700,-118.536990,
1203.100000,1513.910000,35.480680,-118.537110,
1202.500000,1528.414000,35.480680,-118.537270,
1202.400000,1536.648000,35.480670,-118.537360,
1205.100000,1560.827000,35.480560,-118.537590,
1205.900000,1568.811000,35.480530,-118.537670,
1206.100000,1574.250000,35.480530,-118.537730,
1207.800000,1584.283000,35.480540,-118.537840,
1210.100000,1592.267000,35.480570,-118.537920,
1211.000000,1595.781000,35.480590,-118.537950,
1213.100000,1636.314000,35.480860,-118.538250,
1215.000000,1670.765000,35.481050,-118.538550,
1215.100000,1697.478000,35.481240,-118.538730,
1215.800000,1709.868000,35.481340,-118.538790,
1217.100000,1748.733000,35.481670,-118.538930,
1217.800000,1761.277000,35.481780,-118.538960,
1219.500000,1771.336000,35.481870,-118.538970,
1222.900000,1786.061000,35.482000,-118.539000,
1223.700000,1803.250000,35.482140,-118.539080,
1223.400000,1810.428000,35.482190,-118.539130,
1224.100000,1816.058000,35.482220,-118.539180,
1224.200000,1821.688000,35.482250,-118.539230,
1225.100000,1827.126000,35.482250,-118.539290,
1225.700000,1831.659000,35.482250,-118.539340,
1226.600000,1838.383000,35.482230,-118.539410,
1227.200000,1842.638000,35.482210,-118.539450,
1230.500000,1861.643000,35.482070,-118.539570,
1231.600000,1870.257000,35.482010,-118.539630,
1231.400000,1877.427000,35.481980,-118.539700,
1230.300000,1899.268000,35.481900,-118.539920,
1229.700000,1923.706000,35.481800,-118.540160,
1228.500000,1974.190000,35.481570,-118.540640,
1228.200000,1980.544000,35.481530,-118.540690,
1228.500000,1985.761000,35.481490,-118.540720,
1229.000000,1992.973000,35.481430,-118.540750,
1229.800000,2003.033000,35.481340,-118.540760,
1228.800000,2023.070000,35.481160,-118.540760,
1228.200000,2028.709000,35.481110,-118.540750,
1228.200000,2034.904000,35.481060,-118.540720,
1230.400000,2054.152000,35.480930,-118.540580,
1231.200000,2059.369000,35.480890,-118.540550,
1231.700000,2070.648000,35.480790,-118.540530,
1230.600000,2129.987000,35.480260,-118.540600,
1231.900000,2138.582000,35.480190,-118.540640,
1233.400000,2144.324000,35.480150,-118.540680,
1230.700000,2158.326000,35.480120,-118.540830,
1229.000000,2170.110000,35.480120,-118.540960,
