alt,dst,lat,lon,mdata
253.400000,0.000000,35.374440,-118.843710,E:\Dropbox\website\dev2\climbing\climbs\Breckenridge-Rd-W.-Bakersfield.tcx
253.500000,8.518000,35.374480,-118.843630,
253.800000,24.503000,35.374540,-118.843470,
254.100000,38.376000,35.374590,-118.843330,
255.100000,83.344000,35.374740,-118.842870,
256.500000,175.519000,35.375010,-118.841910,
257.700000,272.712000,35.375300,-118.840900,
258.200000,289.972000,35.375350,-118.840720,
259.300000,311.836000,35.375430,-118.840500,
260.200000,331.245000,35.375510,-118.840310,
261.000000,349.643000,35.375600,-118.840140,
262.200000,380.677000,35.375760,-118.839860,
263.700000,406.707000,35.375910,-118.839640,
264.700000,420.777000,35.375990,-118.839520,
266.800000,441.278000,35.376120,-118.839360,
269.300000,468.934000,35.376300,-118.839150,
271.100000,628.082000,35.377350,-118.837960,
271.500000,657.800000,35.377540,-118.837730,
271.800000,673.374000,35.377640,-118.837610,
272.600000,702.972000,35.377820,-118.837370,
273.100000,718.451000,35.377910,-118.837240,
273.800000,735.354000,35.378000,-118.837090,
274.400000,749.494000,35.378070,-118.836960,
275.000000,761.507000,35.378130,-118.836850,
275.600000,778.792000,35.378200,-118.836680,
276.300000,797.399000,35.378280,-118.836500,
277.700000,858.771000,35.378500,-118.835880,
279.200000,937.789000,35.378780,-118.835080,
279.200000,1009.653000,35.379030,-118.834350,
278.800000,1043.698000,35.379140,-118.834000,
279.800000,1082.012000,35.379250,-118.833600,
285.600000,1417.701000,35.380150,-118.830070,
286.400000,1474.660000,35.380300,-118.829470,
286.900000,1509.705000,35.380390,-118.829100,
287.500000,1531.622000,35.380450,-118.828870,
287.900000,1550.609000,35.380500,-118.828670,
288.400000,1567.011000,35.380550,-118.828500,
288.800000,1585.111000,35.380620,-118.828320,
289.300000,1607.972000,35.380720,-118.828100,
289.700000,1621.364000,35.380790,-118.827980,
290.000000,1636.147000,35.380870,-118.827850,
290.400000,1665.001000,35.381040,-118.827610,
290.600000,1684.075000,35.381160,-118.827460,
290.700000,1700.462000,35.381270,-118.827340,
291.000000,1721.445000,35.381420,-118.827200,
291.800000,1745.862000,35.381590,-118.827030,
292.000000,1748.266000,35.381610,-118.827020,
298.600000,1906.079000,35.382740,-118.825970,
298.300000,1923.901000,35.382860,-118.825840,
298.200000,1941.724000,35.382980,-118.825710,
298.900000,1970.011000,35.383160,-118.825490,
302.800000,2107.307000,35.383980,-118.824360,
302.700000,2144.681000,35.384210,-118.824060,
304.400000,2227.046000,35.384700,-118.823380,
304.100000,2318.678000,35.385260,-118.822640,
304.800000,2413.069000,35.385830,-118.821870,
304.900000,2441.205000,35.385990,-118.821630,
305.200000,2456.110000,35.386060,-118.821490,
306.600000,2470.249000,35.386130,-118.821360,
307.500000,2476.981000,35.386150,-118.821290,
313.000000,2526.585000,35.386330,-118.820790,
314.400000,2575.790000,35.386480,-118.820280,
314.600000,2589.253000,35.386520,-118.820140,
316.100000,2617.829000,35.386620,-118.819850,
319.500000,2643.611000,35.386730,-118.819600,
322.500000,2665.506000,35.386840,-118.819400,
326.000000,2711.313000,35.387080,-118.818990,
327.000000,2745.118000,35.387260,-118.818690,
