alt,dst,lat,lon,mdata
1010.000000,0.000000,41.295640,-122.814270,E:\Dropbox\website\dev2\climbing\climbs\Callahan-Cecilville-Rd-E.-Callahan.tcx
1009.200000,68.073000,41.295580,-122.815080,
1010.600000,94.096000,41.295560,-122.815390,
1018.600000,172.266000,41.295490,-122.816320,
1023.400000,221.812000,41.295450,-122.816910,
1026.400000,253.671000,41.295430,-122.817290,
1028.800000,271.235000,41.295430,-122.817500,
1030.900000,285.453000,41.295430,-122.817670,
1034.200000,308.897000,41.295440,-122.817950,
1036.500000,335.684000,41.295450,-122.818270,
1037.000000,372.635000,41.295480,-122.818710,
1042.200000,483.235000,41.295540,-122.820030,
1045.100000,547.875000,41.295590,-122.820800,
1034.800000,612.514000,41.295640,-122.821570,
1033.600000,625.060000,41.295640,-122.821720,
1033.100000,635.932000,41.295640,-122.821850,
1033.100000,652.696000,41.295630,-122.822050,
1034.400000,671.965000,41.295620,-122.822280,
1043.000000,736.834000,41.295550,-122.823050,
1045.900000,761.317000,41.295520,-122.823340,
1046.500000,783.631000,41.295450,-122.823590,
1046.700000,796.613000,41.295420,-122.823740,
1047.100000,807.542000,41.295410,-122.823870,
1047.600000,825.976000,41.295400,-122.824090,
1049.300000,859.504000,41.295420,-122.824490,
1050.200000,874.722000,41.295440,-122.824670,
1051.600000,891.597000,41.295460,-122.824870,
1052.500000,905.859000,41.295470,-122.825040,
1052.500000,925.931000,41.295470,-122.825280,
1052.100000,956.896000,41.295480,-122.825650,
1051.200000,975.330000,41.295470,-122.825870,
1050.300000,988.071000,41.295450,-122.826020,
1050.300000,995.598000,41.295450,-122.826110,
1050.300000,1034.071000,41.295450,-122.826570,
1050.200000,1047.452000,41.295450,-122.826730,
1049.500000,1058.551000,41.295430,-122.826860,
1049.100000,1070.470000,41.295410,-122.827000,
1047.600000,1094.540000,41.295360,-122.827280,
1045.800000,1112.964000,41.295310,-122.827490,
1046.400000,1131.895000,41.295270,-122.827710,
1047.000000,1140.130000,41.295240,-122.827800,
1047.500000,1147.608000,41.295210,-122.827880,
1047.600000,1154.348000,41.295180,-122.827950,
1047.500000,1161.704000,41.295140,-122.828020,
1045.100000,1213.525000,41.294820,-122.828470,
1045.300000,1220.265000,41.294790,-122.828540,
1045.300000,1227.620000,41.294750,-122.828610,
1045.800000,1234.360000,41.294720,-122.828680,
1046.900000,1240.320000,41.294710,-122.828750,
1047.500000,1245.810000,41.294690,-122.828810,
1049.000000,1253.419000,41.294680,-122.828900,
1050.500000,1260.946000,41.294680,-122.828990,
1051.900000,1268.555000,41.294690,-122.829080,
1052.800000,1276.164000,41.294700,-122.829170,
1053.600000,1283.216000,41.294720,-122.829250,
1054.200000,1290.268000,41.294740,-122.829330,
1054.600000,1296.227000,41.294750,-122.829400,
1054.700000,1301.245000,41.294750,-122.829460,
1054.700000,1307.205000,41.294740,-122.829530,
1054.200000,1320.930000,41.294690,-122.829680,
1054.000000,1327.193000,41.294670,-122.829750,
1054.200000,1338.291000,41.294650,-122.829880,
1054.600000,1344.146000,41.294650,-122.829950,
1055.300000,1351.755000,41.294660,-122.830040,
1055.500000,1356.895000,41.294650,-122.830100,
1055.600000,1362.385000,41.294630,-122.830160,
1055.100000,1366.562000,41.294600,-122.830190,
1053.700000,1376.076000,41.294520,-122.830230,
1049.200000,1423.638000,41.294110,-122.830390,
1049.000000,1431.824000,41.294040,-122.830420,
1049.100000,1436.935000,41.294000,-122.830450,
1049.600000,1448.074000,41.293920,-122.830530,
1050.900000,1466.213000,41.293810,-122.830690,
1050.900000,1474.567000,41.293750,-122.830750,
1050.800000,1479.678000,41.293710,-122.830780,
1050.500000,1484.435000,41.293670,-122.830800,
1049.000000,1534.795000,41.293230,-122.830940,
1048.800000,1564.988000,41.292980,-122.831080,
1048.800000,1571.482000,41.292930,-122.831120,
1048.800000,1576.593000,41.292890,-122.831150,
1049.200000,1586.047000,41.292830,-122.831230,
1049.400000,1590.775000,41.292800,-122.831270,
1050.000000,1598.253000,41.292770,-122.831350,
1050.300000,1604.962000,41.292730,-122.831410,
1050.600000,1613.040000,41.292680,-122.831480,
1050.800000,1620.534000,41.292630,-122.831540,
1050.600000,1628.415000,41.292570,-122.831590,
1050.500000,1636.295000,41.292510,-122.831640,
1050.100000,1644.481000,41.292440,-122.831670,
1049.800000,1650.293000,41.292390,-122.831690,
1049.000000,1673.037000,41.292200,-122.831790,
1048.700000,1693.084000,41.292040,-122.831900,
1049.300000,1720.438000,41.291840,-122.832090,
1049.200000,1732.649000,41.291740,-122.832150,
1049.200000,1739.784000,41.291680,-122.832180,
1048.900000,1747.621000,41.291610,-122.832190,
1048.700000,1755.413000,41.291540,-122.832190,
