alt,dst,lat,lon,mdata
889.100000,0.000000,41.203400,-123.070830,E:\Dropbox\website\dev2\climbing\climbs\Callahan-Cecilville-Rd-W.-Cecilville.tcx
890.100000,4.333000,41.203410,-123.070780,
891.600000,12.782000,41.203400,-123.070680,
893.400000,23.076000,41.203380,-123.070560,
894.500000,30.936000,41.203360,-123.070470,
895.300000,37.207000,41.203340,-123.070400,
895.700000,44.569000,41.203300,-123.070330,
896.200000,51.316000,41.203270,-123.070260,
896.200000,58.815000,41.203220,-123.070200,
896.400000,65.529000,41.203180,-123.070140,
896.200000,75.281000,41.203110,-123.070070,
895.700000,91.508000,41.202990,-123.069960,
895.000000,106.344000,41.202880,-123.069860,
893.600000,130.026000,41.202710,-123.069690,
893.100000,138.384000,41.202650,-123.069630,
893.000000,145.099000,41.202610,-123.069570,
893.000000,153.809000,41.202560,-123.069490,
893.300000,162.564000,41.202520,-123.069400,
893.900000,170.809000,41.202490,-123.069310,
894.600000,178.668000,41.202470,-123.069220,
896.000000,188.780000,41.202460,-123.069100,
897.200000,197.156000,41.202460,-123.069000,
898.400000,205.605000,41.202470,-123.068900,
899.000000,211.573000,41.202480,-123.068830,
899.800000,216.315000,41.202500,-123.068780,
900.700000,222.349000,41.202530,-123.068720,
901.300000,227.846000,41.202550,-123.068660,
902.800000,237.216000,41.202600,-123.068570,
905.300000,245.574000,41.202660,-123.068510,
907.800000,253.073000,41.202710,-123.068450,
912.600000,267.523000,41.202810,-123.068340,
916.800000,282.521000,41.202910,-123.068220,
919.900000,296.712000,41.203000,-123.068100,
921.700000,311.436000,41.203080,-123.067960,
922.700000,333.522000,41.203200,-123.067750,
921.300000,357.615000,41.203330,-123.067520,
919.800000,375.036000,41.203430,-123.067360,
918.800000,383.081000,41.203470,-123.067280,
918.800000,391.440000,41.203530,-123.067220,
918.900000,398.405000,41.203580,-123.067170,
919.200000,409.067000,41.203660,-123.067100,
920.100000,423.026000,41.203770,-123.067020,
920.900000,436.469000,41.203870,-123.066930,
921.200000,446.746000,41.203940,-123.066850,
921.200000,454.108000,41.203980,-123.066780,
921.300000,459.464000,41.204010,-123.066730,
921.400000,478.269000,41.204100,-123.066540,
922.200000,494.358000,41.204180,-123.066380,
922.800000,514.471000,41.204280,-123.066180,
922.900000,527.188000,41.204350,-123.066060,
923.100000,538.627000,41.204420,-123.065960,
923.400000,546.126000,41.204470,-123.065900,
924.400000,564.236000,41.204600,-123.065770,
925.700000,578.686000,41.204700,-123.065660,
926.400000,590.125000,41.204770,-123.065560,
926.300000,599.495000,41.204820,-123.065470,
925.300000,609.295000,41.204850,-123.065360,
924.600000,616.914000,41.204860,-123.065270,
924.700000,623.706000,41.204870,-123.065190,
925.700000,630.406000,41.204870,-123.065110,
928.000000,638.855000,41.204860,-123.065010,
931.300000,647.521000,41.204840,-123.064910,
937.400000,663.248000,41.204780,-123.064740,
939.300000,672.264000,41.204750,-123.064640,
941.000000,682.558000,41.204730,-123.064520,
941.300000,686.088000,41.204720,-123.064480,
942.400000,691.113000,41.204720,-123.064420,
943.300000,696.138000,41.204720,-123.064360,
943.700000,701.163000,41.204720,-123.064300,
943.900000,706.189000,41.204720,-123.064240,
944.500000,712.156000,41.204730,-123.064170,
945.200000,720.015000,41.204750,-123.064080,
945.300000,724.349000,41.204760,-123.064030,
946.000000,729.091000,41.204780,-123.063980,
946.600000,735.838000,41.204810,-123.063910,
947.300000,743.200000,41.204850,-123.063840,
947.900000,755.266000,41.204920,-123.063730,
947.900000,765.337000,41.204980,-123.063640,
946.900000,783.410000,41.205080,-123.063470,
947.300000,813.002000,41.205260,-123.063210,
947.600000,840.491000,41.205420,-123.062960,
947.000000,855.214000,41.205500,-123.062820,
947.100000,866.056000,41.205570,-123.062730,
946.700000,874.766000,41.205620,-123.062650,
945.900000,893.687000,41.205740,-123.062490,
945.500000,900.652000,41.205790,-123.062440,
945.500000,905.765000,41.205830,-123.062410,
944.900000,911.337000,41.205870,-123.062370,
945.100000,917.150000,41.205920,-123.062350,
945.100000,922.962000,41.205970,-123.062330,
945.300000,928.591000,41.206020,-123.062320,
945.600000,938.749000,41.206110,-123.062300,
946.000000,944.315000,41.206160,-123.062300,
946.600000,951.046000,41.206220,-123.062310,
950.200000,969.343000,41.206380,-123.062360,
951.900000,974.971000,41.206430,-123.062370,
954.100000,981.857000,41.206490,-123.062390,
957.100000,988.589000,41.206550,-123.062380,
960.900000,997.494000,41.206630,-123.062380,
963.400000,1005.331000,41.206700,-123.062370,
965.000000,1013.519000,41.206770,-123.062340,
966.300000,1020.405000,41.206830,-123.062320,
967.400000,1027.877000,41.206890,-123.062280,
968.200000,1036.235000,41.206950,-123.062220,
968.800000,1047.902000,41.207030,-123.062130,
968.800000,1061.513000,41.207120,-123.062020,
967.900000,1083.021000,41.207250,-123.061830,
967.700000,1106.905000,41.207410,-123.061640,
967.600000,1117.746000,41.207480,-123.061550,
968.400000,1129.799000,41.207570,-123.061470,
969.800000,1145.565000,41.207690,-123.061370,
971.600000,1163.669000,41.207830,-123.061260,
973.000000,1173.894000,41.207910,-123.061200,
974.200000,1183.646000,41.207980,-123.061130,
975.100000,1192.532000,41.208040,-123.061060,
976.400000,1201.419000,41.208100,-123.060990,
975.800000,1210.174000,41.208140,-123.060900,
975.400000,1218.218000,41.208180,-123.060820,
973.600000,1235.188000,41.208250,-123.060640,
971.000000,1263.137000,41.208360,-123.060340,
970.000000,1271.381000,41.208390,-123.060250,
969.700000,1278.743000,41.208430,-123.060180,
969.800000,1286.241000,41.208480,-123.060120,
969.800000,1292.354000,41.208520,-123.060070,
969.800000,1304.578000,41.208600,-123.059970,
971.500000,1319.413000,41.208710,-123.059870,
974.000000,1330.075000,41.208790,-123.059800,
976.400000,1341.219000,41.208870,-123.059720,
976.700000,1346.575000,41.208900,-123.059670,
977.300000,1355.285000,41.208950,-123.059590,
977.800000,1360.016000,41.208980,-123.059550,
978.400000,1364.758000,41.209000,-123.059500,
981.100000,1376.246000,41.209050,-123.059380,
984.500000,1388.473000,41.209100,-123.059250,
986.900000,1400.236000,41.209140,-123.059120,
988.700000,1411.998000,41.209180,-123.058990,
990.500000,1424.977000,41.209230,-123.058850,
991.100000,1436.739000,41.209270,-123.058720,
991.600000,1453.227000,41.209330,-123.058540,
991.600000,1460.287000,41.209350,-123.058460,
991.400000,1466.254000,41.209360,-123.058390,
991.400000,1473.314000,41.209380,-123.058310,
990.700000,1479.176000,41.209380,-123.058240,
990.700000,1484.322000,41.209390,-123.058180,
990.100000,1490.289000,41.209380,-123.058110,
990.200000,1496.152000,41.209380,-123.058040,
990.100000,1499.681000,41.209370,-123.058000,
990.200000,1506.741000,41.209350,-123.057920,
989.800000,1512.097000,41.209320,-123.057870,
990.000000,1516.840000,41.209300,-123.057820,
990.200000,1520.862000,41.209280,-123.057780,
990.200000,1525.592000,41.209250,-123.057740,
990.300000,1533.091000,41.209200,-123.057680,
990.200000,1538.203000,41.209160,-123.057650,
990.300000,1543.775000,41.209120,-123.057610,
990.300000,1548.888000,41.209080,-123.057580,
990.600000,1555.853000,41.209030,-123.057530,
990.700000,1565.125000,41.208960,-123.057470,
990.900000,1572.090000,41.208910,-123.057420,
991.400000,1580.174000,41.208860,-123.057350,
991.900000,1587.536000,41.208820,-123.057280,
992.500000,1594.282000,41.208790,-123.057210,
