alt,dst,lat,lon,mdata
1736.600000,0.000000,38.774190,-119.826970,E:\Dropbox\website\dev2\climbing\climbs\Carson-Pass-E.-Markleeville.tcx
1736.200000,6.735000,38.774130,-119.826980,
1739.400000,59.762000,38.774040,-119.827580,
1740.100000,76.586000,38.774010,-119.827770,
1740.800000,93.411000,38.773980,-119.827960,
1741.400000,109.190000,38.773960,-119.828140,
1741.700000,128.246000,38.773910,-119.828350,
1741.900000,138.049000,38.773890,-119.828460,
1741.900000,145.340000,38.773870,-119.828540,
1742.000000,151.810000,38.773850,-119.828610,
1742.100000,160.305000,38.773820,-119.828700,
1742.200000,165.968000,38.773800,-119.828760,
1742.200000,168.800000,38.773790,-119.828790,
1742.400000,175.270000,38.773770,-119.828860,
1742.500000,183.518000,38.773730,-119.828940,
1742.600000,191.223000,38.773700,-119.829020,
1742.900000,200.214000,38.773660,-119.829110,
1743.000000,214.079000,38.773600,-119.829250,
1743.100000,220.265000,38.773570,-119.829310,
1743.200000,227.797000,38.773530,-119.829380,
1743.500000,237.388000,38.773480,-119.829470,
1743.600000,240.814000,38.773460,-119.829500,
1743.700000,244.938000,38.773440,-119.829540,
1744.000000,255.215000,38.773380,-119.829630,
1744.300000,264.244000,38.773320,-119.829700,
1746.500000,281.494000,38.773210,-119.829840,
1749.500000,332.637000,38.772880,-119.830250,
1750.400000,354.919000,38.772730,-119.830420,
1753.600000,411.680000,38.772360,-119.830870,
1753.900000,437.953000,38.772190,-119.831080,
1754.400000,463.632000,38.772020,-119.831280,
1754.800000,491.916000,38.771840,-119.831510,
1754.900000,501.550000,38.771780,-119.831590,
1755.000000,510.449000,38.771730,-119.831670,
1754.900000,522.113000,38.771660,-119.831770,
1754.900000,531.704000,38.771610,-119.831860,
1755.000000,539.236000,38.771570,-119.831930,
1755.200000,546.088000,38.771530,-119.831990,
1755.200000,551.563000,38.771500,-119.832040,
1755.400000,557.750000,38.771470,-119.832100,
1755.600000,563.225000,38.771440,-119.832150,
1756.000000,571.474000,38.771400,-119.832230,
1756.600000,581.784000,38.771350,-119.832330,
1758.500000,603.886000,38.771250,-119.832550,
1759.700000,629.366000,38.771130,-119.832800,
1762.700000,701.106000,38.770800,-119.833510,
1764.600000,752.454000,38.770580,-119.834030,
1765.200000,765.035000,38.770530,-119.834160,
1765.700000,774.789000,38.770490,-119.834260,
1766.100000,785.324000,38.770450,-119.834370,
1766.500000,793.819000,38.770420,-119.834460,
1766.900000,805.949000,38.770380,-119.834590,
1767.700000,818.889000,38.770340,-119.834730,
1769.100000,830.656000,38.770310,-119.834860,
1769.700000,836.320000,38.770290,-119.834920,
1770.400000,846.123000,38.770270,-119.835030,
1771.200000,861.251000,38.770240,-119.835200,
1772.200000,880.857000,38.770200,-119.835420,
1774.100000,938.359000,38.770100,-119.836070,
1779.300000,1113.212000,38.769810,-119.838050,
1781.200000,1132.596000,38.769780,-119.838270,
1782.500000,1150.273000,38.769750,-119.838470,
1782.900000,1166.249000,38.769720,-119.838650,
1784.800000,1215.874000,38.769630,-119.839210,
1785.600000,1235.258000,38.769600,-119.839430,
1786.200000,1262.980000,38.769540,-119.839740,
1787.100000,1287.686000,38.769500,-119.840020,
1787.900000,1310.929000,38.769450,-119.840280,
1788.500000,1323.282000,38.769430,-119.840420,
1788.800000,1332.242000,38.769410,-119.840520,
1789.000000,1339.534000,38.769390,-119.840600,
1789.200000,1344.859000,38.769380,-119.840660,
1789.200000,1350.522000,38.769360,-119.840720,
1789.400000,1357.814000,38.769340,-119.840800,
1789.700000,1366.774000,38.769320,-119.840900,
1790.100000,1380.933000,38.769270,-119.841050,
1790.300000,1386.596000,38.769250,-119.841110,
1790.700000,1393.067000,38.769230,-119.841180,
1791.800000,1407.226000,38.769180,-119.841330,
1793.100000,1416.981000,38.769140,-119.841430,
1794.300000,1426.735000,38.769100,-119.841530,
1795.100000,1437.270000,38.769060,-119.841640,
1795.600000,1457.166000,38.768960,-119.841830,
1795.900000,1468.217000,38.768910,-119.841940,
1795.800000,1482.652000,38.768840,-119.842080,
1796.200000,1508.016000,38.768710,-119.842320,
1795.500000,1578.639000,38.768350,-119.842990,
1797.900000,1611.534000,38.768180,-119.843300,
1799.700000,1662.977000,38.767920,-119.843790,
1800.500000,1690.402000,38.767780,-119.844050,
1802.900000,1726.932000,38.767610,-119.844410,
1806.100000,1750.952000,38.767490,-119.844640,
1806.900000,1786.008000,38.767320,-119.844980,
1808.300000,1891.059000,38.766800,-119.845990,
1811.900000,1956.215000,38.766470,-119.846610,
1824.600000,2146.937000,38.765510,-119.848430,
1834.000000,2258.072000,38.764950,-119.849490,
1836.900000,2288.278000,38.764800,-119.849780,
1838.800000,2312.299000,38.764680,-119.850010,
1838.800000,2315.945000,38.764670,-119.850050,
1839.000000,2320.822000,38.764650,-119.850100,
1839.500000,2335.455000,38.764590,-119.850250,
1840.300000,2361.400000,38.764490,-119.850520,
1840.500000,2369.105000,38.764460,-119.850600,
1840.900000,2376.397000,38.764440,-119.850680,
1841.900000,2386.153000,38.764400,-119.850780,
1842.900000,2393.445000,38.764380,-119.850860,
1844.500000,2406.387000,38.764340,-119.851000,
1845.300000,2420.670000,38.764310,-119.851160,
1846.000000,2428.793000,38.764290,-119.851250,
1846.600000,2436.085000,38.764270,-119.851330,
1848.300000,2464.413000,38.764220,-119.851650,
1850.600000,2500.256000,38.764140,-119.852050,
1852.200000,2528.824000,38.764080,-119.852370,
1854.900000,2558.236000,38.764020,-119.852700,
1860.400000,2614.527000,38.763900,-119.853330,
1862.000000,2642.251000,38.763840,-119.853640,
1862.500000,2654.605000,38.763820,-119.853780,
1862.600000,2659.086000,38.763810,-119.853830,
1863.000000,2673.151000,38.763790,-119.853990,
1863.400000,2683.626000,38.763780,-119.854110,
1864.200000,2694.277000,38.763760,-119.854230,
1865.300000,2704.753000,38.763750,-119.854350,
1866.400000,2723.014000,38.763740,-119.854560,
1867.600000,2741.378000,38.763720,-119.854770,
1869.500000,2757.869000,38.763720,-119.854960,
1872.800000,2786.535000,38.763710,-119.855290,
1873.600000,2797.873000,38.763720,-119.855420,
1874.700000,2814.365000,38.763720,-119.855610,
1875.600000,2837.907000,38.763740,-119.855880,
1879.000000,2875.495000,38.763780,-119.856310,
1880.600000,2899.167000,38.763810,-119.856580,
1882.300000,2930.053000,38.763860,-119.856930,
1887.400000,3017.016000,38.763980,-119.857920,
1906.200000,3238.812000,38.764310,-119.860440,
1918.500000,3478.469000,38.764680,-119.863160,
1919.500000,3495.295000,38.764710,-119.863350,
1920.200000,3509.360000,38.764730,-119.863510,
1920.600000,3516.392000,38.764740,-119.863590,
1920.800000,3523.684000,38.764760,-119.863670,
1921.500000,3534.335000,38.764780,-119.863790,
1922.500000,3549.748000,38.764820,-119.863960,
1923.200000,3561.516000,38.764850,-119.864090,
1923.600000,3572.454000,38.764880,-119.864210,
1923.600000,3582.569000,38.764910,-119.864320,
1923.800000,3594.699000,38.764950,-119.864450,
1924.000000,3607.641000,38.764990,-119.864590,
1924.800000,3621.801000,38.765040,-119.864740,
1929.000000,3663.155000,38.765200,-119.865170,
1931.600000,3728.410000,38.765450,-119.865850,
1935.600000,3867.728000,38.765970,-119.867310,
1935.800000,3874.661000,38.766000,-119.867380,
1936.900000,3920.891000,38.766180,-119.867860,
1937.100000,3946.054000,38.766280,-119.868120,
1939.400000,3997.161000,38.766480,-119.868650,
1941.100000,4013.847000,38.766550,-119.868820,
1942.300000,4040.288000,38.766660,-119.869090,
1942.500000,4055.461000,38.766730,-119.869240,
1942.700000,4062.394000,38.766760,-119.869310,
1943.200000,4072.705000,38.766810,-119.869410,
1943.900000,4084.357000,38.766870,-119.869520,
1944.700000,4101.481000,38.766960,-119.869680,
1945.000000,4109.730000,38.767000,-119.869760,
1945.200000,4123.433000,38.767080,-119.869880,
1945.800000,4139.861000,38.767170,-119.870030,
1946.300000,4148.760000,38.767220,-119.870110,
1946.700000,4159.038000,38.767280,-119.870200,
1946.900000,4180.333000,38.767410,-119.870380,
1946.800000,4190.771000,38.767480,-119.870460,
1947.000000,4205.222000,38.767570,-119.870580,
1947.000000,4215.659000,38.767640,-119.870660,
1947.100000,4230.325000,38.767740,-119.870770,
1947.200000,4240.762000,38.767810,-119.870850,
1947.400000,4254.017000,38.767900,-119.870950,
1947.300000,4263.390000,38.767970,-119.871010,
1947.400000,4273.827000,38.768040,-119.871090,
1947.100000,4291.656000,38.768170,-119.871210,
1946.800000,4315.552000,38.768350,-119.871360,
1946.700000,4345.102000,38.768580,-119.871530,
1946.800000,4367.685000,38.768760,-119.871650,
1948.500000,4404.338000,38.769050,-119.871850,
1951.400000,4434.859000,38.769290,-119.872020,
1953.100000,4465.961000,38.769540,-119.872180,
