alt,dst,lat,lon,mdata
71.700000,0.000000,38.339410,-122.489700,E:\Dropbox\website\dev2\climbing\climbs\Cavedale-Rd-Sonoma.tcx
75.000000,51.812000,38.339780,-122.489340,
77.300000,80.979000,38.340030,-122.489240,
82.000000,106.979000,38.340250,-122.489140,
83.000000,128.610000,38.340420,-122.489020,
84.900000,149.274000,38.340580,-122.488900,
88.100000,169.388000,38.340710,-122.488740,
89.000000,197.624000,38.340880,-122.488500,
88.600000,223.819000,38.341040,-122.488280,
88.300000,241.007000,38.341140,-122.488130,
88.400000,254.886000,38.341230,-122.488020,
94.100000,297.621000,38.341590,-122.487850,
95.400000,329.749000,38.341860,-122.487720,
100.900000,382.518000,38.342310,-122.487530,
101.400000,390.738000,38.342380,-122.487500,
102.400000,401.094000,38.342470,-122.487470,
104.700000,414.901000,38.342590,-122.487430,
106.100000,440.740000,38.342780,-122.487260,
106.900000,485.399000,38.343130,-122.487010,
109.300000,507.927000,38.343300,-122.486870,
109.600000,516.148000,38.343370,-122.486840,
109.700000,523.710000,38.343410,-122.486770,
110.300000,532.511000,38.343400,-122.486670,
111.800000,543.312000,38.343320,-122.486600,
113.200000,554.618000,38.343230,-122.486540,
113.900000,564.973000,38.343140,-122.486510,
114.600000,575.902000,38.343050,-122.486460,
114.900000,581.536000,38.343000,-122.486450,
118.700000,602.154000,38.342890,-122.486260,
120.900000,630.198000,38.342800,-122.485960,
125.600000,661.648000,38.342790,-122.485600,
126.800000,682.721000,38.342810,-122.485360,
128.700000,695.730000,38.342850,-122.485220,
130.800000,706.441000,38.342870,-122.485100,
132.500000,718.664000,38.342870,-122.484960,
132.600000,735.336000,38.342820,-122.484780,
132.100000,750.832000,38.342780,-122.484610,
133.000000,773.641000,38.342760,-122.484350,
136.900000,790.379000,38.342780,-122.484160,
137.900000,804.392000,38.342790,-122.484000,
137.400000,826.073000,38.342840,-122.483760,
138.700000,855.780000,38.342950,-122.483450,
141.600000,870.817000,38.343000,-122.483290,
144.100000,879.827000,38.343020,-122.483190,
146.400000,887.995000,38.343040,-122.483100,
147.600000,909.213000,38.343010,-122.482860,
149.600000,948.070000,38.342920,-122.482430,
153.600000,988.905000,38.342820,-122.481980,
155.800000,1005.642000,38.342800,-122.481790,
157.300000,1024.850000,38.342800,-122.481570,
157.800000,1043.718000,38.342760,-122.481360,
162.000000,1076.241000,38.342660,-122.481010,
163.000000,1101.440000,38.342580,-122.480740,
165.100000,1118.938000,38.342530,-122.480550,
167.800000,1134.434000,38.342490,-122.480380,
169.000000,1156.375000,38.342470,-122.480130,
174.200000,1190.498000,38.342450,-122.479740,
175.300000,1201.209000,38.342430,-122.479620,
175.000000,1209.747000,38.342400,-122.479530,
174.600000,1218.285000,38.342370,-122.479440,
173.800000,1227.317000,38.342330,-122.479350,
173.800000,1231.682000,38.342330,-122.479300,
174.000000,1236.583000,38.342350,-122.479250,
174.100000,1242.795000,38.342380,-122.479190,
174.000000,1250.332000,38.342440,-122.479150,
175.300000,1270.568000,38.342600,-122.479040,
179.500000,1289.410000,38.342750,-122.478940,
180.200000,1302.552000,38.342850,-122.478860,
181.100000,1317.942000,38.342980,-122.478800,
182.000000,1327.961000,38.343070,-122.478800,
182.600000,1331.413000,38.343100,-122.478810,
185.300000,1346.528000,38.343230,-122.478860,
187.000000,1360.214000,38.343340,-122.478930,
187.400000,1363.666000,38.343370,-122.478940,
187.500000,1365.892000,38.343390,-122.478940,
188.000000,1378.892000,38.343500,-122.478890,
188.300000,1381.118000,38.343520,-122.478890,
190.000000,1394.477000,38.343640,-122.478890,
190.700000,1401.380000,38.343700,-122.478910,
191.100000,1411.550000,38.343790,-122.478930,
191.300000,1417.116000,38.343840,-122.478930,
192.200000,1427.471000,38.343930,-122.478900,
193.100000,1430.811000,38.343960,-122.478900,
194.500000,1435.594000,38.344000,-122.478920,
197.700000,1449.279000,38.344110,-122.478990,
199.500000,1459.611000,38.344190,-122.479050,
200.200000,1464.777000,38.344230,-122.479080,
201.000000,1468.546000,38.344260,-122.479100,
201.200000,1474.697000,38.344310,-122.479130,
201.400000,1480.356000,38.344350,-122.479170,
201.200000,1486.015000,38.344390,-122.479210,
200.800000,1492.890000,38.344430,-122.479270,
200.600000,1500.534000,38.344480,-122.479330,
200.800000,1503.873000,38.344510,-122.479330,
201.000000,1506.265000,38.344530,-122.479320,
201.700000,1513.338000,38.344580,-122.479270,
202.000000,1515.409000,38.344590,-122.479250,
202.600000,1518.901000,38.344590,-122.479210,
202.800000,1520.972000,38.344580,-122.479190,
203.200000,1523.818000,38.344570,-122.479160,
204.200000,1532.101000,38.344530,-122.479080,
205.800000,1547.340000,38.344460,-122.478930,
206.800000,1572.791000,38.344310,-122.478710,
207.300000,1589.280000,38.344220,-122.478560,
209.700000,1616.815000,38.344080,-122.478300,
212.600000,1631.698000,38.344070,-122.478130,
213.500000,1653.665000,38.343990,-122.477900,
215.300000,1676.625000,38.343890,-122.477670,
219.600000,1691.326000,38.343830,-122.477520,
221.100000,1704.383000,38.343760,-122.477400,
221.500000,1712.666000,38.343720,-122.477320,
221.800000,1715.286000,38.343720,-122.477290,
222.600000,1720.118000,38.343750,-122.477250,
223.700000,1726.797000,38.343810,-122.477250,
223.200000,1743.286000,38.343900,-122.477400,
226.700000,1782.720000,38.344150,-122.477720,
229.400000,1796.487000,38.344220,-122.477850,
230.300000,1811.726000,38.344290,-122.478000,
229.300000,1828.293000,38.344370,-122.478160,
230.600000,1838.648000,38.344460,-122.478190,
231.200000,1847.187000,38.344530,-122.478230,
231.100000,1852.683000,38.344560,-122.478280,
233.600000,1872.489000,38.344700,-122.478420,
234.900000,1893.640000,38.344890,-122.478420,
235.300000,1911.140000,38.345040,-122.478360,
236.900000,1921.453000,38.345100,-122.478270,
256.300000,2095.490000,38.346000,-122.476640,
260.100000,2127.721000,38.346220,-122.476400,
260.700000,2148.669000,38.346400,-122.476330,
260.300000,2167.913000,38.346570,-122.476370,
260.400000,2170.759000,38.346580,-122.476400,
260.800000,2172.830000,38.346590,-122.476420,
261.200000,2177.195000,38.346590,-122.476470,
261.500000,2194.383000,38.346490,-122.476620,
264.500000,2213.503000,38.346420,-122.476820,
266.600000,2246.024000,38.346320,-122.477170,
269.900000,2275.870000,38.346250,-122.477500,
272.600000,2304.874000,38.346180,-122.477820,
276.200000,2331.089000,38.346170,-122.478120,
279.500000,2367.742000,38.346270,-122.478520,
283.600000,2397.971000,38.346440,-122.478790,
285.000000,2412.678000,38.346570,-122.478820,
287.200000,2434.200000,38.346750,-122.478730,
290.200000,2462.898000,38.346990,-122.478610,
295.300000,2529.703000,38.347580,-122.478470,
306.400000,2632.251000,38.348500,-122.478410,
311.800000,2691.599000,38.349020,-122.478260,
313.100000,2706.885000,38.349120,-122.478140,
313.700000,2731.734000,38.349240,-122.477900,
313.500000,2759.904000,38.349400,-122.477650,
314.000000,2783.440000,38.349550,-122.477460,
314.700000,2799.509000,38.349680,-122.477380,
317.800000,2822.842000,38.349880,-122.477300,
320.600000,2855.231000,38.350170,-122.477270,
330.100000,2936.669000,38.350860,-122.476960,
331.500000,2952.351000,38.351000,-122.476940,
333.200000,2964.873000,38.351110,-122.476970,
334.200000,2980.942000,38.351240,-122.477050,
333.800000,2990.844000,38.351310,-122.477120,
333.600000,3000.410000,38.351390,-122.477160,
333.900000,3005.976000,38.351440,-122.477160,
334.900000,3013.962000,38.351510,-122.477140,
336.400000,3021.035000,38.351560,-122.477090,
337.900000,3031.388000,38.351610,-122.476990,
338.800000,3038.718000,38.351630,-122.476910,
340.000000,3056.026000,38.351710,-122.476740,
340.200000,3069.904000,38.351800,-122.476630,
340.400000,3088.746000,38.351950,-122.476530,
343.600000,3131.619000,38.352330,-122.476450,
350.300000,3212.017000,38.352790,-122.475740,
352.100000,3235.931000,38.352990,-122.475640,
359.400000,3303.925000,38.353600,-122.475600,
359.700000,3311.766000,38.353670,-122.475610,
360.100000,3337.230000,38.353850,-122.475790,
361.200000,3342.013000,38.353890,-122.475810,
365.300000,3368.786000,38.354130,-122.475830,
370.600000,3433.433000,38.354510,-122.476390,
370.200000,3463.060000,38.354690,-122.476640,
376.600000,3546.050000,38.355380,-122.477000,
376.800000,3550.588000,38.355420,-122.477010,
376.800000,3551.701000,38.355430,-122.477010,
376.900000,3553.115000,38.355440,-122.477000,
377.000000,3554.229000,38.355450,-122.477000,
377.200000,3556.299000,38.355460,-122.476980,
377.200000,3557.172000,38.355460,-122.476970,
377.400000,3559.243000,38.355470,-122.476950,
377.700000,3562.734000,38.355470,-122.476910,
377.800000,3567.634000,38.355450,-122.476860,
378.300000,3571.071000,38.355430,-122.476830,
381.200000,3591.764000,38.355280,-122.476690,
382.300000,3605.052000,38.355190,-122.476590,
384.200000,3648.905000,38.354900,-122.476250,
392.900000,3715.041000,38.354570,-122.475620,
