alt,dst,lat,lon,mdata
1452.300000,0.000000,41.529970,-120.190380,E:\Dropbox\website\dev2\climbing\climbs\Cedar-Pass-E.-Cedarville.tcx
1460.200000,83.960000,41.530110,-120.191370,
1461.100000,136.813000,41.530210,-120.191990,
1463.100000,158.117000,41.530250,-120.192240,
1468.500000,182.916000,41.530300,-120.192530,
1470.900000,239.936000,41.530460,-120.193180,
1469.400000,302.770000,41.530650,-120.193890,
1469.700000,325.443000,41.530710,-120.194150,
1470.100000,343.500000,41.530750,-120.194360,
1470.100000,358.665000,41.530770,-120.194540,
1470.600000,372.875000,41.530780,-120.194710,
1471.100000,384.595000,41.530790,-120.194850,
1471.400000,399.636000,41.530780,-120.195030,
1472.800000,413.846000,41.530770,-120.195200,
1477.000000,452.757000,41.530710,-120.195660,
1483.000000,519.348000,41.530620,-120.196450,
1482.700000,537.816000,41.530600,-120.196670,
1482.100000,551.196000,41.530590,-120.196830,
1481.600000,567.069000,41.530600,-120.197020,
1479.700000,582.233000,41.530620,-120.197200,
1478.200000,596.573000,41.530640,-120.197370,
1480.600000,614.389000,41.530670,-120.197580,
1483.200000,654.197000,41.530790,-120.198030,
1491.400000,852.201000,41.531480,-120.200220,
1493.000000,907.617000,41.531660,-120.200840,
1493.600000,920.555000,41.531690,-120.200990,
1492.500000,955.863000,41.531770,-120.201400,
1492.600000,986.358000,41.531850,-120.201750,
1497.800000,1003.141000,41.531900,-120.201940,
1505.800000,1058.034000,41.531980,-120.202590,
1506.700000,1076.091000,41.532020,-120.202800,
1506.400000,1102.277000,41.532090,-120.203100,
1505.900000,1116.725000,41.532140,-120.203260,
1504.900000,1141.828000,41.532240,-120.203530,
1518.700000,1326.497000,41.532970,-120.205520,
1521.500000,1382.302000,41.533140,-120.206150,
1522.300000,1406.112000,41.533210,-120.206420,
1525.800000,1440.343000,41.533280,-120.206820,
1528.600000,1473.521000,41.533340,-120.207210,
1529.900000,1516.981000,41.533370,-120.207730,
1531.500000,1565.364000,41.533390,-120.208310,
1544.300000,1757.026000,41.533400,-120.210610,
1543.900000,1808.051000,41.533440,-120.211220,
1543.100000,1814.810000,41.533450,-120.211300,
1554.600000,1904.571000,41.533630,-120.212350,
1557.300000,2023.152000,41.533890,-120.213730,
1566.100000,2113.209000,41.534110,-120.214770,
1572.100000,2261.974000,41.534440,-120.216500,
1576.500000,2283.072000,41.534470,-120.216750,
1579.000000,2295.207000,41.534500,-120.216890,
1579.700000,2310.247000,41.534510,-120.217070,
1579.700000,2316.914000,41.534510,-120.217150,
1579.400000,2334.412000,41.534510,-120.217360,
1578.900000,2351.078000,41.534510,-120.217560,
1578.600000,2361.139000,41.534500,-120.217680,
1578.600000,2371.384000,41.534480,-120.217800,
1579.200000,2381.445000,41.534470,-120.217920,
1579.800000,2393.579000,41.534440,-120.218060,
1580.100000,2402.557000,41.534410,-120.218160,
1581.000000,2410.380000,41.534390,-120.218250,
1583.800000,2427.563000,41.534330,-120.218440,
1584.800000,2445.209000,41.534260,-120.218630,
1589.600000,2465.373000,41.534170,-120.218840,
1591.400000,2511.565000,41.533950,-120.219310,
1591.800000,2543.027000,41.533800,-120.219630,
1592.000000,2554.471000,41.533750,-120.219750,
1592.600000,2569.383000,41.533690,-120.219910,
1592.900000,2584.295000,41.533630,-120.220070,
1593.300000,2596.782000,41.533590,-120.220210,
1593.600000,2608.118000,41.533560,-120.220340,
1594.200000,2618.363000,41.533540,-120.220460,
1595.000000,2635.360000,41.533510,-120.220660,
1599.000000,2650.401000,41.533500,-120.220840,
1602.700000,2673.759000,41.533490,-120.221120,
1603.300000,2687.277000,41.533510,-120.221280,
1604.000000,2702.643000,41.533540,-120.221460,
1604.000000,2718.824000,41.533570,-120.221650,
1604.100000,2732.093000,41.533610,-120.221800,
1603.000000,2765.658000,41.533710,-120.222180,
1608.200000,2816.787000,41.533880,-120.222750,
1616.200000,2864.408000,41.534040,-120.223280,
1619.500000,2951.038000,41.534320,-120.224250,
1619.200000,2991.232000,41.534450,-120.224700,
1619.000000,3002.944000,41.534490,-120.224830,
1620.000000,3013.668000,41.534540,-120.224940,
1621.700000,3029.110000,41.534610,-120.225100,
1622.800000,3042.553000,41.534670,-120.225240,
1624.000000,3057.230000,41.534750,-120.225380,
1623.800000,3079.244000,41.534870,-120.225590,
1624.300000,3089.287000,41.534930,-120.225680,
1626.400000,3100.102000,41.535000,-120.225770,
1631.400000,3120.611000,41.535140,-120.225930,
1629.100000,3168.272000,41.535460,-120.226310,
1629.900000,3217.319000,41.535790,-120.226700,
1633.100000,3235.613000,41.535910,-120.226850,
1635.300000,3247.255000,41.535990,-120.226940,
1637.500000,3258.664000,41.536060,-120.227040,
1639.100000,3274.041000,41.536150,-120.227180,
1639.300000,3283.380000,41.536200,-120.227270,
1639.500000,3296.057000,41.536270,-120.227390,
1641.300000,3315.411000,41.536370,-120.227580,
1644.600000,3334.147000,41.536460,-120.227770,
1646.000000,3349.589000,41.536530,-120.227930,
1646.600000,3374.475000,41.536640,-120.228190,
1647.300000,3413.530000,41.536810,-120.228600,
1647.600000,3437.149000,41.536910,-120.228850,
1652.900000,3454.592000,41.536990,-120.229030,
1653.800000,3473.327000,41.537080,-120.229220,
1653.400000,3484.051000,41.537130,-120.229330,
1653.100000,3494.071000,41.537180,-120.229430,
1653.100000,3504.750000,41.537240,-120.229530,
1653.500000,3517.530000,41.537320,-120.229640,
1653.800000,3528.345000,41.537390,-120.229730,
1654.300000,3541.376000,41.537480,-120.229830,
1654.600000,3552.500000,41.537560,-120.229910,
1654.800000,3567.311000,41.537670,-120.230010,
1654.900000,3576.569000,41.537740,-120.230070,
1655.200000,3585.044000,41.537810,-120.230110,
1655.300000,3593.880000,41.537880,-120.230160,
1655.400000,3601.345000,41.537940,-120.230200,
1655.600000,3610.854000,41.538020,-120.230240,
1655.800000,3626.164000,41.538150,-120.230300,
1656.000000,3634.348000,41.538220,-120.230330,
1656.600000,3642.531000,41.538290,-120.230360,
1662.800000,3677.529000,41.538600,-120.230430,
1665.700000,3704.875000,41.538840,-120.230500,
1665.800000,3715.201000,41.538930,-120.230530,
1664.700000,3731.568000,41.539070,-120.230590,
1663.400000,3743.454000,41.539170,-120.230640,
1662.400000,3755.340000,41.539270,-120.230690,
1660.800000,3770.269000,41.539390,-120.230770,
1659.900000,3784.211000,41.539500,-120.230850,
1659.800000,3799.954000,41.539620,-120.230950,
1660.100000,3814.766000,41.539730,-120.231050,
1665.000000,3845.529000,41.539940,-120.231290,
1669.500000,3860.492000,41.540040,-120.231410,
1671.600000,3876.510000,41.540130,-120.231560,
1671.600000,3884.526000,41.540170,-120.231640,
1671.500000,3893.247000,41.540210,-120.231730,
1671.600000,3901.263000,41.540250,-120.231810,
1671.700000,3908.719000,41.540280,-120.231890,
1671.700000,3921.644000,41.540330,-120.232030,
1671.700000,3930.620000,41.540360,-120.232130,
1671.800000,3938.442000,41.540380,-120.232220,
1673.000000,3948.984000,41.540410,-120.232340,
1675.700000,3961.117000,41.540440,-120.232480,
1678.200000,3978.113000,41.540470,-120.232680,
1681.200000,3999.414000,41.540510,-120.232930,
1681.700000,4013.752000,41.540530,-120.233100,
1683.900000,4050.418000,41.540600,-120.233530,
1685.100000,4080.925000,41.540650,-120.233890,
1689.200000,4102.844000,41.540680,-120.234150,
1689.500000,4114.179000,41.540710,-120.234280,
1689.500000,4122.001000,41.540730,-120.234370,
1689.400000,4133.336000,41.540760,-120.234500,
1690.000000,4145.047000,41.540800,-120.234630,
1692.200000,4166.179000,41.540880,-120.234860,
1693.700000,4182.346000,41.540950,-120.235030,
1694.500000,4191.067000,41.540990,-120.235120,
1695.200000,4200.405000,41.541040,-120.235210,
1695.400000,4211.084000,41.541100,-120.235310,
1695.600000,4219.768000,41.541150,-120.235390,
1695.000000,4229.810000,41.541210,-120.235480,
1695.100000,4239.246000,41.541270,-120.235560,
1694.600000,4258.922000,41.541400,-120.235720,
1694.700000,4270.564000,41.541480,-120.235810,
1693.700000,4308.807000,41.541740,-120.236110,
1697.300000,4351.756000,41.542030,-120.236450,
1705.500000,4408.838000,41.542410,-120.236910,
1707.700000,4456.496000,41.542730,-120.237290,
1713.600000,4483.653000,41.542910,-120.237510,
1715.400000,4526.057000,41.543200,-120.237840,
1716.100000,4612.253000,41.543790,-120.238510,
1716.100000,4647.721000,41.544030,-120.238790,
1720.400000,4679.592000,41.544240,-120.239050,
1721.100000,4722.541000,41.544530,-120.239390,
1729.600000,4762.717000,41.544800,-120.239710,
1730.900000,4799.572000,41.545050,-120.240000,
1731.000000,4836.427000,41.545300,-120.240290,
1731.300000,4869.122000,41.545520,-120.240550,
1732.600000,4895.723000,41.545700,-120.240760,
1733.100000,4923.172000,41.545890,-120.240970,
1735.500000,4950.104000,41.546060,-120.241200,
1736.800000,4966.840000,41.546160,-120.241350,
1738.400000,4986.923000,41.546280,-120.241530,
1739.600000,4999.599000,41.546350,-120.241650,
1742.000000,5016.947000,41.546440,-120.241820,
1744.100000,5029.124000,41.546490,-120.241950,
1745.500000,5043.294000,41.546550,-120.242100,
1746.800000,5061.689000,41.546620,-120.242300,
1748.600000,5085.555000,41.546710,-120.242560,
1750.400000,5105.063000,41.546770,-120.242780,
1752.000000,5123.925000,41.546810,-120.243000,
1753.600000,5146.289000,41.546860,-120.243260,
1754.900000,5207.927000,41.546950,-120.243990,
1756.300000,5255.425000,41.547030,-120.244550,
