alt,dst,lat,lon,mdata
1583.700000,0.000000,41.556260,-120.352760,E:\Dropbox\website\dev2\climbing\climbs\Cedar-Pass-W.-Cedarville.tcx
1583.800000,40.151000,41.556180,-120.352290,
1585.700000,143.140000,41.555990,-120.351080,
1591.300000,249.620000,41.555790,-120.349830,
1593.000000,346.451000,41.555620,-120.348690,
1596.600000,417.325000,41.555480,-120.347860,
1602.100000,502.284000,41.555330,-120.346860,
1605.900000,541.829000,41.555280,-120.346390,
1607.600000,564.567000,41.555250,-120.346120,
1608.800000,602.202000,41.555220,-120.345670,
1608.800000,632.273000,41.555200,-120.345310,
1609.100000,661.450000,41.555190,-120.344960,
1609.100000,680.609000,41.555190,-120.344730,
1608.700000,700.601000,41.555190,-120.344490,
1608.000000,723.120000,41.555200,-120.344220,
1607.700000,735.665000,41.555210,-120.344070,
1607.300000,759.925000,41.555230,-120.343780,
1609.000000,785.015000,41.555250,-120.343480,
1612.000000,805.131000,41.555270,-120.343240,
1616.800000,838.092000,41.555320,-120.342850,
1618.100000,853.250000,41.555340,-120.342670,
1620.500000,875.612000,41.555390,-120.342410,
1621.500000,899.592000,41.555440,-120.342130,
1620.800000,923.571000,41.555490,-120.341850,
1620.900000,976.267000,41.555640,-120.341250,
1623.400000,1028.933000,41.555810,-120.340660,
1628.300000,1060.555000,41.555920,-120.340310,
1628.300000,1083.973000,41.556000,-120.340050,
1626.600000,1122.491000,41.556160,-120.339640,
1624.300000,1190.412000,41.556460,-120.338930,
1631.900000,1307.221000,41.556950,-120.337690,
1632.500000,1334.825000,41.557070,-120.337400,
1633.300000,1369.362000,41.557210,-120.337030,
1633.900000,1390.819000,41.557280,-120.336790,
1633.700000,1414.236000,41.557360,-120.336530,
1633.600000,1456.053000,41.557470,-120.336050,
1634.600000,1489.461000,41.557540,-120.335660,
1641.100000,1527.536000,41.557600,-120.335210,
1642.900000,1645.042000,41.557780,-120.333820,
1645.100000,1683.116000,41.557840,-120.333370,
1646.200000,1721.191000,41.557900,-120.332920,
1645.900000,1759.496000,41.558000,-120.332480,
1647.500000,1802.017000,41.558130,-120.332000,
1651.200000,1844.538000,41.558260,-120.331520,
1649.800000,1888.022000,41.558430,-120.331050,
1649.800000,1942.187000,41.558650,-120.330470,
1655.100000,2016.725000,41.558950,-120.329670,
1655.000000,2068.412000,41.559150,-120.329110,
1655.500000,2115.680000,41.559320,-120.328590,
1652.300000,2175.419000,41.559530,-120.327930,
1652.300000,2186.362000,41.559570,-120.327810,
1655.400000,2205.866000,41.559630,-120.327590,
1664.100000,2303.880000,41.559900,-120.326470,
1668.400000,2362.461000,41.560060,-120.325800,
1667.400000,2412.432000,41.560200,-120.325230,
1667.800000,2433.509000,41.560260,-120.324990,
1669.300000,2494.018000,41.560430,-120.324300,
1668.800000,2548.646000,41.560590,-120.323680,
1673.700000,2625.928000,41.560810,-120.322800,
1675.400000,2663.435000,41.560910,-120.322370,
1676.600000,2691.205000,41.560980,-120.322050,
1677.900000,2708.195000,41.561010,-120.321850,
1679.200000,2722.529000,41.561030,-120.321680,
1680.900000,2740.989000,41.561050,-120.321460,
1681.600000,2756.023000,41.561060,-120.321280,
1681.600000,2759.355000,41.561060,-120.321240,
