alt,dst,lat,lon,mdata
104.800000,0.000000,37.859530,-122.244390,E:\Dropbox\website\dev2\climbing\climbs\Claremont-Avenue.tcx
105.100000,4.538662,37.859570,-122.244380,
107.300000,33.601410,37.859830,-122.244350,
109.400000,75.023139,37.860200,-122.244300,
110.400000,99.904411,37.860420,-122.244250,
111.100000,109.192026,37.860500,-122.244220,
111.900000,117.740642,37.860570,-122.244180,
113.200000,127.149523,37.860640,-122.244120,
114.400000,140.476759,37.860730,-122.244020,
114.700000,154.280192,37.860810,-122.243900,
115.100000,164.683093,37.860860,-122.243800,
115.800000,181.048786,37.860920,-122.243630,
116.500000,196.172117,37.860970,-122.243470,
116.800000,207.812259,37.860990,-122.243340,
117.000000,219.291603,37.860980,-122.243210,
117.400000,227.508746,37.860960,-122.243120,
117.800000,235.292483,37.860930,-122.243040,
120.700000,253.285066,37.860820,-122.242890,
122.000000,270.644033,37.860710,-122.242750,
122.300000,288.578799,37.860610,-122.242590,
122.200000,300.329228,37.860550,-122.242480,
122.300000,305.718666,37.860540,-122.242420,
122.300000,310.644828,37.860520,-122.242370,
122.600000,316.796920,37.860520,-122.242300,
122.900000,321.191271,37.860520,-122.242250,
123.600000,327.443264,37.860530,-122.242180,
124.100000,332.716485,37.860530,-122.242120,
125.000000,346.631218,37.860570,-122.241970,
124.400000,369.943816,37.860640,-122.241720,
124.400000,389.648432,37.860720,-122.241520,
124.900000,409.653478,37.860830,-122.241340,
125.600000,426.245956,37.860930,-122.241200,
127.400000,441.580392,37.861030,-122.241080,
128.400000,446.429219,37.861060,-122.241040,
130.800000,473.484108,37.861230,-122.240820,
131.300000,481.078481,37.861270,-122.240750,
132.000000,489.400765,37.861310,-122.240670,
132.400000,497.986613,37.861340,-122.240580,
132.900000,505.974306,37.861350,-122.240490,
136.900000,543.699956,37.861420,-122.240070,
139.000000,571.905064,37.861510,-122.239770,
140.100000,601.213826,37.861640,-122.239480,
142.200000,622.653896,37.861770,-122.239300,
144.200000,644.730973,37.861890,-122.239100,
144.800000,655.133766,37.861940,-122.239000,
145.300000,662.133727,37.861970,-122.238930,
145.700000,667.857582,37.861990,-122.238870,
146.400000,677.778014,37.862010,-122.238760,
148.200000,695.910293,37.862050,-122.238560,
149.500000,713.081839,37.862110,-122.238380,
150.500000,731.519066,37.862160,-122.238180,
151.200000,742.581397,37.862190,-122.238060,
152.700000,772.317438,37.862370,-122.237810,
154.400000,791.312382,37.862500,-122.237670,
155.300000,808.059692,37.862610,-122.237540,
156.000000,817.731382,37.862660,-122.237450,
156.500000,825.325658,37.862700,-122.237380,
157.500000,842.718816,37.862780,-122.237210,
159.600000,882.785401,37.862920,-122.236790,
160.800000,895.870126,37.862960,-122.236650,
161.800000,907.317704,37.863000,-122.236530,
162.900000,922.626686,37.863030,-122.236360,
163.600000,935.375618,37.863060,-122.236220,
163.900000,941.917970,37.863080,-122.236150,
164.600000,951.319491,37.863110,-122.236050,
165.500000,961.962910,37.863150,-122.235940,
166.000000,965.650309,37.863160,-122.235900,
167.000000,979.154445,37.863210,-122.235760,
168.500000,998.858515,37.863290,-122.235560,
172.700000,1049.215136,37.863480,-122.235040,
177.500000,1090.092453,37.863620,-122.234610,
179.800000,1115.904088,37.863690,-122.234330,
179.900000,1117.661753,37.863690,-122.234310,
181.500000,1143.830953,37.863770,-122.234030,
182.700000,1176.754545,37.863910,-122.233700,
186.800000,1216.948278,37.864070,-122.233290,
188.500000,1244.606564,37.864210,-122.233030,
190.400000,1268.220755,37.864360,-122.232840,
192.800000,1292.699597,37.864540,-122.232680,
193.400000,1309.718948,37.864660,-122.232560,
193.700000,1318.228619,37.864720,-122.232500,
194.300000,1327.900123,37.864770,-122.232410,
195.500000,1346.531284,37.864870,-122.232240,
199.300000,1375.658248,37.865010,-122.231960,
201.400000,1390.221716,37.865080,-122.231820,
202.700000,1399.188766,37.865130,-122.231740,
204.700000,1411.605304,37.865200,-122.231630,
205.800000,1417.861092,37.865240,-122.231580,
207.300000,1425.455194,37.865280,-122.231510,
210.200000,1439.110820,37.865380,-122.231420,
211.200000,1449.460276,37.865460,-122.231360,
211.800000,1458.868961,37.865530,-122.231300,
212.600000,1501.369517,37.865870,-122.231080,
213.400000,1514.701606,37.865980,-122.231020,
215.100000,1535.936578,37.866160,-122.230940,
219.300000,1573.345752,37.866480,-122.230810,
221.600000,1595.504198,37.866640,-122.230660,
221.900000,1601.177254,37.866680,-122.230620,
222.500000,1608.268572,37.866730,-122.230570,
223.100000,1614.851598,37.866780,-122.230530,
