alt,dst,lat,lon,mdata
120.800000,0.000000,39.844430,-121.832680,E:\Dropbox\website\dev2\climbing\climbs\Cohasset-Rd-Chico.tcx
120.800000,0.855000,39.844430,-121.832670,
121.800000,21.229000,39.844310,-121.832490,
125.500000,93.916000,39.844740,-121.831850,
127.400000,122.395000,39.844900,-121.831590,
129.900000,156.297000,39.845090,-121.831280,
132.700000,208.502000,39.845370,-121.830790,
130.900000,407.166000,39.846430,-121.828920,
138.700000,569.888000,39.847300,-121.827390,
137.800000,624.128000,39.847590,-121.826880,
142.600000,670.257000,39.847830,-121.826440,
145.900000,718.770000,39.848050,-121.825950,
146.300000,756.816000,39.848200,-121.825550,
155.200000,898.864000,39.848680,-121.824010,
157.400000,965.092000,39.848900,-121.823290,
158.100000,985.852000,39.848960,-121.823060,
159.500000,1007.424000,39.849020,-121.822820,
161.300000,1030.331000,39.849070,-121.822560,
161.700000,1056.567000,39.849120,-121.822260,
161.800000,1093.918000,39.849180,-121.821830,
166.400000,1174.337000,39.849290,-121.820900,
168.900000,1262.702000,39.849420,-121.819880,
170.100000,1275.949000,39.849450,-121.819730,
171.500000,1285.610000,39.849470,-121.819620,
173.600000,1308.517000,39.849520,-121.819360,
173.800000,1346.442000,39.849630,-121.818940,
176.100000,1406.749000,39.849800,-121.818270,
178.700000,1422.763000,39.849840,-121.818090,
180.100000,1437.461000,39.849860,-121.817920,
180.600000,1454.698000,39.849880,-121.817720,
181.000000,1480.361000,39.849890,-121.817420,
181.600000,1500.049000,39.849880,-121.817190,
183.600000,1528.449000,39.849850,-121.816860,
187.200000,1553.850000,39.849800,-121.816570,
187.300000,1574.610000,39.849740,-121.816340,
187.100000,1590.601000,39.849680,-121.816170,
186.800000,1618.245000,39.849570,-121.815880,
186.600000,1637.325000,39.849480,-121.815690,
186.800000,1654.276000,39.849390,-121.815530,
190.200000,1678.790000,39.849240,-121.815320,
192.300000,1700.688000,39.849100,-121.815140,
196.800000,1737.717000,39.848860,-121.814840,
198.400000,1791.676000,39.848520,-121.814390,
198.900000,1807.404000,39.848420,-121.814260,
199.100000,1816.220000,39.848370,-121.814180,
199.200000,1828.459000,39.848310,-121.814060,
199.800000,1845.500000,39.848230,-121.813890,
201.400000,1860.718000,39.848170,-121.813730,
201.700000,1875.482000,39.848120,-121.813570,
201.300000,1887.904000,39.848090,-121.813430,
200.600000,1901.980000,39.848060,-121.813270,
198.600000,1917.524000,39.848040,-121.813090,
196.800000,1931.244000,39.848030,-121.812930,
196.500000,1940.645000,39.848030,-121.812820,
197.300000,1946.628000,39.848030,-121.812750,
200.700000,1960.482000,39.848050,-121.812590,
203.000000,1972.652000,39.848070,-121.812450,
