alt,dst,lat,lon,mdata
19.400000,0.000000,38.365120,-123.070490,E:\Dropbox\website\dev2\climbing\climbs\Coleman-Valley-Road-Bodega-Bay.tcx
19.700000,1.415000,38.365130,-123.070480,
22.100000,21.334000,38.365240,-123.070300,
25.900000,70.839000,38.365530,-123.069870,
26.900000,90.164000,38.365650,-123.069710,
27.100000,102.586000,38.365710,-123.069590,
28.100000,123.474000,38.365800,-123.069380,
29.500000,143.391000,38.365870,-123.069170,
31.000000,166.165000,38.365980,-123.068950,
31.800000,177.861000,38.366040,-123.068840,
32.400000,187.249000,38.366110,-123.068780,
33.600000,202.639000,38.366240,-123.068720,
35.200000,221.469000,38.366400,-123.068650,
37.400000,242.991000,38.366580,-123.068560,
38.200000,256.615000,38.366680,-123.068470,
38.500000,269.085000,38.366760,-123.068370,
39.400000,290.444000,38.366890,-123.068190,
41.600000,316.790000,38.367060,-123.067980,
42.900000,329.885000,38.367140,-123.067870,
45.000000,347.072000,38.367230,-123.067710,
46.100000,357.423000,38.367280,-123.067610,
47.000000,365.705000,38.367320,-123.067530,
47.500000,375.870000,38.367350,-123.067420,
48.100000,386.034000,38.367380,-123.067310,
48.800000,397.028000,38.367410,-123.067190,
49.700000,407.192000,38.367440,-123.067080,
50.600000,416.537000,38.367470,-123.066980,
51.400000,427.531000,38.367500,-123.066860,
51.700000,435.695000,38.367520,-123.066770,
52.500000,446.278000,38.367560,-123.066660,
54.200000,456.589000,38.367620,-123.066570,
55.400000,465.518000,38.367670,-123.066490,
56.700000,475.181000,38.367730,-123.066410,
58.100000,484.233000,38.367790,-123.066340,
59.500000,496.107000,38.367870,-123.066250,
61.300000,515.345000,38.367980,-123.066080,
62.300000,527.045000,38.368050,-123.065980,
63.800000,537.397000,38.368100,-123.065880,
64.600000,546.742000,38.368130,-123.065780,
65.300000,556.540000,38.368170,-123.065680,
65.800000,566.395000,38.368190,-123.065570,
66.600000,576.560000,38.368220,-123.065460,
67.600000,587.033000,38.368220,-123.065340,
69.600000,606.235000,38.368220,-123.065120,
70.500000,616.708000,38.368220,-123.065000,
74.400000,666.506000,38.368240,-123.064430,
78.000000,686.611000,38.368250,-123.064200,
81.400000,727.768000,38.368280,-123.063730,
84.600000,747.842000,38.368280,-123.063500,
86.100000,759.188000,38.368280,-123.063370,
86.800000,767.986000,38.368270,-123.063270,
87.400000,774.489000,38.368250,-123.063200,
87.600000,778.992000,38.368240,-123.063150,
88.300000,788.337000,38.368210,-123.063050,
93.300000,827.814000,38.368100,-123.062620,
94.300000,837.670000,38.368080,-123.062510,
95.100000,847.525000,38.368060,-123.062400,
95.900000,857.190000,38.368050,-123.062290,
96.600000,867.722000,38.368060,-123.062170,
97.600000,877.387000,38.368070,-123.062060,
104.000000,907.579000,38.368120,-123.061720,
106.400000,935.861000,38.368160,-123.061400,
107.400000,948.281000,38.368180,-123.061260,
109.100000,966.053000,38.368210,-123.061060,
110.200000,977.881000,38.368240,-123.060930,
113.400000,988.464000,38.368280,-123.060820,
115.500000,998.262000,38.368320,-123.060720,
116.000000,1003.093000,38.368350,-123.060680,
116.400000,1007.337000,38.368380,-123.060650,
116.600000,1012.502000,38.368420,-123.060620,
116.900000,1017.040000,38.368460,-123.060610,
117.100000,1021.492000,38.368500,-123.060610,
