alt,dst,lat,lon,mdata
377.000000,0.000000,39.000210,-120.723750,E:\Dropbox\website\dev2\climbing\climbs\Corkscrew-Grade-Foresthill.tcx
377.600000,0.865000,39.000210,-120.723740,
388.700000,25.863000,39.000130,-120.723470,
389.900000,47.170000,39.000030,-120.723260,
389.200000,64.965000,38.999940,-120.723090,
395.700000,152.835000,38.999340,-120.722430,
393.700000,218.311000,38.998800,-120.722130,
398.200000,231.548000,38.998710,-120.722030,
402.700000,241.119000,38.998660,-120.721940,
410.200000,255.521000,38.998590,-120.721800,
413.500000,268.758000,38.998500,-120.721700,
414.600000,279.527000,38.998420,-120.721630,
411.800000,291.772000,38.998310,-120.721630,
413.700000,335.879000,38.997920,-120.721720,
420.900000,363.723000,38.997670,-120.721710,
429.200000,405.488000,38.997300,-120.721630,
433.000000,551.564000,38.996000,-120.721400,
433.500000,566.668000,38.995870,-120.721350,
436.700000,580.767000,38.995770,-120.721250,
441.900000,598.530000,38.995670,-120.721090,
456.200000,625.557000,38.995640,-120.720780,
459.700000,639.277000,38.995600,-120.720630,
458.400000,648.293000,38.995540,-120.720560,
454.600000,657.569000,38.995460,-120.720530,
462.100000,735.613000,38.994760,-120.720480,
465.200000,750.987000,38.994630,-120.720420,
465.100000,765.561000,38.994500,-120.720400,
464.900000,774.509000,38.994420,-120.720390,
464.100000,783.414000,38.994340,-120.720390,
453.400000,825.332000,38.993970,-120.720480,
456.100000,839.829000,38.993840,-120.720470,
460.000000,852.554000,38.993730,-120.720430,
462.200000,870.629000,38.993580,-120.720350,
463.400000,884.728000,38.993480,-120.720250,
465.800000,899.131000,38.993410,-120.720110,
473.300000,942.679000,38.993270,-120.719640,
474.300000,975.463000,38.993140,-120.719300,
475.100000,993.259000,38.993050,-120.719130,
474.200000,1002.622000,38.992980,-120.719070,
472.300000,1022.061000,38.992820,-120.718980,
473.100000,1028.900000,38.992780,-120.718920,
475.800000,1036.999000,38.992760,-120.718830,
478.500000,1042.647000,38.992780,-120.718770,
481.800000,1048.296000,38.992800,-120.718710,
486.100000,1056.521000,38.992850,-120.718640,
491.600000,1066.871000,38.992940,-120.718610,
497.200000,1078.136000,38.993040,-120.718630,
498.400000,1107.177000,38.993230,-120.718860,
510.300000,1164.917000,38.993620,-120.719300,
511.400000,1174.489000,38.993670,-120.719390,
511.500000,1184.219000,38.993710,-120.719490,
509.500000,1203.680000,38.993790,-120.719690,
508.800000,1209.853000,38.993820,-120.719750,
510.000000,1215.492000,38.993860,-120.719790,
511.700000,1226.776000,38.993950,-120.719850,
511.900000,1244.671000,38.994110,-120.719870,
509.800000,1268.112000,38.994320,-120.719850,
509.100000,1277.184000,38.994400,-120.719830,
513.000000,1290.292000,38.994500,-120.719750,
517.300000,1360.295000,38.995090,-120.719470,
521.800000,1400.083000,38.995390,-120.719220,
524.100000,1427.799000,38.995610,-120.719070,
524.100000,1440.524000,38.995720,-120.719030,
525.500000,1464.110000,38.995920,-120.718940,
539.800000,1513.261000,38.996290,-120.718630,
543.800000,1519.940000,38.996350,-120.718630,
547.400000,1525.768000,38.996400,-120.718650,
551.300000,1535.387000,38.996460,-120.718730,
553.200000,1568.613000,38.996540,-120.719100,
551.300000,1594.827000,38.996630,-120.719380,
550.500000,1609.473000,38.996730,-120.719490,
550.700000,1623.081000,38.996850,-120.719520,
550.800000,1630.921000,38.996920,-120.719530,
552.300000,1686.020000,38.997410,-120.719440,
551.600000,1702.740000,38.997550,-120.719370,
553.700000,1713.162000,38.997620,-120.719290,
555.300000,1717.277000,38.997640,-120.719250,
560.200000,1724.116000,38.997600,-120.719190,
562.500000,1727.536000,38.997580,-120.719160,
566.600000,1737.090000,38.997500,-120.719120,
565.800000,1770.106000,38.997210,-120.719200,
568.900000,1794.486000,38.997000,-120.719120,
576.100000,1817.850000,38.996890,-120.718890,
581.200000,1842.480000,38.996850,-120.718610,
590.900000,1920.446000,38.996960,-120.717720,
589.100000,1928.131000,38.996930,-120.717640,
585.500000,1935.030000,38.996870,-120.717620,
578.700000,1962.246000,38.996630,-120.717680,
598.100000,2117.150000,38.995250,-120.717910,
606.000000,2173.769000,38.994750,-120.718030,
607.600000,2181.562000,38.994680,-120.718030,
612.200000,2191.133000,38.994630,-120.717940,
615.100000,2200.407000,38.994660,-120.717840,
616.600000,2209.423000,38.994720,-120.717770,
645.400000,2484.673000,38.997010,-120.716570,
647.700000,2520.515000,38.997300,-120.716390,
658.100000,2564.757000,38.997610,-120.716070,
661.300000,2586.757000,38.997800,-120.716000,
668.900000,2610.643000,38.998000,-120.716100,
675.600000,2643.446000,38.998240,-120.716320,
683.500000,2688.748000,38.998520,-120.716700,
675.600000,2715.763000,38.998610,-120.716990,
670.600000,2740.143000,38.998820,-120.717070,
687.600000,2784.928000,38.999200,-120.716900,
695.600000,2799.630000,38.999330,-120.716870,
695.800000,2813.349000,38.999370,-120.717020,
690.900000,2834.112000,38.999370,-120.717260,
689.500000,2849.837000,38.999420,-120.717430,
689.800000,2868.975000,38.999530,-120.717600,
691.100000,2877.887000,38.999600,-120.717650,
691.900000,2888.195000,38.999680,-120.717710,
699.100000,2917.600000,38.999940,-120.717770,
709.600000,2952.206000,39.000250,-120.717800,
711.600000,2975.792000,39.000450,-120.717890,
715.700000,2989.400000,39.000570,-120.717920,
721.100000,3069.606000,39.001220,-120.718320,
725.300000,3119.320000,39.001610,-120.718600,
729.200000,3158.577000,39.001940,-120.718760,
729.500000,3191.785000,39.002230,-120.718850,
730.700000,3232.009000,39.002590,-120.718890,
733.400000,3242.065000,39.002680,-120.718880,
739.000000,3254.340000,39.002790,-120.718890,
740.900000,3292.988000,39.003040,-120.719200,
753.900000,3392.240000,39.003780,-120.719840,
755.300000,3414.796000,39.003910,-120.720040,
758.100000,3438.184000,39.003990,-120.720290,
763.400000,3452.070000,39.004000,-120.720450,
762.100000,3546.126000,39.003850,-120.721520,
771.100000,3576.262000,39.004000,-120.721810,
770.900000,3598.161000,39.004130,-120.722000,
767.300000,3616.421000,39.004270,-120.722110,
766.800000,3637.619000,39.004450,-120.722190,
767.400000,3659.204000,39.004620,-120.722310,
766.300000,3673.535000,39.004740,-120.722370,
767.400000,3684.304000,39.004820,-120.722300,
767.100000,3694.389000,39.004850,-120.722190,
766.400000,3701.658000,39.004870,-120.722110,
766.200000,3754.416000,39.004990,-120.721520,
767.700000,3816.926000,39.005180,-120.720840,
763.700000,3864.040000,39.005380,-120.720360,
762.600000,3879.864000,39.005480,-120.720230,
763.300000,3899.995000,39.005630,-120.720100,
763.300000,3913.656000,39.005740,-120.720030,
762.400000,3925.086000,39.005840,-120.720000,
761.800000,3937.603000,39.005950,-120.719970,
762.600000,3951.668000,39.006060,-120.719890,
762.700000,3963.375000,39.006150,-120.719820,
763.200000,3976.611000,39.006240,-120.719720,
769.900000,4000.388000,39.006280,-120.719450,
777.000000,4029.883000,39.006260,-120.719110,
780.100000,4056.699000,39.006260,-120.718800,
780.600000,4073.471000,39.006290,-120.718610,
781.700000,4087.152000,39.006360,-120.718480,
785.100000,4135.710000,39.006610,-120.718020,
785.100000,4145.967000,39.006670,-120.717930,
786.100000,4160.205000,39.006700,-120.717770,
788.300000,4183.561000,39.006700,-120.717500,
795.000000,4244.123000,39.006710,-120.716800,
796.100000,4260.709000,39.006730,-120.716610,
796.400000,4281.695000,39.006790,-120.716380,
796.400000,4296.613000,39.006840,-120.716220,
795.300000,4318.643000,39.006980,-120.716040,
798.700000,4337.266000,39.007100,-120.715890,
804.700000,4401.477000,39.007540,-120.715410,
804.500000,4413.305000,39.007620,-120.715320,
804.500000,4424.320000,39.007690,-120.715230,
804.900000,4432.549000,39.007730,-120.715150,
806.400000,4445.714000,39.007750,-120.715000,
806.800000,4451.871000,39.007760,-120.714930,
807.800000,4460.521000,39.007760,-120.714830,
810.300000,4466.662000,39.007710,-120.714800,
813.100000,4473.397000,39.007650,-120.714790,
815.000000,4477.850000,39.007610,-120.714790,
818.300000,4486.922000,39.007530,-120.714810,
822.400000,4513.967000,39.007350,-120.715020,
824.300000,4524.389000,39.007280,-120.715100,
825.200000,4536.804000,39.007200,-120.715200,
827.100000,4550.388000,39.007100,-120.715290,
828.100000,4560.696000,39.007020,-120.715350,
830.000000,4570.863000,39.006930,-120.715370,
830.900000,4584.221000,39.006810,-120.715370,
831.200000,4593.293000,39.006730,-120.715390,
830.800000,4603.601000,39.006650,-120.715450,
827.600000,4715.589000,39.005830,-120.716200,
827.600000,4723.802000,39.005760,-120.716230,
827.100000,4736.084000,39.005660,-120.716290,
827.400000,4745.360000,39.005580,-120.716260,
828.600000,4754.329000,39.005540,-120.716170,
831.000000,4764.946000,39.005520,-120.716050,
835.000000,4776.724000,39.005570,-120.715930,
840.900000,4795.960000,39.005690,-120.715770,
843.500000,4814.220000,39.005830,-120.715660,
844.800000,4827.327000,39.005930,-120.715580,
851.000000,4856.746000,39.006080,-120.715300,
865.700000,4954.596000,39.006460,-120.714280,
864.500000,4976.090000,39.006510,-120.714040,
863.900000,4989.113000,39.006520,-120.713890,
863.300000,4999.553000,39.006530,-120.713770,
862.800000,5005.709000,39.006540,-120.713700,
863.800000,5012.548000,39.006500,-120.713640,
866.700000,5025.848000,39.006390,-120.713580,
870.500000,5051.451000,39.006160,-120.713580,
871.800000,5062.716000,39.006060,-120.713600,
873.000000,5071.622000,39.005980,-120.713600,
875.600000,5091.734000,39.005800,-120.713580,
881.800000,5141.802000,39.005360,-120.713460,
887.500000,5198.523000,39.004880,-120.713240,
888.600000,5211.909000,39.004760,-120.713230,
889.000000,5216.362000,39.004720,-120.713230,
889.100000,5223.411000,39.004670,-120.713280,
888.200000,5235.959000,39.004620,-120.713410,
884.300000,5271.483000,39.004420,-120.713730,
889.900000,5299.571000,39.004210,-120.713910,
900.500000,5326.253000,39.004010,-120.714080,
906.000000,5339.553000,39.003900,-120.714140,
909.300000,5353.023000,39.003780,-120.714160,
910.000000,5382.781000,39.003520,-120.714240,
907.000000,5399.502000,39.003370,-120.714250,
907.300000,5407.459000,39.003310,-120.714200,
907.500000,5418.228000,39.003230,-120.714130,
907.800000,5419.093000,39.003230,-120.714120,
907.900000,5426.142000,39.003180,-120.714070,
914.600000,5440.848000,39.003180,-120.713900,
918.900000,5451.753000,39.003210,-120.713780,
923.500000,5476.133000,39.003420,-120.713700,
924.500000,5491.507000,39.003550,-120.713640,
927.900000,5526.752000,39.003780,-120.713360,
934.100000,5580.770000,39.004060,-120.712850,
941.400000,5598.123000,39.004110,-120.712660,
953.700000,5628.284000,39.004170,-120.712320,
957.800000,5681.508000,39.004350,-120.711750,
965.800000,5774.462000,39.004560,-120.710710,
969.700000,5818.803000,39.004600,-120.710200,
969.700000,5835.277000,39.004610,-120.710010,
969.300000,5844.793000,39.004610,-120.709900,
969.000000,5852.657000,39.004600,-120.709810,
971.900000,5904.271000,39.004440,-120.709250,
972.200000,5915.566000,39.004400,-120.709130,
972.800000,5923.796000,39.004360,-120.709050,
973.800000,5928.573000,39.004320,-120.709030,
976.600000,5940.003000,39.004220,-120.709060,
984.500000,5974.253000,39.004050,-120.709390,
991.500000,6019.098000,39.003850,-120.709840,
992.600000,6047.519000,39.003730,-120.710130,
991.800000,6066.035000,39.003640,-120.710310,
990.700000,6082.088000,39.003530,-120.710430,
990.100000,6093.795000,39.003440,-120.710500,
989.800000,6102.008000,39.003370,-120.710530,
989.900000,6113.140000,39.003270,-120.710530,
989.900000,6135.471000,39.003070,-120.710550,
990.600000,6163.098000,39.002840,-120.710430,
990.100000,6171.312000,39.002770,-120.710400,
989.800000,6182.336000,39.002720,-120.710290,
990.000000,6194.899000,39.002690,-120.710150,
990.400000,6209.137000,39.002660,-120.709990,
991.300000,6221.248000,39.002660,-120.709850,
992.700000,6238.550000,39.002660,-120.709650,
994.900000,6258.447000,39.002660,-120.709420,
996.200000,6269.693000,39.002660,-120.709290,
997.500000,6282.772000,39.002600,-120.709160,
999.100000,6308.689000,39.002420,-120.708970,
1003.400000,6359.797000,39.002020,-120.708680,
1004.300000,6381.486000,39.001870,-120.708520,
1004.200000,6393.785000,39.001800,-120.708410,
1004.600000,6402.244000,39.001740,-120.708350,
1005.500000,6411.798000,39.001660,-120.708310,
1007.200000,6423.741000,39.001560,-120.708260,
1012.200000,6460.029000,39.001240,-120.708180,
1015.500000,6481.250000,39.001050,-120.708200,
1017.200000,6495.292000,39.000930,-120.708250,
1018.100000,6509.994000,39.000800,-120.708280,
1019.100000,6522.269000,39.000690,-120.708290,
1022.400000,6544.808000,39.000500,-120.708200,
1024.700000,6579.488000,39.000230,-120.708000,
1025.700000,6591.114000,39.000170,-120.707890,
1026.300000,6602.757000,39.000100,-120.707790,
1028.000000,6634.268000,38.999910,-120.707520,
1028.300000,6647.302000,38.999830,-120.707410,
1028.100000,6657.651000,38.999740,-120.707380,
1027.800000,6669.594000,38.999640,-120.707330,
1027.800000,6686.314000,38.999500,-120.707260,
1029.400000,6729.964000,38.999140,-120.707060,
1029.800000,6744.843000,38.999010,-120.707020,
1030.900000,6760.668000,38.998910,-120.706890,
1032.000000,6775.095000,38.998820,-120.706770,
1033.000000,6785.353000,38.998760,-120.706680,
1035.200000,6806.850000,38.998710,-120.706440,
1036.600000,6820.569000,38.998670,-120.706290,
1037.800000,6832.301000,38.998640,-120.706160,
1040.400000,6851.848000,38.998600,-120.705940,
1044.100000,6874.902000,38.998690,-120.705700,
1045.700000,6885.917000,38.998760,-120.705610,
1048.100000,6902.561000,38.998830,-120.705440,
1048.800000,6915.642000,38.998890,-120.705310,
1049.500000,6934.965000,38.998920,-120.705090,
1050.000000,6957.705000,38.998950,-120.704830,
1051.000000,7005.729000,38.999050,-120.704290,
1051.800000,7028.718000,38.999120,-120.704040,
1052.700000,7051.310000,38.999200,-120.703800,
1056.800000,7078.675000,38.999340,-120.703540,
1060.300000,7096.438000,38.999440,-120.703380,
