alt,dst,lat,lon,mdata
2.400000,0.000000,36.448337,-116.852663,E:\Dropbox\website\dev2\climbing\climbs\Dantes-View-Furnace-Creek.tcx
2.400000,15.286000,36.448450,-116.852760,
6.100000,63.207000,36.448670,-116.852300,
9.100000,114.426000,36.449040,-116.851960,
8.500000,191.479000,36.449630,-116.851510,
10.600000,280.334000,36.450240,-116.850870,
17.600000,433.847000,36.451120,-116.849550,
19.600000,485.050000,36.451370,-116.849070,
21.300000,523.245000,36.451430,-116.848650,
24.500000,621.840000,36.451390,-116.847550,
32.100000,694.200000,36.451220,-116.846770,
35.900000,887.209000,36.450660,-116.844730,
40.100000,974.442000,36.450360,-116.843830,
41.400000,1030.380000,36.450020,-116.843370,
42.500000,1069.679000,36.449710,-116.843160,
57.900000,1464.695000,36.446400,-116.841570,
58.100000,1516.925000,36.445980,-116.841310,
58.800000,1541.212000,36.445810,-116.841140,
59.400000,1566.332000,36.445670,-116.840920,
64.400000,1666.858000,36.445330,-116.839880,
69.400000,1716.575000,36.445120,-116.839390,
70.800000,1764.057000,36.444840,-116.838990,
69.900000,1813.504000,36.444490,-116.838650,
74.900000,1933.582000,36.443580,-116.837930,
78.100000,1973.585000,36.443300,-116.837650,
82.400000,2152.182000,36.442190,-116.836210,
85.300000,2223.739000,36.441880,-116.835510,
92.700000,2347.117000,36.441470,-116.834230,
95.800000,2505.241000,36.440820,-116.832660,
97.700000,2641.570000,36.440400,-116.831230,
132.300000,3655.859000,36.436390,-116.821060,
137.600000,3782.001000,36.435810,-116.819850,
139.800000,3875.510000,36.435290,-116.819030,
141.300000,3935.980000,36.434900,-116.818560,
142.300000,4000.317000,36.434470,-116.818080,
143.300000,4060.476000,36.434030,-116.817690,
144.500000,4151.718000,36.433330,-116.817160,
194.900000,5608.227000,36.421810,-116.809450,
198.000000,5711.762000,36.421020,-116.808840,
203.600000,5858.547000,36.420050,-116.807730,
214.400000,6090.171000,36.418580,-116.805900,
216.400000,6147.891000,36.418180,-116.805490,
229.000000,6575.273000,36.414920,-116.802970,
231.700000,6639.894000,36.414460,-116.802530,
234.000000,6704.025000,36.414040,-116.802040,
241.000000,6861.094000,36.413180,-116.800650,
271.500000,7849.609000,36.407920,-116.791760,
277.000000,8011.641000,36.407170,-116.790210,
280.200000,8090.877000,36.406850,-116.789420,
285.300000,8198.927000,36.406490,-116.788300,
329.800000,9470.016000,36.402430,-116.775040,
331.100000,9531.111000,36.402220,-116.774410,
335.400000,9618.229000,36.401840,-116.773560,
339.800000,9699.905000,36.401390,-116.772840,
343.600000,9751.075000,36.401070,-116.772430,
348.700000,9846.247000,36.400420,-116.771740,
350.100000,9888.326000,36.400100,-116.771490,
351.700000,9928.094000,36.399770,-116.771320,
352.800000,10029.620000,36.398900,-116.770980,
353.700000,10068.723000,36.398580,-116.770800,
358.600000,10155.767000,36.397930,-116.770260,
362.100000,10215.631000,36.397540,-116.769800,
363.100000,10270.794000,36.397240,-116.769310,
366.100000,10419.095000,36.396660,-116.767820,
368.700000,10544.160000,36.396100,-116.766610,
376.600000,10641.882000,36.395550,-116.765760,
384.200000,10845.374000,36.394320,-116.764080,
387.700000,10998.003000,36.393380,-116.762840,
390.400000,11087.811000,36.392780,-116.762170,
394.000000,11181.477000,36.392080,-116.761590,
401.200000,11383.755000,36.390480,-116.760520,
402.100000,11453.794000,36.389960,-116.760080,
405.100000,11521.399000,36.389520,-116.759560,
409.200000,11588.412000,36.389140,-116.758980,
414.100000,11725.239000,36.388380,-116.757780,
414.900000,11793.954000,36.388040,-116.757140,
415.200000,11861.901000,36.387770,-116.756460,
415.200000,11930.527000,36.387560,-116.755740,
