alt,dst,lat,lon,mdata
54.900000,0.000000,36.646500,-117.041040,E:\Dropbox\website\dev2\climbing\climbs\Daylight-Pass-Rd-Furnace-Creek.tcx
55.000000,1.786000,36.646500,-117.041020,
57.800000,69.776000,36.646740,-117.040320,
61.900000,153.094000,36.647030,-117.039460,
66.900000,264.604000,36.647420,-117.038310,
68.500000,287.815000,36.647500,-117.038070,
74.800000,424.183000,36.647970,-117.036660,
78.300000,485.549000,36.648190,-117.036030,
81.700000,547.305000,36.648400,-117.035390,
85.100000,609.490000,36.648620,-117.034750,
90.900000,724.722000,36.649020,-117.033560,
94.200000,781.927000,36.649220,-117.032970,
96.900000,844.934000,36.649440,-117.032320,
97.600000,854.913000,36.649480,-117.032220,
98.400000,871.189000,36.649550,-117.032060,
98.700000,879.608000,36.649590,-117.031980,
99.400000,894.944000,36.649680,-117.031850,
100.300000,904.724000,36.649740,-117.031770,
101.100000,911.031000,36.649780,-117.031720,
101.800000,917.337000,36.649820,-117.031670,
102.700000,928.754000,36.649900,-117.031590,
103.000000,943.026000,36.650000,-117.031490,
103.200000,950.600000,36.650060,-117.031450,
103.100000,957.214000,36.650110,-117.031410,
103.200000,968.183000,36.650200,-117.031360,
103.600000,1005.247000,36.650500,-117.031180,
106.700000,1070.044000,36.651030,-117.030880,
110.800000,1131.817000,36.651530,-117.030580,
111.100000,1151.741000,36.651690,-117.030480,
111.400000,1165.472000,36.651790,-117.030390,
111.800000,1174.929000,36.651860,-117.030330,
112.200000,1183.492000,36.651920,-117.030270,
113.500000,1205.881000,36.652060,-117.030090,
114.100000,1223.995000,36.652160,-117.029930,
115.100000,1240.081000,36.652240,-117.029780,
116.400000,1266.332000,36.652350,-117.029520,
116.900000,1280.508000,36.652410,-117.029380,
117.300000,1299.671000,36.652490,-117.029190,
117.700000,1321.243000,36.652570,-117.028970,
118.500000,1344.606000,36.652670,-117.028740,
118.900000,1363.770000,36.652750,-117.028550,
119.000000,1377.752000,36.652820,-117.028420,
119.600000,1402.879000,36.652950,-117.028190,
120.100000,1420.992000,36.653050,-117.028030,
120.900000,1441.966000,36.653180,-117.027860,
121.700000,1488.323000,36.653480,-117.027500,
126.500000,1554.397000,36.653910,-117.026990,
131.700000,1597.911000,36.654190,-117.026650,
134.900000,1638.774000,36.654460,-117.026340,
136.400000,1666.053000,36.654630,-117.026120,
137.100000,1677.905000,36.654700,-117.026020,
137.900000,1696.054000,36.654810,-117.025870,
139.300000,1722.555000,36.654950,-117.025630,
140.600000,1742.762000,36.655060,-117.025450,
141.800000,1762.315000,36.655160,-117.025270,
142.400000,1773.606000,36.655210,-117.025160,
143.200000,1793.900000,36.655310,-117.024970,
143.900000,1817.262000,36.655410,-117.024740,
144.200000,1828.867000,36.655450,-117.024620,
147.100000,1872.480000,36.655620,-117.024180,
147.200000,1920.609000,36.655800,-117.023690,
147.900000,1949.621000,36.655900,-117.023390,
153.200000,2000.649000,36.656090,-117.022870,
153.900000,2020.606000,36.656170,-117.022670,
155.100000,2041.652000,36.656270,-117.022470,
156.000000,2052.804000,36.656330,-117.022370,
156.600000,2063.254000,36.656390,-117.022280,
157.000000,2074.449000,36.656460,-117.022190,
157.100000,2082.175000,36.656510,-117.022130,
157.500000,2093.055000,36.656590,-117.022060,
157.800000,2099.669000,36.656640,-117.022020,
158.500000,2118.582000,36.656780,-117.021900,
160.600000,2172.431000,36.657190,-117.021580,
163.100000,2204.080000,36.657430,-117.021390,
164.200000,2227.238000,36.657610,-117.021260,
164.900000,2246.778000,36.657770,-117.021170,
165.900000,2271.803000,36.657980,-117.021070,
166.700000,2301.413000,36.658240,-117.021000,
167.500000,2326.163000,36.658460,-117.020960,
174.700000,2461.614000,36.659670,-117.020800,
176.100000,2501.937000,36.660030,-117.020750,
176.500000,2512.307000,36.660120,-117.020720,
177.100000,2522.678000,36.660210,-117.020690,
177.600000,2535.032000,36.660310,-117.020630,
178.400000,2552.567000,36.660450,-117.020540,
179.500000,2570.574000,36.660580,-117.020420,
180.200000,2584.845000,36.660680,-117.020320,
182.300000,2632.269000,36.661020,-117.020000,
183.400000,2664.006000,36.661250,-117.019790,
185.100000,2686.686000,36.661420,-117.019650,
185.700000,2707.027000,36.661580,-117.019540,
187.000000,2732.135000,36.661780,-117.019410,
188.100000,2756.469000,36.661980,-117.019300,
189.100000,2777.742000,36.662160,-117.019220,
190.400000,2805.911000,36.662400,-117.019120,
197.000000,2974.370000,36.663840,-117.018540,
200.500000,3020.868000,36.664240,-117.018390,
203.500000,3072.418000,36.664680,-117.018210,
206.900000,3124.865000,36.665120,-117.018000,
207.500000,3147.491000,36.665310,-117.017910,
209.600000,3173.591000,36.665520,-117.017780,
210.600000,3190.735000,36.665660,-117.017700,
212.500000,3226.797000,36.665950,-117.017520,
214.100000,3271.701000,36.666300,-117.017270,
219.900000,3432.837000,36.667550,-117.016360,
221.300000,3451.258000,36.667690,-117.016250,
222.600000,3470.171000,36.667830,-117.016130,
223.200000,3485.868000,36.667940,-117.016020,
224.000000,3502.993000,36.668060,-117.015900,
224.600000,3512.982000,36.668130,-117.015830,
225.200000,3523.553000,36.668200,-117.015750,
225.700000,3534.747000,36.668270,-117.015660,
228.100000,3568.896000,36.668470,-117.015370,
229.900000,3639.332000,36.668890,-117.014780,
230.300000,3659.552000,36.669010,-117.014610,
230.800000,3673.822000,36.669110,-117.014510,
231.200000,3685.238000,36.669190,-117.014430,
231.400000,3691.851000,36.669240,-117.014390,
231.700000,3702.244000,36.669320,-117.014330,
231.900000,3712.206000,36.669400,-117.014280,
232.400000,3724.560000,36.669500,-117.014220,
237.400000,3752.672000,36.669730,-117.014090,
237.700000,3795.531000,36.670080,-117.013890,
240.400000,3894.246000,36.670890,-117.013440,
241.900000,3930.929000,36.671190,-117.013270,
242.500000,3943.963000,36.671300,-117.013220,
243.100000,3962.838000,36.671460,-117.013150,
243.600000,3978.827000,36.671600,-117.013110,
244.000000,3992.304000,36.671720,-117.013090,
244.800000,4007.889000,36.671860,-117.013090,
249.100000,4034.620000,36.672100,-117.013080,
253.600000,4075.818000,36.672470,-117.013090,
254.600000,4088.095000,36.672580,-117.013080,
254.800000,4100.340000,36.672690,-117.013080,
255.100000,4111.615000,36.672790,-117.013060,
255.500000,4121.791000,36.672880,-117.013040,
256.100000,4127.637000,36.672930,-117.013020,
256.700000,4135.631000,36.673000,-117.013000,
258.100000,4148.664000,36.673110,-117.012950,
259.100000,4162.030000,36.673220,-117.012890,
260.000000,4190.842000,36.673440,-117.012720,
261.100000,4223.908000,36.673690,-117.012520,
262.500000,4261.346000,36.673960,-117.012270,
263.400000,4288.291000,36.674160,-117.012100,
264.300000,4306.252000,36.674300,-117.012000,
265.200000,4329.572000,36.674490,-117.011890,
266.000000,4351.508000,36.674670,-117.011790,
268.900000,4429.975000,36.675320,-117.011450,
271.300000,4460.859000,36.675570,-117.011300,
272.600000,4481.199000,36.675730,-117.011190,
273.300000,4498.202000,36.675860,-117.011090,
274.200000,4522.811000,36.676040,-117.010930,
274.900000,4546.521000,36.676210,-117.010770,
275.800000,4589.043000,36.676500,-117.010460,
276.300000,4612.444000,36.676660,-117.010290,
276.900000,4633.849000,36.676810,-117.010140,
277.800000,4660.961000,36.677000,-117.009950,
278.000000,4670.417000,36.677070,-117.009890,
278.300000,4680.810000,36.677150,-117.009830,
279.000000,4702.556000,36.677320,-117.009710,
279.900000,4727.912000,36.677530,-117.009600,
280.900000,4761.494000,36.677810,-117.009460,
283.400000,4797.152000,36.678110,-117.009320,
295.200000,4947.295000,36.679370,-117.008720,
298.500000,5009.334000,36.679890,-117.008470,
305.800000,5096.081000,36.680620,-117.008130,
307.900000,5169.076000,36.681230,-117.007830,
310.700000,5220.165000,36.681660,-117.007630,
315.600000,5280.846000,36.682170,-117.007390,
318.000000,5342.885000,36.682690,-117.007140,
319.000000,5429.948000,36.683420,-117.006790,
330.100000,5591.042000,36.684770,-117.006140,
335.600000,5665.798000,36.685400,-117.005850,
342.300000,5775.808000,36.686320,-117.005400,
349.200000,5892.373000,36.687300,-117.004940,
354.300000,5966.404000,36.687920,-117.004640,
364.600000,6098.400000,36.689030,-117.004120,
372.100000,6233.109000,36.690160,-117.003580,
380.400000,6379.811000,36.691390,-117.002990,
385.500000,6454.880000,36.692020,-117.002690,
394.100000,6591.671000,36.693170,-117.002150,
402.500000,6670.179000,36.693830,-117.001840,
403.200000,6727.747000,36.694310,-117.001600,
408.300000,6788.426000,36.694820,-117.001360,
411.200000,6826.482000,36.695140,-117.001210,
415.900000,6900.512000,36.695760,-117.000910,
420.300000,6981.737000,36.696440,-117.000580,
422.500000,7023.234000,36.696790,-117.000420,
429.500000,7135.317000,36.697730,-116.999970,
434.100000,7209.029000,36.698350,-116.999680,
438.200000,7267.310000,36.698840,-116.999450,
441.400000,7331.746000,36.699380,-116.999190,
445.200000,7396.182000,36.699920,-116.998930,
449.600000,7449.667000,36.700370,-116.998720,
453.400000,7507.948000,36.700860,-116.998490,
455.200000,7531.934000,36.701060,-116.998390,
457.500000,7552.858000,36.701230,-116.998290,
459.900000,7575.814000,36.701420,-116.998190,
461.300000,7594.748000,36.701570,-116.998090,
463.000000,7615.531000,36.701730,-116.997970,
464.500000,7635.368000,36.701880,-116.997850,
466.100000,7662.311000,36.702080,-116.997680,
467.600000,7685.139000,36.702240,-116.997520,
469.300000,7710.822000,36.702420,-116.997340,
471.000000,7736.232000,36.702590,-116.997150,
474.600000,7782.412000,36.702880,-116.996780,
