alt,dst,lat,lon,mdata
1043.200000,0.000000,37.282420,-117.878750,E:\Dropbox\website\dev2\climbing\climbs\Death-Valley-Rd-East-Big-Pine.tcx
1045.100000,76.298000,37.282630,-117.879570,
1048.400000,199.693000,37.282960,-117.880900,
1051.400000,315.997000,37.283280,-117.882150,
1053.600000,398.541000,37.283500,-117.883040,
1056.700000,498.808000,37.283770,-117.884120,
1060.700000,613.425000,37.284090,-117.885350,
1065.700000,766.862000,37.284510,-117.887000,
1073.200000,941.068000,37.284970,-117.888880,
1082.700000,1200.169000,37.285670,-117.891670,
1087.000000,1308.199000,37.285970,-117.892830,
1090.800000,1442.223000,37.286340,-117.894270,
1092.100000,1474.475000,37.286420,-117.894620,
1093.700000,1512.144000,37.286510,-117.895030,
1094.300000,1526.703000,37.286540,-117.895190,
1094.700000,1536.509000,37.286550,-117.895300,
1095.700000,1560.833000,37.286590,-117.895570,
1096.500000,1575.930000,37.286600,-117.895740,
1097.800000,1609.604000,37.286590,-117.896120,
1100.600000,1658.633000,37.286540,-117.896670,
1102.000000,1679.750000,37.286490,-117.896900,
1103.300000,1699.164000,37.286440,-117.897110,
1105.700000,1732.107000,37.286320,-117.897450,
1107.200000,1750.652000,37.286250,-117.897640,
1112.700000,1838.805000,37.285880,-117.898520,
1132.300000,2148.139000,37.284600,-117.901620,
1135.100000,2182.835000,37.284460,-117.901970,
1158.000000,2513.029000,37.283080,-117.905270,
1160.100000,2545.644000,37.282950,-117.905600,
1173.500000,2744.704000,37.282150,-117.907610,
1175.500000,2788.269000,37.281960,-117.908040,
1178.900000,2825.050000,37.281810,-117.908410,
1203.300000,3125.270000,37.280570,-117.911420,
1207.400000,3163.534000,37.280380,-117.911780,
1211.500000,3237.781000,37.279990,-117.912460,
1221.500000,3383.336000,37.279170,-117.913740,
1233.600000,3581.591000,37.278040,-117.915470,
1234.900000,3603.778000,37.277920,-117.915670,
1237.900000,3676.579000,37.277500,-117.916300,
1242.000000,3725.917000,37.277200,-117.916710,
1245.600000,3767.729000,37.276910,-117.917010,
1248.500000,3807.017000,37.276630,-117.917280,
1265.800000,4061.097000,37.274780,-117.918960,
1276.100000,4186.654000,37.273860,-117.919780,
1281.700000,4246.037000,37.273410,-117.920140,
1284.800000,4279.518000,37.273150,-117.920330,
1285.600000,4296.291000,37.273010,-117.920400,
1289.600000,4337.875000,37.272680,-117.920620,
1302.000000,4470.174000,37.271610,-117.921270,
1313.300000,4647.423000,37.270180,-117.922150,
1328.400000,4877.616000,37.268350,-117.923360,
1330.300000,4958.286000,37.267720,-117.923810,
1337.700000,5023.953000,37.267200,-117.924160,
1344.400000,5174.609000,37.266010,-117.924970,
1352.800000,5246.144000,37.265420,-117.925290,
1353.400000,5268.748000,37.265230,-117.925380,
1354.700000,5294.897000,37.265000,-117.925440,
1357.400000,5330.695000,37.264680,-117.925480,
1357.100000,5344.083000,37.264560,-117.925490,
1359.300000,5404.299000,37.264020,-117.925530,
1361.700000,5451.187000,37.263600,-117.925570,
1365.400000,5490.510000,37.263250,-117.925630,
1367.000000,5509.946000,37.263080,-117.925680,
1369.200000,5567.132000,37.262600,-117.925910,
1373.400000,5630.464000,37.262080,-117.926200,
1377.300000,5665.047000,37.261790,-117.926340,
1382.400000,5752.327000,37.261070,-117.926730,
1385.200000,5782.796000,37.260820,-117.926870,
1391.200000,5827.291000,37.260450,-117.927060,
1391.400000,5866.320000,37.260130,-117.927240,
1396.100000,5955.996000,37.259390,-117.927640,
1400.200000,6012.145000,37.258930,-117.927900,
1405.000000,6071.356000,37.258440,-117.928160,
1406.300000,6092.922000,37.258260,-117.928250,
1409.200000,6122.943000,37.258000,-117.928340,
1416.600000,6187.959000,37.257430,-117.928500,
1422.400000,6268.284000,37.256730,-117.928720,
1426.400000,6324.426000,37.256240,-117.928870,
1434.200000,6421.034000,37.255390,-117.929090,
1436.500000,6469.640000,37.254970,-117.929240,
1439.400000,6500.791000,37.254710,-117.929370,
1441.700000,6541.200000,37.254380,-117.929560,
1447.200000,6639.279000,37.253620,-117.930120,
1449.700000,6673.216000,37.253360,-117.930320,
1450.000000,6676.997000,37.253330,-117.930340,
1450.900000,6687.369000,37.253250,-117.930400,
1455.400000,6735.966000,37.252870,-117.930670,
1458.900000,6767.827000,37.252650,-117.930900,
1462.000000,6807.461000,37.252340,-117.931120,
1468.900000,6851.300000,37.252010,-117.931390,
1474.100000,6877.266000,37.251820,-117.931560,
1481.100000,6942.720000,37.251380,-117.932050,
1486.600000,7010.185000,37.250930,-117.932560,
1489.900000,7042.909000,37.250700,-117.932790,
1494.300000,7070.503000,37.250510,-117.932990,
1498.100000,7104.105000,37.250270,-117.933220,
1498.800000,7128.651000,37.250090,-117.933380,
1497.400000,7162.589000,37.249830,-117.933580,
1502.300000,7235.860000,37.249230,-117.933920,
1503.100000,7245.807000,37.249150,-117.933970,
1511.400000,7332.547000,37.248450,-117.934400,
1530.600000,7537.052000,37.246810,-117.935440,
1539.800000,7622.848000,37.246150,-117.935940,
1543.300000,7653.987000,37.245920,-117.936140,
1545.600000,7676.753000,37.245760,-117.936300,
1567.000000,7885.852000,37.244330,-117.937830,
1577.000000,8057.481000,37.243180,-117.939120,
1582.100000,8114.094000,37.242790,-117.939530,
1587.400000,8171.008000,37.242390,-117.939930,
1599.300000,8255.511000,37.241800,-117.940530,
1609.700000,8370.763000,37.240990,-117.941340,
1620.200000,8469.496000,37.240300,-117.942040,
1622.100000,8532.801000,37.239840,-117.942460,
1627.500000,8583.776000,37.239440,-117.942740,
1629.300000,8603.691000,37.239270,-117.942810,
1633.600000,8650.421000,37.238870,-117.942970,
1650.300000,8787.970000,37.237670,-117.943340,
1655.900000,8848.014000,37.237150,-117.943520,
1657.900000,8872.714000,37.236940,-117.943610,
1659.200000,8888.272000,37.236820,-117.943700,
