alt,dst,lat,lon,mdata
1206.800000,0.000000,37.183700,-118.248400,E:\Dropbox\website\dev2\climbing\climbs\Death-Valley-Rd-W.-Big-Pine.tcx
1207.100000,24.719000,37.183620,-118.248140,
1209.000000,143.063000,37.183270,-118.246880,
1215.200000,397.402000,37.182500,-118.244180,
1217.300000,476.178000,37.182270,-118.243340,
1218.700000,533.332000,37.182130,-118.242720,
1223.100000,698.772000,37.181740,-118.240920,
1225.900000,927.646000,37.181200,-118.238430,
1226.500000,983.981000,37.181090,-118.237810,
1226.800000,993.988000,37.181070,-118.237700,
1228.600000,1045.420000,37.180950,-118.237140,
1232.300000,1147.468000,37.180740,-118.236020,
1232.800000,1179.762000,37.180660,-118.235670,
1233.800000,1213.226000,37.180570,-118.235310,
1234.400000,1230.198000,37.180500,-118.235140,
1235.500000,1262.577000,37.180360,-118.234820,
1236.600000,1298.366000,37.180200,-118.234470,
1238.300000,1348.627000,37.179960,-118.233990,
1241.800000,1425.966000,37.179580,-118.233260,
1244.900000,1490.004000,37.179260,-118.232660,
1245.800000,1567.959000,37.178870,-118.231930,
1246.600000,1632.483000,37.178500,-118.231370,
1249.000000,1831.571000,37.177390,-118.229610,
1249.000000,1912.735000,37.176940,-118.228890,
1249.000000,1938.417000,37.176790,-118.228670,
1249.300000,2019.582000,37.176340,-118.227950,
1251.000000,2091.046000,37.175930,-118.227330,
1253.300000,2153.547000,37.175560,-118.226800,
1255.400000,2227.281000,37.175110,-118.226190,
1266.000000,2355.179000,37.174290,-118.225180,
1268.100000,2484.676000,37.173450,-118.224170,
1279.000000,2693.035000,37.172150,-118.222480,
1280.400000,2767.037000,37.171680,-118.221890,
1282.700000,2788.542000,37.171560,-118.221700,
1291.100000,2845.268000,37.171300,-118.221150,
1291.400000,2851.551000,37.171270,-118.221090,
1292.700000,2894.002000,37.171120,-118.220650,
1292.600000,2950.060000,37.170920,-118.220070,
1292.500000,2962.066000,37.170890,-118.219940,
1292.600000,2973.810000,37.170870,-118.219810,
1292.700000,2986.278000,37.170860,-118.219670,
1293.300000,2997.863000,37.170870,-118.219540,
1298.000000,3047.668000,37.170960,-118.218990,
1297.900000,3080.538000,37.171030,-118.218630,
1298.200000,3093.342000,37.171080,-118.218500,
1298.500000,3103.814000,37.171130,-118.218400,
1298.900000,3114.223000,37.171190,-118.218310,
1299.900000,3134.715000,37.171330,-118.218160,
1300.700000,3151.688000,37.171460,-118.218060,
1301.800000,3172.980000,37.171630,-118.217950,
1303.000000,3205.616000,37.171890,-118.217780,
1303.400000,3232.660000,37.172080,-118.217590,
1303.900000,3252.929000,37.172210,-118.217430,
1304.400000,3272.354000,37.172320,-118.217260,
1304.900000,3292.552000,37.172420,-118.217070,
1306.400000,3311.613000,37.172500,-118.216880,
1310.500000,3331.401000,37.172560,-118.216670,
1313.300000,3350.553000,37.172600,-118.216460,
1314.600000,3370.351000,37.172630,-118.216240,
1315.100000,3389.897000,37.172640,-118.216020,
1315.500000,3417.485000,37.172620,-118.215710,
1315.900000,3451.484000,37.172580,-118.215330,
1316.100000,3486.944000,37.172510,-118.214940,
1316.200000,3525.826000,37.172410,-118.214520,
1316.300000,3557.973000,37.172310,-118.214180,
1316.400000,3579.812000,37.172240,-118.213950,
1326.200000,3782.548000,37.171290,-118.212000,
1328.100000,3816.058000,37.171130,-118.211680,
1334.200000,3883.458000,37.170830,-118.211020,
1338.700000,3923.158000,37.170670,-118.210620,
1340.000000,3960.657000,37.170540,-118.210230,
1341.100000,3996.380000,37.170460,-118.209840,
1341.800000,4027.744000,37.170420,-118.209490,
1351.200000,4122.682000,37.170400,-118.208420,
1352.000000,4156.555000,37.170370,-118.208040,
1352.900000,4193.195000,37.170330,-118.207630,
1356.900000,4263.013000,37.170200,-118.206860,
1362.100000,4306.298000,37.170130,-118.206380,
1364.500000,4361.327000,37.170040,-118.205770,
1369.300000,4477.663000,37.169990,-118.204460,
1374.800000,4522.362000,37.169940,-118.203960,
1375.900000,4548.183000,37.169920,-118.203670,
1376.400000,4566.811000,37.169920,-118.203460,
1377.300000,4607.675000,37.169940,-118.203000,
1378.800000,4647.732000,37.169970,-118.202550,
1389.000000,4765.792000,37.169930,-118.201220,
1389.500000,4799.500000,37.169930,-118.200840,
1390.600000,4848.221000,37.170010,-118.200300,
1391.700000,4874.041000,37.170030,-118.200010,
1396.000000,4921.067000,37.170040,-118.199480,
1400.600000,5017.390000,37.169950,-118.198400,
1401.500000,5048.516000,37.169930,-118.198050,
1405.500000,5098.240000,37.169910,-118.197490,
1406.000000,5139.059000,37.169920,-118.197030,
1405.800000,5154.180000,37.169910,-118.196860,
1406.500000,5171.089000,37.169860,-118.196680,
1407.300000,5183.656000,37.169800,-118.196560,
1408.000000,5198.317000,37.169730,-118.196420,
1410.700000,5242.170000,37.169460,-118.196060,
1411.500000,5258.126000,37.169370,-118.195920,
1412.300000,5274.082000,37.169280,-118.195780,
1413.100000,5288.000000,37.169210,-118.195650,
1415.900000,5320.763000,37.169050,-118.195340,
1418.300000,5356.015000,37.168900,-118.194990,
1423.100000,5402.610000,37.168730,-118.194510,
1428.000000,5463.194000,37.168470,-118.193910,
1431.200000,5505.266000,37.168280,-118.193500,
1432.800000,5545.663000,37.168080,-118.193120,
1434.100000,5619.338000,37.167700,-118.192440,
1434.600000,5631.298000,37.167620,-118.192350,
1435.400000,5646.860000,37.167500,-118.192260,
1445.500000,5796.260000,37.166240,-118.191680,
1447.200000,5817.517000,37.166060,-118.191600,
1448.100000,5842.045000,37.165870,-118.191460,
1449.200000,5875.130000,37.165630,-118.191240,
1450.400000,5913.982000,37.165410,-118.190900,
1455.200000,5987.585000,37.165020,-118.190230,
1456.300000,6025.076000,37.164800,-118.189910,
1457.400000,6040.197000,37.164690,-118.189810,
1459.900000,6076.972000,37.164410,-118.189590,
1462.200000,6098.191000,37.164250,-118.189460,
1465.200000,6155.713000,37.163810,-118.189120,
1466.100000,6168.459000,37.163710,-118.189050,
1467.100000,6176.694000,37.163640,-118.189020,
1470.000000,6200.881000,37.163430,-118.188950,
1472.400000,6229.032000,37.163190,-118.188850,
1473.200000,6244.780000,37.163060,-118.188780,
1473.900000,6264.678000,37.162900,-118.188680,
1474.400000,6283.551000,37.162760,-118.188560,
1474.700000,6293.515000,37.162690,-118.188490,
1475.000000,6314.334000,37.162570,-118.188310,
1477.000000,6345.005000,37.162420,-118.188020,
1479.100000,6375.299000,37.162290,-118.187720,
1482.500000,6436.941000,37.162040,-118.187100,
1483.700000,6479.586000,37.161840,-118.186690,
1486.400000,6530.985000,37.161570,-118.186220,
1487.700000,6552.493000,37.161450,-118.186030,
1488.900000,6564.300000,37.161380,-118.185930,
1491.400000,6581.755000,37.161250,-118.185820,
1496.100000,6613.991000,37.160990,-118.185660,
1497.200000,6629.117000,37.160870,-118.185580,
1498.500000,6655.521000,37.160670,-118.185420,
1499.100000,6680.864000,37.160500,-118.185230,
1501.300000,6722.031000,37.160240,-118.184900,
1503.700000,6739.381000,37.160140,-118.184750,
1507.500000,6768.705000,37.160000,-118.184470,
1509.500000,6813.884000,37.159810,-118.184020,
1510.700000,6876.321000,37.159560,-118.183390,
1512.500000,6903.930000,37.159470,-118.183100,
1513.700000,6929.964000,37.159400,-118.182820,
1514.000000,6950.260000,37.159350,-118.182600,
1518.100000,7028.362000,37.159200,-118.181740,
1519.400000,7072.526000,37.159130,-118.181250,
1520.800000,7105.401000,37.159060,-118.180890,
1527.000000,7183.002000,37.158840,-118.180060,
1532.900000,7231.229000,37.158670,-118.179560,
1538.200000,7329.999000,37.158280,-118.178560,
1542.400000,7361.321000,37.158180,-118.178230,
1547.400000,7428.267000,37.158000,-118.177510,
1548.100000,7472.283000,37.157900,-118.177030,
1549.900000,7505.158000,37.157830,-118.176670,
1550.100000,7517.628000,37.157820,-118.176530,
1550.400000,7528.786000,37.157790,-118.176410,
1551.400000,7551.050000,37.157710,-118.176180,
1559.300000,7628.923000,37.157360,-118.175420,
1560.600000,7696.325000,37.157090,-118.174740,
1562.200000,7717.341000,37.157020,-118.174520,
1563.400000,7732.218000,37.156980,-118.174360,
1564.200000,7748.342000,37.156960,-118.174180,
1567.700000,7794.476000,37.156960,-118.173660,
1568.100000,7811.479000,37.156940,-118.173470,
1568.200000,7819.769000,37.156920,-118.173380,
1568.700000,7836.264000,37.156860,-118.173210,
1570.000000,7852.921000,37.156770,-118.173060,
1580.100000,7978.334000,37.155990,-118.172040,
1582.000000,8016.678000,37.155750,-118.171730,
1583.600000,8056.825000,37.155480,-118.171430,
1584.200000,8080.879000,37.155300,-118.171280,
1585.700000,8126.431000,37.154980,-118.170960,
1590.800000,8162.912000,37.154740,-118.170680,
1593.400000,8182.340000,37.154630,-118.170510,
1597.700000,8308.245000,37.154080,-118.169270,
1607.300000,8392.206000,37.153690,-118.168460,
1608.800000,8461.415000,37.153400,-118.167770,
1609.100000,8475.449000,37.153360,-118.167620,
1609.400000,8489.483000,37.153320,-118.167470,
1609.500000,8503.852000,37.153300,-118.167310,
1614.300000,8567.743000,37.153290,-118.166590,
1617.700000,8614.766000,37.153290,-118.166060,
1618.600000,8654.707000,37.153280,-118.165610,
1619.000000,8675.385000,37.153250,-118.165380,
1619.600000,8695.682000,37.153200,-118.165160,
1620.400000,8715.878000,37.153130,-118.164950,
1625.000000,8772.069000,37.152910,-118.164380,
1630.600000,8846.522000,37.152610,-118.163630,
1646.700000,9075.450000,37.151710,-118.161310,
1648.300000,9108.831000,37.151600,-118.160960,
1654.000000,9139.777000,37.151510,-118.160630,
1659.800000,9176.655000,37.151420,-118.160230,
1662.600000,9257.605000,37.151260,-118.159340,
1664.000000,9293.373000,37.151220,-118.158940,
1667.300000,9341.401000,37.151190,-118.158400,
