alt,dst,lat,lon,mdata
106.800000,0.000000,38.565210,-122.564530,E:\Dropbox\website\dev2\climbing\climbs\Diamond-Mt-Rd-Calistoga.tcx
106.900000,5.652000,38.565170,-122.564570,
108.500000,55.924000,38.564860,-122.564990,
109.300000,77.867000,38.564740,-122.565190,
110.300000,94.899000,38.564680,-122.565370,
110.900000,105.458000,38.564640,-122.565480,
112.500000,132.806000,38.564600,-122.565790,
114.400000,166.059000,38.564500,-122.566150,
115.700000,184.080000,38.564420,-122.566330,
116.800000,226.261000,38.564150,-122.566670,
119.400000,267.655000,38.563890,-122.567010,
120.600000,298.539000,38.563710,-122.567280,
120.800000,319.117000,38.563600,-122.567470,
121.700000,366.574000,38.563430,-122.567970,
122.100000,388.485000,38.563350,-122.568200,
123.200000,413.235000,38.563260,-122.568460,
124.900000,436.540000,38.563210,-122.568720,
125.100000,458.414000,38.563230,-122.568970,
125.000000,462.907000,38.563240,-122.569020,
125.100000,467.795000,38.563260,-122.569070,
125.000000,469.536000,38.563260,-122.569090,
125.000000,472.375000,38.563270,-122.569120,
125.500000,487.398000,38.563380,-122.569220,
126.200000,499.062000,38.563480,-122.569260,
126.700000,503.599000,38.563520,-122.569270,
128.400000,519.184000,38.563660,-122.569270,
129.000000,532.988000,38.563780,-122.569310,
128.400000,554.834000,38.563960,-122.569410,
128.400000,567.130000,38.564060,-122.569470,
129.000000,595.085000,38.564250,-122.569680,
130.900000,638.302000,38.564480,-122.570080,
132.000000,660.940000,38.564610,-122.570280,
132.600000,690.062000,38.564800,-122.570510,
134.100000,724.377000,38.565000,-122.570810,
139.700000,798.032000,38.565360,-122.571520,
142.200000,839.720000,38.565540,-122.571940,
143.500000,859.181000,38.565600,-122.572150,
146.600000,884.422000,38.565600,-122.572440,
148.000000,898.743000,38.565570,-122.572600,
148.000000,913.065000,38.565540,-122.572760,
146.700000,942.395000,38.565420,-122.573060,
146.800000,967.097000,38.565290,-122.573290,
148.100000,976.707000,38.565240,-122.573380,
151.900000,1041.780000,38.564820,-122.573900,
153.200000,1070.311000,38.564630,-122.574120,
