alt,dst,lat,lon,mdata
1816.600000,0.000000,39.323070,-120.290930,E:\Dropbox\website\dev2\climbing\climbs\Donner-Pass-Road.tcx
1816.800000,4.447303,39.323060,-120.290980,
1817.000000,26.643400,39.322970,-120.291210,
1817.300000,71.252219,39.322840,-120.291700,
1817.300000,118.666458,39.322700,-120.292220,
1817.600000,138.754663,39.322640,-120.292440,
1819.200000,160.950866,39.322550,-120.292670,
1821.300000,219.609928,39.322250,-120.293230,
1824.000000,262.525363,39.322010,-120.293620,
1829.300000,289.162497,39.321850,-120.293850,
1833.500000,308.246444,39.321750,-120.294030,
1835.000000,319.984002,39.321700,-120.294150,
1836.000000,329.220499,39.321670,-120.294250,
1836.400000,340.080676,39.321640,-120.294370,
1836.800000,353.046009,39.321630,-120.294520,
1837.000000,366.011343,39.321620,-120.294670,
1837.600000,376.345309,39.321620,-120.294790,
1838.200000,389.310643,39.321630,-120.294940,
1839.000000,402.418556,39.321650,-120.295090,
1839.200000,426.514839,39.321730,-120.295350,
1839.200000,456.235489,39.321830,-120.295670,
1842.000000,508.570996,39.322030,-120.296220,
1848.200000,532.316948,39.322120,-120.296470,
1849.800000,559.132302,39.322240,-120.296740,
1849.800000,575.538244,39.322320,-120.296900,
1851.100000,594.622089,39.322420,-120.297080,
1852.700000,606.887980,39.322490,-120.297190,
1858.300000,632.141567,39.322640,-120.297410,
1860.500000,645.783256,39.322720,-120.297530,
1862.600000,676.544236,39.322870,-120.297830,
1864.000000,769.845453,39.323300,-120.298760,
1864.200000,791.685156,39.323410,-120.298970,
1864.400000,814.846601,39.323540,-120.299180,
1864.700000,829.239624,39.323630,-120.299300,
1865.000000,856.230817,39.323810,-120.299510,
1865.300000,886.029438,39.324010,-120.299740,
1865.500000,906.831313,39.324150,-120.299900,
1865.500000,932.213490,39.324310,-120.300110,
1865.700000,950.012069,39.324420,-120.300260,
1866.100000,969.095536,39.324520,-120.300440,
1869.400000,992.381085,39.324630,-120.300670,
1871.400000,1024.038876,39.324770,-120.300990,
1875.300000,1074.710439,39.325010,-120.301490,
1876.000000,1119.401289,39.325210,-120.301940,
1878.800000,1172.484399,39.325440,-120.302480,
1882.100000,1214.954587,39.325640,-120.302900,
1882.600000,1231.359965,39.325720,-120.303060,
1883.300000,1245.001310,39.325800,-120.303180,
1887.600000,1283.228302,39.326060,-120.303470,
1888.900000,1329.045381,39.326370,-120.303820,
1889.400000,1350.888109,39.326500,-120.304010,
1890.700000,1367.293345,39.326580,-120.304170,
1892.700000,1384.965112,39.326640,-120.304360,
1894.400000,1406.248242,39.326710,-120.304590,
1895.200000,1420.727528,39.326750,-120.304750,
1897.900000,1451.024177,39.326820,-120.305090,
1901.900000,1496.103799,39.326940,-120.305590,
1904.900000,1538.385000,39.327020,-120.306070,
1910.700000,1564.598860,39.327060,-120.306370,
1912.000000,1634.059820,39.327140,-120.307170,
1915.500000,1663.673745,39.327180,-120.307510,
1919.700000,1680.895653,39.327180,-120.307710,
1920.900000,1696.751063,39.327150,-120.307890,
1921.100000,1709.602458,39.327110,-120.308030,
1921.100000,1719.197560,39.327050,-120.308110,
1920.500000,1736.037151,39.326920,-120.308210,
1920.500000,1760.665246,39.326710,-120.308300,
1921.900000,1808.563321,39.326280,-120.308320,
1929.300000,1833.294503,39.326060,-120.308360,
1929.100000,1860.135631,39.325820,-120.308390,
1930.800000,1877.540910,39.325680,-120.308480,
1931.600000,1893.328102,39.325580,-120.308610,
1932.900000,1907.393011,39.325530,-120.308760,
1933.800000,1918.252645,39.325500,-120.308880,
1934.900000,1929.447155,39.325500,-120.309010,
1935.600000,1945.846185,39.325510,-120.309200,
1936.700000,1969.983114,39.325520,-120.309480,
1939.700000,1988.927663,39.325520,-120.309700,
1943.700000,2009.862531,39.325490,-120.309940,
1945.700000,2036.076963,39.325450,-120.310240,
1946.500000,2052.476008,39.325440,-120.310430,
1946.800000,2063.725739,39.325430,-120.310560,
1947.400000,2076.690372,39.325440,-120.310710,
1948.300000,2090.031854,39.325470,-120.310860,
1950.700000,2138.950572,39.325580,-120.311410,
1951.100000,2158.187200,39.325610,-120.311630,
1950.800000,2175.409495,39.325610,-120.311830,
1951.100000,2190.710672,39.325570,-120.312000,
1954.000000,2206.372057,39.325520,-120.312170,
1955.700000,2217.269897,39.325460,-120.312270,
1956.900000,2235.851765,39.325340,-120.312420,
1957.500000,2254.147686,39.325210,-120.312550,
1958.100000,2273.931142,39.325050,-120.312650,
1958.700000,2293.792173,39.324880,-120.312720,
1960.100000,2308.890559,39.324750,-120.312770,
1965.800000,2332.831685,39.324540,-120.312830,
1968.300000,2356.224498,39.324330,-120.312840,
1969.600000,2378.504915,39.324130,-120.312850,
1969.600000,2391.973743,39.324010,-120.312830,
1969.500000,2418.911402,39.323770,-120.312790,
1971.200000,2441.587699,39.323570,-120.312840,
1974.200000,2464.653085,39.323370,-120.312910,
1981.800000,2485.815674,39.323200,-120.313020,
1983.400000,2511.538452,39.323010,-120.313190,
1983.500000,2529.971710,39.322900,-120.313350,
1984.300000,2547.107164,39.322820,-120.313520,
1986.400000,2567.195338,39.322760,-120.313740,
1988.000000,2587.680573,39.322690,-120.313960,
1987.300000,2604.086453,39.322610,-120.314120,
1985.500000,2620.677698,39.322500,-120.314250,
1985.700000,2635.707822,39.322380,-120.314330,
1986.600000,2649.313609,39.322260,-120.314360,
1988.500000,2666.011436,39.322110,-120.314360,
1992.400000,2681.619849,39.321970,-120.314350,
1994.000000,2696.320095,39.321840,-120.314380,
1995.900000,2712.347735,39.321710,-120.314460,
1997.100000,2730.410957,39.321560,-120.314540,
1997.100000,2742.925599,39.321450,-120.314570,
1996.000000,2757.422650,39.321320,-120.314560,
1995.000000,2771.028444,39.321200,-120.314530,
1994.000000,2782.964071,39.321100,-120.314480,
1994.100000,2800.769759,39.320960,-120.314380,
2000.100000,2818.552220,39.320830,-120.314260,
2003.400000,2863.462547,39.320500,-120.313960,
2004.200000,2885.464790,39.320340,-120.313810,
