alt,dst,lat,lon,mdata
1776.300000,0.000000,38.640610,-119.723980,E:\Dropbox\website\dev2\climbing\climbs\Ebbetts-Pass-E.-Markleeville.tcx
1776.300000,1.113000,38.640600,-119.723980,
1776.200000,3.503000,38.640580,-119.723990,
1776.100000,5.893000,38.640560,-119.724000,
1775.900000,11.725000,38.640510,-119.724020,
1775.900000,18.460000,38.640450,-119.724030,
1776.300000,38.498000,38.640270,-119.724030,
1776.300000,39.611000,38.640260,-119.724030,
1776.500000,59.667000,38.640080,-119.724020,
1776.500000,73.054000,38.639960,-119.724010,
1776.600000,97.927000,38.639740,-119.723960,
1776.600000,108.095000,38.639650,-119.723940,
1776.700000,121.899000,38.639530,-119.723900,
1777.200000,148.671000,38.639300,-119.723810,
1777.300000,159.593000,38.639210,-119.723760,
1777.100000,176.659000,38.639070,-119.723680,
1775.700000,198.862000,38.638890,-119.723570,
1775.000000,212.172000,38.638780,-119.723510,
1774.900000,224.123000,38.638680,-119.723460,
1775.000000,229.954000,38.638630,-119.723440,
1775.000000,235.588000,38.638580,-119.723430,
1775.000000,247.021000,38.638480,-119.723400,
1775.000000,261.597000,38.638350,-119.723380,
1775.000000,273.873000,38.638240,-119.723370,
1775.000000,278.326000,38.638200,-119.723370,
1775.000000,285.061000,38.638140,-119.723380,
1780.200000,311.190000,38.637910,-119.723440,
1783.700000,341.173000,38.637650,-119.723530,
1784.000000,349.390000,38.637580,-119.723560,
1785.400000,378.818000,38.637330,-119.723670,
1786.300000,388.378000,38.637250,-119.723710,
1786.600000,396.362000,38.637180,-119.723730,
1787.600000,424.850000,38.636930,-119.723800,
1787.800000,429.387000,38.636890,-119.723810,
1788.000000,436.122000,38.636830,-119.723820,
1788.200000,440.659000,38.636790,-119.723830,
1787.900000,446.292000,38.636740,-119.723820,
1787.900000,448.519000,38.636720,-119.723820,
1787.600000,451.970000,38.636690,-119.723810,
1787.200000,465.441000,38.636570,-119.723790,
1786.800000,474.514000,38.636490,-119.723770,
1785.800000,518.628000,38.636100,-119.723680,
1786.300000,540.221000,38.635910,-119.723630,
1787.900000,571.824000,38.635630,-119.723570,
1788.300000,588.004000,38.635490,-119.723520,
1788.600000,595.988000,38.635420,-119.723500,
1788.900000,621.698000,38.635200,-119.723410,
1788.800000,634.692000,38.635090,-119.723360,
1788.500000,645.297000,38.635000,-119.723320,
1788.400000,651.129000,38.634950,-119.723300,
1788.500000,661.297000,38.634860,-119.723280,
1788.000000,678.552000,38.634710,-119.723230,
1787.800000,688.720000,38.634620,-119.723210,
1787.900000,693.173000,38.634580,-119.723210,
1787.900000,702.121000,38.634500,-119.723200,
1788.000000,712.177000,38.634410,-119.723190,
1788.100000,717.743000,38.634360,-119.723190,
1788.200000,724.422000,38.634300,-119.723190,
1788.600000,732.263000,38.634230,-119.723200,
1789.000000,740.104000,38.634160,-119.723210,
1789.800000,752.624000,38.634050,-119.723240,
1790.800000,763.229000,38.633960,-119.723280,
1792.500000,783.108000,38.633790,-119.723350,
1793.500000,793.713000,38.633700,-119.723390,
1794.400000,802.247000,38.633630,-119.723430,
1795.300000,814.976000,38.633520,-119.723470,
1796.000000,824.256000,38.633440,-119.723500,
1796.600000,833.330000,38.633360,-119.723520,
1797.200000,844.597000,38.633260,-119.723540,
1797.400000,849.049000,38.633220,-119.723540,
1797.700000,855.785000,38.633160,-119.723550,
1798.100000,865.804000,38.633070,-119.723550,
1798.400000,874.709000,38.632990,-119.723550,
1799.600000,903.665000,38.632730,-119.723540,
1801.400000,935.959000,38.632440,-119.723530,
1803.200000,962.676000,38.632200,-119.723530,
1805.800000,990.519000,38.631950,-119.723540,
1810.900000,1019.579000,38.631690,-119.723570,
1812.200000,1029.598000,38.631600,-119.723570,
1813.700000,1044.069000,38.631470,-119.723570,
1814.700000,1060.790000,38.631320,-119.723560,
1815.400000,1081.958000,38.631130,-119.723550,
1815.000000,1114.288000,38.630840,-119.723530,
1814.200000,1134.344000,38.630660,-119.723520,
1814.000000,1139.910000,38.630610,-119.723520,
1813.600000,1147.750000,38.630540,-119.723510,
1813.300000,1155.591000,38.630470,-119.723520,
1813.100000,1158.931000,38.630440,-119.723520,
1812.900000,1162.270000,38.630410,-119.723520,
1812.600000,1167.904000,38.630360,-119.723530,
1812.300000,1172.441000,38.630320,-119.723540,
1812.000000,1179.611000,38.630260,-119.723570,
1811.800000,1183.062000,38.630230,-119.723580,
1811.600000,1186.513000,38.630200,-119.723590,
1811.200000,1192.660000,38.630150,-119.723620,
1810.900000,1198.310000,38.630110,-119.723660,
1810.500000,1205.373000,38.630060,-119.723710,
1810.200000,1211.024000,38.630020,-119.723750,
1810.000000,1215.262000,38.629990,-119.723780,
1809.900000,1220.084000,38.629960,-119.723820,
1809.900000,1224.214000,38.629940,-119.723860,
1809.800000,1229.696000,38.629910,-119.723910,
1809.700000,1243.583000,38.629850,-119.724050,
1809.700000,1249.255000,38.629830,-119.724110,
1809.400000,1259.807000,38.629790,-119.724220,
1809.500000,1267.111000,38.629770,-119.724300,
1809.700000,1278.938000,38.629720,-119.724420,
1810.100000,1285.133000,38.629690,-119.724480,
1810.400000,1292.762000,38.629640,-119.724540,
1811.200000,1301.799000,38.629580,-119.724610,
1811.500000,1306.037000,38.629550,-119.724640,
1811.800000,1314.961000,38.629480,-119.724690,
1811.900000,1321.108000,38.629430,-119.724720,
1812.200000,1332.029000,38.629340,-119.724770,
1812.400000,1341.590000,38.629260,-119.724810,
1813.000000,1349.560000,38.629200,-119.724860,
1813.900000,1362.687000,38.629100,-119.724940,
1814.600000,1369.750000,38.629050,-119.724990,
1815.400000,1379.638000,38.628980,-119.725060,
1816.400000,1392.707000,38.628900,-119.725170,
1817.600000,1411.904000,38.628790,-119.725340,
1817.900000,1420.813000,38.628740,-119.725420,
1818.100000,1431.779000,38.628680,-119.725520,
1818.400000,1442.104000,38.628630,-119.725620,
1818.700000,1456.559000,38.628560,-119.725760,
1818.700000,1473.704000,38.628470,-119.725920,
1819.200000,1483.474000,38.628430,-119.726020,
1819.300000,1493.799000,38.628380,-119.726120,
1819.200000,1503.403000,38.628330,-119.726210,
1819.200000,1519.351000,38.628260,-119.726370,
1819.200000,1526.294000,38.628230,-119.726440,
1818.600000,1541.489000,38.628160,-119.726590,
1818.800000,1552.835000,38.628120,-119.726710,
1818.900000,1566.222000,38.628070,-119.726850,
1820.000000,1574.127000,38.628060,-119.726940,
1820.500000,1587.911000,38.628020,-119.727090,
1821.100000,1595.817000,38.628010,-119.727180,
1820.700000,1607.163000,38.627970,-119.727300,
1821.000000,1611.651000,38.627960,-119.727350,
1820.900000,1617.134000,38.627930,-119.727400,
1820.900000,1623.993000,38.627890,-119.727460,
1821.000000,1627.423000,38.627870,-119.727490,
1821.200000,1635.899000,38.627810,-119.727550,
1821.800000,1643.528000,38.627760,-119.727610,
1822.500000,1656.655000,38.627660,-119.727690,
1823.000000,1667.442000,38.627580,-119.727760,
1823.900000,1681.050000,38.627480,-119.727850,
1824.600000,1693.498000,38.627400,-119.727950,
1824.600000,1699.721000,38.627360,-119.728000,
1824.700000,1708.631000,38.627310,-119.728080,
1825.000000,1717.636000,38.627270,-119.728170,
1825.200000,1723.309000,38.627250,-119.728230,
1825.400000,1730.851000,38.627210,-119.728300,
1825.700000,1735.736000,38.627190,-119.728350,
1825.800000,1741.219000,38.627160,-119.728400,
1825.200000,1760.415000,38.627050,-119.728570,
1824.800000,1771.460000,38.626980,-119.728660,
1824.400000,1785.312000,38.626890,-119.728770,
1824.700000,1808.200000,38.626740,-119.728950,
1825.500000,1825.700000,38.626620,-119.729080,
1826.300000,1845.477000,38.626480,-119.729220,
1826.500000,1851.701000,38.626440,-119.729270,
1826.100000,1868.652000,38.626320,-119.729390,
1825.100000,1880.850000,38.626230,-119.729470,
1824.400000,1893.047000,38.626140,-119.729550,
1824.600000,1908.066000,38.626030,-119.729650,
1824.700000,1917.444000,38.625960,-119.729710,
1825.000000,1926.822000,38.625890,-119.729770,
1825.300000,1939.020000,38.625800,-119.729850,
1825.700000,1949.807000,38.625720,-119.729920,
1827.300000,1961.108000,38.625640,-119.730000,
1829.600000,1972.964000,38.625560,-119.730090,
1833.300000,1981.440000,38.625500,-119.730150,
1837.200000,1991.730000,38.625440,-119.730240,
1838.600000,2001.374000,38.625380,-119.730320,
1838.900000,2011.700000,38.625330,-119.730420,
1838.700000,2021.304000,38.625280,-119.730510,
1838.700000,2031.074000,38.625240,-119.730610,
1838.600000,2041.626000,38.625200,-119.730720,
1838.600000,2048.108000,38.625180,-119.730790,
1837.900000,2057.879000,38.625140,-119.730890,
1837.700000,2069.225000,38.625100,-119.731010,
1837.600000,2075.420000,38.625070,-119.731070,
1837.900000,2083.680000,38.625030,-119.731150,
1838.300000,2109.191000,38.624870,-119.731360,
1838.200000,2120.868000,38.624800,-119.731460,
1838.200000,2128.410000,38.624760,-119.731530,
1838.700000,2134.083000,38.624740,-119.731590,
1838.900000,2140.279000,38.624710,-119.731650,
1840.100000,2150.411000,38.624680,-119.731760,
1840.400000,2159.416000,38.624640,-119.731850,
