alt,dst,lat,lon,mdata
2164.500000,0.000000,38.538550,-119.893130,E:\Dropbox\website\dev2\climbing\climbs\Ebbetts-Pass-W.-Markleeville.tcx
2164.400000,7.054000,38.538560,-119.893050,
2164.300000,19.218000,38.538600,-119.892920,
2164.000000,37.500000,38.538650,-119.892720,
2163.500000,65.477000,38.538740,-119.892420,
2162.900000,84.944000,38.538800,-119.892210,
2162.700000,95.506000,38.538840,-119.892100,
2162.600000,104.025000,38.538870,-119.892010,
2162.300000,113.805000,38.538910,-119.891910,
2162.100000,123.584000,38.538950,-119.891810,
2161.800000,133.918000,38.539000,-119.891710,
2161.600000,147.661000,38.539070,-119.891580,
2161.400000,160.695000,38.539140,-119.891460,
2161.200000,169.611000,38.539190,-119.891380,
2160.800000,180.585000,38.539250,-119.891280,
2160.200000,196.364000,38.539340,-119.891140,
2160.600000,214.267000,38.539450,-119.890990,
2162.300000,245.404000,38.539650,-119.890740,
2162.600000,259.264000,38.539740,-119.890630,
2163.800000,283.573000,38.539900,-119.890440,
2165.300000,325.653000,38.540190,-119.890130,
2165.900000,360.115000,38.540430,-119.889880,
2166.100000,384.140000,38.540600,-119.889710,
2166.200000,391.206000,38.540650,-119.889660,
2166.300000,402.513000,38.540730,-119.889580,
2166.500000,421.195000,38.540850,-119.889430,
2167.000000,439.279000,38.540970,-119.889290,
2167.400000,461.921000,38.541100,-119.889090,
2167.500000,476.323000,38.541180,-119.888960,
2167.400000,486.657000,38.541230,-119.888860,
2167.600000,508.064000,38.541330,-119.888650,
2168.000000,526.089000,38.541410,-119.888470,
2171.000000,564.245000,38.541550,-119.888070,
2171.900000,596.169000,38.541690,-119.887750,
2172.500000,623.968000,38.541810,-119.887470,
2172.800000,669.033000,38.542010,-119.887020,
2173.000000,705.084000,38.542170,-119.886660,
2172.900000,733.933000,38.542280,-119.886360,
2172.000000,774.869000,38.542460,-119.885950,
2173.700000,837.661000,38.542720,-119.885310,
2174.400000,871.466000,38.542880,-119.884980,
2175.900000,896.267000,38.543000,-119.884740,
2176.700000,909.301000,38.543070,-119.884620,
2176.900000,916.250000,38.543100,-119.884550,
2177.200000,924.517000,38.543140,-119.884470,
2177.200000,931.830000,38.543160,-119.884390,
2177.300000,937.509000,38.543180,-119.884330,
2177.200000,942.850000,38.543190,-119.884270,
2177.200000,948.191000,38.543200,-119.884210,
2177.100000,955.245000,38.543210,-119.884130,
2177.200000,963.160000,38.543220,-119.884040,
2178.800000,977.961000,38.543220,-119.883870,
2182.300000,1017.141000,38.543220,-119.883420,
2184.800000,1044.132000,38.543220,-119.883110,
2186.700000,1080.717000,38.543210,-119.882690,
2186.900000,1086.811000,38.543210,-119.882620,
2187.100000,1091.165000,38.543210,-119.882570,
2187.200000,1096.389000,38.543210,-119.882510,
2187.300000,1102.483000,38.543210,-119.882440,
2187.200000,1110.319000,38.543210,-119.882350,
2187.200000,1115.543000,38.543210,-119.882290,
2187.300000,1123.458000,38.543220,-119.882200,
2187.500000,1128.682000,38.543220,-119.882140,
2187.900000,1137.459000,38.543230,-119.882040,
2189.300000,1151.785000,38.543260,-119.881880,
2189.700000,1156.278000,38.543270,-119.881830,
2190.500000,1163.591000,38.543290,-119.881750,
2191.600000,1177.071000,38.543320,-119.881600,
2194.500000,1206.321000,38.543400,-119.881280,
2197.700000,1231.598000,38.543460,-119.881000,
2200.100000,1255.200000,38.543520,-119.880740,
2201.400000,1271.831000,38.543570,-119.880560,
2202.100000,1281.974000,38.543600,-119.880450,
2203.000000,1295.772000,38.543640,-119.880300,
2204.700000,1324.194000,38.543720,-119.879990,
2206.200000,1338.519000,38.543750,-119.879830,
2207.300000,1346.434000,38.543760,-119.879740,
2208.600000,1355.420000,38.543780,-119.879640,
2209.900000,1365.927000,38.543790,-119.879520,
2210.600000,1374.634000,38.543790,-119.879420,
2211.100000,1380.830000,38.543780,-119.879350,
2211.900000,1389.607000,38.543770,-119.879250,
2212.700000,1399.249000,38.543760,-119.879140,
2213.800000,1416.125000,38.543730,-119.878950,
2214.600000,1433.856000,38.543700,-119.878750,
2214.600000,1447.654000,38.543660,-119.878600,
2214.900000,1457.486000,38.543640,-119.878490,
2214.900000,1459.553000,38.543630,-119.878470,
2215.200000,1468.540000,38.543610,-119.878370,
2215.500000,1479.102000,38.543570,-119.878260,
2215.800000,1486.051000,38.543540,-119.878190,
2216.100000,1490.941000,38.543520,-119.878140,
2216.400000,1499.208000,38.543480,-119.878060,
2216.500000,1507.475000,38.543440,-119.877980,
2216.500000,1515.023000,38.543400,-119.877910,
2216.400000,1521.887000,38.543360,-119.877850,
2216.200000,1531.537000,38.543300,-119.877770,
2216.200000,1544.811000,38.543210,-119.877670,
2216.900000,1560.356000,38.543100,-119.877560,
2220.300000,1584.760000,38.542920,-119.877400,
2224.500000,1625.105000,38.542620,-119.877140,
2225.300000,1634.487000,38.542550,-119.877080,
2226.000000,1640.140000,38.542510,-119.877040,
2226.400000,1643.572000,38.542490,-119.877010,
2226.700000,1648.734000,38.542450,-119.876980,
2227.400000,1653.559000,38.542420,-119.876940,
2228.900000,1662.601000,38.542360,-119.876870,
2230.900000,1672.898000,38.542300,-119.876780,
2232.000000,1683.949000,38.542230,-119.876690,
2232.100000,1691.497000,38.542190,-119.876620,
2232.200000,1697.697000,38.542160,-119.876560,
2232.100000,1704.647000,38.542130,-119.876490,
2231.800000,1708.780000,38.542110,-119.876450,
2231.700000,1711.620000,38.542100,-119.876420,
2231.800000,1713.361000,38.542100,-119.876400,
2231.700000,1718.702000,38.542090,-119.876340,
2231.600000,1724.044000,38.542080,-119.876280,
2231.500000,1730.139000,38.542080,-119.876210,
2231.800000,1735.480000,38.542090,-119.876150,
2232.300000,1743.395000,38.542100,-119.876060,
2233.400000,1752.720000,38.542130,-119.875960,
2234.400000,1771.002000,38.542180,-119.875760,
2234.600000,1781.145000,38.542210,-119.875650,
2234.600000,1788.869000,38.542240,-119.875570,
2234.300000,1794.548000,38.542260,-119.875510,
2234.300000,1797.980000,38.542280,-119.875480,
2233.900000,1803.467000,38.542310,-119.875430,
2233.900000,1807.707000,38.542340,-119.875400,
2233.900000,1810.533000,38.542360,-119.875380,
2233.800000,1816.186000,38.542400,-119.875340,
2234.500000,1822.334000,38.542450,-119.875310,
2235.300000,1828.483000,38.542500,-119.875280,
2236.700000,1834.315000,38.542550,-119.875260,
2238.400000,1839.948000,38.542600,-119.875250,
2242.600000,1855.750000,38.542740,-119.875220,
2245.300000,1876.088000,38.542920,-119.875180,
2246.000000,1890.793000,38.543050,-119.875150,
2247.400000,1906.595000,38.543190,-119.875120,
2248.500000,1922.777000,38.543330,-119.875070,
2248.900000,1935.773000,38.543440,-119.875020,
2250.300000,1949.085000,38.543550,-119.874960,
2253.100000,1966.156000,38.543690,-119.874880,
2254.800000,1987.365000,38.543860,-119.874770,
2254.000000,2009.963000,38.544040,-119.874650,
2255.300000,2035.775000,38.544240,-119.874500,
2256.400000,2051.720000,38.544360,-119.874400,
2257.100000,2065.852000,38.544460,-119.874300,
2257.300000,2076.304000,38.544530,-119.874220,
2258.000000,2089.577000,38.544620,-119.874120,
2258.200000,2101.261000,38.544690,-119.874020,
2258.500000,2114.295000,38.544760,-119.873900,
2260.000000,2127.329000,38.544830,-119.873780,
2262.100000,2141.997000,38.544890,-119.873630,
2263.100000,2154.610000,38.544940,-119.873500,
2264.600000,2172.896000,38.545010,-119.873310,
2265.400000,2183.457000,38.545050,-119.873200,
2266.600000,2198.906000,38.545110,-119.873040,
2268.200000,2219.755000,38.545200,-119.872830,
2268.800000,2243.716000,38.545290,-119.872580,
2269.000000,2259.954000,38.545350,-119.872410,
2269.800000,2290.851000,38.545470,-119.872090,
2269.300000,2307.482000,38.545520,-119.871910,
2269.800000,2327.819000,38.545600,-119.871700,
2270.200000,2350.533000,38.545680,-119.871460,
2271.400000,2393.570000,38.545840,-119.871010,
2271.600000,2394.983000,38.545850,-119.871000,
2272.600000,2418.944000,38.545940,-119.870750,
2274.100000,2442.905000,38.546030,-119.870500,
2275.100000,2456.305000,38.546080,-119.870360,
2275.900000,2462.505000,38.546110,-119.870300,
2276.200000,2471.491000,38.546130,-119.870200,
2276.800000,2484.971000,38.546160,-119.870050,
2277.100000,2500.994000,38.546190,-119.869870,
2277.300000,2522.155000,38.546220,-119.869630,
2277.800000,2537.327000,38.546250,-119.869460,
2277.700000,2546.105000,38.546260,-119.869360,
2278.300000,2555.429000,38.546290,-119.869260,
2279.300000,2564.416000,38.546310,-119.869160,
2280.300000,2567.898000,38.546310,-119.869120,
2282.000000,2572.788000,38.546330,-119.869070,
2285.100000,2585.426000,38.546360,-119.868930,
2286.000000,2596.394000,38.546390,-119.868810,
2286.300000,2603.706000,38.546410,-119.868730,
2286.000000,2611.852000,38.546430,-119.868640,
2285.500000,2619.164000,38.546450,-119.868560,
2285.600000,2625.364000,38.546480,-119.868500,
2284.600000,2632.677000,38.546500,-119.868420,
2285.300000,2654.681000,38.546610,-119.868210,
2285.500000,2684.952000,38.546760,-119.867920,
2285.100000,2703.552000,38.546850,-119.867740,
2287.700000,2724.218000,38.546950,-119.867540,
2290.700000,2739.426000,38.547020,-119.867390,
2294.700000,2757.451000,38.547100,-119.867210,
