alt,dst,lat,lon,mdata
1935.700000,0.000000,38.847790,-120.027830,E:\Dropbox\website\dev2\climbing\climbs\Echo-Lake-Road.tcx
1938.000000,32.452212,38.847560,-120.028060,
1936.200000,63.392545,38.847320,-120.027880,
1936.200000,73.560182,38.847230,-120.027860,
1936.800000,236.365261,38.845770,-120.027750,
1936.900000,255.309314,38.845600,-120.027740,
1936.800000,279.084810,38.845390,-120.027690,
1936.200000,312.296919,38.845100,-120.027600,
1936.800000,341.967136,38.844910,-120.027840,
1939.500000,409.128070,38.844470,-120.028370,
1945.300000,463.056912,38.844050,-120.028680,
1953.000000,528.612185,38.843480,-120.028870,
1974.300000,724.874308,38.841780,-120.029470,
1980.600000,782.536634,38.841300,-120.029720,
1997.900000,899.178542,38.840410,-120.030430,
1998.600000,928.175532,38.840170,-120.030560,
2005.300000,1024.161951,38.839340,-120.030860,
2008.200000,1043.395708,38.839200,-120.030990,
2010.600000,1087.402434,38.838990,-120.031420,
2014.000000,1154.810658,38.838670,-120.032080,
2020.400000,1186.393636,38.838450,-120.032310,
2021.200000,1217.489651,38.838200,-120.032470,
2020.800000,1252.096395,38.837890,-120.032500,
2019.900000,1281.515200,38.837640,-120.032390,
2024.500000,1310.934016,38.837390,-120.032280,
2028.600000,1333.265224,38.837190,-120.032300,
2033.000000,1370.458456,38.836880,-120.032460,
2035.200000,1431.543585,38.836370,-120.032720,
2044.800000,1474.243482,38.836010,-120.032890,
2043.200000,1499.846816,38.835780,-120.032890,
2043.400000,1525.581962,38.835550,-120.032860,
2043.400000,1544.321055,38.835410,-120.032740,
2053.100000,1597.793169,38.835020,-120.032380,
2053.700000,1619.820367,38.834850,-120.032250,
2054.800000,1634.927337,38.834720,-120.032200,
2056.200000,1650.511976,38.834580,-120.032200,
2056.800000,1664.847667,38.834460,-120.032140,
2058.000000,1677.547252,38.834370,-120.032050,
2060.600000,1697.042769,38.834290,-120.031850,
2062.900000,1716.936185,38.834170,-120.031680,
2064.300000,1734.770792,38.834030,-120.031580,
2066.000000,1767.631122,38.833750,-120.031460,
2070.500000,1806.110022,38.833410,-120.031380,
2080.100000,1895.316953,38.832610,-120.031320,
2088.900000,1948.749999,38.832130,-120.031320,
2090.700000,1983.269734,38.831820,-120.031330,
2093.500000,2015.842067,38.831530,-120.031380,
2101.500000,2061.688283,38.831120,-120.031430,
2102.800000,2098.921652,38.830790,-120.031360,
2110.900000,2163.401718,38.830260,-120.031060,
2114.700000,2203.408770,38.829940,-120.030850,
2115.000000,2216.713439,38.829830,-120.030790,
2123.200000,2286.946231,38.829210,-120.030640,
2124.300000,2295.863681,38.829140,-120.030590,
2124.600000,2325.385121,38.828960,-120.030340,
2125.000000,2339.496183,38.828860,-120.030240,
2126.200000,2350.628068,38.828760,-120.030240,
2129.700000,2381.291047,38.828490,-120.030310,
2137.500000,2450.314179,38.827870,-120.030320,
2139.100000,2473.633849,38.827670,-120.030400,
2139.500000,2481.426168,38.827600,-120.030400,
2138.900000,2493.372732,38.827500,-120.030350,
2145.500000,2533.252715,38.827210,-120.030080,
2149.600000,2543.854949,38.827120,-120.030040,
2156.000000,2576.242080,38.826830,-120.030010,
2157.800000,2597.446562,38.826650,-120.029930,
2156.800000,2622.323233,38.826470,-120.029760,
2162.600000,2708.542631,38.825920,-120.029060,
2162.100000,2739.328501,38.825750,-120.028780,
2162.800000,2743.561891,38.825720,-120.028750,
2164.000000,2748.719014,38.825680,-120.028720,
2165.300000,2753.876137,38.825640,-120.028690,
2167.400000,2760.776804,38.825580,-120.028670,
2168.800000,2765.313225,38.825540,-120.028680,
2165.200000,2846.735734,38.825980,-120.029430,
2162.100000,2902.497992,38.826330,-120.029890,
2163.000000,2907.276629,38.826290,-120.029910,
2163.600000,2910.726960,38.826260,-120.029920,
2164.200000,2915.263380,38.826220,-120.029910,
2164.600000,2920.042017,38.826180,-120.029890,
2165.200000,2929.919906,38.826110,-120.029820,
2167.100000,2953.995923,38.825960,-120.029620,
2168.500000,2987.525523,38.825770,-120.029320,
2168.900000,3010.114521,38.825640,-120.029120,
2175.600000,3062.861982,38.825290,-120.028710,
2176.400000,3067.095382,38.825260,-120.028680,
2176.100000,3069.156359,38.825250,-120.028660,
2176.600000,3074.313491,38.825210,-120.028630,
2177.100000,3078.849913,38.825170,-120.028620,
2177.700000,3082.300248,38.825140,-120.028630,
2178.400000,3086.063378,38.825110,-120.028650,
2179.200000,3090.185338,38.825090,-120.028690,
2180.200000,3096.256050,38.825090,-120.028760,
2181.200000,3106.363390,38.825120,-120.028870,
2181.500000,3111.836552,38.825150,-120.028920,
2182.400000,3122.881241,38.825200,-120.029030,
2183.400000,3132.629987,38.825240,-120.029130,
2185.500000,3145.827768,38.825260,-120.029280,
2187.800000,3173.818778,38.825330,-120.029590,
2188.700000,3228.033787,38.825530,-120.030160,
2190.100000,3255.229195,38.825640,-120.030440,
2195.800000,3295.120174,38.825830,-120.030830,
2208.000000,3405.308279,38.826460,-120.031810,
2207.600000,3428.429353,38.826620,-120.031980,
2207.000000,3442.950381,38.826730,-120.032070,
