alt,dst,lat,lon,mdata
127.700000,0.000000,37.885750,-122.193650,E:\Dropbox\website\dev2\climbing\climbs\El-Toyonal.tcx
127.700000,2.393457,37.885770,-122.193660,
127.400000,11.342197,37.885850,-122.193670,
127.400000,12.220766,37.885850,-122.193680,
127.800000,16.613606,37.885850,-122.193730,
128.200000,21.538421,37.885870,-122.193780,
129.000000,27.260700,37.885890,-122.193840,
130.200000,37.187552,37.885960,-122.193910,
131.400000,64.210033,37.886180,-122.194040,
132.400000,108.327871,37.886540,-122.194250,
136.700000,153.611221,37.886900,-122.194490,
140.400000,213.340992,37.887360,-122.194840,
142.100000,229.828468,37.887480,-122.194950,
142.600000,242.242723,37.887550,-122.195060,
143.400000,252.159887,37.887570,-122.195170,
144.600000,263.635127,37.887580,-122.195300,
145.700000,272.490847,37.887570,-122.195400,
147.500000,286.085629,37.887540,-122.195550,
148.900000,300.081801,37.887480,-122.195690,
150.800000,318.802198,37.887390,-122.195870,
152.500000,333.379930,37.887260,-122.195890,
154.000000,345.750428,37.887150,-122.195910,
155.300000,360.221878,37.887020,-122.195910,
156.500000,378.054548,37.886860,-122.195900,
157.200000,399.495090,37.886670,-122.195860,
160.600000,441.019016,37.886300,-122.195800,
161.700000,455.911055,37.886170,-122.195760,
162.500000,471.034539,37.886040,-122.195710,
163.000000,490.894555,37.885880,-122.195610,
163.800000,510.381853,37.885720,-122.195520,
166.800000,539.590308,37.885490,-122.195360,
168.000000,552.353435,37.885400,-122.195450,
168.900000,563.389738,37.885340,-122.195550,
169.800000,573.614793,37.885310,-122.195660,
171.200000,586.980147,37.885330,-122.195810,
172.900000,601.285933,37.885380,-122.195960,
173.100000,609.794685,37.885440,-122.196020,
173.300000,620.288549,37.885510,-122.196100,
173.200000,678.612259,37.885960,-122.196440,
173.500000,697.377008,37.886080,-122.196590,
176.600000,734.818261,37.886260,-122.196950,
177.600000,754.157482,37.886360,-122.197130,
177.900000,770.229791,37.886430,-122.197290,
180.300000,789.590166,37.886440,-122.197510,
183.400000,802.815516,37.886430,-122.197660,
185.400000,818.400685,37.886390,-122.197830,
186.600000,831.725903,37.886300,-122.197930,
190.100000,857.370177,37.886140,-122.198140,
193.700000,881.515808,37.886010,-122.198360,
206.300000,1000.734510,37.885510,-122.199560,
208.400000,1017.375180,37.885430,-122.199720,
209.300000,1023.915777,37.885410,-122.199790,
210.200000,1030.944364,37.885410,-122.199870,
210.700000,1038.060558,37.885420,-122.199950,
211.200000,1047.977994,37.885440,-122.200060,
211.900000,1060.723314,37.885470,-122.200200,
213.500000,1076.027850,37.885500,-122.200370,
215.500000,1089.393171,37.885520,-122.200520,
217.700000,1109.874424,37.885550,-122.200750,
218.200000,1115.145855,37.885550,-122.200810,
218.700000,1120.533541,37.885560,-122.200870,
219.800000,1129.596958,37.885580,-122.200970,
221.700000,1140.237700,37.885620,-122.201080,
222.200000,1151.985423,37.885680,-122.201190,
224.100000,1165.905635,37.885770,-122.201300,
224.500000,1182.835228,37.885900,-122.201400,
224.500000,1197.195966,37.886020,-122.201460,
225.000000,1208.516826,37.886110,-122.201520,
226.400000,1219.618275,37.886180,-122.201610,
227.700000,1228.201663,37.886210,-122.201700,
228.600000,1239.837964,37.886230,-122.201830,
229.500000,1256.861451,37.886260,-122.202020,
234.300000,1333.079275,37.886170,-122.202880,
235.200000,1340.451981,37.886150,-122.202960,
236.300000,1347.450168,37.886120,-122.203030,
237.400000,1354.350499,37.886080,-122.203090,
239.500000,1362.859224,37.886020,-122.203150,
239.500000,1370.039593,37.885960,-122.203180,
240.000000,1382.565116,37.885850,-122.203210,
240.400000,1392.495128,37.885770,-122.203160,
245.000000,1531.962485,37.884810,-122.202140,
244.800000,1558.906966,37.884620,-122.201950,
246.600000,1608.288805,37.884240,-122.201660,
249.000000,1638.430710,37.884020,-122.201460,
251.400000,1656.589449,37.883900,-122.201320,
252.300000,1678.006998,37.883790,-122.201120,
252.400000,1702.631635,37.883690,-122.200870,
253.600000,1721.259735,37.883590,-122.200700,
255.700000,1737.208876,37.883490,-122.200570,
257.000000,1745.757043,37.883420,-122.200530,
257.700000,1753.598737,37.883350,-122.200520,
258.000000,1760.335407,37.883290,-122.200530,
258.100000,1764.874014,37.883250,-122.200540,
258.800000,1773.937701,37.883230,-122.200640,
259.400000,1780.478471,37.883210,-122.200710,
260.000000,1785.866322,37.883200,-122.200770,
260.500000,1790.259320,37.883200,-122.200820,
261.100000,1795.647171,37.883210,-122.200880,
261.600000,1799.333658,37.883220,-122.200920,
262.400000,1805.583786,37.883230,-122.200990,
262.900000,1811.306240,37.883250,-122.201050,
263.300000,1816.231193,37.883270,-122.201100,
264.100000,1827.290643,37.883300,-122.201220,
264.400000,1835.505478,37.883320,-122.201310,
264.900000,1851.669003,37.883350,-122.201490,
265.300000,1873.787878,37.883410,-122.201730,
266.100000,1888.236666,37.883440,-122.201890,
267.100000,1900.982309,37.883470,-122.202030,
270.000000,1917.411941,37.883510,-122.202210,
271.700000,1924.784887,37.883530,-122.202290,
272.800000,1932.377751,37.883570,-122.202360,
273.600000,1939.376126,37.883600,-122.202430,
274.500000,1948.455513,37.883660,-122.202500,
277.400000,1963.787712,37.883760,-122.202620,
278.500000,1983.962833,37.883890,-122.202780,
278.900000,1997.073022,37.883960,-122.202900,
279.300000,2005.393477,37.884000,-122.202980,
280.300000,2014.472843,37.884060,-122.203050,
282.900000,2034.501233,37.884130,-122.203260,
283.800000,2048.733861,37.884150,-122.203420,
284.300000,2055.762569,37.884150,-122.203500,
287.000000,2073.152005,37.884070,-122.203670,
287.900000,2080.242683,37.884020,-122.203720,
289.800000,2104.653666,37.883860,-122.203910,
289.900000,2106.071803,37.883850,-122.203920,
293.200000,2137.553728,37.883640,-122.204160,
288.600000,2168.016992,37.883490,-122.204450,
290.700000,2174.917467,37.883450,-122.204510,
292.800000,2179.842411,37.883430,-122.204560,
295.200000,2186.383165,37.883410,-122.204630,
297.300000,2192.533346,37.883410,-122.204700,
299.100000,2199.649729,37.883400,-122.204780,
299.000000,2210.425402,37.883420,-122.204900,
297.400000,2221.201072,37.883440,-122.205020,
296.700000,2229.987041,37.883440,-122.205120,
297.300000,2238.843251,37.883430,-122.205220,
