alt,dst,lat,lon,mdata
401.600000,0.000000,36.169070,-117.300240,E:\Dropbox\website\dev2\climbing\climbs\Emigrant-Pass-West---Death-Valley.tcx
406.300000,214.951163,36.170960,-117.299750,
412.100000,433.171924,36.172880,-117.299260,
425.600000,899.782873,36.176980,-117.298180,
429.300000,1012.823982,36.177970,-117.297900,
435.700000,1183.257541,36.179470,-117.297520,
436.900000,1212.698269,36.179730,-117.297460,
441.300000,1316.114012,36.180620,-117.297130,
444.500000,1388.222036,36.181230,-117.296860,
448.000000,1477.077807,36.181960,-117.296460,
452.100000,1570.907756,36.182700,-117.295960,
457.000000,1683.837578,36.183600,-117.295380,
464.600000,1891.865198,36.185240,-117.294270,
472.800000,2105.640675,36.186930,-117.293140,
488.900000,2456.144459,36.189680,-117.291240,
494.300000,2565.042846,36.190530,-117.290640,
505.800000,2784.874574,36.192260,-117.289460,
516.800000,3019.441993,36.194110,-117.288210,
521.300000,3132.661502,36.195000,-117.287600,
526.700000,3243.617085,36.195880,-117.287020,
534.800000,3460.525665,36.197580,-117.285840,
548.500000,3749.381910,36.199840,-117.284260,
548.400000,3817.495576,36.200300,-117.283760,
551.600000,3911.903644,36.200960,-117.283100,
556.000000,3997.170355,36.201540,-117.282480,
566.400000,4342.200080,36.203900,-117.279990,
578.800000,4551.026788,36.205340,-117.278500,
584.300000,4663.790951,36.206100,-117.277670,
585.500000,4694.401074,36.206310,-117.277450,
586.900000,4730.925814,36.206540,-117.277160,
588.600000,4789.706241,36.206890,-117.276670,
590.200000,4832.347499,36.207130,-117.276300,
591.200000,4877.844631,36.207370,-117.275890,
595.100000,4990.897185,36.207930,-117.274840,
596.900000,5110.531776,36.208570,-117.273770,
601.500000,5236.751612,36.209210,-117.272610,
604.600000,5298.267134,36.209560,-117.272080,
606.700000,5372.099629,36.210030,-117.271500,
608.000000,5418.194580,36.210360,-117.271190,
613.900000,5535.655245,36.211230,-117.270450,
621.100000,5696.125654,36.212430,-117.269460,
633.000000,5948.059728,36.214300,-117.267880,
634.500000,6006.479165,36.214720,-117.267490,
641.300000,6118.904451,36.215490,-117.266680,
643.300000,6157.394823,36.215720,-117.266360,
646.500000,6195.841806,36.215940,-117.266030,
647.300000,6218.296713,36.216080,-117.265850,
647.900000,6248.353198,36.216250,-117.265590,
650.500000,6288.255124,36.216490,-117.265260,
651.500000,6334.737598,36.216790,-117.264900,
655.000000,6426.365875,36.217330,-117.264130,
655.700000,6443.916714,36.217440,-117.263990,
680.700000,6783.491769,36.219490,-117.261190,
685.400000,6884.248778,36.220090,-117.260350,
686.300000,6905.919007,36.220210,-117.260160,
684.800000,7040.334029,36.221020,-117.259050,
684.400000,7066.934425,36.221180,-117.258830,
686.600000,7187.975853,36.221900,-117.257820,
687.400000,7236.911342,36.222230,-117.257460,
688.200000,7282.398882,36.222540,-117.257130,
688.800000,7289.550217,36.222590,-117.257080,
689.800000,7303.852884,36.222690,-117.256980,
691.400000,7357.843436,36.223090,-117.256640,
695.000000,7428.808695,36.223630,-117.256220,
697.700000,7486.117981,36.224080,-117.255910,
703.200000,7602.586338,36.224990,-117.255270,
719.700000,7866.670382,36.227040,-117.253790,
724.700000,7958.927152,36.227740,-117.253240,
752.200000,8411.303572,36.231240,-117.250680,
762.700000,8640.372371,36.233020,-117.249400,
766.700000,8728.843112,36.233700,-117.248890,
778.400000,8909.608508,36.235100,-117.247870,
783.400000,8984.836925,36.235680,-117.247440,
786.100000,9017.479413,36.235930,-117.247250,
787.900000,9041.637114,36.236120,-117.247120,
789.400000,9064.980133,36.236310,-117.247010,
801.500000,9248.948133,36.237810,-117.246150,
811.600000,9411.111269,36.239120,-117.245360,
821.300000,9543.582730,36.240140,-117.244600,
824.600000,9582.901637,36.240430,-117.244350,
829.500000,9642.105029,36.240840,-117.243930,
834.600000,9701.072078,36.241210,-117.243460,
839.800000,9790.668944,36.241750,-117.242720,
847.000000,9893.415106,36.242410,-117.241920,
855.500000,10038.926773,36.243370,-117.240820,
868.500000,10225.813561,36.244590,-117.239390,
870.500000,10254.586490,36.244770,-117.239160,
872.600000,10286.733240,36.244950,-117.238880,
874.900000,10321.888223,36.245120,-117.238550,
893.500000,10550.105506,36.246010,-117.236260,
895.900000,10579.539917,36.246160,-117.235990,
900.100000,10650.121583,36.246560,-117.235380,
905.000000,10722.264998,36.247000,-117.234790,
911.900000,10806.670344,36.247540,-117.234130,
913.300000,10825.261470,36.247670,-117.234000,
914.900000,10844.207147,36.247810,-117.233880,
916.900000,10863.165332,36.247960,-117.233780,
919.000000,10881.006548,36.248110,-117.233710,
920.800000,10903.070964,36.248300,-117.233640,
921.700000,10919.560200,36.248440,-117.233580,
923.400000,10939.925638,36.248600,-117.233470,
925.500000,10958.871242,36.248740,-117.233350,
927.500000,10978.892333,36.248880,-117.233210,
929.500000,10998.507676,36.249000,-117.233050,
931.200000,11018.074367,36.249110,-117.232880,
932.900000,11039.887064,36.249250,-117.232710,
934.300000,11057.625281,36.249370,-117.232580,
935.200000,11075.144966,36.249500,-117.232470,
935.300000,11091.719111,36.249630,-117.232380,
946.500000,11248.555104,36.250910,-117.231650,
946.400000,11257.858925,36.250990,-117.231620,
954.900000,11398.875335,36.252120,-117.230910,
959.200000,11437.369188,36.252430,-117.230720,
961.500000,11462.442382,36.252620,-117.230570,
962.300000,11483.038454,36.252760,-117.230420,
962.400000,11504.003642,36.252880,-117.230240,
962.500000,11513.814531,36.252930,-117.230150,
968.800000,11622.163623,36.253410,-117.229100,
972.300000,11682.846060,36.253690,-117.228520,
975.000000,11723.375977,36.253920,-117.228170,
979.900000,11773.073693,36.254220,-117.227760,
983.600000,11854.840896,36.254690,-117.227060,
984.800000,11894.070001,36.254930,-117.226740,
986.400000,11923.007127,36.255120,-117.226520,
989.500000,11952.179617,36.255320,-117.226310,
992.000000,11983.974074,36.255550,-117.226100,
995.700000,12015.434702,36.255770,-117.225880,
1000.600000,12041.368952,36.255930,-117.225670,
1004.100000,12067.922260,36.256080,-117.225440,
1005.900000,12094.625018,36.256210,-117.225190,
1007.200000,12121.779316,36.256320,-117.224920,
1009.000000,12178.404478,36.256500,-117.224330,
1010.400000,12191.850176,36.256560,-117.224200,
1012.900000,12205.295866,36.256620,-117.224070,
1015.900000,12228.355173,36.256750,-117.223870,
1017.800000,12245.270162,36.256860,-117.223740,
1021.500000,12270.456738,36.257040,-117.223570,
1022.800000,12282.480670,36.257120,-117.223480,
1023.200000,12293.669370,36.257180,-117.223380,
1023.400000,12303.479894,36.257230,-117.223290,
1028.500000,12385.744032,36.257560,-117.222470,
1031.200000,12482.065119,36.257930,-117.221500,
1033.000000,12550.102802,36.258200,-117.220820,
1040.900000,12618.468072,36.258460,-117.220130,
1045.900000,12656.490798,36.258640,-117.219770,
1048.600000,12681.839246,36.258760,-117.219530,
1050.500000,12695.133799,36.258830,-117.219410,
1051.700000,12709.703230,36.258880,-117.219260,
1052.700000,12728.684330,36.258900,-117.219050,
1052.200000,12741.446738,36.258920,-117.218910,
1052.100000,12753.936518,36.258960,-117.218780,
1052.500000,12766.061040,36.259010,-117.218660,
1053.700000,12787.056463,36.259120,-117.218470,
1054.800000,12805.256159,36.259230,-117.218320,
1057.000000,12829.566196,36.259400,-117.218150,
1057.900000,12847.765857,36.259510,-117.218000,
1058.000000,12877.196819,36.259660,-117.217730,
1058.400000,12888.421023,36.259730,-117.217640,
