alt,dst,lat,lon,mdata
908.500000,0.000000,41.345850,-123.043160,E:\Dropbox\website\dev2\climbing\climbs\Etna-Summit-W.-Etna-CA.tcx
910.400000,17.029000,41.346000,-123.043120,
911.800000,32.968000,41.346140,-123.043080,
912.200000,49.340000,41.346280,-123.043020,
911.600000,81.593000,41.346550,-123.042880,
911.800000,94.286000,41.346660,-123.042840,
912.900000,122.427000,41.346910,-123.042790,
913.000000,130.397000,41.346980,-123.042770,
912.600000,143.629000,41.347090,-123.042710,
912.100000,157.200000,41.347200,-123.042640,
908.600000,198.496000,41.347520,-123.042390,
906.300000,219.359000,41.347680,-123.042260,
906.500000,224.927000,41.347720,-123.042220,
919.000000,340.277000,41.348580,-123.041450,
920.400000,381.054000,41.348880,-123.041170,
921.300000,409.366000,41.349100,-123.041000,
923.100000,443.757000,41.349370,-123.040800,
924.000000,470.688000,41.349580,-123.040640,
924.100000,488.781000,41.349720,-123.040530,
925.200000,509.660000,41.349870,-123.040380,
934.000000,563.574000,41.350250,-123.039980,
940.200000,605.742000,41.350560,-123.039690,
944.500000,648.853000,41.350890,-123.039420,
945.300000,669.293000,41.351050,-123.039300,
946.600000,703.581000,41.351310,-123.039080,
947.800000,735.101000,41.351540,-123.038860,
947.900000,754.098000,41.351680,-123.038730,
948.500000,769.925000,41.351790,-123.038610,
955.300000,812.929000,41.352080,-123.038270,
958.700000,830.147000,41.352200,-123.038140,
958.000000,862.609000,41.352450,-123.037940,
957.700000,886.698000,41.352630,-123.037780,
957.900000,906.185000,41.352770,-123.037640,
958.600000,921.167000,41.352870,-123.037520,
961.100000,959.413000,41.353100,-123.037180,
961.500000,978.312000,41.353220,-123.037020,
963.600000,1006.500000,41.353390,-123.036770,
966.400000,1032.596000,41.353540,-123.036530,
968.900000,1057.994000,41.353680,-123.036290,
971.300000,1091.436000,41.353870,-123.035980,
972.600000,1110.209000,41.353960,-123.035790,
973.400000,1127.607000,41.354060,-123.035630,
973.800000,1140.405000,41.354140,-123.035520,
974.200000,1152.061000,41.354220,-123.035430,
974.600000,1165.980000,41.354320,-123.035330,
975.800000,1214.200000,41.354670,-123.034990,
978.500000,1229.024000,41.354780,-123.034890,
979.600000,1237.903000,41.354840,-123.034820,
979.800000,1242.627000,41.354870,-123.034780,
980.100000,1247.976000,41.354900,-123.034730,
980.500000,1258.016000,41.354950,-123.034630,
981.500000,1264.275000,41.354970,-123.034560,
982.200000,1269.009000,41.354990,-123.034510,
985.600000,1280.373000,41.355020,-123.034380,
988.000000,1289.072000,41.355070,-123.034300,
988.800000,1292.425000,41.355090,-123.034270,
989.600000,1296.600000,41.355120,-123.034240,
989.800000,1300.043000,41.355150,-123.034230,
990.000000,1303.485000,41.355180,-123.034220,
989.900000,1312.391000,41.355260,-123.034220,
989.900000,1317.957000,41.355310,-123.034220,
989.900000,1324.636000,41.355370,-123.034220,
991.100000,1338.227000,41.355490,-123.034190,
993.200000,1356.730000,41.355650,-123.034130,
995.500000,1374.423000,41.355800,-123.034060,
1001.700000,1398.203000,41.356000,-123.033960,
1006.800000,1430.243000,41.356250,-123.033770,
1010.300000,1447.926000,41.356390,-123.033670,
1011.200000,1452.682000,41.356430,-123.033650,
1011.700000,1456.125000,41.356460,-123.033640,
1012.100000,1462.804000,41.356520,-123.033640,
1011.800000,1472.055000,41.356600,-123.033670,
1012.300000,1480.241000,41.356670,-123.033700,
1012.300000,1489.083000,41.356740,-123.033750,
1011.900000,1501.610000,41.356830,-123.033840,
1005.900000,1539.408000,41.357070,-123.034160,
1005.100000,1547.482000,41.357120,-123.034230,
1004.900000,1560.916000,41.357220,-123.034320,
1004.700000,1574.350000,41.357320,-123.034410,
1003.900000,1584.569000,41.357400,-123.034470,
1003.700000,1590.381000,41.357450,-123.034490,
1003.600000,1597.112000,41.357510,-123.034500,
1003.900000,1603.997000,41.357570,-123.034480,
1004.600000,1611.466000,41.357630,-123.034440,
1005.500000,1618.957000,41.357680,-123.034380,
1006.000000,1623.681000,41.357710,-123.034340,
1006.600000,1629.167000,41.357730,-123.034280,
1007.300000,1636.639000,41.357760,-123.034200,
1008.200000,1644.241000,41.357770,-123.034110,
1011.100000,1682.640000,41.357840,-123.033660,
1013.300000,1707.277000,41.357880,-123.033370,
1013.800000,1717.056000,41.357910,-123.033260,
1014.000000,1728.027000,41.357950,-123.033140,
1014.100000,1733.512000,41.357970,-123.033080,
1013.900000,1740.863000,41.358010,-123.033010,
1013.400000,1749.562000,41.358060,-123.032930,
1012.700000,1762.972000,41.358140,-123.032810,
1010.200000,1794.322000,41.358350,-123.032560,
1009.000000,1833.191000,41.358580,-123.032210,
1008.700000,1853.240000,41.358690,-123.032020,
1008.000000,1879.982000,41.358840,-123.031770,
1007.900000,1893.393000,41.358920,-123.031650,
1007.600000,1898.960000,41.358960,-123.031610,
1007.200000,1904.070000,41.359000,-123.031580,
1006.700000,1911.539000,41.359060,-123.031540,
1007.400000,1917.350000,41.359110,-123.031520,
1009.000000,1925.187000,41.359180,-123.031510,
1011.000000,1931.866000,41.359240,-123.031510,
1012.800000,1937.432000,41.359290,-123.031510,
1014.700000,1945.401000,41.359360,-123.031530,
1015.900000,1959.171000,41.359480,-123.031570,
1017.200000,1987.609000,41.359730,-123.031640,
1018.600000,2002.105000,41.359860,-123.031650,
1019.400000,2013.268000,41.359960,-123.031660,
1025.600000,2063.368000,41.360410,-123.031670,
1033.200000,2124.599000,41.360960,-123.031680,
1038.700000,2171.383000,41.361380,-123.031700,
1040.100000,2185.879000,41.361510,-123.031710,
1040.500000,2196.036000,41.361600,-123.031730,
1039.800000,2210.304000,41.361720,-123.031790,
1039.200000,2231.427000,41.361900,-123.031870,
1039.700000,2244.889000,41.362020,-123.031890,
1040.400000,2276.159000,41.362300,-123.031920,
1040.000000,2293.989000,41.362460,-123.031930,
1039.600000,2315.156000,41.362650,-123.031920,
1039.500000,2316.270000,41.362660,-123.031920,
1039.200000,2329.732000,41.362780,-123.031900,
1038.900000,2341.143000,41.362880,-123.031870,
1038.900000,2345.899000,41.362920,-123.031850,
1038.900000,2351.008000,41.362960,-123.031820,
1039.300000,2355.733000,41.362990,-123.031780,
1042.600000,2387.895000,41.363180,-123.031490,
1043.900000,2401.940000,41.363260,-123.031360,
1044.600000,2413.365000,41.363330,-123.031260,
1045.700000,2440.709000,41.363530,-123.031070,
1054.700000,2497.223000,41.363950,-123.030690,
1060.000000,2532.991000,41.364230,-123.030480,
1063.300000,2560.501000,41.364450,-123.030330,
1064.300000,2592.565000,41.364730,-123.030240,
1064.800000,2620.706000,41.364980,-123.030190,
1064.500000,2655.225000,41.365290,-123.030200,
1064.700000,2693.304000,41.365630,-123.030250,
1066.400000,2748.162000,41.366120,-123.030320,
1065.600000,2787.205000,41.366470,-123.030350,
1064.300000,2799.478000,41.366580,-123.030360,
1063.900000,2807.664000,41.366650,-123.030330,
1063.900000,2811.398000,41.366680,-123.030310,
1063.800000,2815.132000,41.366710,-123.030290,
1064.000000,2821.237000,41.366750,-123.030240,
1064.700000,2826.722000,41.366770,-123.030180,
1066.100000,2834.323000,41.366780,-123.030090,
1066.800000,2840.581000,41.366800,-123.030020,
1069.600000,2859.924000,41.366820,-123.029790,
