alt,dst,lat,lon,mdata
971.600000,0.000000,41.432530,-122.916260,E:\Dropbox\website\dev2\climbing\climbs\Etna-Summit-W.-Etna.tcx
972.100000,28.876000,41.432300,-122.916420,
973.900000,82.721000,41.431880,-122.916740,
974.900000,110.066000,41.431670,-122.916910,
975.500000,134.146000,41.431490,-122.917070,
979.200000,154.669000,41.431350,-122.917230,
981.900000,164.113000,41.431290,-122.917310,
984.100000,188.321000,41.431140,-122.917520,
985.200000,211.700000,41.431010,-122.917740,
985.900000,222.436000,41.430960,-122.917850,
985.800000,236.481000,41.430890,-122.917990,
986.300000,254.902000,41.430820,-122.918190,
986.300000,265.638000,41.430770,-122.918300,
985.900000,279.683000,41.430700,-122.918440,
985.100000,308.471000,41.430560,-122.918730,
987.200000,327.169000,41.430460,-122.918910,
989.000000,347.272000,41.430340,-122.919090,
989.800000,368.740000,41.430210,-122.919280,
987.600000,398.689000,41.430010,-122.919520,
986.900000,436.681000,41.429720,-122.919760,
987.300000,458.452000,41.429560,-122.919910,
989.900000,475.378000,41.429450,-122.920050,
993.400000,495.481000,41.429330,-122.920230,
994.700000,508.171000,41.429260,-122.920350,
997.300000,532.248000,41.429140,-122.920590,
998.600000,549.001000,41.429040,-122.920740,
999.000000,557.070000,41.428990,-122.920810,
999.600000,565.418000,41.428930,-122.920870,
1001.400000,577.016000,41.428840,-122.920940,
1006.500000,603.802000,41.428620,-122.921070,
1006.700000,619.116000,41.428490,-122.921130,
1006.700000,640.236000,41.428310,-122.921210,
1007.600000,653.217000,41.428210,-122.921290,
1008.700000,666.646000,41.428110,-122.921380,
1009.700000,680.560000,41.428010,-122.921480,
1014.300000,696.595000,41.427920,-122.921630,
1017.100000,715.977000,41.427810,-122.921810,
1009.900000,757.391000,41.427580,-122.922200,
1010.900000,764.121000,41.427550,-122.922270,
1012.200000,770.822000,41.427510,-122.922330,
1020.300000,796.057000,41.427340,-122.922530,
1022.400000,808.097000,41.427250,-122.922610,
1022.400000,814.200000,41.427200,-122.922640,
1021.700000,837.977000,41.427000,-122.922740,
1027.600000,878.265000,41.426700,-122.923010,
1027.700000,898.789000,41.426560,-122.923170,
1027.800000,912.148000,41.426490,-122.923300,
1028.500000,926.725000,41.426460,-122.923470,
1030.000000,939.245000,41.426460,-122.923620,
1033.500000,956.086000,41.426480,-122.923820,
1037.500000,978.361000,41.426550,-122.924070,
1038.100000,1015.624000,41.426640,-122.924500,
1045.200000,1065.844000,41.426760,-122.925080,
1047.600000,1080.207000,41.426780,-122.925250,
1048.500000,1100.239000,41.426780,-122.925490,
1048.600000,1130.472000,41.426750,-122.925850,
1048.000000,1163.703000,41.426690,-122.926240,
1047.400000,1200.210000,41.426630,-122.926670,
1046.900000,1215.398000,41.426610,-122.926850,
1045.500000,1232.205000,41.426560,-122.927040,
1045.100000,1242.237000,41.426510,-122.927140,
1045.400000,1250.586000,41.426450,-122.927200,
1049.100000,1280.836000,41.426210,-122.927370,
1058.800000,1324.131000,41.425930,-122.927730,
1058.200000,1348.844000,41.425800,-122.927970,
1058.800000,1370.767000,41.425720,-122.928210,
1058.100000,1390.307000,41.425660,-122.928430,
1057.500000,1403.023000,41.425640,-122.928580,
1057.200000,1408.154000,41.425630,-122.928640,
1057.700000,1421.555000,41.425640,-122.928800,
1058.400000,1431.003000,41.425660,-122.928910,
1058.700000,1442.898000,41.425680,-122.929050,
1062.000000,1456.600000,41.425730,-122.929200,
1068.500000,1474.270000,41.425800,-122.929390,
1068.900000,1500.062000,41.425880,-122.929680,
1066.900000,1524.698000,41.425950,-122.929960,
1065.600000,1542.678000,41.426010,-122.930160,
1065.000000,1568.162000,41.426130,-122.930420,
1064.300000,1594.887000,41.426280,-122.930670,
1063.800000,1616.980000,41.426410,-122.930870,
1063.600000,1627.242000,41.426480,-122.930950,
1063.400000,1635.590000,41.426540,-122.931010,
1064.300000,1651.342000,41.426660,-122.931110,
1066.000000,1664.771000,41.426760,-122.931200,
1066.900000,1674.823000,41.426820,-122.931290,
1067.300000,1682.169000,41.426860,-122.931360,
1067.900000,1700.357000,41.426940,-122.931550,
1068.400000,1738.721000,41.427080,-122.931970,
1067.200000,1752.009000,41.427120,-122.932120,
1065.800000,1763.738000,41.427160,-122.932250,
1065.200000,1771.084000,41.427200,-122.932320,
1063.800000,1781.908000,41.427270,-122.932410,
1062.600000,1789.784000,41.427330,-122.932460,
1062.400000,1792.161000,41.427350,-122.932470,
1062.500000,1798.892000,41.427410,-122.932480,
1063.300000,1813.364000,41.427540,-122.932480,
1064.400000,1830.062000,41.427690,-122.932480,
1067.000000,1859.005000,41.427950,-122.932480,
1067.000000,1870.415000,41.428050,-122.932510,
1067.200000,1885.266000,41.428180,-122.932550,
1067.900000,1901.910000,41.428320,-122.932620,
1069.700000,1916.490000,41.428440,-122.932690,
1077.900000,1955.979000,41.428750,-122.932920,
1079.200000,1973.578000,41.428880,-122.933040,
1079.800000,1984.997000,41.428950,-122.933140,
1080.300000,1990.342000,41.428980,-122.933190,
1080.600000,1997.380000,41.429000,-122.933270,
1081.400000,2016.275000,41.429040,-122.933490,
1082.500000,2035.814000,41.429100,-122.933710,
1082.700000,2053.483000,41.429170,-122.933900,
1083.300000,2062.927000,41.429230,-122.933980,
1083.900000,2070.415000,41.429280,-122.934040,
1084.100000,2077.760000,41.429320,-122.934110,
1084.000000,2082.490000,41.429340,-122.934160,
1084.000000,2087.620000,41.429350,-122.934220,
1084.700000,2095.967000,41.429350,-122.934320,
1085.800000,2103.801000,41.429330,-122.934410,
1086.000000,2108.531000,41.429310,-122.934460,
1084.200000,2126.044000,41.429200,-122.934610,
1083.700000,2136.734000,41.429140,-122.934710,
1084.000000,2140.084000,41.429120,-122.934740,
1085.200000,2144.403000,41.429110,-122.934790,
1088.300000,2152.750000,41.429110,-122.934890,
1093.600000,2176.540000,41.429150,-122.935170,
1095.000000,2201.376000,41.429200,-122.935460,
1094.900000,2217.848000,41.429240,-122.935650,
1095.600000,2228.809000,41.429280,-122.935770,
1096.100000,2242.998000,41.429340,-122.935920,
1099.300000,2267.710000,41.429470,-122.936160,
1100.300000,2273.055000,41.429500,-122.936210,
1099.800000,2277.374000,41.429510,-122.936260,
1096.800000,2305.528000,41.429590,-122.936580,
1096.800000,2322.735000,41.429650,-122.936770,
1099.500000,2340.483000,41.429770,-122.936910,
1100.900000,2348.831000,41.429830,-122.936970,
1102.000000,2356.177000,41.429870,-122.937040,
1102.600000,2358.681000,41.429870,-122.937070,
1103.600000,2362.694000,41.429890,-122.937110,
1106.000000,2371.040000,41.429890,-122.937210,
1108.000000,2379.260000,41.429860,-122.937300,
1110.100000,2387.993000,41.429820,-122.937390,
1111.000000,2396.341000,41.429760,-122.937450,
1110.800000,2402.444000,41.429710,-122.937480,
