alt,dst,lat,lon,mdata
352.500000,0.000000,34.664320,-119.942910,E:\Dropbox\website\dev2\climbing\climbs\Figueroa-Mt.-Rd-East-Santa-Ynez.tcx
352.500000,5.667000,34.664350,-119.942860,
353.300000,35.405000,34.664530,-119.942620,
353.700000,47.298000,34.664620,-119.942550,
355.800000,65.468000,34.664750,-119.942430,
356.200000,80.333000,34.664830,-119.942300,
357.100000,96.005000,34.664880,-119.942140,
363.500000,146.684000,34.664980,-119.941600,
364.400000,166.176000,34.665040,-119.941400,
365.500000,174.748000,34.665080,-119.941320,
368.400000,183.947000,34.665130,-119.941240,
370.800000,204.720000,34.665270,-119.941090,
370.200000,218.045000,34.665370,-119.941010,
369.300000,228.059000,34.665450,-119.940960,
368.100000,241.631000,34.665540,-119.940860,
367.700000,246.587000,34.665570,-119.940820,
367.800000,252.192000,34.665580,-119.940760,
368.000000,256.770000,34.665580,-119.940710,
368.200000,265.085000,34.665570,-119.940620,
368.800000,272.312000,34.665540,-119.940550,
370.900000,290.039000,34.665430,-119.940410,
373.700000,311.983000,34.665270,-119.940270,
374.700000,319.190000,34.665220,-119.940220,
376.700000,337.923000,34.665140,-119.940040,
381.000000,368.392000,34.664980,-119.939770,
382.000000,378.573000,34.664940,-119.939670,
383.500000,389.288000,34.664890,-119.939570,
384.900000,394.893000,34.664880,-119.939510,
386.200000,400.498000,34.664890,-119.939450,
386.900000,404.822000,34.664920,-119.939420,
387.400000,410.463000,34.664970,-119.939410,
387.100000,421.633000,34.665070,-119.939420,
385.400000,445.295000,34.665280,-119.939460,
383.700000,453.299000,34.665350,-119.939440,
383.700000,461.349000,34.665380,-119.939360,
383.900000,469.005000,34.665400,-119.939280,
383.100000,486.543000,34.665420,-119.939090,
384.300000,494.858000,34.665410,-119.939000,
387.200000,504.081000,34.665400,-119.938900,
391.100000,512.972000,34.665370,-119.938810,
392.500000,521.864000,34.665340,-119.938720,
394.300000,549.555000,34.665200,-119.938470,
398.600000,579.966000,34.665030,-119.938210,
401.000000,597.372000,34.664960,-119.938040,
401.400000,601.950000,34.664960,-119.937990,
402.100000,606.662000,34.664970,-119.937940,
403.200000,610.948000,34.664990,-119.937900,
406.500000,620.482000,34.665060,-119.937840,
409.600000,633.031000,34.665170,-119.937810,
411.500000,645.276000,34.665280,-119.937810,
413.400000,660.455000,34.665410,-119.937860,
416.100000,691.374000,34.665650,-119.938030,
418.000000,704.447000,34.665760,-119.938080,
419.000000,712.452000,34.665830,-119.938100,
419.200000,716.998000,34.665870,-119.938090,
419.400000,722.230000,34.665910,-119.938060,
420.100000,730.765000,34.665930,-119.937970,
419.100000,744.678000,34.665950,-119.937820,
419.100000,765.424000,34.666020,-119.937610,
419.100000,772.833000,34.666030,-119.937530,
419.200000,780.242000,34.666020,-119.937450,
419.400000,785.332000,34.666000,-119.937400,
419.900000,791.098000,34.665960,-119.937360,
421.400000,804.519000,34.665850,-119.937300,
422.400000,820.214000,34.665730,-119.937210,
423.400000,826.600000,34.665690,-119.937160,
424.200000,830.886000,34.665670,-119.937120,
425.900000,840.309000,34.665650,-119.937020,
430.400000,858.654000,34.665640,-119.936820,
431.100000,865.439000,34.665660,-119.936750,
431.900000,873.679000,34.665660,-119.936660,
432.400000,881.335000,34.665640,-119.936580,
433.000000,887.001000,34.665610,-119.936530,
435.800000,903.731000,34.665490,-119.936420,
436.700000,913.675000,34.665440,-119.936330,
436.400000,921.083000,34.665430,-119.936250,
436.100000,924.911000,34.665440,-119.936210,
436.300000,935.923000,34.665480,-119.936100,
436.600000,955.874000,34.665610,-119.935950,
439.400000,976.380000,34.665760,-119.935820,
441.700000,990.586000,34.665850,-119.935710,
442.000000,998.636000,34.665880,-119.935630,
442.400000,1006.044000,34.665890,-119.935550,
442.800000,1021.609000,34.665890,-119.935380,
442.800000,1033.564000,34.665900,-119.935250,
444.600000,1054.461000,34.665950,-119.935030,
444.600000,1059.418000,34.665980,-119.934990,
448.700000,1083.684000,34.666140,-119.934810,
450.800000,1094.699000,34.666230,-119.934760,
452.900000,1104.717000,34.666320,-119.934760,
454.500000,1112.980000,34.666390,-119.934790,
455.300000,1120.597000,34.666450,-119.934830,
456.400000,1134.235000,34.666570,-119.934860,
456.300000,1146.514000,34.666680,-119.934850,
456.400000,1151.328000,34.666720,-119.934830,
459.400000,1174.185000,34.666890,-119.934690,
460.600000,1189.363000,34.667020,-119.934640,
461.600000,1199.382000,34.667110,-119.934640,
462.400000,1207.387000,34.667180,-119.934660,
463.600000,1222.621000,34.667300,-119.934740,
467.100000,1243.671000,34.667450,-119.934880,
467.300000,1248.217000,34.667490,-119.934890,
467.100000,1252.670000,34.667530,-119.934890,
467.000000,1264.706000,34.667630,-119.934840,
467.500000,1272.804000,34.667690,-119.934790,
469.900000,1300.317000,34.667920,-119.934680,
472.000000,1320.022000,34.668090,-119.934620,
472.200000,1330.207000,34.668180,-119.934600,
473.000000,1352.059000,34.668370,-119.934540,
474.800000,1364.192000,34.668450,-119.934450,
476.100000,1371.419000,34.668480,-119.934380,
477.900000,1390.263000,34.668520,-119.934180,
478.300000,1407.976000,34.668550,-119.933990,
478.400000,1417.132000,34.668550,-119.933890,
479.400000,1435.976000,34.668510,-119.933690,
480.900000,1451.647000,34.668460,-119.933530,
484.800000,1478.320000,34.668370,-119.933260,
491.900000,1502.952000,34.668270,-119.933020,
492.500000,1524.381000,34.668170,-119.932820,
491.700000,1540.911000,34.668120,-119.932650,
491.500000,1555.728000,34.668100,-119.932490,
492.300000,1562.137000,34.668100,-119.932420,
493.200000,1567.742000,34.668110,-119.932360,
494.000000,1572.832000,34.668130,-119.932310,
494.500000,1577.156000,34.668160,-119.932280,
494.800000,1584.774000,34.668220,-119.932240,
496.100000,1607.941000,34.668420,-119.932170,
496.100000,1637.115000,34.668680,-119.932130,
506.700000,1668.284000,34.668960,-119.932130,
510.800000,1700.890000,34.669250,-119.932180,
510.800000,1711.074000,34.669340,-119.932200,
508.500000,1729.308000,34.669490,-119.932280,
507.600000,1736.050000,34.669550,-119.932290,
506.500000,1743.896000,34.669620,-119.932280,
506.200000,1751.993000,34.669680,-119.932230,
506.500000,1760.481000,34.669730,-119.932160,
507.700000,1772.797000,34.669780,-119.932040,
510.900000,1788.715000,34.669810,-119.931870,
516.800000,1816.740000,34.669860,-119.931570,
517.100000,1826.485000,34.669890,-119.931470,
516.800000,1857.079000,34.670040,-119.931190,
516.900000,1888.443000,34.670190,-119.930900,
527.600000,1937.707000,34.670390,-119.930420,
528.400000,1973.703000,34.670520,-119.930060,
528.500000,1997.521000,34.670620,-119.929830,
530.700000,2009.004000,34.670650,-119.929710,
534.000000,2025.818000,34.670680,-119.929530,
539.100000,2048.271000,34.670750,-119.929300,
539.900000,2094.442000,34.670920,-119.928840,
539.800000,2114.457000,34.670970,-119.928630,
540.000000,2127.466000,34.670990,-119.928490,
541.300000,2151.503000,34.671020,-119.928230,
544.300000,2186.735000,34.671070,-119.927850,
549.800000,2204.130000,34.671070,-119.927660,
552.200000,2225.027000,34.671020,-119.927440,
552.200000,2236.533000,34.670970,-119.927330,
551.700000,2258.465000,34.670850,-119.927140,
552.400000,2268.646000,34.670810,-119.927040,
552.900000,2280.600000,34.670820,-119.926910,
553.300000,2291.809000,34.670840,-119.926790,
553.800000,2313.832000,34.670920,-119.926570,
554.700000,2321.058000,34.670950,-119.926500,
563.800000,2370.776000,34.671200,-119.926050,
564.800000,2390.318000,34.671280,-119.925860,
564.200000,2408.581000,34.671330,-119.925670,
564.100000,2431.898000,34.671370,-119.925420,
573.300000,2494.511000,34.671430,-119.924740,
575.400000,2505.121000,34.671460,-119.924630,
576.400000,2527.786000,34.671580,-119.924430,
575.700000,2536.985000,34.671630,-119.924350,
575.600000,2540.813000,34.671640,-119.924310,
575.700000,2549.052000,34.671640,-119.924220,
578.400000,2575.010000,34.671530,-119.923970,
579.800000,2584.432000,34.671510,-119.923870,
580.700000,2594.746000,34.671530,-119.923760,
581.200000,2599.836000,34.671550,-119.923710,
581.600000,2604.792000,34.671580,-119.923670,
582.500000,2615.807000,34.671670,-119.923620,
582.200000,2638.190000,34.671860,-119.923540,
585.900000,2655.410000,34.672000,-119.923460,
587.900000,2665.873000,34.672080,-119.923400,
589.800000,2677.909000,34.672180,-119.923350,
590.100000,2695.814000,34.672340,-119.923330,
589.900000,2720.373000,34.672560,-119.923350,
591.800000,2764.028000,34.672950,-119.923400,
601.700000,2822.029000,34.673470,-119.923440,
604.200000,2844.312000,34.673670,-119.923430,
605.600000,2851.533000,34.673730,-119.923400,
606.500000,2857.919000,34.673770,-119.923350,
606.500000,2868.233000,34.673790,-119.923240,
608.700000,2905.768000,34.673790,-119.922830,
618.700000,2948.247000,34.673740,-119.922370,
618.900000,2965.641000,34.673740,-119.922180,
618.900000,2975.063000,34.673760,-119.922080,
618.500000,2983.598000,34.673780,-119.921990,
618.900000,2995.913000,34.673830,-119.921870,
617.800000,3032.860000,34.673980,-119.921510,
616.400000,3054.073000,34.674100,-119.921330,
615.900000,3074.251000,34.674240,-119.921190,
619.900000,3111.824000,34.674530,-119.920980,
620.700000,3129.715000,34.674650,-119.920850,
626.000000,3152.210000,34.674740,-119.920630,
631.000000,3190.484000,34.674840,-119.920230,
634.000000,3213.149000,34.674890,-119.919990,
634.400000,3238.807000,34.674900,-119.919710,
632.700000,3261.802000,34.674880,-119.919460,
632.500000,3270.116000,34.674890,-119.919370,
632.000000,3278.430000,34.674900,-119.919280,
632.300000,3286.250000,34.674950,-119.919220,
639.400000,3374.646000,34.675680,-119.918840,
642.000000,3445.250000,34.676280,-119.918590,
650.900000,3475.606000,34.676540,-119.918490,
653.600000,3483.868000,34.676610,-119.918460,
658.800000,3525.049000,34.676870,-119.918140,
660.300000,3532.255000,34.676920,-119.918090,
660.900000,3538.918000,34.676970,-119.918050,
660.600000,3544.558000,34.677020,-119.918040,
661.200000,3555.728000,34.677120,-119.918030,
660.800000,3563.345000,34.677180,-119.918070,
660.900000,3580.420000,34.677290,-119.918200,
661.700000,3596.716000,34.677390,-119.918330,
660.200000,3629.534000,34.677640,-119.918520,
660.600000,3645.388000,34.677750,-119.918630,
662.200000,3673.029000,34.677970,-119.918770,
662.200000,3688.508000,34.678100,-119.918830,
667.500000,3729.887000,34.678420,-119.919060,
669.300000,3739.516000,34.678500,-119.919100,
671.400000,3748.608000,34.678580,-119.919120,
673.300000,3759.777000,34.678680,-119.919130,
674.500000,3772.057000,34.678790,-119.919120,
675.200000,3779.278000,34.678850,-119.919090,
674.600000,3804.649000,34.679030,-119.918920,
674.600000,3809.464000,34.679070,-119.918900,
674.700000,3815.030000,34.679120,-119.918900,
677.600000,3846.728000,34.679390,-119.919010,
