alt,dst,lat,lon,mdata
400.200000,0.000000,34.741760,-120.061960,E:\Dropbox\website\dev2\climbing\climbs\Figueroa-Mt.-Rd-West-Los-Olivos.tcx
400.000000,4.322000,34.741730,-120.061930,
399.800000,9.553000,34.741690,-120.061900,
399.800000,14.006000,34.741650,-120.061900,
399.800000,23.324000,34.741570,-120.061930,
400.100000,27.870000,34.741530,-120.061940,
399.900000,59.314000,34.741280,-120.062100,
399.800000,68.632000,34.741200,-120.062130,
400.300000,75.558000,34.741140,-120.062110,
401.000000,96.333000,34.740960,-120.062170,
401.700000,112.575000,34.740820,-120.062220,
401.600000,126.840000,34.740710,-120.062300,
401.800000,161.111000,34.740440,-120.062480,
401.900000,248.602000,34.739770,-120.062980,
402.000000,279.752000,34.739580,-120.063230,
404.200000,300.253000,34.739460,-120.063400,
406.300000,322.190000,34.739300,-120.063540,
407.800000,342.173000,34.739150,-120.063660,
407.100000,374.759000,34.738980,-120.063950,
407.600000,404.593000,34.738790,-120.064180,
408.800000,413.911000,34.738710,-120.064210,
410.900000,423.972000,34.738620,-120.064220,
414.800000,439.583000,34.738480,-120.064210,
419.600000,458.200000,34.738330,-120.064120,
423.500000,476.271000,34.738190,-120.064020,
424.000000,486.659000,34.738100,-120.063990,
425.000000,506.884000,34.737920,-120.063960,
426.000000,516.944000,34.737830,-120.063970,
429.700000,536.413000,34.737660,-120.064020,
433.300000,558.026000,34.737510,-120.064170,
434.300000,566.121000,34.737450,-120.064220,
435.200000,573.737000,34.737390,-120.064260,
435.800000,581.353000,34.737330,-120.064300,
437.900000,598.570000,34.737190,-120.064380,
440.100000,610.605000,34.737090,-120.064430,
442.100000,624.423000,34.736980,-120.064500,
442.900000,632.685000,34.736910,-120.064530,
443.800000,639.426000,34.736850,-120.064520,
446.000000,655.060000,34.736750,-120.064400,
447.600000,668.906000,34.736650,-120.064310,
449.800000,688.889000,34.736500,-120.064190,
453.800000,703.298000,34.736400,-120.064090,
457.200000,712.926000,34.736320,-120.064050,
459.300000,718.156000,34.736280,-120.064020,
460.000000,725.948000,34.736210,-120.064020,
460.700000,753.793000,34.735960,-120.064030,
461.000000,761.639000,34.735890,-120.064020,
461.800000,769.900000,34.735820,-120.063990,
463.700000,780.566000,34.735730,-120.063950,
468.700000,797.089000,34.735590,-120.063890,
473.200000,812.914000,34.735450,-120.063860,
474.500000,835.476000,34.735250,-120.063900,
477.200000,873.334000,34.734920,-120.064000,
478.500000,884.799000,34.734820,-120.064030,
479.400000,890.365000,34.734770,-120.064030,
480.300000,894.687000,34.734740,-120.064000,
481.100000,898.512000,34.734730,-120.063960,
481.800000,903.220000,34.734740,-120.063910,
482.700000,911.019000,34.734780,-120.063840,
481.100000,944.060000,34.735050,-120.063690,
479.000000,981.626000,34.735340,-120.063480,
478.600000,990.717000,34.735420,-120.063460,
478.200000,1030.834000,34.735780,-120.063440,
477.700000,1064.242000,34.736080,-120.063430,
477.500000,1083.255000,34.736250,-120.063410,
477.300000,1094.387000,34.736350,-120.063410,
477.100000,1104.398000,34.736430,-120.063360,
476.800000,1116.415000,34.736500,-120.063260,
476.700000,1128.767000,34.736530,-120.063130,
476.800000,1138.891000,34.736540,-120.063020,
476.800000,1151.747000,34.736550,-120.062880,
476.500000,1163.846000,34.736570,-120.062750,
476.300000,1180.428000,34.736640,-120.062590,
476.200000,1208.508000,34.736760,-120.062320,
476.200000,1248.260000,34.736960,-120.061960,
476.200000,1266.649000,34.737060,-120.061800,
476.200000,1276.587000,34.737110,-120.061710,
476.200000,1288.664000,34.737170,-120.061600,
476.200000,1298.079000,34.737190,-120.061500,
477.400000,1314.168000,34.737250,-120.061340,
479.800000,1327.727000,34.737290,-120.061200,
481.800000,1340.035000,34.737340,-120.061080,
483.700000,1353.674000,34.737400,-120.060950,
485.000000,1363.848000,34.737440,-120.060850,
486.800000,1392.119000,34.737600,-120.060610,
488.200000,1447.502000,34.738000,-120.060250,
491.400000,1482.335000,34.738280,-120.060080,
492.500000,1493.759000,34.738370,-120.060020,
493.500000,1505.183000,34.738460,-120.059960,
495.000000,1518.749000,34.738550,-120.059860,
498.300000,1544.900000,34.738700,-120.059640,
515.400000,1681.814000,34.739560,-120.058570,
517.100000,1703.735000,34.739690,-120.058390,
517.800000,1711.552000,34.739740,-120.058330,
518.600000,1719.398000,34.739810,-120.058320,
519.100000,1724.964000,34.739860,-120.058320,
519.500000,1730.823000,34.739910,-120.058340,
519.900000,1736.682000,34.739960,-120.058360,
519.900000,1744.499000,34.740010,-120.058420,
519.000000,1767.552000,34.740170,-120.058580,
518.100000,1777.563000,34.740250,-120.058630,
517.200000,1785.568000,34.740320,-120.058650,
516.500000,1793.360000,34.740390,-120.058650,
516.500000,1802.988000,34.740470,-120.058610,
518.600000,1815.830000,34.740570,-120.058540,
522.800000,1832.275000,34.740680,-120.058420,
