alt,dst,lat,lon,mdata
889.700000,0.000000,41.633240,-122.752370,E:\Dropbox\website\dev2\climbing\climbs\Forest-Mountain-Fort-Jones.tcx
889.700000,8.833000,41.633310,-122.752320,
896.900000,102.665000,41.634050,-122.751780,
908.000000,194.727000,41.634780,-122.751260,
911.400000,289.145000,41.635530,-122.750730,
910.600000,324.094000,41.635810,-122.750540,
910.000000,350.212000,41.636020,-122.750400,
910.400000,370.884000,41.636190,-122.750300,
911.900000,384.443000,41.636300,-122.750230,
915.500000,407.171000,41.636490,-122.750130,
918.300000,422.771000,41.636620,-122.750060,
920.800000,436.762000,41.636740,-122.750010,
922.900000,452.698000,41.636880,-122.749970,
926.300000,478.783000,41.637110,-122.749910,
929.900000,504.722000,41.637340,-122.749860,
932.000000,531.645000,41.637580,-122.749820,
934.900000,575.448000,41.637970,-122.749750,
939.600000,635.767000,41.638510,-122.749690,
944.300000,718.562000,41.639250,-122.749590,
943.900000,759.885000,41.639620,-122.749550,
943.700000,799.165000,41.639970,-122.749490,
944.500000,821.676000,41.640170,-122.749450,
944.800000,827.303000,41.640220,-122.749440,
946.300000,841.070000,41.640340,-122.749400,
948.600000,863.886000,41.640540,-122.749340,
951.600000,888.192000,41.640750,-122.749260,
959.500000,973.704000,41.641480,-122.748940,
959.500000,1013.304000,41.641820,-122.748800,
958.700000,1060.024000,41.642220,-122.748630,
963.500000,1146.342000,41.642960,-122.748320,
974.800000,1233.972000,41.643710,-122.748000,
976.000000,1259.837000,41.643930,-122.747900,
976.600000,1284.650000,41.644140,-122.747800,
976.800000,1306.345000,41.644320,-122.747700,
977.400000,1330.490000,41.644510,-122.747560,
977.600000,1333.270000,41.644530,-122.747540,
977.300000,1356.039000,41.644710,-122.747410,
977.100000,1386.573000,41.644940,-122.747210,
979.600000,1504.073000,41.645820,-122.746430,
992.000000,1603.996000,41.646570,-122.745770,
994.800000,1706.231000,41.647330,-122.745080,
1004.700000,1804.766000,41.648070,-122.744430,
1015.100000,1902.836000,41.648800,-122.743770,
1018.300000,2003.217000,41.649550,-122.743100,
1027.000000,2103.138000,41.650300,-122.742440,
1030.800000,2202.595000,41.651040,-122.741770,
1033.300000,2274.758000,41.651580,-122.741290,
1033.900000,2296.038000,41.651740,-122.741150,
1035.100000,2316.455000,41.651900,-122.741030,
1036.900000,2335.110000,41.652050,-122.740930,
1038.300000,2348.668000,41.652160,-122.740860,
1040.400000,2366.968000,41.652310,-122.740770,
1043.600000,2387.834000,41.652490,-122.740700,
1047.000000,2405.261000,41.652640,-122.740640,
1050.500000,2423.380000,41.652800,-122.740600,
1053.400000,2439.164000,41.652940,-122.740570,
1055.100000,2450.327000,41.653040,-122.740560,
1058.100000,2471.542000,41.653230,-122.740540,
1060.900000,2496.089000,41.653450,-122.740520,
1062.900000,2529.526000,41.653750,-122.740500,
1063.100000,2540.689000,41.653850,-122.740490,
1062.800000,2586.398000,41.654260,-122.740460,
1063.400000,2605.395000,41.654430,-122.740440,
1064.600000,2624.483000,41.654600,-122.740410,
1066.200000,2642.602000,41.654760,-122.740370,
1068.200000,2664.333000,41.654950,-122.740310,
1069.900000,2688.639000,41.655160,-122.740230,
1071.000000,2720.309000,41.655430,-122.740110,
1074.300000,2806.628000,41.656160,-122.739760,
1077.400000,2893.456000,41.656900,-122.739430,
1090.600000,2981.105000,41.657640,-122.739070,
1091.300000,3068.199000,41.658380,-122.738730,
1093.900000,3116.498000,41.658790,-122.738540,
1099.000000,3156.901000,41.659130,-122.738370,
1101.300000,3187.516000,41.659390,-122.738250,
1103.300000,3209.211000,41.659570,-122.738150,
1105.100000,3230.906000,41.659750,-122.738050,
