alt,dst,lat,lon,mdata
893.900000,0.000000,41.679310,-122.673100,E:\Dropbox\website\dev2\climbing\climbs\Forest-Mountain-Yreka.tcx
894.200000,8.336000,41.679250,-122.673160,
896.700000,39.072000,41.679040,-122.673400,
899.100000,70.103000,41.678840,-122.673660,
901.200000,96.850000,41.678680,-122.673900,
902.900000,122.237000,41.678530,-122.674130,
904.300000,146.219000,41.678400,-122.674360,
905.200000,170.200000,41.678270,-122.674590,
906.200000,188.906000,41.678180,-122.674780,
907.100000,207.613000,41.678090,-122.674970,
907.800000,225.747000,41.678010,-122.675160,
908.300000,245.877000,41.677920,-122.675370,
909.100000,267.729000,41.677840,-122.675610,
909.300000,290.803000,41.677750,-122.675860,
908.500000,321.610000,41.677640,-122.676200,
909.300000,358.223000,41.677520,-122.676610,
910.400000,378.105000,41.677450,-122.676830,
913.600000,452.939000,41.677190,-122.677660,
917.800000,585.029000,41.676740,-122.679130,
929.900000,720.619000,41.676280,-122.680640,
941.900000,873.361000,41.675760,-122.682340,
947.500000,1011.683000,41.675290,-122.683880,
953.300000,1150.006000,41.674820,-122.685420,
954.600000,1163.664000,41.674770,-122.685570,
956.500000,1184.707000,41.674710,-122.685810,
958.800000,1205.424000,41.674660,-122.686050,
960.700000,1224.251000,41.674620,-122.686270,
962.100000,1242.846000,41.674590,-122.686490,
963.100000,1262.099000,41.674570,-122.686720,
964.200000,1281.255000,41.674560,-122.686950,
965.700000,1303.733000,41.674550,-122.687220,
967.700000,1324.520000,41.674550,-122.687470,
969.800000,1348.735000,41.674570,-122.687760,
971.100000,1374.607000,41.674590,-122.688070,
974.800000,1405.692000,41.674630,-122.688440,
983.800000,1498.795000,41.674740,-122.689550,
978.400000,1612.798000,41.674870,-122.690910,
979.600000,1641.264000,41.674900,-122.691250,
982.600000,1658.042000,41.674920,-122.691450,
986.300000,1673.009000,41.674920,-122.691630,
989.900000,1687.144000,41.674920,-122.691800,
992.700000,1701.323000,41.674910,-122.691970,
994.500000,1714.811000,41.674890,-122.692130,
995.200000,1728.527000,41.674860,-122.692290,
995.000000,1745.743000,41.674820,-122.692490,
993.500000,1762.132000,41.674760,-122.692670,
991.700000,1778.100000,41.674710,-122.692850,
989.400000,1791.521000,41.674650,-122.692990,
987.100000,1804.942000,41.674590,-122.693130,
985.000000,1817.648000,41.674530,-122.693260,
983.300000,1828.973000,41.674470,-122.693370,
981.900000,1842.347000,41.674390,-122.693490,
981.200000,1855.113000,41.674310,-122.693600,
981.300000,1868.679000,41.674220,-122.693710,
982.200000,1884.868000,41.674100,-122.693820,
985.100000,1910.307000,41.673910,-122.693990,
989.300000,1940.392000,41.673680,-122.694180,
1003.200000,2010.334000,41.673140,-122.694610,
1012.800000,2109.841000,41.672380,-122.695240,
1012.700000,2171.823000,41.671920,-122.695660,
1012.000000,2187.558000,41.671800,-122.695760,
1011.600000,2201.909000,41.671690,-122.695850,
1023.600000,2297.703000,41.670960,-122.696460,
1030.500000,2393.911000,41.670240,-122.697100,
1033.800000,2488.763000,41.669520,-122.697710,
1033.600000,2507.268000,41.669380,-122.697830,
1034.200000,2525.332000,41.669250,-122.697960,
1036.300000,2542.228000,41.669140,-122.698100,
1039.600000,2558.946000,41.669040,-122.698250,
1042.800000,2573.603000,41.668960,-122.698390,
