alt,dst,lat,lon,mdata
60.300000,0.000000,38.518870,-123.246300,E:\Dropbox\website\dev2\climbing\climbs\Fort-Ross-Rd-Fort-Ross.tcx
61.000000,7.172000,38.518930,-123.246270,
62.300000,27.508000,38.519070,-123.246120,
63.100000,54.021000,38.519180,-123.245850,
64.600000,86.323000,38.519200,-123.245480,
66.200000,134.342000,38.519170,-123.244930,
67.000000,158.755000,38.519180,-123.244650,
68.200000,181.152000,38.519270,-123.244420,
69.700000,197.251000,38.519380,-123.244300,
71.200000,211.790000,38.519490,-123.244210,
72.500000,222.715000,38.519580,-123.244160,
75.300000,241.957000,38.519750,-123.244120,
78.300000,259.014000,38.519900,-123.244160,
84.800000,306.996000,38.520310,-123.244330,
87.800000,330.519000,38.520520,-123.244360,
88.700000,348.415000,38.520680,-123.244380,
89.100000,362.913000,38.520810,-123.244370,
89.300000,374.347000,38.520910,-123.244340,
89.500000,384.701000,38.521000,-123.244310,
90.500000,394.083000,38.521070,-123.244250,
93.300000,407.119000,38.521140,-123.244130,
97.900000,427.823000,38.521270,-123.243960,
100.500000,448.419000,38.521390,-123.243780,
102.000000,464.858000,38.521510,-123.243670,
103.200000,478.171000,38.521620,-123.243610,
104.400000,488.497000,38.521700,-123.243550,
108.100000,507.710000,38.521810,-123.243380,
112.400000,547.146000,38.521990,-123.242990,
122.400000,633.614000,38.522240,-123.242050,
125.600000,665.545000,38.522380,-123.241730,
137.800000,774.103000,38.523280,-123.241250,
139.400000,797.545000,38.523490,-123.241230,
141.000000,817.004000,38.523650,-123.241140,
143.300000,846.377000,38.523850,-123.240920,
151.900000,924.574000,38.524280,-123.240210,
153.800000,934.910000,38.524330,-123.240110,
155.500000,945.245000,38.524380,-123.240010,
158.300000,959.147000,38.524440,-123.239870,
161.800000,976.425000,38.524520,-123.239700,
162.800000,985.342000,38.524570,-123.239620,
163.700000,998.422000,38.524650,-123.239510,
163.600000,1011.142000,38.524740,-123.239420,
163.100000,1021.934000,38.524820,-123.239350,
162.700000,1032.727000,38.524900,-123.239280,
162.900000,1038.955000,38.524940,-123.239230,
163.100000,1043.780000,38.524970,-123.239190,
163.600000,1047.915000,38.524990,-123.239150,
164.100000,1052.049000,38.525010,-123.239110,
165.000000,1054.662000,38.525010,-123.239080,
165.900000,1057.274000,38.525010,-123.239050,
166.800000,1059.887000,38.525010,-123.239020,
167.800000,1061.954000,38.525000,-123.239000,
169.200000,1064.781000,38.524980,-123.238980,
170.300000,1067.171000,38.524960,-123.238970,
171.300000,1069.562000,38.524940,-123.238960,
172.200000,1071.788000,38.524920,-123.238960,
172.600000,1074.179000,38.524900,-123.238970,
172.600000,1076.570000,38.524880,-123.238980,
172.400000,1080.336000,38.524850,-123.239000,
172.300000,1086.485000,38.524800,-123.239030,
172.500000,1091.266000,38.524760,-123.239050,
173.100000,1097.098000,38.524710,-123.239070,
