alt,dst,lat,lon,mdata
64.500000,0.000000,36.844110,-121.537950,E:\Dropbox\website\dev2\climbing\climbs\Fremont-Peak.tcx
64.500000,47.301603,36.843840,-121.537540,
64.400000,135.640250,36.843350,-121.536760,
64.300000,212.852312,36.842910,-121.536090,
64.100000,249.795488,36.842720,-121.535750,
64.200000,278.313225,36.842560,-121.535500,
63.400000,337.436066,36.842230,-121.534980,
63.100000,364.585221,36.842070,-121.534750,
63.100000,368.063681,36.842050,-121.534720,
63.100000,389.072793,36.841950,-121.534520,
63.200000,396.029719,36.841910,-121.534460,
63.300000,415.699149,36.841820,-121.534270,
63.900000,477.442757,36.841320,-121.533970,
64.200000,515.879427,36.841010,-121.533780,
64.500000,547.758419,36.840750,-121.533630,
64.500000,563.516386,36.840620,-121.533560,
65.000000,606.680545,36.840260,-121.533380,
65.400000,640.747051,36.839990,-121.533200,
65.900000,675.401118,36.839710,-121.533030,
66.000000,677.799130,36.839690,-121.533020,
66.600000,720.421404,36.839350,-121.532800,
66.800000,744.023640,36.839170,-121.532660,
67.000000,765.334802,36.839000,-121.532550,
67.400000,800.993519,36.838710,-121.532380,
67.600000,837.346775,36.838430,-121.532170,
68.100000,874.787511,36.838130,-121.531980,
68.300000,886.143080,36.838040,-121.531920,
68.600000,899.766106,36.837920,-121.531890,
69.000000,917.776547,36.837760,-121.531860,
69.600000,948.304296,36.837490,-121.531800,
70.000000,978.570920,36.837220,-121.531760,
70.400000,1005.346798,36.836980,-121.531740,
70.700000,1029.901682,36.836760,-121.531720,
71.100000,1071.176287,36.836390,-121.531690,
71.600000,1126.842840,36.835890,-121.531680,
72.300000,1160.345284,36.835590,-121.531710,
71.600000,1193.847729,36.835890,-121.531680,
71.200000,1223.998103,36.835830,-121.531350,
72.300000,1402.108255,36.834230,-121.531350,
74.200000,1560.183526,36.832810,-121.531340,
74.600000,1578.193994,36.832650,-121.531370,
74.700000,1586.037086,36.832580,-121.531360,
74.700000,1592.949843,36.832520,-121.531340,
74.700000,1600.978368,36.832460,-121.531290,
74.900000,1656.940364,36.832010,-121.531010,
75.000000,1695.778596,36.831700,-121.530810,
75.100000,1719.471582,36.831530,-121.530650,
75.300000,1735.528698,36.831410,-121.530550,
76.300000,1795.583397,36.830970,-121.530160,
76.800000,1826.952445,36.830780,-121.529900,
76.900000,1853.515702,36.830650,-121.529650,
77.300000,1882.931618,36.830510,-121.529370,
78.900000,1908.752327,36.830380,-121.529130,
79.200000,1918.513769,36.830330,-121.529040,
79.400000,1928.950095,36.830270,-121.528950,
80.300000,1943.781860,36.830170,-121.528840,
82.700000,2081.785933,36.829210,-121.527860,
82.500000,2095.505513,36.829110,-121.527770,
82.400000,2132.808501,36.828830,-121.527540,
82.500000,2151.219016,36.828690,-121.527430,
82.200000,2173.148240,36.828510,-121.527330,
82.300000,2178.992508,36.828460,-121.527310,
82.400000,2189.168462,36.828370,-121.527290,
82.400000,2198.073970,36.828290,-121.527290,
82.500000,2222.580320,36.828070,-121.527280,
83.800000,2341.721476,36.827000,-121.527310,
83.900000,2348.400607,36.826940,-121.527310,
84.100000,2353.196741,36.826900,-121.527290,
85.800000,2385.317467,36.826650,-121.527110,
86.100000,2391.492053,36.826600,-121.527080,
86.300000,2396.033088,36.826560,-121.527070,
86.600000,2406.209050,36.826470,-121.527050,
86.800000,2416.267293,36.826380,-121.527040,
87.100000,2463.021208,36.825960,-121.527040,
87.300000,2500.880103,36.825620,-121.527050,
89.200000,2657.880139,36.824210,-121.527090,
89.500000,2684.611518,36.823970,-121.527080,
89.500000,2689.064272,36.823930,-121.527080,
89.600000,2701.309345,36.823820,-121.527080,
90.000000,2738.055369,36.823490,-121.527090,
90.600000,2745.626070,36.823430,-121.527130,
91.200000,2754.602226,36.823360,-121.527180,
92.800000,2784.885046,36.823120,-121.527340,
93.200000,2794.842926,36.823040,-121.527390,
93.400000,2802.037179,36.822980,-121.527420,
93.900000,2819.570103,36.822830,-121.527480,
94.200000,2834.474056,36.822700,-121.527520,
94.400000,2849.190354,36.822570,-121.527550,
94.400000,2862.578304,36.822450,-121.527560,
94.500000,2897.133136,36.822140,-121.527540,
94.700000,2916.141076,36.821970,-121.527520,
95.200000,2943.985051,36.821720,-121.527510,
95.500000,2964.101547,36.821540,-121.527490,
95.500000,2981.175585,36.821390,-121.527450,
95.400000,3008.005643,36.821160,-121.527360,
95.300000,3030.710880,36.820960,-121.527310,
95.300000,3047.784924,36.820810,-121.527270,
96.200000,3061.261554,36.820690,-121.527250,
98.100000,3074.619815,36.820570,-121.527250,
99.900000,3088.007767,36.820450,-121.527260,
103.100000,3108.222714,36.820270,-121.527290,
104.800000,3118.280963,36.820180,-121.527300,
105.300000,3125.019279,36.820120,-121.527310,
106.700000,3152.863254,36.819870,-121.527320,
107.300000,3165.108327,36.819760,-121.527320,
107.400000,3170.745156,36.819710,-121.527330,
109.800000,3191.483660,36.819530,-121.527390,
112.400000,3209.647864,36.819370,-121.527430,
112.800000,3219.706114,36.819280,-121.527440,
113.300000,3238.714060,36.819110,-121.527420,
113.200000,3250.959133,36.819000,-121.527420,
112.900000,3257.697451,36.818940,-121.527430,
112.600000,3266.779555,36.818860,-121.527450,
112.300000,3281.921431,36.818730,-121.527500,
112.100000,3296.310049,36.818610,-121.527560,
111.900000,3302.484758,36.818560,-121.527590,
111.200000,3312.854020,36.818470,-121.527620,
110.600000,3323.030014,36.818380,-121.527640,
110.800000,3328.666845,36.818330,-121.527630,
110.900000,3336.509956,36.818260,-121.527620,
111.700000,3346.467963,36.818180,-121.527570,
112.400000,3361.609598,36.818060,-121.527490,
112.900000,3373.017233,36.817980,-121.527410,
113.400000,3384.199680,36.817910,-121.527320,
114.200000,3443.468347,36.817550,-121.526830,
114.300000,3460.949732,36.817440,-121.526690,
115.100000,3473.783363,36.817350,-121.526600,
115.600000,3478.977067,36.817310,-121.526570,
117.100000,3489.941947,36.817220,-121.526520,
117.600000,3499.240100,36.817140,-121.526490,
116.900000,3513.956433,36.817010,-121.526460,
114.900000,3538.704648,36.816790,-121.526420,
115.300000,3544.879384,36.816740,-121.526390,
118.900000,3579.442624,36.816490,-121.526160,
119.500000,3591.244725,36.816400,-121.526090,
119.900000,3604.275328,36.816290,-121.526040,
120.100000,3617.305933,36.816180,-121.525990,
119.800000,3635.470168,36.816020,-121.525950,
118.800000,3653.480722,36.815860,-121.525920,
118.600000,3658.276953,36.815820,-121.525900,
118.400000,3663.073184,36.815780,-121.525880,
