alt,dst,lat,lon,mdata
83.800000,0.000000,38.376200,-122.025670,E:\Dropbox\website\dev2\climbing\climbs\Gates-Canyon-Road.tcx
84.000000,3.663942,38.376190,-122.025710,
85.000000,27.026486,38.376140,-122.025970,
85.800000,51.487047,38.376150,-122.026250,
88.900000,88.470637,38.376280,-122.026640,
91.400000,214.026565,38.376810,-122.027910,
91.600000,329.881744,38.377330,-122.029060,
91.400000,434.552013,38.377770,-122.030120,
91.800000,458.160498,38.377970,-122.030030,
92.400000,479.472488,38.378160,-122.030000,
93.100000,486.208387,38.378220,-122.030010,
96.800000,519.649544,38.378510,-122.030110,
97.300000,537.953262,38.378650,-122.030220,
97.600000,557.276672,38.378770,-122.030380,
97.700000,624.582492,38.379140,-122.030990,
97.600000,698.256571,38.379510,-122.031690,
97.600000,756.218728,38.379790,-122.032250,
97.400000,791.610090,38.380020,-122.032530,
97.600000,848.391173,38.380450,-122.032880,
100.300000,904.345236,38.380890,-122.033190,
100.400000,914.246387,38.380960,-122.033260,
101.100000,931.771599,38.381080,-122.033390,
102.200000,956.563297,38.381230,-122.033600,
101.800000,1000.845469,38.381380,-122.034070,
101.800000,1041.319604,38.381550,-122.034480,
102.300000,1117.176635,38.381920,-122.035210,
102.800000,1162.822639,38.382100,-122.035680,
103.300000,1186.828549,38.382190,-122.035930,
103.000000,1217.805122,38.382270,-122.036270,
102.000000,1257.072681,38.382270,-122.036720,
100.500000,1293.709336,38.382170,-122.037120,
101.400000,1369.263169,38.381760,-122.037810,
102.300000,1412.000804,38.381550,-122.038220,
102.400000,1421.797427,38.381510,-122.038320,
102.700000,1436.153217,38.381480,-122.038480,
103.100000,1448.369924,38.381480,-122.038620,
104.300000,1463.858354,38.381520,-122.038790,
108.000000,1492.473680,38.381640,-122.039080,
108.700000,1517.803493,38.381700,-122.039360,
109.700000,1555.589390,38.381740,-122.039790,
110.100000,1573.077231,38.381750,-122.039990,
110.700000,1606.404478,38.381780,-122.040370,
110.100000,1650.049597,38.381770,-122.040870,
109.900000,1709.429413,38.381750,-122.041550,
109.800000,1727.440869,38.381710,-122.041750,
109.700000,1762.028183,38.381580,-122.042110,
111.300000,1801.431902,38.381450,-122.042530,
114.700000,1842.909870,38.381330,-122.042980,
114.700000,1896.707279,38.381260,-122.043590,
115.800000,1943.947209,38.381230,-122.044130,
118.800000,1985.336552,38.381180,-122.044600,
120.600000,2093.038373,38.381100,-122.045830,
120.700000,2119.044272,38.381020,-122.046110,
120.600000,2141.001749,38.380940,-122.046340,
120.700000,2163.516307,38.380890,-122.046590,
121.400000,2180.584716,38.380950,-122.046770,
122.100000,2200.501067,38.381060,-122.046950,
124.800000,2242.370335,38.381210,-122.047390,
125.400000,2254.637699,38.381220,-122.047530,
125.900000,2286.130992,38.381240,-122.047890,
133.500000,2392.643570,38.381270,-122.049110,
134.900000,2433.533663,38.381200,-122.049570,
138.600000,2481.579675,38.381180,-122.050120,
142.900000,2521.859123,38.381210,-122.050580,
145.500000,2565.775782,38.381300,-122.051070,
145.300000,2629.786806,38.381410,-122.051790,
144.900000,2663.891838,38.381430,-122.052180,
145.300000,2674.422313,38.381420,-122.052300,
148.900000,2699.826121,38.381400,-122.052590,
150.700000,2725.156657,38.381410,-122.052880,
151.900000,2742.644580,38.381400,-122.053080,
151.900000,2787.813356,38.381230,-122.053550,
152.800000,2810.005088,38.381130,-122.053770,
150.600000,2837.754910,38.380950,-122.053990,
151.000000,2894.631725,38.380770,-122.054600,
150.000000,2913.490189,38.380730,-122.054810,
150.000000,2925.315741,38.380700,-122.054940,
150.400000,2932.384989,38.380710,-122.055020,
152.400000,2949.552497,38.380670,-122.055210,
153.200000,2959.178511,38.380620,-122.055300,
154.000000,2975.167918,38.380550,-122.055460,
154.000000,2995.514426,38.380520,-122.055690,
155.200000,3036.588580,38.380540,-122.056160,
155.700000,3042.697013,38.380540,-122.056230,
156.700000,3060.186353,38.380590,-122.056420,
158.400000,3088.435326,38.380730,-122.056690,
160.000000,3112.491410,38.380870,-122.056900,
162.200000,3159.267437,38.381110,-122.057340,
164.000000,3187.831416,38.381300,-122.057560,
166.100000,3213.174730,38.381490,-122.057720,
168.400000,3259.274560,38.381870,-122.057930,
172.500000,3274.304981,38.381920,-122.058090,
173.400000,3283.310685,38.381940,-122.058190,
176.500000,3309.583676,38.381960,-122.058490,
179.100000,3326.496372,38.381990,-122.058680,
182.800000,3375.276028,38.382270,-122.059110,
183.600000,3396.595557,38.382380,-122.059310,
184.300000,3415.415527,38.382460,-122.059500,
185.600000,3441.523434,38.382610,-122.059730,
186.700000,3456.559598,38.382720,-122.059830,
185.300000,3547.000682,38.383500,-122.060120,
186.600000,3585.931777,38.383820,-122.060300,
187.500000,3610.975304,38.384040,-122.060360,
188.000000,3640.127904,38.384300,-122.060320,
188.600000,3653.599681,38.384420,-122.060340,
192.900000,3682.478806,38.384590,-122.060590,
195.600000,3751.896436,38.385150,-122.060940,
197.300000,3773.661852,38.385300,-122.061100,
199.500000,3791.980730,38.385370,-122.061290,
200.900000,3807.844088,38.385390,-122.061470,
200.800000,3826.663450,38.385470,-122.061660,
202.400000,3857.056274,38.385720,-122.061800,
204.900000,3884.126683,38.385960,-122.061850,
211.600000,3928.526052,38.386330,-122.062040,
220.600000,3997.980513,38.386860,-122.062460,
220.000000,4030.762716,38.387130,-122.062610,
223.000000,4064.568439,38.387410,-122.062760,
225.100000,4078.375127,38.387530,-122.062800,
227.500000,4108.077532,38.387740,-122.063010,
225.600000,4125.136219,38.387890,-122.063050,
221.700000,4145.192600,38.388070,-122.063040,
222.300000,4151.343346,38.388120,-122.063070,
227.300000,4185.859683,38.388410,-122.063210,
228.400000,4207.714413,38.388590,-122.063310,
231.400000,4222.203674,38.388660,-122.063450,
236.500000,4263.212835,38.388660,-122.063920,
236.500000,4287.006810,38.388690,-122.064190,
240.900000,4319.367286,38.388670,-122.064560,
242.100000,4351.956707,38.388710,-122.064930,
242.400000,4377.013677,38.388760,-122.065210,
243.700000,4392.876310,38.388740,-122.065390,
245.700000,4407.365560,38.388670,-122.065530,
249.800000,4429.700257,38.388520,-122.065700,
251.900000,4473.660800,38.388400,-122.066180,
253.200000,4497.009614,38.388270,-122.066390,
257.200000,4535.742679,38.388000,-122.066670,
260.900000,4569.259752,38.387730,-122.066840,
262.600000,4580.187136,38.387640,-122.066890,
265.400000,4597.159944,38.387520,-122.067010,
267.100000,4604.696008,38.387460,-122.067050,
269.300000,4612.975683,38.387420,-122.067130,
270.700000,4623.446286,38.387420,-122.067250,
271.200000,4633.975897,38.387430,-122.067370,
270.700000,4643.318651,38.387460,-122.067470,
273.800000,4668.504493,38.387540,-122.067740,
273.900000,4680.064053,38.387560,-122.067870,
275.600000,4691.461678,38.387550,-122.068000,
280.200000,4710.946083,38.387520,-122.068220,
283.500000,4732.355432,38.387480,-122.068460,
289.400000,4761.914081,38.387420,-122.068790,
292.300000,4778.577074,38.387370,-122.068970,
293.900000,4788.239472,38.387380,-122.069080,
292.900000,4806.294486,38.387460,-122.069260,
293.500000,4825.522833,38.387450,-122.069480,
292.100000,4838.658338,38.387440,-122.069630,
291.300000,4850.055980,38.387450,-122.069760,
290.300000,4863.801575,38.387530,-122.069880,
290.400000,4868.632119,38.387560,-122.069920,
289.000000,4881.771549,38.387660,-122.070000,
296.200000,4948.401837,38.388040,-122.070590,
299.700000,4990.145085,38.388110,-122.071060,
307.800000,5023.115656,38.388020,-122.071420,
312.900000,5073.771104,38.388140,-122.071980,
319.400000,5118.858968,38.388290,-122.072460,
324.100000,5162.131966,38.388350,-122.072950,
323.800000,5170.395414,38.388400,-122.073020,
324.700000,5174.058795,38.388410,-122.073060,
324.300000,5192.156917,38.388560,-122.073140,
333.000000,5239.175164,38.388780,-122.073600,
336.300000,5260.493407,38.388890,-122.073800,
336.600000,5283.656750,38.388960,-122.074050,
339.400000,5318.137670,38.389010,-122.074440,
347.800000,5359.207029,38.388990,-122.074910,
351.100000,5388.022076,38.388980,-122.075240,
351.800000,5400.656997,38.389030,-122.075370,
353.000000,5418.711699,38.389110,-122.075550,
362.700000,5473.366864,38.389180,-122.076170,
364.700000,5483.029023,38.389190,-122.076280,
370.600000,5508.430117,38.389210,-122.076570,
378.200000,5563.586610,38.389340,-122.077180,
382.700000,5585.930080,38.389410,-122.077420,
391.600000,5615.595974,38.389410,-122.077760,
397.500000,5639.571294,38.389450,-122.078030,
403.900000,5669.320593,38.389470,-122.078370,
405.500000,5704.125895,38.389620,-122.078720,
412.000000,5734.798025,38.389690,-122.079060,
415.100000,5759.732942,38.389850,-122.079260,
420.000000,5770.722884,38.389880,-122.079380,
422.400000,5778.049511,38.389860,-122.079460,
424.500000,5788.658704,38.389770,-122.079500,
426.000000,5797.606853,38.389690,-122.079490,
433.700000,5839.255959,38.389330,-122.079360,
437.200000,5856.314631,38.389180,-122.079320,
438.400000,5865.365314,38.389120,-122.079250,
440.100000,5885.276554,38.389050,-122.079040,
442.600000,5914.583381,38.388970,-122.078720,
444.600000,5929.619107,38.388860,-122.078620,
450.500000,5967.903511,38.388550,-122.078430,
454.300000,5983.512556,38.388410,-122.078440,
455.100000,5987.175937,38.388400,-122.078480,
455.700000,5997.338259,38.388430,-122.078590,
460.800000,6025.506868,38.388580,-122.078850,
466.700000,6049.493777,38.388650,-122.079110,
469.500000,6062.581809,38.388650,-122.079260,
479.000000,6090.609678,38.388560,-122.079560,
484.600000,6107.272438,38.388510,-122.079740,
485.400000,6116.068533,38.388520,-122.079840,
485.600000,6133.601016,38.388590,-122.080020,
487.200000,6144.998480,38.388580,-122.080150,
488.200000,6148.434849,38.388560,-122.080180,
489.500000,6151.886517,38.388530,-122.080190,
492.200000,6158.622400,38.388470,-122.080180,
495.000000,6177.251486,38.388380,-122.080000,
500.300000,6230.875716,38.388150,-122.079460,
502.900000,6250.025805,38.388100,-122.079250,
502.700000,6262.493408,38.388020,-122.079150,
503.300000,6276.546040,38.387900,-122.079100,
504.900000,6288.822161,38.387790,-122.079110,
507.100000,6300.555864,38.387700,-122.079180,
507.700000,6305.386403,38.387670,-122.079220,
508.700000,6314.391438,38.387650,-122.079320,
509.800000,6321.718269,38.387670,-122.079400,
510.700000,6329.254329,38.387730,-122.079440,
511.500000,6336.157671,38.387790,-122.079460,
512.600000,6343.331429,38.387850,-122.079490,
515.600000,6358.818608,38.387890,-122.079660,
521.200000,6378.917983,38.387900,-122.079890,
531.900000,6414.453122,38.387840,-122.080290,
537.600000,6437.616783,38.387770,-122.080540,
544.200000,6473.544002,38.387600,-122.080890,
545.600000,6483.142031,38.387600,-122.081000,
548.500000,6503.859381,38.387670,-122.081220,
552.300000,6523.565085,38.387710,-122.081440,
555.900000,6538.682309,38.387630,-122.081580,
558.200000,6548.069986,38.387560,-122.081640,
559.700000,6558.088682,38.387470,-122.081640,
561.600000,6571.701002,38.387350,-122.081610,
562.800000,6585.753647,38.387230,-122.081560,
565.400000,6604.091204,38.387070,-122.081610,
566.300000,6610.994550,38.387010,-122.081590,
567.800000,6620.911299,38.386930,-122.081540,
569.100000,6629.986181,38.386850,-122.081520,
569.500000,6637.159953,38.386790,-122.081550,
570.700000,6647.469210,38.386730,-122.081640,
546.000000,6662.498768,38.386680,-122.081800,
574.600000,6674.323426,38.386650,-122.081930,
575.700000,6683.119743,38.386660,-122.082030,
580.000000,6702.622827,38.386720,-122.082240,
585.400000,6731.332457,38.386660,-122.082560,
586.600000,6759.443781,38.386550,-122.082850,
592.600000,6780.605252,38.386470,-122.083070,
598.100000,6841.239474,38.386170,-122.083650,
609.300000,6928.536871,38.385660,-122.084410,
611.600000,6943.231144,38.385600,-122.084560,
612.300000,6964.641037,38.385560,-122.084800,
612.400000,6980.698464,38.385530,-122.084980,
613.600000,6995.698355,38.385510,-122.085150,
614.900000,7006.007718,38.385450,-122.085240,
616.300000,7026.668599,38.385290,-122.085360,
618.900000,7048.457521,38.385100,-122.085420,
621.200000,7067.561920,38.384930,-122.085450,
621.800000,7083.364879,38.384790,-122.085420,
623.000000,7094.530910,38.384690,-122.085410,
624.300000,7103.605803,38.384610,-122.085430,
626.500000,7115.479378,38.384530,-122.085520,
628.600000,7127.896791,38.384510,-122.085660,
630.500000,7149.058734,38.384590,-122.085880,
631.300000,7167.760570,38.384710,-122.086030,
631.900000,7183.043255,38.384810,-122.086150,
634.100000,7211.206613,38.385020,-122.086330,
