alt,dst,lat,lon,mdata
503.200000,0.000000,38.800070,-122.826490,E:\Dropbox\website\dev2\climbing\climbs\Geysers-Rd-N-segment-2-Cloverdale.tcx
504.000000,2.823000,38.800050,-122.826470,
504.800000,5.212000,38.800030,-122.826460,
506.100000,8.663000,38.800000,-122.826470,
506.900000,11.052000,38.799980,-122.826480,
507.600000,13.442000,38.799960,-122.826490,
508.000000,16.272000,38.799950,-122.826520,
508.400000,18.334000,38.799940,-122.826540,
508.700000,21.978000,38.799930,-122.826580,
510.700000,36.255000,38.799900,-122.826740,
511.600000,40.378000,38.799880,-122.826780,
512.400000,43.803000,38.799860,-122.826810,
513.400000,48.679000,38.799840,-122.826860,
514.200000,53.495000,38.799810,-122.826900,
515.200000,60.552000,38.799760,-122.826950,
516.700000,85.955000,38.799580,-122.827130,
517.000000,132.386000,38.799240,-122.827440,
517.100000,152.422000,38.799150,-122.827640,
517.100000,168.391000,38.799120,-122.827820,
517.400000,181.405000,38.799120,-122.827970,
519.600000,198.038000,38.799140,-122.828160,
524.600000,215.436000,38.799190,-122.828350,
526.900000,228.638000,38.799210,-122.828500,
528.400000,244.412000,38.799190,-122.828680,
529.300000,255.735000,38.799150,-122.828800,
530.400000,266.010000,38.799090,-122.828890,
531.500000,275.916000,38.799010,-122.828940,
532.700000,288.435000,38.798900,-122.828970,
534.200000,313.472000,38.798680,-122.828910,
535.000000,324.762000,38.798590,-122.828850,
536.800000,340.531000,38.798510,-122.828700,
539.700000,362.476000,38.798480,-122.828450,
541.100000,381.563000,38.798480,-122.828230,
544.600000,440.965000,38.798590,-122.827560,
553.800000,520.812000,38.798740,-122.826660,
560.300000,556.431000,38.798840,-122.826270,
567.500000,575.452000,38.798910,-122.826070,
570.500000,587.214000,38.798940,-122.825940,
574.100000,598.547000,38.798930,-122.825810,
576.100000,615.228000,38.798860,-122.825640,
577.100000,630.752000,38.798750,-122.825530,
578.300000,646.446000,38.798620,-122.825460,
579.500000,666.782000,38.798440,-122.825420,
581.100000,683.682000,38.798290,-122.825390,
582.600000,702.013000,38.798130,-122.825340,
583.000000,721.246000,38.797980,-122.825230,
583.000000,739.300000,38.797860,-122.825090,
584.300000,759.916000,38.797760,-122.824890,
582.500000,775.680000,38.797710,-122.824720,
584.800000,792.499000,38.797680,-122.824530,
599.100000,807.290000,38.797690,-122.824360,
602.100000,823.782000,38.797770,-122.824200,
604.900000,846.467000,38.797910,-122.824010,
612.500000,902.266000,38.798320,-122.823640,
611.500000,937.549000,38.798570,-122.823390,
609.700000,956.814000,38.798690,-122.823230,
608.900000,970.675000,38.798750,-122.823090,
610.100000,983.877000,38.798770,-122.822940,
611.400000,990.907000,38.798760,-122.822860,
612.700000,999.653000,38.798750,-122.822760,
615.200000,1010.184000,38.798710,-122.822650,
617.300000,1017.715000,38.798670,-122.822580,
620.800000,1028.150000,38.798600,-122.822500,
625.000000,1039.067000,38.798510,-122.822450,
629.500000,1050.233000,38.798410,-122.822440,
634.000000,1062.478000,38.798300,-122.822440,
637.200000,1084.077000,38.798130,-122.822560,
637.400000,1104.740000,38.798000,-122.822730,
638.800000,1124.417000,38.797850,-122.822850,
642.500000,1145.623000,38.797670,-122.822930,
645.100000,1181.004000,38.797360,-122.823020,
645.600000,1200.419000,38.797190,-122.823070,
647.600000,1231.082000,38.796920,-122.823140,
651.300000,1259.060000,38.796690,-122.823270,
653.100000,1278.507000,38.796530,-122.823360,
655.500000,1304.212000,38.796310,-122.823450,
660.400000,1340.988000,38.795980,-122.823430,
662.400000,1366.025000,38.795760,-122.823370,
663.500000,1394.395000,38.795520,-122.823260,
663.300000,1415.617000,38.795330,-122.823240,
662.700000,1429.419000,38.795210,-122.823280,
661.900000,1446.479000,38.795070,-122.823360,
667.900000,1464.534000,38.794950,-122.823500,
673.200000,1483.013000,38.794850,-122.823670,
674.400000,1499.998000,38.794790,-122.823850,
677.900000,1513.052000,38.794710,-122.823960,
683.900000,1527.127000,38.794600,-122.824040,
686.000000,1539.646000,38.794490,-122.824070,
687.500000,1553.243000,38.794390,-122.824160,
688.000000,1567.614000,38.794310,-122.824290,
688.000000,1578.548000,38.794280,-122.824410,
688.400000,1592.475000,38.794270,-122.824570,
690.200000,1614.617000,38.794230,-122.824820,
691.100000,1626.380000,38.794200,-122.824950,
698.200000,1682.345000,38.793980,-122.825530,
698.700000,1707.407000,38.793900,-122.825800,
700.100000,1723.929000,38.793910,-122.825990,
705.600000,1752.066000,38.794050,-122.826260,
709.500000,1768.036000,38.794080,-122.826440,
710.600000,1802.812000,38.794100,-122.826840,
712.900000,1831.299000,38.794220,-122.827130,
713.800000,1840.257000,38.794240,-122.827230,
714.500000,1849.214000,38.794220,-122.827330,
716.100000,1868.504000,38.794130,-122.827520,
720.000000,1888.182000,38.793980,-122.827640,
725.400000,1943.461000,38.793520,-122.827880,
725.600000,1957.574000,38.793420,-122.827980,
728.200000,1991.465000,38.793200,-122.828250,
730.600000,2000.836000,38.793130,-122.828310,
735.100000,2015.510000,38.793010,-122.828380,
738.100000,2025.678000,38.792920,-122.828400,
740.400000,2037.954000,38.792810,-122.828410,
740.600000,2049.220000,38.792710,-122.828430,
740.000000,2055.365000,38.792660,-122.828460,
739.200000,2062.421000,38.792610,-122.828510,
738.400000,2066.545000,38.792590,-122.828550,
736.000000,2093.512000,38.792470,-122.828820,
737.100000,2104.461000,38.792410,-122.828920,
740.700000,2117.515000,38.792330,-122.829030,
744.000000,2125.983000,38.792270,-122.829090,
747.700000,2135.541000,38.792190,-122.829130,
749.600000,2141.174000,38.792140,-122.829140,
750.600000,2149.015000,38.792070,-122.829150,
751.800000,2160.306000,38.791990,-122.829070,
754.100000,2193.176000,38.791800,-122.828780,
754.300000,2219.868000,38.791650,-122.828540,
754.700000,2255.650000,38.791480,-122.828190,
754.500000,2283.186000,38.791350,-122.827920,
754.100000,2295.507000,38.791280,-122.827810,
753.700000,2314.401000,38.791150,-122.827670,
753.400000,2345.123000,38.790900,-122.827520,
752.900000,2372.958000,38.790660,-122.827430,
752.800000,2392.373000,38.790490,-122.827380,
752.000000,2411.376000,38.790320,-122.827360,
751.100000,2429.209000,38.790160,-122.827370,
750.900000,2440.374000,38.790060,-122.827360,
751.100000,2451.806000,38.789960,-122.827330,
751.700000,2465.475000,38.789850,-122.827260,
752.700000,2477.319000,38.789770,-122.827170,
754.000000,2489.641000,38.789700,-122.827060,
755.800000,2521.901000,38.789540,-122.826750,
755.400000,2546.642000,38.789420,-122.826510,
754.600000,2564.512000,38.789310,-122.826360,
753.500000,2579.754000,38.789210,-122.826240,
752.900000,2586.811000,38.789160,-122.826190,
