alt,dst,lat,lon,mdata
85.800000,0.000000,38.698470,-122.830900,E:\Dropbox\website\dev2\climbing\climbs\Geysers-Rd-South-Geyserville.tcx
85.900000,7.537000,38.698510,-122.830830,
85.900000,24.784000,38.698590,-122.830660,
85.800000,39.229000,38.698660,-122.830520,
85.100000,50.288000,38.698710,-122.830410,
84.700000,61.959000,38.698780,-122.830310,
84.600000,75.219000,38.698870,-122.830210,
84.400000,91.154000,38.698990,-122.830110,
84.200000,103.839000,38.699090,-122.830040,
84.200000,121.332000,38.699240,-122.829980,
84.500000,134.690000,38.699360,-122.829980,
84.900000,145.957000,38.699460,-122.830000,
86.000000,164.290000,38.699620,-122.830050,
87.700000,179.348000,38.699740,-122.830130,
89.600000,197.786000,38.699890,-122.830220,
91.900000,217.471000,38.700040,-122.830340,
92.600000,226.846000,38.700110,-122.830400,
94.600000,245.596000,38.700250,-122.830520,
100.100000,280.027000,38.700490,-122.830770,
98.500000,315.869000,38.700740,-122.831030,
100.900000,337.050000,38.700890,-122.831180,
102.700000,354.543000,38.701010,-122.831310,
103.200000,363.015000,38.701070,-122.831370,
103.900000,370.983000,38.701130,-122.831420,
104.400000,377.129000,38.701180,-122.831450,
105.100000,384.298000,38.701240,-122.831480,
106.600000,400.477000,38.701380,-122.831530,
109.600000,422.260000,38.701570,-122.831590,
112.700000,443.469000,38.701750,-122.831670,
113.100000,452.001000,38.701820,-122.831710,
113.100000,460.533000,38.701890,-122.831750,
112.100000,483.973000,38.702070,-122.831890,
109.800000,506.950000,38.702240,-122.832040,
109.600000,522.428000,38.702360,-122.832130,
110.800000,532.336000,38.702440,-122.832180,
111.900000,538.167000,38.702490,-122.832200,
112.900000,542.704000,38.702530,-122.832210,
115.000000,551.651000,38.702610,-122.832220,
117.100000,561.708000,38.702700,-122.832210,
119.900000,574.075000,38.702810,-122.832190,
123.100000,588.958000,38.702940,-122.832150,
125.200000,601.326000,38.703050,-122.832130,
126.200000,611.345000,38.703140,-122.832130,
127.600000,623.006000,38.703240,-122.832170,
128.800000,633.610000,38.703330,-122.832210,
130.800000,647.950000,38.703450,-122.832270,
134.000000,661.258000,38.703560,-122.832330,
137.800000,688.227000,38.703780,-122.832460,
137.200000,722.107000,38.704050,-122.832640,
139.600000,754.029000,38.704300,-122.832820,
142.300000,766.757000,38.704410,-122.832860,
144.000000,773.493000,38.704470,-122.832870,
146.600000,782.398000,38.704550,-122.832870,
149.100000,791.346000,38.704630,-122.832860,
150.700000,799.330000,38.704700,-122.832840,
151.400000,804.109000,38.704740,-122.832820,
152.800000,816.059000,38.704840,-122.832770,
153.600000,827.352000,38.704930,-122.832710,
154.000000,839.072000,38.705020,-122.832640,
154.400000,852.380000,38.705130,-122.832580,
154.800000,860.597000,38.705200,-122.832550,
155.400000,868.437000,38.705270,-122.832540,
156.500000,877.385000,38.705350,-122.832530,
157.900000,884.064000,38.705410,-122.832530,
164.800000,933.052000,38.705850,-122.832520,
166.200000,975.389000,38.706230,-122.832500,
168.500000,986.555000,38.706330,-122.832510,
170.500000,993.456000,38.706390,-122.832530,
171.800000,999.287000,38.706440,-122.832550,
173.400000,1007.819000,38.706510,-122.832590,
174.500000,1014.879000,38.706560,-122.832640,
174.900000,1033.235000,38.706690,-122.832770,
176.000000,1053.869000,38.706790,-122.832970,
177.100000,1065.205000,38.706830,-122.833090,
180.000000,1083.010000,38.706890,-122.833280,
183.000000,1094.068000,38.706940,-122.833390,
185.500000,1106.658000,38.706990,-122.833520,
186.000000,1118.988000,38.707060,-122.833630,
185.800000,1128.021000,38.707120,-122.833700,
186.000000,1140.214000,38.707210,-122.833780,
187.000000,1152.407000,38.707300,-122.833860,
188.000000,1163.190000,38.707380,-122.833930,
188.400000,1174.484000,38.707470,-122.833990,
188.800000,1186.775000,38.707570,-122.834050,
189.000000,1198.724000,38.707670,-122.834100,
189.500000,1210.386000,38.707770,-122.834140,
189.700000,1222.905000,38.707880,-122.834170,
190.000000,1230.889000,38.707950,-122.834190,
190.400000,1241.241000,38.708040,-122.834220,
190.600000,1252.903000,38.708140,-122.834260,
190.500000,1261.119000,38.708210,-122.834290,
190.500000,1269.651000,38.708280,-122.834330,
190.400000,1277.180000,38.708340,-122.834370,
190.300000,1284.240000,38.708390,-122.834420,
