alt,dst,lat,lon,mdata
77.800000,0.000000,38.694060,-122.832170,E:\Dropbox\website\dev2\climbing\climbs\Geysers-Road-South.tcx
76.800000,28.046000,38.694310,-122.832210,
77.400000,73.893000,38.694720,-122.832260,
77.600000,81.685000,38.694790,-122.832260,
77.700000,88.421000,38.694850,-122.832250,
78.000000,118.589000,38.695120,-122.832220,
81.200000,172.368000,38.695600,-122.832150,
83.300000,222.829000,38.696050,-122.832080,
83.000000,239.729000,38.696200,-122.832050,
82.000000,268.043000,38.696450,-122.831990,
81.900000,272.579000,38.696490,-122.831980,
81.000000,308.629000,38.696800,-122.831860,
79.100000,339.697000,38.697060,-122.831730,
78.200000,363.021000,38.697260,-122.831650,
80.100000,411.857000,38.697670,-122.831450,
81.000000,437.843000,38.697890,-122.831350,
83.100000,470.995000,38.698170,-122.831220,
83.500000,477.141000,38.698220,-122.831190,
84.000000,483.287000,38.698270,-122.831160,
84.400000,488.446000,38.698310,-122.831130,
84.900000,496.414000,38.698370,-122.831080,
85.400000,506.053000,38.698430,-122.831000,
85.900000,523.300000,38.698510,-122.830830,
85.900000,540.546000,38.698590,-122.830660,
85.800000,554.991000,38.698660,-122.830520,
85.100000,566.051000,38.698710,-122.830410,
84.700000,577.721000,38.698780,-122.830310,
84.600000,590.982000,38.698870,-122.830210,
84.400000,606.917000,38.698990,-122.830110,
84.200000,619.602000,38.699090,-122.830040,
84.200000,637.094000,38.699240,-122.829980,
84.400000,646.000000,38.699320,-122.829980,
84.500000,650.452000,38.699360,-122.829980,
84.900000,661.719000,38.699460,-122.830000,
86.000000,680.052000,38.699620,-122.830050,
87.700000,695.110000,38.699740,-122.830130,
89.600000,713.548000,38.699890,-122.830220,
91.900000,733.233000,38.700040,-122.830340,
92.600000,742.608000,38.700110,-122.830400,
94.600000,761.358000,38.700250,-122.830520,
100.100000,795.789000,38.700490,-122.830770,
98.500000,831.632000,38.700740,-122.831030,
100.900000,852.813000,38.700890,-122.831180,
102.700000,870.306000,38.701010,-122.831310,
103.200000,878.778000,38.701070,-122.831370,
103.900000,886.745000,38.701130,-122.831420,
104.400000,892.891000,38.701180,-122.831450,
105.100000,900.061000,38.701240,-122.831480,
106.600000,916.239000,38.701380,-122.831530,
109.600000,938.023000,38.701570,-122.831590,
112.700000,959.231000,38.701750,-122.831670,
113.100000,967.763000,38.701820,-122.831710,
113.100000,976.295000,38.701890,-122.831750,
112.100000,999.735000,38.702070,-122.831890,
109.800000,1022.712000,38.702240,-122.832040,
109.600000,1038.190000,38.702360,-122.832130,
110.800000,1048.099000,38.702440,-122.832180,
111.900000,1053.929000,38.702490,-122.832200,
112.900000,1058.466000,38.702530,-122.832210,
115.000000,1067.414000,38.702610,-122.832220,
117.100000,1077.470000,38.702700,-122.832210,
119.900000,1089.838000,38.702810,-122.832190,
123.100000,1104.721000,38.702940,-122.832150,
125.200000,1117.088000,38.703050,-122.832130,
126.200000,1127.107000,38.703140,-122.832130,
127.600000,1138.769000,38.703240,-122.832170,
128.800000,1149.373000,38.703330,-122.832210,
130.800000,1163.712000,38.703450,-122.832270,
134.000000,1177.020000,38.703560,-122.832330,
137.800000,1203.989000,38.703780,-122.832460,
137.200000,1237.869000,38.704050,-122.832640,
139.600000,1269.791000,38.704300,-122.832820,
142.300000,1282.520000,38.704410,-122.832860,
144.000000,1289.255000,38.704470,-122.832870,
146.600000,1298.161000,38.704550,-122.832870,
149.100000,1307.109000,38.704630,-122.832860,
150.700000,1315.092000,38.704700,-122.832840,
151.400000,1319.872000,38.704740,-122.832820,
152.800000,1331.821000,38.704840,-122.832770,
153.600000,1343.115000,38.704930,-122.832710,
154.000000,1354.834000,38.705020,-122.832640,
154.400000,1368.143000,38.705130,-122.832580,
154.800000,1376.359000,38.705200,-122.832550,
155.400000,1384.200000,38.705270,-122.832540,
156.500000,1393.148000,38.705350,-122.832530,
