alt,dst,lat,lon,mdata
99.800000,0.000000,34.440290,-119.712680,E:\Dropbox\website\dev2\climbing\climbs\Gibralter-Rd-Santa-Barbara.tcx
101.100000,5.508000,34.440290,-119.712620,
103.100000,13.771000,34.440290,-119.712530,
106.000000,25.912000,34.440310,-119.712400,
108.300000,34.469000,34.440330,-119.712310,
110.900000,46.000000,34.440380,-119.712200,
113.100000,57.353000,34.440440,-119.712100,
114.100000,64.436000,34.440480,-119.712040,
112.900000,107.467000,34.440790,-119.711760,
110.500000,134.140000,34.440990,-119.711600,
110.300000,138.468000,34.441020,-119.711570,
110.800000,141.223000,34.441020,-119.711540,
111.500000,144.895000,34.441020,-119.711500,
112.300000,147.865000,34.441010,-119.711470,
113.300000,152.456000,34.441010,-119.711420,
114.400000,162.659000,34.441050,-119.711320,
115.600000,170.334000,34.441070,-119.711240,
116.600000,181.865000,34.441120,-119.711130,
117.500000,193.972000,34.441180,-119.711020,
118.000000,201.055000,34.441220,-119.710960,
118.100000,207.723000,34.441270,-119.710920,
118.300000,214.391000,34.441320,-119.710880,
118.400000,220.602000,34.441370,-119.710850,
117.400000,249.164000,34.441620,-119.710780,
116.000000,276.871000,34.441860,-119.710700,
114.600000,307.525000,34.442120,-119.710590,
115.000000,319.945000,34.442220,-119.710530,
116.500000,330.417000,34.442300,-119.710470,
118.400000,338.248000,34.442350,-119.710410,
120.900000,345.330000,34.442390,-119.710350,
125.100000,354.716000,34.442430,-119.710260,
129.400000,366.074000,34.442500,-119.710170,
130.900000,375.616000,34.442570,-119.710110,
129.300000,392.845000,34.442710,-119.710030,
129.000000,400.059000,34.442760,-119.709980,
129.100000,406.454000,34.442800,-119.709930,
129.200000,412.849000,34.442840,-119.709880,
131.400000,427.334000,34.442900,-119.709740,
131.700000,433.729000,34.442940,-119.709690,
131.900000,440.124000,34.442980,-119.709640,
131.500000,455.428000,34.443090,-119.709540,
131.500000,470.458000,34.443190,-119.709430,
131.600000,476.853000,34.443230,-119.709380,
131.500000,485.510000,34.443290,-119.709320,
130.900000,494.554000,34.443360,-119.709270,
129.900000,508.383000,34.443470,-119.709200,
129.700000,512.194000,34.443500,-119.709180,
129.900000,515.735000,34.443520,-119.709150,
131.000000,530.626000,34.443600,-119.709020,
146.000000,657.105000,34.444250,-119.707890,
146.700000,672.741000,34.444330,-119.707750,
147.700000,692.665000,34.444430,-119.707570,
148.900000,707.970000,34.444490,-119.707420,
150.500000,727.074000,34.444560,-119.707230,
151.400000,744.510000,34.444610,-119.707050,
152.700000,753.758000,34.444620,-119.706950,
154.300000,761.102000,34.444620,-119.706870,
161.100000,785.203000,34.444590,-119.706610,
163.200000,796.219000,34.444590,-119.706490,
164.300000,807.458000,34.444610,-119.706370,
164.900000,819.598000,34.444630,-119.706240,
164.800000,826.840000,34.444660,-119.706170,
164.200000,846.424000,34.444740,-119.705980,
164.000000,860.677000,34.444810,-119.705850,
163.700000,874.843000,34.444890,-119.705730,
163.600000,884.805000,34.444940,-119.705640,
163.400000,895.541000,34.444990,-119.705540,
163.200000,904.926000,34.445030,-119.705450,
163.200000,919.095000,34.445060,-119.705300,
163.300000,933.044000,34.445080,-119.705150,
163.900000,971.745000,34.445110,-119.704730,
164.000000,986.601000,34.445130,-119.704570,
163.400000,1001.950000,34.445170,-119.704410,
162.200000,1022.743000,34.445240,-119.704200,
161.000000,1035.481000,34.445280,-119.704070,
160.400000,1047.621000,34.445300,-119.703940,
160.300000,1058.637000,34.445300,-119.703820,
160.200000,1075.199000,34.445290,-119.703640,
161.200000,1091.158000,34.445260,-119.703470,
162.900000,1127.161000,34.445180,-119.703090,
164.700000,1156.980000,34.445100,-119.702780,
165.300000,1166.749000,34.445070,-119.702680,
165.700000,1176.195000,34.445050,-119.702580,
165.800000,1198.228000,34.445050,-119.702340,
169.200000,1239.673000,34.445020,-119.701890,
171.600000,1258.334000,34.444990,-119.701690,
173.000000,1279.016000,34.444950,-119.701470,
174.300000,1299.965000,34.444900,-119.701250,
175.000000,1317.079000,34.444860,-119.701070,
178.900000,1409.324000,34.444590,-119.700120,
179.600000,1428.510000,34.444540,-119.699920,
181.400000,1480.281000,34.444360,-119.699400,
182.500000,1518.120000,34.444250,-119.699010,
182.800000,1575.364000,34.444110,-119.698410,
183.400000,1593.366000,34.444070,-119.698220,
183.800000,1604.438000,34.444080,-119.698100,
184.100000,1611.680000,34.444110,-119.698030,
184.500000,1618.348000,34.444160,-119.697990,
186.200000,1627.981000,34.444240,-119.697950,
187.500000,1634.723000,34.444300,-119.697940,
188.000000,1639.269000,34.444340,-119.697950,
188.300000,1643.816000,34.444380,-119.697960,
188.400000,1648.632000,34.444420,-119.697980,
186.800000,1677.704000,34.444650,-119.698130,
186.500000,1682.520000,34.444690,-119.698150,
186.500000,1686.973000,34.444730,-119.698150,
186.500000,1690.312000,34.444760,-119.698150,
186.700000,1694.859000,34.444800,-119.698140,
187.000000,1700.720000,34.444850,-119.698120,
187.500000,1705.049000,34.444880,-119.698090,
187.800000,1709.377000,34.444910,-119.698060,
188.300000,1713.671000,34.444930,-119.698020,
188.700000,1717.966000,34.444950,-119.697980,
189.400000,1726.033000,34.444980,-119.697900,
191.400000,1745.312000,34.444980,-119.697690,
193.300000,1772.875000,34.444970,-119.697390,
193.700000,1791.235000,34.444970,-119.697190,
193.500000,1809.730000,34.444990,-119.696990,
193.500000,1833.108000,34.445030,-119.696740,
193.700000,1848.456000,34.445070,-119.696580,
194.400000,1864.164000,34.445120,-119.696420,
197.700000,1897.418000,34.445260,-119.696100,
199.700000,1924.770000,34.445380,-119.695840,
200.000000,1932.012000,34.445410,-119.695770,
200.800000,1952.418000,34.445490,-119.695570,
201.400000,1967.270000,34.445540,-119.695420,
201.800000,1980.872000,34.445580,-119.695280,
202.300000,1993.265000,34.445610,-119.695150,
202.400000,1999.206000,34.445630,-119.695090,
202.600000,2002.878000,34.445630,-119.695050,
202.900000,2008.386000,34.445630,-119.694990,
205.600000,2072.489000,34.446150,-119.694690,
206.600000,2082.508000,34.446230,-119.694640,
206.900000,2084.916000,34.446250,-119.694630,
210.100000,2112.104000,34.446450,-119.694460,
212.600000,2135.191000,34.446610,-119.694300,
218.500000,2208.828000,34.447140,-119.693820,
220.400000,2224.662000,34.447270,-119.693750,
221.600000,2233.984000,34.447350,-119.693720,
223.000000,2244.374000,34.447440,-119.693690,
225.200000,2261.297000,34.447590,-119.693660,
229.200000,2290.371000,34.447850,-119.693690,
234.300000,2351.844000,34.448400,-119.693750,
238.500000,2400.027000,34.448830,-119.693810,
239.400000,2412.880000,34.448930,-119.693740,
239.900000,2423.504000,34.448990,-119.693650,
240.200000,2426.967000,34.449020,-119.693660,
241.800000,2447.005000,34.449180,-119.693560,
243.300000,2463.213000,34.449300,-119.693460,
243.700000,2469.608000,34.449340,-119.693410,
244.200000,2476.049000,34.449370,-119.693350,
244.700000,2484.116000,34.449400,-119.693270,
245.600000,2500.974000,34.449430,-119.693090,
247.200000,2516.932000,34.449460,-119.692920,
248.200000,2525.000000,34.449490,-119.692840,
248.600000,2528.541000,34.449510,-119.692810,
249.100000,2533.505000,34.449540,-119.692770,
249.600000,2537.833000,34.449570,-119.692740,
251.000000,2549.735000,34.449660,-119.692670,
251.500000,2554.064000,34.449690,-119.692640,
251.900000,2558.358000,34.449710,-119.692600,
252.300000,2562.652000,34.449730,-119.692560,
252.400000,2567.242000,34.449730,-119.692510,
253.300000,2587.468000,34.449740,-119.692290,
255.000000,2610.191000,34.449790,-119.692050,
256.100000,2622.072000,34.449830,-119.691930,
257.100000,2629.890000,34.449870,-119.691860,
257.500000,2633.431000,34.449890,-119.691830,
259.500000,2649.303000,34.450000,-119.691720,
259.900000,2656.385000,34.450040,-119.691660,
259.900000,2662.827000,34.450070,-119.691600,
259.600000,2669.348000,34.450080,-119.691530,
259.900000,2681.740000,34.450110,-119.691400,
260.600000,2689.414000,34.450130,-119.691320,
261.400000,2695.855000,34.450160,-119.691260,
262.700000,2704.356000,34.450210,-119.691190,
263.300000,2708.684000,34.450240,-119.691160,
265.400000,2728.520000,34.450350,-119.690990,
