alt,dst,lat,lon,mdata
1261.000000,0.000000,37.164550,-118.304710,E:\Dropbox\website\dev2\climbing\climbs\Glacier-Lodge-Rd-Big-Pine.tcx
1270.400000,95.245000,37.163820,-118.305270,
1276.000000,190.030000,37.163090,-118.305820,
1280.000000,253.686000,37.162610,-118.306210,
1296.200000,534.725000,37.160450,-118.307850,
1298.300000,581.932000,37.160080,-118.308110,
1301.700000,648.417000,37.159570,-118.308500,
1303.900000,705.030000,37.159130,-118.308820,
1308.000000,815.839000,37.158280,-118.309470,
1308.900000,839.893000,37.158100,-118.309620,
1309.900000,904.966000,37.157600,-118.310000,
1313.200000,991.251000,37.156940,-118.310510,
1319.100000,1053.052000,37.156460,-118.310860,
1322.300000,1112.938000,37.156000,-118.311210,
1323.400000,1225.635000,37.155150,-118.311900,
1323.700000,1268.634000,37.154810,-118.312130,
1324.500000,1312.503000,37.154470,-118.312380,
1325.600000,1358.743000,37.154110,-118.312640,
1332.400000,1433.242000,37.153540,-118.313080,
1347.800000,1592.649000,37.152310,-118.314000,
1354.900000,1716.660000,37.151360,-118.314730,
1366.800000,1888.810000,37.150030,-118.315720,
1371.200000,1948.907000,37.149550,-118.316030,
1372.000000,1964.655000,37.149420,-118.316100,
1373.400000,1991.019000,37.149200,-118.316210,
1376.100000,2030.586000,37.148860,-118.316340,
1382.400000,2110.293000,37.148170,-118.316580,
1386.700000,2180.708000,37.147560,-118.316790,
1392.300000,2314.038000,37.146410,-118.317210,
1392.700000,2380.998000,37.145830,-118.317410,
1392.900000,2400.252000,37.145660,-118.317450,
1393.000000,2510.826000,37.144700,-118.317770,
1397.100000,2597.685000,37.143950,-118.318040,
1399.200000,2619.296000,37.143760,-118.318090,
1400.500000,2647.180000,37.143520,-118.318180,
1403.100000,2682.099000,37.143230,-118.318330,
1406.700000,2729.001000,37.142840,-118.318530,
1410.000000,2771.814000,37.142490,-118.318730,
1410.800000,2807.251000,37.142210,-118.318920,
1413.500000,2843.185000,37.141950,-118.319160,
1416.000000,2870.795000,37.141760,-118.319360,
1419.000000,2941.204000,37.141320,-118.319930,
1419.700000,2975.237000,37.141140,-118.320240,
1420.500000,3009.361000,37.140970,-118.320560,
1422.500000,3036.021000,37.140850,-118.320820,
1427.500000,3074.943000,37.140690,-118.321210,
1430.400000,3153.289000,37.140410,-118.322020,
1436.300000,3209.755000,37.140220,-118.322610,
1446.900000,3334.267000,37.139780,-118.323900,
1449.500000,3380.938000,37.139650,-118.324400,
1450.700000,3409.529000,37.139580,-118.324710,
1454.300000,3441.650000,37.139550,-118.325070,
1458.200000,3487.397000,37.139490,-118.325580,
1459.700000,3519.557000,37.139390,-118.325920,
1460.500000,3531.099000,37.139350,-118.326040,
1463.700000,3554.901000,37.139240,-118.326270,
1468.300000,3583.351000,37.139080,-118.326520,
1471.000000,3661.329000,37.138600,-118.327160,
1479.700000,3730.030000,37.138210,-118.327760,
1490.100000,3855.717000,37.137540,-118.328900,
1495.400000,3900.935000,37.137310,-118.329320,
1499.100000,3937.512000,37.137150,-118.329680,
1499.500000,3979.979000,37.137000,-118.330120,
1500.300000,4024.967000,37.136870,-118.330600,
1509.100000,4142.320000,37.136550,-118.331860,
1509.500000,4162.117000,37.136490,-118.332070,
1510.400000,4190.872000,37.136360,-118.332350,
1511.700000,4206.833000,37.136270,-118.332490,
1516.900000,4237.392000,37.136090,-118.332750,
1518.800000,4262.157000,37.135920,-118.332930,
1520.400000,4302.895000,37.135630,-118.333210,
