alt,dst,lat,lon,mdata
1844.200000,0.000000,37.652423,-119.703207,E:\Dropbox\website\dev2\climbing\climbs\Glacier-Point-Road.tcx
1844.000000,1.193428,37.652420,-119.703220,
1844.900000,10.142441,37.652340,-119.703210,
1850.200000,66.923620,37.652630,-119.702680,
1852.100000,176.456823,37.653520,-119.702150,
1856.100000,241.239474,37.654080,-119.701950,
1856.300000,289.236216,37.654510,-119.701910,
1857.300000,321.055305,37.654770,-119.702060,
1863.700000,403.652516,37.655340,-119.702660,
1863.800000,441.273365,37.655650,-119.702830,
1867.500000,487.455446,37.656060,-119.702750,
1865.000000,523.467804,37.656380,-119.702810,
1865.400000,555.946661,37.656630,-119.703000,
1870.700000,581.534373,37.656780,-119.703220,
1876.700000,614.487119,37.656860,-119.703580,
1876.800000,678.975415,37.656900,-119.704310,
1884.200000,747.934943,37.657220,-119.704980,
1888.700000,851.957219,37.657490,-119.706110,
1890.600000,893.501216,37.657740,-119.706460,
1891.600000,937.754741,37.658070,-119.706740,
1892.200000,1033.341594,37.658880,-119.707100,
1898.500000,1117.985215,37.659640,-119.707070,
1899.200000,1169.575653,37.660090,-119.706930,
1910.700000,1338.336311,37.661460,-119.706110,
1914.800000,1400.719716,37.661990,-119.705880,
1921.500000,1574.948559,37.663550,-119.705720,
1921.200000,1610.917362,37.663840,-119.705540,
1920.300000,1649.086123,37.664120,-119.705290,
1921.900000,1740.966942,37.664550,-119.704400,
1932.700000,1919.047861,37.664970,-119.702450,
1933.500000,1970.927320,37.665050,-119.701870,
1943.700000,2137.844861,37.665150,-119.699980,
1944.600000,2171.112301,37.665240,-119.699620,
1946.600000,2195.304228,37.665370,-119.699400,
1951.200000,2227.894090,37.665630,-119.699230,
1956.000000,2261.600365,37.665920,-119.699120,
1958.000000,2292.782095,37.666200,-119.699110,
1963.500000,2390.996338,37.667000,-119.698640,
1963.100000,2425.770202,37.667300,-119.698530,
1968.200000,2483.763210,37.667820,-119.698490,
1974.500000,2526.758934,37.668190,-119.698630,
1978.900000,2656.316609,37.669230,-119.699290,
1977.100000,2727.405960,37.669780,-119.699700,
1986.700000,2781.443667,37.670230,-119.699930,
1986.400000,2903.261602,37.671200,-119.700570,
1985.700000,2939.755648,37.671520,-119.700660,
1999.100000,3062.773911,37.672610,-119.700430,
2000.300000,3112.898378,37.673060,-119.700410,
1997.900000,3155.428327,37.673440,-119.700460,
1997.700000,3193.644158,37.673780,-119.700400,
2002.300000,3241.555313,37.674170,-119.700170,
2003.400000,3270.847239,37.674360,-119.699940,
2003.000000,3329.982656,37.674520,-119.699300,
2004.000000,3367.138557,37.674490,-119.698880,
2030.400000,3815.145928,37.673640,-119.693910,
2032.600000,3853.049322,37.673630,-119.693480,
2033.800000,3872.938239,37.673670,-119.693260,
