alt,dst,lat,lon,mdata
557.800000,0.000000,41.914390,-123.462370,E:\Dropbox\website\dev2\climbing\climbs\Grayback-Indian-Ck-Rd-Happy-Camp.tcx
557.900000,2.723000,41.914400,-123.462400,
559.100000,23.376000,41.914500,-123.462610,
559.400000,44.172000,41.914590,-123.462830,
560.400000,69.900000,41.914690,-123.463110,
564.600000,91.966000,41.914790,-123.463340,
565.600000,112.762000,41.914880,-123.463560,
568.400000,164.743000,41.915130,-123.464090,
570.500000,220.124000,41.915390,-123.464660,
571.000000,244.714000,41.915520,-123.464900,
570.900000,264.655000,41.915630,-123.465090,
571.100000,302.607000,41.915850,-123.465440,
571.800000,323.987000,41.915980,-123.465630,
571.900000,338.609000,41.916060,-123.465770,
571.600000,347.913000,41.916110,-123.465860,
570.400000,363.881000,41.916190,-123.466020,
569.100000,378.547000,41.916260,-123.466170,
568.200000,391.411000,41.916310,-123.466310,
567.500000,401.115000,41.916340,-123.466420,
567.000000,406.208000,41.916350,-123.466480,
565.300000,420.977000,41.916390,-123.466650,
566.200000,477.531000,41.916520,-123.467310,
572.300000,539.708000,41.916650,-123.468040,
574.000000,556.863000,41.916690,-123.468240,
573.900000,568.931000,41.916720,-123.468380,
574.500000,578.310000,41.916740,-123.468490,
575.400000,588.015000,41.916770,-123.468600,
576.400000,600.437000,41.916810,-123.468740,
577.400000,614.544000,41.916870,-123.468890,
578.200000,623.948000,41.916910,-123.468990,
580.300000,638.614000,41.916980,-123.469140,
582.800000,650.604000,41.917050,-123.469250,
583.900000,659.258000,41.917100,-123.469330,
584.900000,676.123000,41.917210,-123.469470,
585.400000,689.998000,41.917310,-123.469570,
586.100000,701.612000,41.917390,-123.469660,
586.200000,714.100000,41.917480,-123.469750,
585.600000,731.201000,41.917610,-123.469860,
591.300000,768.686000,41.917900,-123.470090,
591.200000,775.164000,41.917950,-123.470130,
590.800000,784.406000,41.918020,-123.470190,
591.100000,797.406000,41.918110,-123.470290,
593.200000,856.861000,41.918520,-123.470750,
595.600000,893.623000,41.918770,-123.471040,
600.400000,914.942000,41.918920,-123.471200,
602.800000,940.421000,41.919100,-123.471390,
605.000000,957.071000,41.919220,-123.471510,
606.500000,963.549000,41.919270,-123.471550,
609.300000,970.026000,41.919320,-123.471590,
613.400000,980.653000,41.919400,-123.471660,
614.600000,990.155000,41.919480,-123.471700,
615.000000,997.281000,41.919540,-123.471730,
615.400000,1003.376000,41.919590,-123.471760,
615.000000,1014.782000,41.919690,-123.471790,
615.100000,1022.961000,41.919760,-123.471820,
615.000000,1054.665000,41.920040,-123.471890,
615.100000,1084.357000,41.920300,-123.471970,
615.000000,1092.323000,41.920370,-123.471990,
615.300000,1099.450000,41.920430,-123.472020,
615.200000,1106.331000,41.920490,-123.472040,
615.100000,1110.059000,41.920520,-123.472060,
615.100000,1113.787000,41.920550,-123.472080,
615.200000,1123.608000,41.920630,-123.472130,
615.100000,1128.708000,41.920670,-123.472160,
615.200000,1137.033000,41.920730,-123.472220,
614.900000,1144.892000,41.920790,-123.472270,
614.900000,1162.930000,41.920920,-123.472400,
616.200000,1174.030000,41.921000,-123.472480,
