alt,dst,lat,lon,mdata
114.800000,0.000000,38.294470,-122.526280,E:\Dropbox\website\dev2\climbing\climbs\Grove-St-El-Verano.tcx
114.900000,5.359000,38.294480,-122.526340,
118.300000,28.946000,38.294560,-122.526590,
131.000000,99.930000,38.294870,-122.527300,
149.300000,223.800000,38.295450,-122.528510,
152.600000,323.008000,38.295950,-122.529450,
156.600000,364.816000,38.296130,-122.529870,
161.100000,392.172000,38.296240,-122.530150,
169.400000,421.049000,38.296330,-122.530460,
174.600000,441.059000,38.296380,-122.530680,
179.600000,457.135000,38.296410,-122.530860,
181.700000,463.351000,38.296420,-122.530930,
183.300000,470.428000,38.296430,-122.531010,
185.900000,530.874000,38.296470,-122.531700,
191.200000,603.694000,38.296530,-122.532530,
203.800000,701.185000,38.296620,-122.533640,
206.900000,722.270000,38.296640,-122.533880,
211.100000,747.134000,38.296680,-122.534160,
217.900000,781.235000,38.296750,-122.534540,
220.900000,810.111000,38.296840,-122.534850,
226.800000,836.194000,38.296940,-122.535120,
236.600000,898.906000,38.297210,-122.535750,
245.700000,962.914000,38.297540,-122.536350,
246.500000,971.457000,38.297570,-122.536440,
247.700000,985.230000,38.297640,-122.536570,
249.900000,1009.359000,38.297760,-122.536800,
251.900000,1033.964000,38.297930,-122.536980,
253.100000,1049.465000,38.298050,-122.537070,
269.900000,1157.663000,38.298980,-122.537430,
270.500000,1162.446000,38.299020,-122.537450,
271.200000,1168.598000,38.299070,-122.537480,
272.200000,1177.138000,38.299140,-122.537520,
273.600000,1191.289000,38.299240,-122.537620,
275.500000,1204.918000,38.299340,-122.537710,
279.400000,1351.194000,38.300280,-122.538880,
279.400000,1356.028000,38.300310,-122.538920,
287.800000,1440.729000,38.300860,-122.539590,
289.500000,1510.863000,38.301340,-122.540110,
289.900000,1540.644000,38.301530,-122.540350,
291.300000,1555.145000,38.301620,-122.540470,
297.700000,1617.042000,38.301980,-122.541010,
299.000000,1628.039000,38.302040,-122.541110,
303.400000,1668.009000,38.302240,-122.541490,
308.000000,1705.682000,38.302400,-122.541870,
311.200000,1749.310000,38.302570,-122.542320,
312.500000,1776.553000,38.302660,-122.542610,
314.200000,1799.523000,38.302760,-122.542840,
321.600000,1879.371000,38.303170,-122.543590,
324.100000,1922.110000,38.303430,-122.543950,
326.400000,1962.812000,38.303680,-122.544290,
328.200000,1989.397000,38.303860,-122.544490,
330.700000,2029.999000,38.304100,-122.544840,
332.300000,2049.984000,38.304200,-122.545030,
335.800000,2089.204000,38.304360,-122.545430,
338.400000,2119.647000,38.304420,-122.545770,
339.100000,2129.320000,38.304430,-122.545880,
339.700000,2135.535000,38.304420,-122.545950,
340.200000,2140.043000,38.304410,-122.546000,
340.700000,2144.550000,38.304400,-122.546050,
341.100000,2149.383000,38.304370,-122.546090,
342.100000,2155.598000,38.304340,-122.546150,
343.200000,2162.673000,38.304290,-122.546200,
346.100000,2173.993000,38.304210,-122.546280,
351.600000,2199.395000,38.304010,-122.546420,
354.000000,2213.082000,38.303900,-122.546490,
355.600000,2231.477000,38.303770,-122.546620,
357.000000,2249.412000,38.303660,-122.546770,
358.500000,2265.906000,38.303570,-122.546920,
361.800000,2290.419000,38.303470,-122.547170,
363.700000,2307.616000,38.303380,-122.547330,
365.000000,2326.864000,38.303270,-122.547500,
365.800000,2345.576000,38.303150,-122.547650,
366.300000,2355.243000,38.303090,-122.547730,
366.600000,2370.534000,38.302990,-122.547850,
366.700000,2402.214000,38.302800,-122.548120,
366.700000,2418.787000,38.302720,-122.548280,
368.600000,2440.997000,38.302620,-122.548500,
377.500000,2533.469000,38.302270,-122.549460,
384.800000,2583.545000,38.302050,-122.549960,
388.700000,2609.020000,38.301920,-122.550200,
393.100000,2635.871000,38.301760,-122.550430,
396.200000,2660.217000,38.301600,-122.550620,
398.800000,2678.085000,38.301500,-122.550780,
402.700000,2696.730000,38.301410,-122.550960,
404.900000,2709.905000,38.301350,-122.551090,
407.000000,2723.745000,38.301310,-122.551240,
410.200000,2741.358000,38.301290,-122.551440,
412.400000,2757.122000,38.301300,-122.551620,
414.400000,2770.414000,38.301320,-122.551770,
415.400000,2776.629000,38.301330,-122.551840,
421.000000,2803.205000,38.301440,-122.552110,
425.900000,2825.183000,38.301520,-122.552340,
428.100000,2839.118000,38.301580,-122.552480,
429.200000,2850.987000,38.301630,-122.552600,
429.600000,2857.202000,38.301660,-122.552660,
430.000000,2862.700000,38.301690,-122.552710,
430.600000,2870.969000,38.301740,-122.552780,
431.500000,2889.681000,38.301860,-122.552930,
431.400000,2894.219000,38.301900,-122.552940,
