alt,dst,lat,lon,mdata
1163.700000,0.000000,37.946440,-119.787400,E:\Dropbox\website\dev2\climbing\climbs\Hetch-Hetchy-Road.tcx
1165.100000,17.618000,37.946370,-119.787580,
1166.200000,39.375000,37.946280,-119.787800,
1169.600000,56.753000,37.946200,-119.787970,
1169.900000,73.996000,37.946100,-119.788120,
1170.300000,82.502000,37.946040,-119.788180,
1171.700000,92.430000,37.945960,-119.788230,
1173.200000,106.790000,37.945840,-119.788290,
1174.400000,118.229000,37.945740,-119.788320,
1175.400000,128.286000,37.945650,-119.788330,
1176.000000,140.562000,37.945540,-119.788340,
1177.600000,153.301000,37.945430,-119.788300,
1178.800000,165.671000,37.945320,-119.788280,
1179.800000,175.843000,37.945230,-119.788260,
1181.000000,192.633000,37.945080,-119.788240,
1181.800000,220.587000,37.944830,-119.788210,
1186.500000,264.222000,37.944440,-119.788160,
1186.900000,285.391000,37.944250,-119.788150,
1185.800000,292.571000,37.944190,-119.788180,
1185.900000,324.149000,37.943940,-119.788350,
1188.600000,340.637000,37.943810,-119.788440,
1189.600000,350.566000,37.943730,-119.788490,
1190.800000,360.925000,37.943640,-119.788520,
1191.800000,372.194000,37.943540,-119.788540,
1191.600000,384.564000,37.943430,-119.788560,
1191.200000,400.174000,37.943290,-119.788550,
1190.600000,410.193000,37.943200,-119.788550,
1191.600000,419.765000,37.943120,-119.788510,
1192.800000,430.703000,37.943030,-119.788460,
1194.100000,444.820000,37.942920,-119.788380,
1194.200000,463.292000,37.942770,-119.788290,
1192.100000,475.663000,37.942660,-119.788270,
1188.800000,501.281000,37.942430,-119.788260,
1189.300000,516.890000,37.942290,-119.788270,
1190.600000,527.249000,37.942200,-119.788240,
1192.600000,537.596000,37.942120,-119.788180,
1195.400000,554.335000,37.942010,-119.788050,
1197.600000,572.954000,37.941910,-119.787880,
1197.600000,592.338000,37.941790,-119.787720,
1197.500000,594.417000,37.941780,-119.787700,
1197.400000,598.100000,37.941770,-119.787660,
1197.400000,601.784000,37.941760,-119.787620,
1198.200000,606.313000,37.941770,-119.787570,
1198.700000,608.392000,37.941780,-119.787550,
