alt,dst,lat,lon,mdata
197.800000,0.000000,37.181140,-121.873510,E:\Dropbox\website\dev2\climbing\climbs\Hicks-Rd-North---Mt-Umumhum-Almaden.tcx
198.100000,2.661000,37.181140,-121.873480,
199.000000,8.968000,37.181130,-121.873410,
199.600000,13.930000,37.181150,-121.873360,
200.400000,21.570000,37.181190,-121.873290,
201.700000,38.112000,37.181310,-121.873180,
202.100000,56.974000,37.181470,-121.873110,
202.500000,67.602000,37.181560,-121.873070,
203.000000,74.513000,37.181620,-121.873050,
203.700000,80.354000,37.181670,-121.873030,
205.200000,87.092000,37.181730,-121.873020,
206.900000,92.934000,37.181780,-121.873000,
208.800000,98.776000,37.181830,-121.872980,
210.000000,102.557000,37.181860,-121.872960,
210.400000,106.827000,37.181890,-121.872930,
211.100000,111.699000,37.181920,-121.872890,
211.800000,116.571000,37.181950,-121.872850,
213.100000,126.495000,37.181990,-121.872750,
214.000000,134.782000,37.182010,-121.872660,
216.100000,158.268000,37.182050,-121.872400,
229.900000,280.585000,37.182310,-121.871060,
236.900000,315.237000,37.182410,-121.870690,
250.000000,380.537000,37.182670,-121.870030,
251.400000,395.780000,37.182720,-121.869870,
252.000000,402.375000,37.182740,-121.869800,
252.900000,408.682000,37.182750,-121.869730,
253.700000,413.117000,37.182750,-121.869680,
254.400000,416.001000,37.182740,-121.869650,
256.200000,423.437000,37.182720,-121.869570,
257.800000,429.719000,37.182690,-121.869510,
260.000000,444.140000,37.182640,-121.869360,
262.600000,463.602000,37.182540,-121.869180,
265.500000,479.611000,37.182460,-121.869030,
268.700000,490.766000,37.182390,-121.868940,
271.800000,501.622000,37.182310,-121.868870,
273.800000,509.960000,37.182260,-121.868800,
274.800000,517.010000,37.182230,-121.868730,
276.000000,527.734000,37.182190,-121.868620,
276.300000,541.084000,37.182180,-121.868470,
277.400000,557.971000,37.182170,-121.868280,
283.600000,589.919000,37.182160,-121.867920,
286.100000,617.435000,37.182150,-121.867610,
287.500000,634.614000,37.182120,-121.867420,
289.000000,645.487000,37.182100,-121.867300,
293.000000,660.730000,37.182050,-121.867140,
