alt,dst,lat,lon,mdata
184.200000,0.000000,37.160950,-121.842940,E:\Dropbox\website\dev2\climbing\climbs\Hicks-Rd-South---Mt-Umunhum-Almaden.tcx
184.400000,2.885000,37.160960,-121.842970,
184.400000,7.758000,37.160990,-121.843010,
184.200000,12.631000,37.161020,-121.843050,
184.500000,17.504000,37.161050,-121.843090,
184.100000,28.891000,37.161130,-121.843170,
183.500000,38.328000,37.161200,-121.843230,
183.300000,44.929000,37.161250,-121.843270,
182.900000,50.116000,37.161290,-121.843300,
182.800000,54.387000,37.161320,-121.843330,
182.900000,60.672000,37.161360,-121.843380,
182.800000,64.142000,37.161380,-121.843410,
183.000000,68.331000,37.161400,-121.843450,
183.400000,71.216000,37.161410,-121.843480,
183.800000,75.405000,37.161430,-121.843520,
184.400000,79.124000,37.161440,-121.843560,
185.000000,84.894000,37.161460,-121.843620,
187.500000,105.778000,37.161500,-121.843850,
190.800000,150.651000,37.161600,-121.844340,
191.300000,158.089000,37.161620,-121.844420,
191.500000,165.932000,37.161650,-121.844500,
191.800000,169.651000,37.161660,-121.844540,
191.800000,174.524000,37.161690,-121.844580,
192.100000,178.713000,37.161710,-121.844620,
192.000000,182.495000,37.161740,-121.844640,
192.000000,187.683000,37.161780,-121.844670,
192.000000,192.476000,37.161820,-121.844690,
192.000000,206.097000,37.161940,-121.844720,
191.400000,210.637000,37.161980,-121.844730,
190.800000,217.548000,37.162040,-121.844750,
190.700000,222.341000,37.162080,-121.844770,
190.600000,227.528000,37.162120,-121.844800,
190.900000,232.716000,37.162160,-121.844830,
191.700000,238.268000,37.162190,-121.844880,
192.100000,245.208000,37.162230,-121.844940,
193.100000,253.862000,37.162260,-121.845030,
193.800000,261.300000,37.162280,-121.845110,
194.700000,275.332000,37.162320,-121.845260,
196.100000,291.057000,37.162360,-121.845430,
198.200000,312.609000,37.162390,-121.845670,
198.100000,333.237000,37.162450,-121.845890,
198.600000,360.021000,37.162540,-121.846170,
201.100000,405.229000,37.162770,-121.846590,
200.500000,444.793000,37.163000,-121.846930,
200.300000,453.812000,37.163050,-121.847010,
200.800000,465.637000,37.163110,-121.847120,
201.600000,486.790000,37.163200,-121.847330,
202.000000,495.444000,37.163230,-121.847420,
202.400000,504.923000,37.163260,-121.847520,
202.800000,556.704000,37.163500,-121.848020,
203.100000,595.920000,37.163680,-121.848400,
203.500000,613.434000,37.163760,-121.848570,
204.400000,648.969000,37.163900,-121.848930,
205.600000,688.186000,37.164050,-121.849330,
205.900000,703.873000,37.164110,-121.849490,
206.600000,723.481000,37.164200,-121.849680,
206.600000,738.757000,37.164290,-121.849810,
