alt,dst,lat,lon,mdata
139.900000,0.000000,37.259334,-122.032088,E:\Dropbox\website\dev2\climbing\climbs\Highway-9-east.tcx
140.400000,8.784297,37.259270,-122.032030,
143.700000,49.703835,37.259050,-122.032400,
146.500000,126.300223,37.258440,-122.032800,
147.300000,235.248170,37.257690,-122.033590,
147.300000,236.134180,37.257690,-122.033580,
154.300000,475.351583,37.256110,-122.035410,
154.800000,490.745272,37.256010,-122.035530,
153.700000,705.435593,37.255540,-122.037880,
154.200000,733.246062,37.255370,-122.038110,
155.600000,761.964296,37.255120,-122.038190,
157.300000,803.190372,37.254750,-122.038170,
156.900000,838.516677,37.254450,-122.038300,
156.200000,862.794294,37.254320,-122.038520,
157.100000,927.208467,37.254240,-122.039240,
156.500000,1000.885344,37.254200,-122.040070,
155.100000,1035.165928,37.254110,-122.040440,
155.100000,1110.874294,37.253720,-122.041140,
154.200000,1129.812337,37.253660,-122.041340,
154.600000,1149.305595,37.253660,-122.041560,
154.500000,1211.879954,37.253860,-122.042220,
154.400000,1225.170776,37.253860,-122.042370,
154.400000,1248.076448,37.253740,-122.042580,
157.200000,1277.868175,37.253490,-122.042700,
160.700000,1325.472004,37.253090,-122.042890,
162.100000,1360.845736,37.252900,-122.043210,
168.900000,1485.454450,37.252730,-122.044600,
170.000000,1544.577767,37.252610,-122.045250,
170.500000,1636.012466,37.252660,-122.046280,
170.500000,1657.458646,37.252600,-122.046510,
174.400000,1775.446566,37.251980,-122.047590,
176.900000,1796.440009,37.251910,-122.047810,
180.600000,1849.616332,37.251900,-122.048410,
181.900000,1923.714326,37.252140,-122.049190,
184.100000,1977.164833,37.252040,-122.049780,
193.900000,2150.125241,37.252110,-122.051730,
194.200000,2167.624121,37.252030,-122.051900,
193.900000,2218.171775,37.251630,-122.052170,
200.300000,2257.351405,37.251480,-122.052570,
199.800000,2282.100391,37.251310,-122.052750,
198.500000,2312.941133,37.251060,-122.052900,
199.000000,2325.497912,37.251000,-122.053020,
200.600000,2352.080566,37.251000,-122.053320,
203.600000,2401.664355,37.251200,-122.053820,
208.400000,2472.498316,37.251690,-122.054330,
210.800000,2491.436792,37.251750,-122.054530,
212.400000,2601.873071,37.251850,-122.055770,
219.200000,2724.847653,37.252330,-122.057020,
223.100000,2770.812331,37.252440,-122.057520,
225.600000,2801.020913,37.252460,-122.057860,
226.800000,2839.268063,37.252430,-122.058290,
227.100000,2852.061248,37.252380,-122.058420,
224.300000,2934.004524,37.252090,-122.059270,
224.200000,2962.880418,37.252170,-122.059580,
230.300000,3016.286270,37.252480,-122.060040,
231.800000,3060.214474,37.252540,-122.060530,
232.500000,3104.741205,37.252500,-122.061030,
229.200000,3138.508327,37.252380,-122.061380,
230.600000,3201.110867,37.251940,-122.061820,
234.100000,3216.517858,37.251870,-122.061970,
236.600000,3246.829056,37.251840,-122.062310,
235.200000,3342.583779,37.251870,-122.063390,
234.700000,3360.315488,37.251820,-122.063580,
241.800000,3460.840118,37.251260,-122.064470,
247.200000,3511.944584,37.251190,-122.065040,
250.800000,3566.406931,37.251250,-122.065650,
256.800000,3618.294296,37.251410,-122.066200,
261.000000,3679.737230,37.251700,-122.066790,
259.100000,3693.441562,37.251730,-122.066940,
257.800000,3711.173301,37.251680,-122.067130,
258.000000,3735.451493,37.251550,-122.067350,
260.200000,3774.210766,37.251270,-122.067610,
273.000000,3923.484797,37.249980,-122.068070,
272.900000,3975.179810,37.249520,-122.068150,
272.800000,4053.183571,37.248820,-122.068110,
265.700000,4110.044535,37.248510,-122.068620,
269.600000,4173.714786,37.248250,-122.069260,
272.100000,4195.697985,37.248200,-122.069500,
277.000000,4269.456345,37.248250,-122.070330,
288.100000,4410.591949,37.248090,-122.071910,
287.300000,4464.500014,37.248010,-122.072510,
305.700000,4605.775278,37.247580,-122.074010,
306.600000,4629.804120,37.247560,-122.074280,
306.100000,4650.665820,37.247600,-122.074510,
308.500000,4682.501185,37.247730,-122.074830,
321.000000,4753.922849,37.248120,-122.075470,
321.000000,4797.005376,37.248340,-122.075870,
328.000000,4885.527831,37.248560,-122.076830,
331.600000,4985.113759,37.248700,-122.077940,
334.400000,5091.918492,37.248790,-122.079140,
341.400000,5150.357160,37.249150,-122.079620,
346.500000,5222.032709,37.249410,-122.080360,
347.500000,5260.371168,37.249520,-122.080770,
357.400000,5360.655677,37.249570,-122.081900,
358.300000,5391.514730,37.249630,-122.082240,
358.200000,5426.543520,37.249760,-122.082600,
359.800000,5530.210895,37.250230,-122.083610,
375.900000,5688.410980,37.251160,-122.084960,
381.000000,5794.825379,37.251880,-122.085750,
402.700000,6153.754674,37.254020,-122.088780,
403.500000,6237.948217,37.254540,-122.089470,
435.400000,6585.332114,37.257090,-122.091730,
437.900000,6615.560853,37.257310,-122.091930,
443.300000,6689.093099,37.257740,-122.092560,
450.100000,6762.177300,37.257900,-122.093360,
450.800000,6806.102416,37.257960,-122.093850,
460.300000,6915.223237,37.258010,-122.095080,
460.600000,6945.787587,37.258090,-122.095410,
462.800000,6997.638375,37.258430,-122.095810,
467.000000,7033.461637,37.258700,-122.096030,
466.800000,7064.643503,37.258980,-122.096020,
469.500000,7095.183223,37.259240,-122.095910,
469.500000,7126.553327,37.259520,-122.095870,
470.000000,7153.646279,37.259750,-122.095970,
481.000000,7245.985141,37.260230,-122.096820,
491.600000,7416.212332,37.261000,-122.098480,
494.800000,7470.306423,37.261090,-122.099080,
496.200000,7508.586034,37.261220,-122.099480,
504.700000,7560.549554,37.261330,-122.100050,
505.300000,7574.768669,37.261320,-122.100210,
508.400000,7591.435007,37.261220,-122.100350,
510.900000,7627.736713,37.261120,-122.100740,
510.600000,7640.338511,37.261140,-122.100880,
509.700000,7666.796221,37.261270,-122.101130,
512.400000,7698.201011,37.261470,-122.101380,
514.000000,7748.202923,37.261860,-122.101660,
515.100000,7777.375301,37.262010,-122.101930,
515.400000,7801.692536,37.262080,-122.102190,
516.200000,7830.096845,37.261990,-122.102490,
518.800000,7866.542290,37.261730,-122.102740,
522.600000,7885.487221,37.261560,-122.102730,
525.900000,7903.414139,37.261420,-122.102630,
528.500000,7932.710412,37.261280,-122.102350,
532.000000,8026.901952,37.260870,-122.101420,
534.200000,8090.735881,37.260640,-122.100760,
541.500000,8192.081748,37.260340,-122.099680,
544.800000,8249.998759,37.260100,-122.099100,
548.300000,8261.380576,37.260020,-122.099020,
551.300000,8298.381934,37.259690,-122.098970,
551.400000,8332.789275,37.259430,-122.099180,
552.800000,8358.373725,37.259330,-122.099440,
554.100000,8385.929522,37.259310,-122.099750,
556.400000,8410.295414,37.259430,-122.099980,
557.200000,8471.068628,37.259820,-122.100460,
557.000000,8502.899897,37.259950,-122.100780,
564.400000,8566.285474,37.260020,-122.101490,
573.000000,8681.468556,37.260030,-122.102790,
576.500000,8711.185767,37.259950,-122.103110,
578.600000,8758.733225,37.259730,-122.103570,
581.100000,8812.833869,37.259440,-122.104060,
585.800000,8836.478742,37.259270,-122.104220,
590.900000,8876.105961,37.259070,-122.104590,
590.300000,8900.938746,37.259060,-122.104870,
590.800000,8939.101476,37.259040,-122.105300,
599.500000,9037.375663,37.258780,-122.106360,
601.400000,9086.390562,37.258460,-122.106740,
605.400000,9128.812131,37.258140,-122.107000,
618.400000,9204.215709,37.257530,-122.107370,
616.700000,9249.081317,37.257380,-122.107840,
612.200000,9279.937344,37.257320,-122.108180,
598.300000,9319.917845,37.257170,-122.108590,
603.100000,9351.976904,37.256930,-122.108790,
617.800000,9384.368613,37.256640,-122.108760,
628.300000,9431.954667,37.256220,-122.108860,
631.700000,9469.823653,37.255950,-122.109120,
633.700000,9486.382132,37.255910,-122.109300,
636.600000,9507.907502,37.255940,-122.109540,
634.400000,9525.834738,37.256080,-122.109640,
640.800000,9556.357353,37.256350,-122.109700,
639.100000,9615.780605,37.256880,-122.109620,
644.100000,9660.855191,37.257140,-122.110010,
650.100000,9718.956431,37.257310,-122.110630,
650.900000,9732.158534,37.257390,-122.110740,
651.800000,9750.662693,37.257540,-122.110830,
652.100000,9764.282836,37.257660,-122.110860,
654.100000,9790.266600,37.257890,-122.110810,
655.300000,9801.118949,37.257970,-122.110740,
655.700000,9828.857841,37.258120,-122.110490,
659.200000,9860.199289,37.258240,-122.110170,
659.600000,9861.312477,37.258250,-122.110170,
662.900000,9918.413968,37.258530,-122.109630,
662.100000,9933.141761,37.258650,-122.109560,
662.200000,9945.418845,37.258760,-122.109550,
667.200000,9974.173166,37.259000,-122.109670,
670.600000,9998.918407,37.259220,-122.109710,
673.400000,10010.363217,37.259320,-122.109680,
676.700000,10062.823167,37.259660,-122.109270,
676.400000,10084.077230,37.259840,-122.109190,
677.300000,10138.688184,37.260330,-122.109220,
684.400000,10185.638074,37.260660,-122.109550,
686.700000,10231.762524,37.260680,-122.110070,
690.400000,10358.584660,37.260170,-122.111350,
699.100000,10394.909865,37.260170,-122.111760,
701.000000,10424.145486,37.260260,-122.112070,
701.400000,10469.600519,37.260470,-122.112510,
704.400000,10486.580676,37.260450,-122.112700,
707.400000,10507.062286,37.260310,-122.112850,
705.500000,10524.895324,37.260150,-122.112840,
705.800000,10535.266762,37.260070,-122.112780,
713.400000,10567.699888,37.259850,-122.112540,
715.700000,10585.512270,37.259700,-122.112470,
715.700000,10609.039847,37.259490,-122.112500,
