alt,dst,lat,lon,mdata
228.500000,0.000000,32.670220,-116.824700,E:\Dropbox\website\dev2\climbing\climbs\Honey-Springs-Road.tcx
229.000000,11.228000,32.670260,-116.824590,
229.400000,20.765000,32.670300,-116.824500,
230.000000,35.016000,32.670350,-116.824360,
230.300000,45.852000,32.670380,-116.824250,
230.800000,60.299000,32.670410,-116.824100,
231.000000,70.844000,32.670430,-116.823990,
231.200000,82.307000,32.670450,-116.823870,
231.200000,99.211000,32.670460,-116.823690,
231.700000,117.986000,32.670470,-116.823490,
232.500000,133.916000,32.670470,-116.823320,
233.400000,144.284000,32.670460,-116.823210,
234.500000,158.515000,32.670440,-116.823060,
235.100000,172.962000,32.670410,-116.822910,
235.800000,192.513000,32.670360,-116.822710,
236.000000,205.906000,32.670310,-116.822580,
236.200000,224.980000,32.670230,-116.822400,
236.400000,236.695000,32.670180,-116.822290,
236.700000,260.673000,32.670070,-116.822070,
236.700000,271.431000,32.670010,-116.821980,
236.200000,367.072000,32.669510,-116.821150,
236.500000,395.209000,32.669370,-116.820900,
236.500000,433.314000,32.669170,-116.820570,
236.400000,445.597000,32.669110,-116.820460,
236.300000,457.311000,32.669060,-116.820350,
236.300000,470.992000,32.668990,-116.820230,
237.700000,494.422000,32.668890,-116.820010,
238.500000,509.143000,32.668830,-116.819870,
238.900000,519.518000,32.668790,-116.819770,
239.300000,537.252000,32.668720,-116.819600,
239.900000,567.097000,32.668630,-116.819300,
240.600000,620.246000,32.668460,-116.818770,
241.700000,784.206000,32.667970,-116.817120,
242.000000,811.029000,32.667890,-116.816850,
242.300000,840.607000,32.667840,-116.816540,
242.400000,864.271000,32.667810,-116.816290,
242.500000,883.982000,32.667800,-116.816080,
242.600000,902.724000,32.667800,-116.815880,
243.500000,929.057000,32.667820,-116.815600,
244.800000,942.364000,32.667840,-116.815460,
247.600000,970.348000,32.667900,-116.815170,
248.900000,985.989000,32.667940,-116.815010,
251.200000,1011.930000,32.668020,-116.814750,
252.300000,1025.324000,32.668070,-116.814620,
254.100000,1051.758000,32.668180,-116.814370,
254.800000,1062.657000,32.668230,-116.814270,
255.700000,1082.092000,32.668330,-116.814100,
256.800000,1097.182000,32.668410,-116.813970,
259.600000,1119.407000,32.668540,-116.813790,
261.100000,1134.578000,32.668640,-116.813680,
261.900000,1148.953000,32.668730,-116.813570,
263.000000,1168.734000,32.668870,-116.813440,
263.100000,1181.247000,32.668960,-116.813360,
262.600000,1200.870000,32.669110,-116.813250,
262.500000,1220.018000,32.669260,-116.813150,
262.800000,1234.375000,32.669370,-116.813070,
264.100000,1277.212000,32.669720,-116.812880,
264.800000,1330.100000,32.670150,-116.812640,
266.300000,1391.240000,32.670650,-116.812370,
269.400000,1443.735000,32.671080,-116.812140,
270.100000,1486.970000,32.671430,-116.811940,
270.000000,1509.476000,32.671600,-116.811810,
269.900000,1528.161000,32.671740,-116.811700,
272.100000,1556.420000,32.671930,-116.811500,
275.900000,1581.770000,32.672100,-116.811320,
278.700000,1601.850000,32.672220,-116.811160,
280.400000,1636.372000,32.672400,-116.810860,
282.700000,1664.709000,32.672530,-116.810600,
285.200000,1686.309000,32.672610,-116.810390,
287.400000,1706.605000,32.672680,-116.810190,
289.100000,1727.386000,32.672740,-116.809980,
289.700000,1740.017000,32.672770,-116.809850,
290.000000,1757.211000,32.672800,-116.809670,
289.900000,1781.676000,32.672820,-116.809410,
291.500000,1815.483000,32.672840,-116.809050,
303.300000,1896.345000,32.672900,-116.808190,
304.300000,1944.251000,32.672930,-116.807680,
304.600000,1962.054000,32.672930,-116.807490,
305.500000,1973.299000,32.672930,-116.807370,
309.200000,1994.966000,32.672910,-116.807140,
