alt,dst,lat,lon,mdata
266.000000,0.000000,38.970780,-123.031710,E:\Dropbox\website\dev2\climbing\climbs\Hopland-Grade-Hopland.tcx
266.500000,6.735000,38.970840,-123.031700,
267.100000,13.414000,38.970900,-123.031700,
267.600000,33.320000,38.970900,-123.031470,
268.000000,50.665000,38.970910,-123.031270,
268.100000,66.243000,38.970910,-123.031090,
268.200000,81.861000,38.970920,-123.030910,
268.400000,97.479000,38.970930,-123.030730,
269.000000,108.785000,38.970940,-123.030600,
269.900000,121.957000,38.970960,-123.030450,
270.600000,137.044000,38.970990,-123.030280,
274.800000,153.824000,38.971020,-123.030090,
277.400000,225.902000,38.971200,-123.029290,
278.300000,276.482000,38.971330,-123.028730,
278.000000,301.619000,38.971390,-123.028450,
277.500000,316.706000,38.971420,-123.028280,
277.000000,329.877000,38.971440,-123.028130,
276.600000,374.698000,38.971510,-123.027620,
277.100000,415.065000,38.971570,-123.027160,
279.500000,463.299000,38.971640,-123.026610,
280.000000,479.893000,38.971660,-123.026420,
280.200000,486.905000,38.971670,-123.026340,
280.300000,492.964000,38.971670,-123.026270,
280.600000,498.274000,38.971680,-123.026210,
280.600000,503.467000,38.971680,-123.026150,
280.600000,510.480000,38.971670,-123.026070,
281.200000,517.492000,38.971660,-123.025990,
282.800000,524.505000,38.971650,-123.025910,
285.600000,534.282000,38.971630,-123.025800,
287.700000,546.018000,38.971600,-123.025670,
288.500000,554.119000,38.971580,-123.025580,
289.200000,561.131000,38.971570,-123.025500,
289.800000,567.190000,38.971570,-123.025430,
290.100000,571.517000,38.971570,-123.025380,
290.300000,576.710000,38.971570,-123.025320,
290.800000,582.869000,38.971580,-123.025250,
291.500000,593.491000,38.971600,-123.025130,
291.800000,602.217000,38.971610,-123.025030,
292.100000,611.801000,38.971620,-123.024920,
291.500000,623.107000,38.971610,-123.024790,
290.300000,638.725000,38.971600,-123.024610,
289.600000,648.245000,38.971600,-123.024500,
289.000000,656.900000,38.971600,-123.024400,
288.700000,664.768000,38.971610,-123.024310,
288.700000,672.869000,38.971630,-123.024220,
288.600000,680.970000,38.971650,-123.024130,
288.600000,715.690000,38.971750,-123.023750,
289.700000,750.783000,38.971860,-123.023370,
290.100000,789.539000,38.972000,-123.022960,
292.200000,831.119000,38.972150,-123.022520,
291.800000,866.731000,38.972290,-123.022150,
291.400000,882.889000,38.972350,-123.021980,
291.500000,895.798000,38.972390,-123.021840,
292.000000,907.534000,38.972420,-123.021710,
292.500000,918.155000,38.972440,-123.021590,
292.900000,926.023000,38.972450,-123.021500,
293.100000,933.891000,38.972460,-123.021410,
292.800000,939.202000,38.972450,-123.021350,
292.500000,943.670000,38.972440,-123.021300,
292.100000,948.138000,38.972430,-123.021250,
291.800000,950.196000,38.972420,-123.021230,
291.300000,953.616000,38.972400,-123.021200,
290.900000,957.036000,38.972380,-123.021170,
290.500000,959.857000,38.972360,-123.021150,
289.800000,964.634000,38.972320,-123.021130,
289.200000,968.084000,38.972290,-123.021120,
288.900000,970.310000,38.972270,-123.021120,
288.600000,972.536000,38.972250,-123.021120,
288.200000,975.876000,38.972220,-123.021120,
288.600000,980.653000,38.972180,-123.021140,
288.800000,984.415000,38.972150,-123.021160,
288.700000,987.835000,38.972130,-123.021190,
288.800000,991.255000,38.972110,-123.021220,
288.700000,998.173000,38.972080,-123.021290,
