alt,dst,lat,lon,mdata
1163.500000,0.000000,36.542240,-118.051450,E:\Dropbox\website\dev2\climbing\climbs\Horseshoe-Meadows-Rd-Lone-Pine.tcx
1165.100000,25.960000,36.542230,-118.051740,
1169.500000,103.777000,36.542220,-118.052610,
1170.900000,132.483000,36.542240,-118.052930,
1174.100000,183.571000,36.542270,-118.053500,
1176.800000,221.544000,36.542320,-118.053920,
1178.800000,247.197000,36.542370,-118.054200,
1183.200000,284.468000,36.542430,-118.054610,
1184.000000,297.930000,36.542440,-118.054760,
1184.700000,312.283000,36.542430,-118.054920,
1185.400000,331.196000,36.542410,-118.055130,
1188.900000,400.059000,36.542270,-118.055880,
1190.700000,429.761000,36.542240,-118.056210,
1190.800000,434.233000,36.542240,-118.056260,
1191.800000,453.047000,36.542230,-118.056470,
1192.400000,471.862000,36.542240,-118.056680,
1194.300000,518.845000,36.542300,-118.057200,
1195.200000,537.578000,36.542350,-118.057400,
1197.100000,588.215000,36.542510,-118.057930,
1198.900000,618.740000,36.542580,-118.058260,
1199.800000,633.222000,36.542600,-118.058420,
1201.500000,650.251000,36.542590,-118.058610,
1202.700000,659.263000,36.542580,-118.058710,
1204.300000,691.808000,36.542500,-118.059060,
1206.400000,726.382000,36.542410,-118.059430,
1208.300000,753.354000,36.542320,-118.059710,
1210.000000,777.855000,36.542230,-118.059960,
1210.700000,789.158000,36.542180,-118.060070,
1213.700000,830.294000,36.541950,-118.060430,
1214.600000,843.703000,36.541890,-118.060560,
1216.200000,865.783000,36.541800,-118.060780,
1216.900000,878.741000,36.541770,-118.060920,
1217.400000,891.312000,36.541760,-118.061060,
1217.700000,904.773000,36.541770,-118.061210,
1217.700000,911.418000,36.541790,-118.061280,
1217.700000,917.228000,36.541810,-118.061340,
1217.900000,930.636000,36.541870,-118.061470,
1218.200000,962.070000,36.542060,-118.061730,
1218.700000,977.777000,36.542170,-118.061840,
1220.600000,994.060000,36.542280,-118.061960,
1222.900000,1012.369000,36.542400,-118.062100,
1225.100000,1051.798000,36.542680,-118.062370,
1225.300000,1063.611000,36.542770,-118.062440,
1225.900000,1101.496000,36.543070,-118.062640,
1226.500000,1115.233000,36.543170,-118.062730,
1227.600000,1135.471000,36.543290,-118.062900,
1228.100000,1146.005000,36.543340,-118.063000,
1228.800000,1156.539000,36.543390,-118.063100,
1232.600000,1220.083000,36.543580,-118.063770,
1233.000000,1230.074000,36.543620,-118.063870,
1234.200000,1254.013000,36.543730,-118.064100,
1235.000000,1276.332000,36.543860,-118.064290,
1235.700000,1305.048000,36.544040,-118.064520,
1236.500000,1314.113000,36.544090,-118.064600,
1238.200000,1326.663000,36.544160,-118.064710,
1240.100000,1339.925000,36.544230,-118.064830,
1241.500000,1352.815000,36.544280,-118.064960,
1242.500000,1365.265000,36.544320,-118.065090,
1245.000000,1395.790000,36.544390,-118.065420,
1248.300000,1430.828000,36.544420,-118.065810,
1252.600000,1469.541000,36.544460,-118.066240,
1258.600000,1537.833000,36.544640,-118.066970,
1260.200000,1556.745000,36.544660,-118.067180,
1261.200000,1568.371000,36.544660,-118.067310,
1264.200000,1600.378000,36.544600,-118.067660,
1266.000000,1619.110000,36.544550,-118.067860,
1267.100000,1630.350000,36.544520,-118.067980,
1268.100000,1641.310000,36.544500,-118.068100,
1272.200000,1683.344000,36.544500,-118.068570,
1274.000000,1699.480000,36.544490,-118.068750,
1275.600000,1714.724000,36.544480,-118.068920,
1278.400000,1746.997000,36.544500,-118.069280,
1283.900000,1813.047000,36.544590,-118.070010,
1284.600000,1826.872000,36.544620,-118.070160,
1287.600000,1900.096000,36.544820,-118.070940,
1288.700000,1939.962000,36.544940,-118.071360,
1289.700000,1972.828000,36.545030,-118.071710,
1290.600000,1992.129000,36.545070,-118.071920,
1291.400000,2001.967000,36.545070,-118.072030,
1297.000000,2066.445000,36.545040,-118.072750,
1297.600000,2077.234000,36.545050,-118.072870,
1297.800000,2087.623000,36.545080,-118.072980,
1298.000000,2098.926000,36.545130,-118.073090,
1298.200000,2109.385000,36.545190,-118.073180,
1299.600000,2145.308000,36.545460,-118.073400,
1301.700000,2172.782000,36.545660,-118.073580,
1302.200000,2186.212000,36.545750,-118.073680,
1302.600000,2213.511000,36.545920,-118.073900,
1303.000000,2232.471000,36.546010,-118.074080,
1304.900000,2382.841000,36.546680,-118.075540,
1305.400000,2398.683000,36.546720,-118.075710,
1305.900000,2414.048000,36.546740,-118.075880,
1308.100000,2477.544000,36.546740,-118.076590,
1311.400000,2560.744000,36.546760,-118.077520,
1318.400000,2666.271000,36.546760,-118.078700,
1320.900000,2705.637000,36.546770,-118.079140,
1325.600000,2776.295000,36.546780,-118.079930,
1337.100000,2959.658000,36.546810,-118.081980,
1339.100000,3000.796000,36.546810,-118.082440,
1339.900000,3025.172000,36.546840,-118.082710,
1342.400000,3071.888000,36.546800,-118.083230,
1343.600000,3103.189000,36.546800,-118.083580,
1344.600000,3130.041000,36.546810,-118.083880,
1348.600000,3209.642000,36.546820,-118.084770,
1354.700000,3327.695000,36.546830,-118.086090,
1359.900000,3422.517000,36.546850,-118.087150,
1371.100000,3625.524000,36.546850,-118.089420,
1376.900000,3737.361000,36.546880,-118.090670,
1378.900000,3770.451000,36.546880,-118.091040,
1381.600000,3823.214000,36.546880,-118.091630,
1390.600000,3971.669000,36.546880,-118.093290,
1396.100000,4049.505000,36.546900,-118.094160,
1407.700000,4235.523000,36.546890,-118.096240,
1422.500000,4422.485000,36.546850,-118.098330,
1441.900000,4706.873000,36.546850,-118.101510,
1445.500000,4760.543000,36.546860,-118.102110,
1449.400000,4818.683000,36.546850,-118.102760,
1452.800000,4867.882000,36.546860,-118.103310,
1459.200000,4968.044000,36.546860,-118.104430,
1463.200000,5029.761000,36.546870,-118.105120,
1465.100000,5103.368000,36.546210,-118.105170,
1465.800000,5140.277000,36.545880,-118.105210,
1469.200000,5380.153000,36.543730,-118.105390,
1470.200000,5400.086000,36.543560,-118.105460,
1475.100000,5544.157000,36.542270,-118.105590,
1480.800000,5667.928000,36.541160,-118.105670,
1483.000000,5730.497000,36.540600,-118.105730,
1484.600000,5791.885000,36.540050,-118.105780,
1486.500000,5844.480000,36.539580,-118.105840,
1494.500000,6113.546000,36.537170,-118.106070,
1496.400000,6164.823000,36.536710,-118.106100,
1505.000000,6336.927000,36.535170,-118.106270,
1514.300000,6487.473000,36.533820,-118.106370,
1518.300000,6553.370000,36.533230,-118.106430,
1523.700000,6621.328000,36.532620,-118.106460,
1527.100000,6667.003000,36.532210,-118.106480,
1531.400000,6726.009000,36.531680,-118.106490,
1532.600000,6751.675000,36.531450,-118.106470,
1534.000000,6795.319000,36.531060,-118.106420,
1534.700000,6827.111000,36.530780,-118.106350,
1536.900000,6902.138000,36.530120,-118.106180,
1540.500000,7000.466000,36.529250,-118.105990,
1540.500000,7009.767000,36.529170,-118.105960,
1541.500000,7032.668000,36.528970,-118.105900,
1547.800000,7139.143000,36.528030,-118.105680,
1552.700000,7198.992000,36.527510,-118.105510,
1559.000000,7270.485000,36.526900,-118.105260,
1562.200000,7308.875000,36.526580,-118.105100,
1566.000000,7410.135000,36.525760,-118.104610,
1580.400000,7621.317000,36.524090,-118.103490,
1584.200000,7706.823000,36.523400,-118.103070,
1585.400000,7738.726000,36.523140,-118.102920,
1587.200000,7803.560000,36.522630,-118.102570,
1590.200000,7880.316000,36.522020,-118.102170,
1592.000000,7917.391000,36.521720,-118.101990,
1595.400000,7988.957000,36.521150,-118.101620,
1597.800000,8045.962000,36.520690,-118.101340,
1599.400000,8068.593000,36.520500,-118.101250,
1602.200000,8102.946000,36.520200,-118.101160,
1603.600000,8134.738000,36.519920,-118.101090,
1608.800000,8256.720000,36.518830,-118.100950,
1613.100000,8375.206000,36.517770,-118.100830,
1614.300000,8463.913000,36.516980,-118.100700,
1616.700000,8626.298000,36.515540,-118.100410,
1619.900000,8739.046000,36.514540,-118.100210,
1629.500000,8909.128000,36.513030,-118.099920,
1632.700000,8945.153000,36.512710,-118.099860,
1644.300000,9136.968000,36.511010,-118.099510,
1654.000000,9233.767000,36.510150,-118.099350,
1666.900000,9425.104000,36.508460,-118.098960,
1668.700000,9458.798000,36.508160,-118.098910,
1669.800000,9476.609000,36.508000,-118.098910,
1670.600000,9487.884000,36.507900,-118.098930,
1671.800000,9505.424000,36.507750,-118.098990,
1673.500000,9523.856000,36.507610,-118.099100,
1675.200000,9538.715000,36.507510,-118.099210,
1676.300000,9547.871000,36.507450,-118.099280,
1681.000000,9575.134000,36.507310,-118.099530,
1685.700000,9608.854000,36.507150,-118.099850,
1687.100000,9630.694000,36.507050,-118.100060,
1687.800000,9646.994000,36.506980,-118.100220,
1689.100000,9662.354000,36.506930,-118.100380,
1690.600000,9677.346000,36.506890,-118.100540,
1692.000000,9692.047000,36.506860,-118.100700,
1693.600000,9704.623000,36.506850,-118.100840,
1694.300000,9717.346000,36.506830,-118.100980,
1695.000000,9735.787000,36.506790,-118.101180,
1695.000000,9754.053000,36.506730,-118.101370,
1694.900000,9768.249000,36.506670,-118.101510,
1693.900000,9786.417000,36.506560,-118.101660,
1692.300000,9807.291000,36.506410,-118.101800,
1690.600000,9844.644000,36.506120,-118.102010,
1688.800000,9922.806000,36.505500,-118.102420,
1688.500000,9932.772000,36.505420,-118.102470,
1688.100000,9941.014000,36.505350,-118.102500,
1687.600000,9951.386000,36.505260,-118.102530,
1686.500000,9960.336000,36.505180,-118.102520,
1685.100000,9968.331000,36.505110,-118.102500,
1683.800000,9974.511000,36.505060,-118.102470,
1681.500000,9984.909000,36.504980,-118.102410,
1680.900000,9993.479000,36.504920,-118.102350,
1681.800000,10013.060000,36.504800,-118.102190,
1682.700000,10020.745000,36.504760,-118.102120,
1684.700000,10035.497000,36.504690,-118.101980,
1685.900000,10044.216000,36.504660,-118.101890,
1685.700000,10054.953000,36.504660,-118.101770,
1684.500000,10068.558000,36.504680,-118.101620,
1683.200000,10082.164000,36.504700,-118.101470,
1684.000000,10098.308000,36.504690,-118.101290,
1687.100000,10117.619000,36.504650,-118.101080,
1705.200000,10228.876000,36.504270,-118.099930,
1708.600000,10302.751000,36.503960,-118.099200,
1711.800000,10354.683000,36.503710,-118.098710,
1721.300000,10425.162000,36.503330,-118.098080,
1721.700000,10496.431000,36.502960,-118.097430,
1726.700000,10548.116000,36.502650,-118.097000,
1730.200000,10578.678000,36.502440,-118.096780,
1734.000000,10615.258000,36.502180,-118.096530,
1752.900000,10778.180000,36.500890,-118.095670,
1755.000000,10840.566000,36.500370,-118.095410,
1761.800000,10903.753000,36.499860,-118.095100,
1767.700000,10921.724000,36.499720,-118.095000,
1770.000000,10931.691000,36.499640,-118.094950,
1772.000000,10942.063000,36.499550,-118.094920,
1773.700000,10955.433000,36.499440,-118.094860,
1783.600000,11008.447000,36.499050,-118.094520,
1790.400000,11075.019000,36.498580,-118.094060,
1794.900000,11119.011000,36.498280,-118.093740,
1804.500000,11222.977000,36.497560,-118.093000,
1805.600000,11308.106000,36.496980,-118.092380,
1812.500000,11370.994000,36.496560,-118.091910,
1814.700000,11410.788000,36.496270,-118.091650,
1816.600000,11447.184000,36.495990,-118.091440,
1818.100000,11510.534000,36.495500,-118.091080,
1824.000000,11587.617000,36.494900,-118.090650,
